Country/Region,location,continent,population_year,population
Afghanistan,Afghanistan,Asia,2021,40099462
Albania,Albania,Europe,2021,2854710
Algeria,Algeria,Africa,2021,44177969
Andorra,Andorra,Europe,2021,79034
Angola,Angola,Africa,2021,34503774
Anguilla,Anguilla,North America,2021,15753
Antigua and Barbuda,Antigua and Barbuda,North America,2021,93220
Argentina,Argentina,South America,2021,45276780
Armenia,Armenia,Asia,2021,2790974
Aruba,Aruba,North America,2021,106536
Australia,Australia,Oceania,2021,25921089
Austria,Austria,Europe,2021,8922082
Azerbaijan,Azerbaijan,Asia,2021,10312992
Bahamas,Bahamas,North America,2021,407906
Bahrain,Bahrain,Asia,2021,1463265
Bangladesh,Bangladesh,Asia,2021,169356251
Barbados,Barbados,North America,2021,281200
Belarus,Belarus,Europe,2021,9578168
Belgium,Belgium,Europe,2021,11611420
Belize,Belize,North America,2021,400031
Benin,Benin,Africa,2021,12996895
Bermuda,Bermuda,North America,2021,64185
Bhutan,Bhutan,Asia,2021,777486
Bolivia,Bolivia,South America,2021,12079472
"Bonaire, Sint Eustatius and Saba",Bonaire Sint Eustatius and Saba,North America,2021,26706
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,2021,3270943
Botswana,Botswana,Africa,2021,2588423
Brazil,Brazil,South America,2021,214326223
British Virgin Islands,British Virgin Islands,North America,2021,31122
Brunei,Brunei,Asia,2021,445373
Bulgaria,Bulgaria,Europe,2021,6885868
Burkina Faso,Burkina Faso,Africa,2021,22100683
Burundi,Burundi,Africa,2021,12551213
Cambodia,Cambodia,Asia,2021,16589023
Cameroon,Cameroon,Africa,2021,27198628
Canada,Canada,North America,2021,38155012
Cabo Verde,Cape Verde,Africa,2021,587925
Cayman Islands,Cayman Islands,North America,2021,68136
Central African Republic,Central African Republic,Africa,2021,5457154
Chad,Chad,Africa,2021,17179740
Chile,Chile,South America,2021,19493184
China,China,Asia,2021,1425893464
Colombia,Colombia,South America,2021,51516562
Comoros,Comoros,Africa,2021,821626
Congo (Brazzaville),Congo,Africa,2021,5835806
Cook Islands,Cook Islands,Oceania,2021,17003
Costa Rica,Costa Rica,North America,2021,5153957
Cote d'Ivoire,Cote d'Ivoire,Africa,2021,27478249
Croatia,Croatia,Europe,2021,4060135
Cuba,Cuba,North America,2021,11256372
Curacao,Curacao,North America,2021,190338
Cyprus,Cyprus,Europe,2021,896007
Czechia,Czechia,Europe,2021,10510750
