date,World,Afghanistan,Africa,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,North Korea,North Macedonia,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
2020-01-22,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2020-01-23,0.013,,,,,,,,,,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,,,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.005,,0.267,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.001,,1.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.036,,,,,,0.02,,,,
2020-01-24,0.036,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,,,,,0.194,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.004,,,,,0.029,,,,,,,,,,,,,,,,0.007,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355,,,,,,,0.019,,,,,,,,,0.084,,,0.014,,,,,,,,,,,,,0.003,0.11,,,,,,0.0,,,,
2020-01-25,0.062,,,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.339,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,,,,,0.015,,,,,,,,,,,,,,,,0.003,,0.401,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.118,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,0.014,,,,,,,,,,,,,0.0,0.193,,,,,,0.0,,,,
2020-01-26,0.086,,,,,,,,,,,,0.143,0.153,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.465,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.014,,0.401,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,0.0,,4.315,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.005,,,,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177,,,,,,,0.019,,,,,,,,,0.042,,,0.028,,,,,,,,,,,,,0.009,0.263,,,,,,0.0,,,,
2020-01-27,0.101,,,,,,,,,,,,0.171,0.038,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.0,,,,,,0.562,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,,,,,0.0,,,,,0.012,,,,,,,,,,,0.005,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.001,,1.438,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177,,,,,,,0.019,,,0.046,,,,,,0.042,,,0.0,,,,,,,,,,,,,0.0,0.317,,,,,,0.0,,,,
2020-01-28,0.332,,,,,,,,,,,,0.56,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.026,,,,,,1.845,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.009,,,,,0.015,,,,,0.036,,,,,,,,,,,0.011,,0.0,,,,,,,,,,,,,0.024,,,,,,,,,,,,,,,,,0.0,,1.438,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.002,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355,,,,,,,0.0,,,0.0,,,,,,0.126,,,0.084,,,,,,,,,,,,,0.0,1.044,,,,,,0.0,,,,
2020-01-29,0.074,,,,,,,,,,,,0.124,0.038,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.404,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.004,,,,0.18,0.015,,,,,0.0,,,,,,,,,,,0.008,,0.267,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.088,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.002,,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,0.424,,0.003,0.229,,,,,,0.0,,,,
2020-01-30,0.259,,,,,,,,,,,,0.437,0.115,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,1.441,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,0.009,,0.0,,,0.001,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,0.001,,0.0,,,0.029,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.067,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,0.532,,,,,,,0.0,,,0.0,,,,,,0.042,,,0.0,,,,,,,,,,,0.0,,0.0,0.814,,,,,,0.0,,,,
2020-01-31,0.212,,,,,,,,,,,,0.356,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,1.163,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.007,,,,0.0,0.0,,,,,0.012,,,,,,,,,,,0.019,,0.267,,,0.0,,,,,,,,0.034,,0.032,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.003,,,,0.0,,,,,,,,,0.0,,,,,0.014,,,,,,,,,,,,,,,0.532,,,,,,,0.135,,,0.0,,,,,,0.042,,,0.07,,,,,,,,,,,0.0,0.03,0.006,0.66,,,,,,0.0,,,,
