date,World,Afghanistan,Africa,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,North Korea,North Macedonia,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
2020-01-22,0.07,,,,,,,,,,,,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,1.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,,,,,,,,,0.042,,,0.056,,,,,,,,,,,,,0.003,0.22,,,,,,,,,,
2020-01-23,0.083,,,,,,,,,,,,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,,,,,,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.267,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,0.001,,2.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183,,,,,,,0.019,,,,,,,,,0.042,,,0.056,,,,,,,,,,,,,0.003,0.257,,,,,,0.021,,,,
2020-01-24,0.119,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,,,,,,0.642,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.004,,,,,0.03,,,,,,,,,,,,,,,,0.017,,0.267,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,0.001,,2.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,0.039,,,,,,,,,0.126,,,0.07,,,,,,,,,,,,,0.006,0.368,,,,,,0.021,,,,
2020-01-25,0.182,,,,,,,,,,,,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,,,,,,0.981,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.007,,,,,0.044,,,,,,,,,,,,,,,,0.02,,0.667,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,0.001,,2.913,,,0.119,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,0.039,,,,,,,,,0.126,,,0.084,,,,,,,,,,,,,0.006,0.563,,,,,,0.021,,,,
2020-01-26,0.268,,,,,,,,,,,,0.449,0.154,,,,,,,,,,,,,,,,,,,,,,,,,0.079,,,,,,1.446,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.007,,,,,0.044,,,,,,,,,,,,,,,,0.035,,1.067,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,0.001,,7.282,,,0.119,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.013,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.733,,,,,,,0.058,,,,,,,,,0.168,,,0.112,,,,,,,,,,,,,0.015,0.829,,,,,,0.021,,,,
2020-01-27,0.37,,,,,,,,,,,,0.62,0.193,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.079,,,,,,2.008,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.009,,,,,0.044,,,,,0.012,,,,,,,,,,,0.039,,1.067,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,0.001,,8.739,,,0.119,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.013,,,,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.917,,,,,,,0.077,,,0.046,,,,,,0.21,,,0.112,,,,,,,,,,,,,0.015,1.149,,,,,,0.021,,,,
2020-01-28,0.705,,,,,,,,,,,,1.184,0.193,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.105,,,,,,3.853,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.018,,,,,0.059,,,,,0.048,,,,,,,,,,,0.051,,1.067,,,,,,,,,,,,,0.056,,,,,,,,,,,,,,,,,0.001,,10.195,,,0.119,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.015,,,,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.284,,,,,,,0.077,,,0.046,,,,,,0.335,,,0.196,,,,,,,,,,,,,0.015,2.204,,,,,,0.021,,,,
2020-01-29,0.78,,,,,,,,,,,,1.309,0.231,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.105,,,,,,4.257,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.022,,,,0.181,0.074,,,,,0.048,,,,,,,,,,,0.059,,1.334,,,,,,,,,,,,,0.056,,,,,,,,,,,,,,,,,0.001,,10.195,,,0.208,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.017,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.284,,,,,,,0.077,,,0.046,,,,,,0.335,,,0.196,,,,,,,,,,,0.427,,0.018,2.435,,,,,,0.021,,,,
2020-01-30,1.041,,,,,,,,,,,,1.749,0.347,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.105,,,,,,5.697,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.022,,,,0.181,0.074,,,,,0.048,,,,,,,,,,,0.068,,1.334,,,0.001,,,,,,,,,,0.088,,,,,,,,,,,,,,,,,0.002,,10.195,,,0.238,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.017,,,,0.202,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,1.834,,,,,,,0.077,,,0.046,,,,,,0.377,,,0.196,,,,,,,,,,,0.427,,0.018,3.257,,,,,,0.021,,,,
2020-01-31,1.255,,,,,,,,,,,,2.107,0.347,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.105,,,,,,6.861,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.029,,,,0.181,0.074,,,,,0.06,,,,,,,,,,,0.087,,1.601,,,0.001,,,,,,,,0.034,,0.12,,,,,,,,,,,,,,,,,0.002,,10.195,,,0.238,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.02,,,,0.202,,,,,,,,,0.009,,,,,0.014,,,,,,,,,,,,,,,2.384,,,,,,,0.212,,,0.046,,,,,,0.419,,,0.265,,,,,,,,,,,0.427,0.03,0.024,3.923,,,,,,0.021,,,,
2020-02-01,1.522,,,,,,,,,,,,2.555,0.463,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.105,,,,,,8.325,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.042,,,,0.181,0.089,,,,,0.096,,,,,,,,,,,0.102,,1.735,,,0.001,,,,,,,,0.034,,0.16,,,,,,,,,,,,,,,,,0.003,,10.195,,,0.238,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.02,,,,0.27,,,,,,,,,0.009,,,,,0.014,,,,,,,,,,,,,,,2.934,,,,,,,0.232,,0.021,0.046,,,0.096,,,0.419,,,0.265,,,,,,,,,,,0.427,0.03,0.024,4.757,,,,,,0.062,,,,
2020-02-02,2.122,,,,,,,,,,,,3.566,0.463,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.105,,,,,,11.647,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.047,,,,0.181,0.089,,,,,0.12,,,,,,,,,,,0.111,,2.001,,,0.001,,,,,,,,0.034,,0.16,,,,,,,,,,,,,,,,,0.004,,11.651,,,0.238,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.02,,,,0.27,,,,,,,,,0.018,,,,,0.014,,,,,,,,,,,,,,,3.301,,,,,,,0.289,,0.021,0.046,,,0.096,,,0.419,,,0.265,,,,,,,,,,,0.534,0.03,0.024,6.651,,,,,,0.062,,,,
2020-02-03,2.514,,,,,,,,,,,,4.225,0.463,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.105,,,,,,13.811,,,,,,,,,,,,,,,,,,,,,,,,,0.044,0.051,,,,0.181,0.089,,,,,0.144,,,,,,,,,,,0.12,,2.001,,,0.002,,,,,,,,0.034,,0.16,,,,,,,,,,,,,,,,,0.005,,11.651,,,0.238,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.025,,,,0.27,,,,,,,,,0.018,,,,,0.014,,,,,,,,,,,,,,,3.301,,,,,,,0.289,,0.021,0.046,,,0.096,,,0.419,,,0.265,,,,,,,,,,,0.534,0.119,0.033,7.884,,,,,,0.082,,,,
2020-02-04,3.022,,,,,,,,,,,,5.079,0.502,,,,,,,,0.086,,,,,,,,,,,,,,,0.06,,0.131,,,,,,16.607,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.054,,,,0.181,0.089,,,,,0.144,,,,,,,,,,,0.134,,2.268,,,0.002,,,,,,,,0.034,,0.177,,,,,,,,,,,,,,,,,0.005,,14.564,,,0.298,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.027,,,,0.292,,,,,,,,,0.018,,,,,0.014,,,,,,,,,,,,,,,4.401,,,,,,,0.309,,0.021,0.046,,,0.096,,,0.461,,,0.349,,,,,,,,,,,0.534,0.119,0.033,9.481,,,,,,0.082,,,,
2020-02-05,3.495,,,,,,,,,,,,5.876,0.502,,,,,,,,0.086,,,,,,,,,,,,,,,0.06,,0.157,,,,,,19.222,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.054,,,,0.181,0.089,,,,,0.144,,,,,,,,,,,0.145,,2.802,,,0.002,,,,,,,,0.034,,0.185,,,,,,,,,,,,,,,,,0.005,,14.564,,,0.357,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.029,,,,0.292,,,,,,,,,0.018,,,,,0.014,,,,,,,,,,,,,,,5.134,,,,,,,0.367,,0.021,0.046,,,0.096,,,0.461,,,0.349,,,,,,,,,,,0.534,0.134,0.033,10.973,,,,,,0.082,,,,
2020-02-06,3.895,,,,,,,,,,,,6.55,0.54,,,,,,,,0.086,,,,,,,,,,,,,,,0.06,,0.157,,,,,,21.427,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.054,,,,0.181,0.089,,,,,0.144,,,,,,,,,,,0.156,,3.202,,,0.002,,,,,,,,0.034,,0.185,,,,,,,,,,,,,,,,,0.005,,14.564,,,0.417,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.03,,,,0.315,,,,,,,,,0.018,,,,,0.014,,,,,,,,,,,,,,,5.134,,,,,,,0.444,,0.021,0.046,,,0.096,,,0.671,,,0.349,,,,,,,,,,,0.534,0.134,0.036,12.231,,,,,,0.103,,,,
2020-02-07,4.349,,,,,,,,,,,,7.301,0.579,,,,,,,,0.086,,,,,,,,,,,,,,,0.06,,0.21,,,,,,23.897,,,,,,,,,,,,,,,,,,,,,,,,,0.049,0.058,,,,0.181,0.089,,,,,0.156,,,,,,,,,,,0.164,,3.336,,,0.002,,,,,,,,0.051,,0.185,,,,,,,,,,,,,,,,,0.006,,14.564,,,0.447,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.034,,,,0.337,,,,,,,,,0.026,,,,,0.014,,,,,,,,,,,,,,,5.501,,,,,,,0.463,,0.021,0.046,,,0.096,,,0.671,,,0.349,,,,,,,,,,,0.534,0.134,0.036,13.639,,,,,,0.103,,,,
