location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Argentina,2020-12-29,Sputnik V,https://covidstats.com.ar/,20489,20486,2,1
Argentina,2020-12-30,Sputnik V,https://covidstats.com.ar/,40591,40583,7,1
Argentina,2020-12-31,Sputnik V,https://covidstats.com.ar/,43397,43389,7,1
Argentina,2021-01-01,Sputnik V,https://covidstats.com.ar/,43524,43516,7,1
Argentina,2021-01-02,Sputnik V,https://covidstats.com.ar/,46836,46825,10,1
Argentina,2021-01-03,Sputnik V,https://covidstats.com.ar/,47280,47266,11,3
Argentina,2021-01-04,Sputnik V,https://covidstats.com.ar/,57741,57721,15,5
Argentina,2021-01-05,Sputnik V,https://covidstats.com.ar/,68469,68446,18,5
Argentina,2021-01-06,Sputnik V,https://covidstats.com.ar/,78581,78556,18,7
Argentina,2021-01-07,Sputnik V,https://covidstats.com.ar/,96806,96778,20,8
Argentina,2021-01-08,Sputnik V,https://covidstats.com.ar/,124695,124660,26,9
Argentina,2021-01-09,Sputnik V,https://covidstats.com.ar/,134904,134867,27,10
Argentina,2021-01-10,Sputnik V,https://covidstats.com.ar/,136081,136040,27,14
Argentina,2021-01-11,Sputnik V,https://covidstats.com.ar/,155906,155859,32,15
Argentina,2021-01-12,Sputnik V,https://covidstats.com.ar/,175298,175232,42,24
Argentina,2021-01-13,Sputnik V,https://covidstats.com.ar/,192071,192003,43,25
Argentina,2021-01-14,Sputnik V,https://covidstats.com.ar/,208724,208651,44,29
Argentina,2021-01-15,Sputnik V,https://covidstats.com.ar/,226169,226090,50,29
Argentina,2021-01-16,Sputnik V,https://covidstats.com.ar/,232053,231973,51,29
Argentina,2021-01-17,Sputnik V,https://covidstats.com.ar/,233115,233030,54,31
Argentina,2021-01-18,Sputnik V,https://covidstats.com.ar/,242947,242850,58,39
Argentina,2021-01-19,Sputnik V,https://covidstats.com.ar/,256197,250665,5492,40
Argentina,2021-01-20,Sputnik V,https://covidstats.com.ar/,275625,256576,19009,40
Argentina,2021-01-21,Sputnik V,https://covidstats.com.ar/,289744,261376,28328,40
Argentina,2021-01-22,Sputnik V,https://covidstats.com.ar/,298963,266399,32523,41
Argentina,2021-01-23,Sputnik V,https://covidstats.com.ar/,302908,267512,35354,42
Argentina,2021-01-24,Sputnik V,https://covidstats.com.ar/,303211,267603,35566,42
Argentina,2021-01-25,Sputnik V,https://covidstats.com.ar/,317426,274726,42658,42
Argentina,2021-01-26,Sputnik V,https://covidstats.com.ar/,330240,280047,50151,42
Argentina,2021-01-27,Sputnik V,https://covidstats.com.ar/,340348,284139,56167,42
Argentina,2021-01-28,Sputnik V,https://covidstats.com.ar/,356395,285582,70770,43
Argentina,2021-01-29,Sputnik V,https://covidstats.com.ar/,379898,287044,92811,43
Argentina,2021-01-30,Sputnik V,https://covidstats.com.ar/,389212,287246,101922,44
Argentina,2021-01-31,Sputnik V,https://covidstats.com.ar/,389836,287254,102538,44
Argentina,2021-02-01,Sputnik V,https://covidstats.com.ar/,409363,289527,119791,45
Argentina,2021-02-02,Sputnik V,https://covidstats.com.ar/,433242,295171,138025,46
Argentina,2021-02-03,Sputnik V,https://covidstats.com.ar/,459859,305581,154232,46
Argentina,2021-02-04,Sputnik V,https://covidstats.com.ar/,487995,315907,172042,46
Argentina,2021-02-05,Sputnik V,https://covidstats.com.ar/,521039,329798,191197,46
Argentina,2021-02-06,Sputnik V,https://covidstats.com.ar/,531968,332876,199048,46
Argentina,2021-02-07,Sputnik V,https://covidstats.com.ar/,533351,333447,199860,46
Argentina,2021-02-08,Sputnik V,https://covidstats.com.ar/,556780,349919,206817,46
Argentina,2021-02-09,Sputnik V,https://covidstats.com.ar/,576979,364187,212748,46
Argentina,2021-02-10,Sputnik V,https://covidstats.com.ar/,592606,375200,217362,46
Argentina,2021-02-11,Sputnik V,https://covidstats.com.ar/,610462,379867,230551,46
Argentina,2021-02-12,Sputnik V,https://covidstats.com.ar/,626303,384127,242132,46
Argentina,2021-02-13,Sputnik V,https://covidstats.com.ar/,629339,384490,244805,46
Argentina,2021-02-14,Sputnik V,https://covidstats.com.ar/,629491,384514,244933,46
Argentina,2021-02-15,Sputnik V,https://covidstats.com.ar/,630809,385594,245170,47
Argentina,2021-02-16,Sputnik V,https://covidstats.com.ar/,632122,386632,245445,47
Argentina,2021-02-17,Sputnik V,https://covidstats.com.ar/,656531,406293,250193,47
Argentina,2021-02-18,Sputnik V,https://covidstats.com.ar/,720360,458564,261750,48
Argentina,2021-02-19,Sputnik V,https://covidstats.com.ar/,788257,518917,269293,49
Argentina,2021-02-20,Sputnik V,https://covidstats.com.ar/,820878,549995,270836,49
Argentina,2021-02-21,Sputnik V,https://covidstats.com.ar/,841058,570139,270872,49
Argentina,2021-02-22,Sputnik V,https://covidstats.com.ar/,908634,635990,272597,49
Argentina,2021-02-23,Sputnik V,https://covidstats.com.ar/,995591,718834,276710,49
Argentina,2021-02-24,Sputnik V,https://covidstats.com.ar/,1089413,806191,283173,51
Argentina,2021-02-25,Sputnik V,https://covidstats.com.ar/,1168946,874228,294613,107
Argentina,2021-02-26,Sputnik V,https://covidstats.com.ar/,1250646,944904,305637,107
Argentina,2021-02-27,Sputnik V,https://covidstats.com.ar/,1268550,960795,307650,107
Argentina,2021-02-28,Sputnik V,https://covidstats.com.ar/,1274678,966607,307965,108
Argentina,2021-03-01,Sputnik V,https://covidstats.com.ar/,1349247,1033846,315295,108
Argentina,2021-03-02,Sputnik V,https://covidstats.com.ar/,1424879,1102275,322498,108
Argentina,2021-03-03,Sputnik V,https://covidstats.com.ar/,1496359,1166577,329676,108
Argentina,2021-03-04,Sputnik V,https://covidstats.com.ar/,1608444,1265034,343302,110
Argentina,2021-03-05,Sputnik V,https://covidstats.com.ar/,1720197,1363957,356132,110
Argentina,2021-03-06,Sputnik V,https://covidstats.com.ar/,1775139,1415110,359921,110
Argentina,2021-03-07,Sputnik V,https://covidstats.com.ar/,1786933,1426823,360002,110
Argentina,2021-03-08,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,1889436,1526835,362493,110
Argentina,2021-03-09,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2005248,1640329,364810,111
Argentina,2021-03-10,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2169229,1797981,371139,111
Argentina,2021-03-11,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2356085,1952037,403938,112
Argentina,2021-03-12,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2517762,2069994,447657,113
Argentina,2021-03-13,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2564155,2089106,474937,114
Argentina,2021-03-14,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2573327,2097037,476178,114
Argentina,2021-03-15,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2710954,2206043,504798,115
Argentina,2021-03-16,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2844702,2317662,526927,115
Argentina,2021-03-17,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2984290,2439037,545140,115
Argentina,2021-03-18,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3123254,2534589,588551,116
Argentina,2021-03-19,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3249457,2624706,624637,116
Argentina,2021-03-20,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3300337,2662799,637424,116
Argentina,2021-03-21,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3319969,2681113,638740,118
Argentina,2021-03-22,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3403035,2751401,651517,119
Argentina,2021-03-23,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3509519,2845361,664039,121
Argentina,2021-03-24,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3546987,2881587,665281,121
Argentina,2021-03-25,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3650187,2969375,680693,121
Argentina,2021-03-26,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3743760,3052565,691076,121
Argentina,2021-03-27,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3798854,3104512,694223,121
Argentina,2021-03-28,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3819682,3125282,694281,121
Argentina,2021-03-29,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3939879,3240695,699063,123
Argentina,2021-03-30,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,4102915,3398418,704374,125
Argentina,2021-03-31,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,4277886,3568520,709242,126
Argentina,2021-04-01,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,4395033,3683557,711352,126
Argentina,2021-04-02,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,4463197,3750706,712367,126
Argentina,2021-04-03,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,4537673,3824646,712903,126
Argentina,2021-04-04,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,4586161,3873035,713000,128
Argentina,2021-04-05,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,4752167,4029427,722613,129
Argentina,2021-04-06,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,4946192,4215341,730724,129
Argentina,2021-04-07,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,5184643,4447237,737277,131
Argentina,2021-04-08,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,5420619,4678299,742189,133
Argentina,2021-04-09,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,5661034,4906541,754359,136
Argentina,2021-04-10,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,5753982,4994140,759707,137
Argentina,2021-04-11,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,5802299,5040938,761226,137
Argentina,2021-04-12,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,5984124,5214140,769849,137
Argentina,2021-04-13,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,6170208,5375617,794455,138
Argentina,2021-04-14,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,6341906,5532416,809354,138
Argentina,2021-04-15,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,6493021,5662398,830486,139
Argentina,2021-04-16,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,6616757,5777950,838669,140
Argentina,2021-04-17,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,6662477,5818258,844081,140
Argentina,2021-04-18,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,6682381,5838030,844213,140
Argentina,2021-04-19,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,6772878,5914137,858602,141
Argentina,2021-04-20,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,6895615,6021148,874325,144
Argentina,2021-04-21,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,7069599,6180371,889087,144
Argentina,2021-04-22,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,7247811,6344826,902842,147
Argentina,2021-04-23,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,7442384,6526958,915280,150
Argentina,2021-04-24,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,7534619,6617775,916698,150
Argentina,2021-04-25,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,7583939,6666904,916889,150
Argentina,2021-04-26,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,7756069,6833020,922899,154
Argentina,2021-04-27,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,7909828,6981605,928070,157
Argentina,2021-04-28,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,8068840,7117239,951447,158
Argentina,2021-04-29,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,8225121,7239828,985138,159
Argentina,2021-04-30,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,8340077,7321897,1018020,164
Argentina,2021-05-01,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,8360380,7338698,1021522,164
