location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Belgium,2020-12-28,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,340,340,0,0
Belgium,2020-12-29,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,380,379,11,0
Belgium,2020-12-30,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,910,908,21,0
Belgium,2020-12-31,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,958,956,21,0
Belgium,2021-01-01,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,975,973,21,0
Belgium,2021-01-02,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,999,997,34,0
Belgium,2021-01-03,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,1033,1031,34,0
Belgium,2021-01-04,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,1104,1101,50,0
Belgium,2021-01-05,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,2894,2888,79,0
Belgium,2021-01-06,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,6921,6914,108,0
Belgium,2021-01-07,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,15434,15420,129,0
Belgium,2021-01-08,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,24878,24856,182,0
Belgium,2021-01-09,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,28176,28151,201,0
Belgium,2021-01-10,Pfizer/BioNTech,https://epistat.wiv-isp.be/covid/,28673,28646,203,0
Belgium,2021-01-11,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,34418,34380,223,0
Belgium,2021-01-12,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,50523,50474,255,0
Belgium,2021-01-13,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,72490,72320,394,0
Belgium,2021-01-14,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,96071,95882,424,0
Belgium,2021-01-15,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,119791,119593,453,0
Belgium,2021-01-16,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,125041,124839,467,0
Belgium,2021-01-17,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,128340,128112,493,0
Belgium,2021-01-18,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,139645,139267,656,0
Belgium,2021-01-19,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,159147,158561,901,0
Belgium,2021-01-20,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,180918,179858,1403,0
Belgium,2021-01-21,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,211347,210246,1468,0
Belgium,2021-01-22,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,241598,240449,1554,0
Belgium,2021-01-23,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,250135,248973,1578,0
Belgium,2021-01-24,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,252088,250892,1612,0
Belgium,2021-01-25,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,263572,262347,1664,0
Belgium,2021-01-26,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,276565,273558,3467,0
Belgium,2021-01-27,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,293446,286972,6973,0
Belgium,2021-01-28,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,317516,303093,14953,0
Belgium,2021-01-29,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,339345,315700,24209,0
Belgium,2021-01-30,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,343936,317362,27150,0
Belgium,2021-01-31,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,344944,318014,27506,0
Belgium,2021-02-01,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,352975,322053,31516,0
Belgium,2021-02-02,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,377820,332387,46056,0
Belgium,2021-02-03,"Moderna, Pfizer/BioNTech",https://epistat.wiv-isp.be/covid/,409005,342708,66943,0
