location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Mozambique,2021-03-07,Sinopharm/Beijing,https://allafrica.com/stories/202103160904.html,0,0,0,
Mozambique,2021-03-13,Sinopharm/Beijing,https://allafrica.com/stories/202103160904.html,46439,46439,0,
Mozambique,2021-03-23,Sinopharm/Beijing,https://allafrica.com/stories/202103230834.html,57305,57305,0,
Mozambique,2021-05-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,355995,296983,59012,
Mozambique,2021-05-18,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,393105,318548,74557,
Mozambique,2021-05-31,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,394312,319511,74801,
Mozambique,2021-06-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,394930,320129,74801,
Mozambique,2021-06-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,438382,341707,96675,
Mozambique,2021-07-05,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,508184,354572,153612,
Mozambique,2021-07-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,671336,372085,299251,
Mozambique,2021-07-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,671599,372085,299514,
Mozambique,2021-07-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,691040,372085,318955,
Mozambique,2021-08-03,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,714776,394234,320542,
Mozambique,2021-08-09,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1386326,907839,478487,
Mozambique,2021-08-16,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1487560,916174,571386,
Mozambique,2021-08-20,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1864229,,,
Mozambique,2021-08-25,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2297842,1643520,654322,
Mozambique,2021-09-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2405890,1643520,762370,
Mozambique,2021-09-14,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,3644423,1903730,1740693,
Mozambique,2021-10-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,3677063,1903730,1773333,
Mozambique,2021-10-15,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,3782029,1973519,1808510,
Mozambique,2021-10-21,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,3799385,1973519,1825866,
Mozambique,2021-10-28,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,4781293,2734512,2046781,
Mozambique,2021-10-31,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,5871057,3667470,2203587,
Mozambique,2021-11-04,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,6585750,4159380,2426370,
Mozambique,2021-11-10,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,7459438,4858830,2600608,
Mozambique,2021-11-18,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,8891246,5919277,2971969,
Mozambique,2021-11-24,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,9706476,6257220,3449256,
Mozambique,2021-11-29,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,10145909,6422216,3723693,
Mozambique,2021-12-02,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,10503956,6572756,3931200,
Mozambique,2021-12-03,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,10799768,6685501,4114267,
Mozambique,2021-12-09,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,11099580,6801754,4297826,
Mozambique,2021-12-13,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,11730770,7105910,4624860,
Mozambique,2021-12-15,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,12025232,7241597,4783635,
Mozambique,2021-12-20,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,13250204,7845444,5404760,
Mozambique,2021-12-26,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,14408516,8484211,5924305,
Mozambique,2021-12-30,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,14718782,8633965,6084817,
Mozambique,2022-01-06,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,15480413,8991420,6488993,
Mozambique,2022-01-10,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,17031660,9643588,7388072,
Mozambique,2022-01-19,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,19066507,10471943,8648564,
Mozambique,2022-01-28,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,10759191,9022900,
Mozambique,2022-02-15,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,11857441,10244461,
Mozambique,2022-02-17,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,104397
Mozambique,2022-02-21,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,12195082,10521232,
Mozambique,2022-02-24,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,131440
Mozambique,2022-03-04,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,138218
Mozambique,2022-03-05,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,12963020,11476420,
Mozambique,2022-03-10,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,13251662,11787508,
Mozambique,2022-03-17,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,262678
Mozambique,2022-03-18,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,,,
Mozambique,2022-03-24,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,286062
Mozambique,2022-03-25,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,,,297597
Mozambique,2022-03-31,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,304465
Mozambique,2022-04-26,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,,,335314
Mozambique,2022-05-08,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,,,340293
Mozambique,2022-05-15,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,,,346565
Mozambique,2022-05-22,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,,,353032
Mozambique,2022-06-26,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,,,403796
Mozambique,2022-07-17,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,,,422998
Mozambique,2022-08-07,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,,,463310
Mozambique,2022-08-14,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,13421088,12805276,585276
Mozambique,2022-08-21,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,13435258,12824079,590588
Mozambique,2022-08-28,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,13445584,12837372,594517
Mozambique,2022-09-04,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,13456303,12851614,603238
Mozambique,2022-09-11,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,13459831,,606946
Mozambique,2022-09-18,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,13465329,12861896,612442
