location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Nepal,2021-01-26,Oxford/AstraZeneca,https://myrepublica.nagariknetwork.com/news/over-1-million-people-receive-covid-19-vaccine-in-nepal-so-far/,0,,,
Nepal,2021-02-01,Oxford/AstraZeneca,https://myrepublica.nagariknetwork.com/news/over-1-million-people-receive-covid-19-vaccine-in-nepal-so-far/,113175,113175,,
Nepal,2021-02-04,Oxford/AstraZeneca,https://thehimalayantimes.com/nepal/158487-persons-receive-first-dose-of-covid-19-vaccine-in-nepal,158487,158487,,
Nepal,2021-02-20,Oxford/AstraZeneca,https://drive.google.com/file/d/1I8b2_-9TGCbtwjmzUUHVhztotsZhTDLZ/view?usp=sharing,402264,402264,,
Nepal,2021-03-19,Oxford/AstraZeneca,https://reliefweb.int/report/nepal/first-asia-pacific-refugees-nepal-receive-vaccinations-against-covid-19,1600000,1600000,,
Nepal,2021-04-05,Oxford/AstraZeneca,http://www.xinhuanet.com/english/asiapacific/2021-04/05/c_139859314.htm,1700000,1700000,,
Nepal,2021-04-07,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/606ee24cc2bff_SitRep424_COVID-19_08-04-2021_EN.pdf,1806236,1806236,,
Nepal,2021-04-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/60702a587ad4a_SitRep425_COVID-19_09-04-2021_EN.pdf,1811658,1811658,,
Nepal,2021-04-09,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/60717a63f07c9_SitRep426_COVID-19_10-04-2021_EN.pdf,1835263,1835263,,
Nepal,2021-04-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/6072dd7075d48_SitRep427_COVID-19_11-04-2021_EN.pdf,1841124,1841124,,
Nepal,2021-04-11,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/60742a9bebe9a_SitRep428_COVID-19_12-04-2021_EN.pdf,1850570,1850570,,
Nepal,2021-04-13,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/6076d54262805_SitRep430_COVID-19_14-04-2021_EN.pdf,1873377,1873377,,
Nepal,2021-04-15,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/6079717b481cd_SitRep432_COVID-19_16-04-2021_EN.pdf,1885755,1885755,,
Nepal,2021-04-16,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/607abc4d7ca2e_SitRep433_COVID-19_17-04-2021_EN.pdf,1900583,1900583,,
Nepal,2021-04-17,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/607c13ea30096_SitRep434_COVID-19_18-04-2021_EN.pdf,1910209,1910209,,
Nepal,2021-04-18,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/607d59c57f25b_SitRep435_COVID-19_19-04-2021_EN.pdf,1924703,1924703,,
Nepal,2021-04-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/607ebf4d9bbc2_SitRep436_COVID-19_20-04-2021_EN.pdf,1938679,1938679,,
Nepal,2021-04-20,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/608011c6c3504_SitRep437_COVID-19_21-04-2021_EN.pdf,1961992,1961992,,
Nepal,2021-04-21,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/60816045734aa_SitRep438_COVID-19_22-04-2021_EN.pdf,1966506,1966506,,
Nepal,2021-04-22,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/6082a7604f027_SitRep439_COVID-19_23-04-2021_EN.pdf,1978239,1978239,,
Nepal,2021-04-23,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/6083fc15ecffd_SitRep440_COVID-19_24-04-2021_EN.pdf,1989248,1989248,,
Nepal,2021-04-25,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/6086a27fe72db_SitRep442_COVID-19_26-04-2021_EN.pdf,2006436,2006436,,
Nepal,2021-04-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/6087f5cc3b478_SitRep443_COVID-19_27-04-2021_EN.pdf,2019177,2019177,,
Nepal,2021-04-27,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/608944558efa4_SitRep444_COVID-19_27-04-2021_EN.pdf,2051440,2051440,,
Nepal,2021-04-28,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/608a91a9c6d26_SitRep445_COVID-19_29-04-2021_EN.pdf,2091511,2091511,,
Nepal,2021-05-07,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/609523cf67ce3_SitRep453_COVID-19_7-05-2021_EN.pdf,2453512,2091511,362001,
Nepal,2021-05-18,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/60a5103282e4a_SitRep465_COVID-19_19-05-2021_EN.pdf,2539590,2113080,426510,
Nepal,2021-05-20,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/60a7a03c3bf39_SitRep467_COVID-19_21-05-2021_EN.pdf,2596711,2113080,483631,
Nepal,2021-05-21,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/60a8e7f6dcf3c_SitRep468_COVID-19_22-05-2021_EN.pdf,2627333,2113080,514253,
Nepal,2021-05-22,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/60aa3df82bc07_SitRep469_COVID-19_23-05-2021_EN.pdf,2644648,2113080,531568,
Nepal,2021-05-23,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/60ab8c9e2ca33_SitRep470_COVID-19_24-05-2021_EN.pdf,2666669,2113080,553589,
Nepal,2021-05-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/60ace0ca53adb_SitRep471_COVID-19_25-05-2021_EN.pdf,2706835,2113080,593755,
Nepal,2021-05-25,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf,2727193,2113080,614113,
Nepal,2021-05-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.mohp.gov.np/covid/englishSituationReport/60af75cce3f26_SitRep473_COVID-19_27-05-2021_EN.pdf,2741964,2113080,628884,
