location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Portugal,2021-01-01,"Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,5173,5167,4,0
Portugal,2021-01-08,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,85698,85527,183,0
Portugal,2021-01-15,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,137537,136105,1443,0
Portugal,2021-01-22,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,293664,259343,34232,0
Portugal,2021-01-29,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,382589,302160,80263,0
Portugal,2021-02-05,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,445355,327099,118110,0
Portugal,2021-02-12,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,587122,368797,218151,0
Portugal,2021-02-19,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,742421,473242,268989,0
Portugal,2021-02-26,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,941820,651439,290187,0
Portugal,2021-03-05,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,1117027,792411,324471,0
Portugal,2021-03-12,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,1268603,891338,377197,0
Portugal,2021-03-19,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,1464232,975910,488320,0
Portugal,2021-03-26,"Covaxin, Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,1747506,1236331,511213,0
Portugal,2021-04-02,"Covaxin, Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,1974321,1377015,597442,0
Portugal,2021-04-09,"Covaxin, Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,2288946,1636560,652703,0
