location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
South Africa,2021-02-16,Johnson&Johnson,https://twitter.com/DrZweliMkhize/status/1361979084671250436,0,0,0,
South Africa,2021-02-18,Johnson&Johnson,https://twitter.com/DrZweliMkhize/status/1362510569631346688,2260,2260,2260,
South Africa,2021-02-19,Johnson&Johnson,https://twitter.com/DrZweliMkhize/status/1362851290758397958,6524,6524,6524,
South Africa,2021-02-20,Johnson&Johnson,https://twitter.com/DrZweliMkhize/status/1363219317958008836,10414,10414,10414,
South Africa,2021-02-21,Johnson&Johnson,https://twitter.com/DrZweliMkhize/status/1363584633775001601,15388,15388,15388,
South Africa,2021-02-22,Johnson&Johnson,https://twitter.com/DrZweliMkhize/status/1363951125582516225,23059,23059,23059,
South Africa,2021-02-23,Johnson&Johnson,https://twitter.com/DrZweliMkhize/status/1364313341078945801,32315,32315,32315,
South Africa,2021-02-24,Johnson&Johnson,https://twitter.com/DrZweliMkhize/status/1364670956501934081,41809,41809,41809,
South Africa,2021-02-25,Johnson&Johnson,https://twitter.com/DrZweliMkhize/status/1365047170328633347,52647,52647,52647,
South Africa,2021-02-26,Johnson&Johnson,https://twitter.com/DrZweliMkhize/status/1365388112503930888,63648,63648,63648,
South Africa,2021-02-27,Johnson&Johnson,https://twitter.com/DrZweliMkhize/status/1365747933648404484,67303,67303,67303,
South Africa,2021-02-28,Johnson&Johnson,https://sacoronavirus.co.za/,70527,70527,70527,
South Africa,2021-03-01,Johnson&Johnson,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-1-mar-2021/,73047,73047,73047,
South Africa,2021-03-02,Johnson&Johnson,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-2-mar-2021/,76037,76037,76037,
South Africa,2021-03-03,Johnson&Johnson,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-3-mar-2021/,83570,83570,83570,
South Africa,2021-03-04,Johnson&Johnson,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-4-mar-2021/,92029,92029,92029,
South Africa,2021-03-05,Johnson&Johnson,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-5-mar-2021/,100180,100180,100180,
South Africa,2021-03-06,Johnson&Johnson,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-6-mar-2021/,101573,101573,101573,
South Africa,2021-03-08,Johnson&Johnson,https://sacoronavirus.co.za/,101841,101841,101841,
South Africa,2021-03-09,Johnson&Johnson,https://sacoronavirus.co.za/,107054,107054,107054,
South Africa,2021-03-10,Johnson&Johnson,https://sacoronavirus.co.za/,128887,128887,128887,
South Africa,2021-03-11,Johnson&Johnson,https://sacoronavirus.co.za/,138014,138014,138014,
South Africa,2021-03-12,Johnson&Johnson,https://sacoronavirus.co.za/,145215,145215,145215,
South Africa,2021-03-13,Johnson&Johnson,https://sacoronavirus.co.za/,145544,145544,145544,
South Africa,2021-03-15,Johnson&Johnson,https://sacoronavirus.co.za/,147753,147753,147753,
South Africa,2021-03-16,Johnson&Johnson,https://sacoronavirus.co.za/,157286,157286,157286,
South Africa,2021-03-17,Johnson&Johnson,https://sacoronavirus.co.za/,168413,168413,168413,
South Africa,2021-03-18,Johnson&Johnson,https://sacoronavirus.co.za/,177275,177275,177275,
South Africa,2021-03-19,Johnson&Johnson,https://sacoronavirus.co.za/,182983,182983,182983,
South Africa,2021-03-23,Johnson&Johnson,https://sacoronavirus.co.za/,194257,194257,194257,
South Africa,2021-03-24,Johnson&Johnson,https://sacoronavirus.co.za/,207808,207808,207808,
South Africa,2021-03-25,Johnson&Johnson,https://sacoronavirus.co.za/,220129,220129,220129,
South Africa,2021-03-26,Johnson&Johnson,https://sacoronavirus.co.za/,231002,231002,231002,
South Africa,2021-03-27,Johnson&Johnson,https://sacoronavirus.co.za/,231605,231605,231605,
South Africa,2021-03-29,Johnson&Johnson,https://sacoronavirus.co.za/,239665,239665,239665,
South Africa,2021-03-30,Johnson&Johnson,https://sacoronavirus.co.za/,251707,251707,251707,
South Africa,2021-03-31,Johnson&Johnson,https://sacoronavirus.co.za/,263878,263878,263878,
South Africa,2021-04-01,Johnson&Johnson,https://sacoronavirus.co.za/,269102,269102,269102,
South Africa,2021-04-06,Johnson&Johnson,https://sacoronavirus.co.za/,272438,272438,272438,
South Africa,2021-04-07,Johnson&Johnson,https://sacoronavirus.co.za/,278909,278909,278909,
South Africa,2021-04-08,Johnson&Johnson,https://sacoronavirus.co.za/,283629,283629,283629,
South Africa,2021-04-09,Johnson&Johnson,https://sacoronavirus.co.za/,288368,288368,288368,
South Africa,2021-04-10,Johnson&Johnson,https://sacoronavirus.co.za/,288406,288406,288406,
South Africa,2021-04-12,Johnson&Johnson,https://sacoronavirus.co.za/,289787,289787,289787,
South Africa,2021-04-13,Johnson&Johnson,https://sacoronavirus.co.za/,292623,292623,292623,
South Africa,2021-04-28,Johnson&Johnson,https://sacoronavirus.co.za/,298153,298153,298153,
South Africa,2021-04-29,Johnson&Johnson,https://sacoronavirus.co.za/,307591,307591,307591,
South Africa,2021-04-30,Johnson&Johnson,https://sacoronavirus.co.za/,317656,317656,317656,
South Africa,2021-05-01,Johnson&Johnson,https://sacoronavirus.co.za/,318670,318670,318670,
South Africa,2021-05-03,Johnson&Johnson,https://sacoronavirus.co.za/,329098,329098,329098,
South Africa,2021-05-04,Johnson&Johnson,https://sacoronavirus.co.za/,353181,353181,353181,
South Africa,2021-05-05,Johnson&Johnson,https://sacoronavirus.co.za/,366101,366101,366101,
South Africa,2021-05-07,Johnson&Johnson,https://sacoronavirus.co.za/,381171,381171,381171,
South Africa,2021-05-08,Johnson&Johnson,https://sacoronavirus.co.za/,382480,382480,382480,
South Africa,2021-05-10,Johnson&Johnson,https://sacoronavirus.co.za/,395230,395230,395230,
South Africa,2021-05-11,Johnson&Johnson,https://sacoronavirus.co.za/,414372,414372,414372,
South Africa,2021-05-12,Johnson&Johnson,https://sacoronavirus.co.za/,430730,430730,430730,
South Africa,2021-05-13,Johnson&Johnson,https://sacoronavirus.co.za/,455169,455169,455169,
South Africa,2021-05-14,Johnson&Johnson,https://sacoronavirus.co.za/,474318,474318,474318,
