location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Tanzania,2021-08-08,Johnson&Johnson,https://www.ghanaweb.com/GhanaHomePage/africa/Tanzania-has-vaccinated-over-100-000-as-government-warns-against-fake-jabs-certificates-1327795,105745,105745,105745,
Tanzania,2021-08-16,Johnson&Johnson,https://covid19.who.int/,218621,218621,218621,
Tanzania,2021-08-28,Johnson&Johnson,https://www.facebook.com/wizaraafyatz/posts/4408738362479930,304603,304603,304603,
Tanzania,2021-09-11,Johnson&Johnson,https://newsaf.cgtn.com/news/2021-09-13/Tanzania-sets-up-more-centers-for-COVID-19-vaccination-13vtdJS0A5W/index.html,350000,350000,350000,
Tanzania,2021-10-13,Johnson&Johnson,https://covid19.who.int/,885579,,,
Tanzania,2021-10-29,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,1001610,,965778,
Tanzania,2021-11-22,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,1337045,,983801,
Tanzania,2021-12-06,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,1699523,1592897,1078102,
Tanzania,2021-12-28,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,2431769,2079930,1646261,
Tanzania,2022-01-21,"Johnson&Johnson, Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac","https://www.moh.go.tz/en/announcements?download=732:covid-19-situation-report-no-19-from-15th-to-21st-january,-2022",3226750,2545391,1866830,
Tanzania,2022-02-18,"Johnson&Johnson, Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac","http://www.moh.go.tz/en/announcements?download=754:covid-19-situation-report-no-23-from-12th-to-18th-february,-2022",,,2374800,
Tanzania,2022-02-23,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,4440797,3223953,2493984,
Tanzania,2022-03-11,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,5031070,3595010,2779782,
Tanzania,2022-03-23,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,5031070,3941772,3067877,
Tanzania,2022-04-26,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,6699665,6483895,3467885,
Tanzania,2022-05-01,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,7280582,6483895,3467885,
Tanzania,2022-05-22,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,7967468,6483895,3915900,
Tanzania,2022-06-19,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,8837371,7588592,4079863,0
Tanzania,2022-07-03,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,12067632,8871313,7499156,
Tanzania,2022-07-17,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,15257697,11910572,10518478,
Tanzania,2022-07-24,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,16871609,13445924,12036710,
Tanzania,2022-08-07,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,19927742,16315065,14775183,7171363
Tanzania,2022-08-21,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,22082377,18224255,16465360,
Tanzania,2022-08-28,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,23250648,19222429,17347743,
Tanzania,2022-09-04,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,23907698,19764470,17884028,
Tanzania,2022-09-11,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,24435483,20208071,18321897,
Tanzania,2022-09-18,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,25039939,20715016,18841873,
Tanzania,2022-09-25,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,26202010,21798918,19944580,
Tanzania,2022-10-09,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,28091873,23687636,21723603,
Tanzania,2022-10-23,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,29218390,24567380,22659956,
Tanzania,2022-10-30,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,31047338,26392125,24524930,
Tanzania,2022-11-06,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,32893229,28204265,25798225,
Tanzania,2022-11-27,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,32893229,28848632,27459447,
Tanzania,2022-12-11,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,35994687,31191545,29270881,
Tanzania,2023-02-19,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,38911619,33903098,31753232,
Tanzania,2023-03-05,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,38911619,33954133,32093549,
