Country,Year,num_sequences,variant_dominant,num_sequences_per_1M,num_sequences_cumulative,num_sequences_cumulative_per_1M
Algeria,111,1,0,0.02,1,0.02
Algeria,125,1,0,0.02,2,0.04
Algeria,153,10,0,0.22,12,0.26
Algeria,167,3,0,0.07,15,0.33
Algeria,181,1,0,0.02,16,0.35
Algeria,251,3,0,0.07,19,0.42
Algeria,265,3,0,0.07,22,0.49
Algeria,321,4,0,0.09,26,0.58
Algeria,349,5,0,0.11,31,0.69
Algeria,370,1,0,0.02,32,0.71
Algeria,384,2,0,0.04,34,0.75
Algeria,398,1,0,0.02,35,0.77
Algeria,412,1,0,0.02,36,0.79
Algeria,426,2,0,0.04,38,0.83
Algeria,440,1,0,0.02,39,0.85
Algeria,454,3,0,0.07,42,0.92
Algeria,468,5,0,0.11,47,1.03
Algeria,482,9,0,0.2,56,1.23
Algeria,496,7,0,0.16,63,1.39
Algeria,510,10,0,0.22,73,1.61
Algeria,524,12,0,0.27,85,1.88
Algeria,538,4,0,0.09,89,1.97
Algeria,552,5,0,0.11,94,2.08
Algeria,566,6,0,0.13,100,2.21
Algeria,580,1,0,0.02,101,2.23
Algeria,594,2,0,0.04,103,2.27
Algeria,608,11,0,0.25,114,2.52
Algeria,678,3,0,0.07,117,2.59
Algeria,692,3,0,0.07,120,2.66
Algeria,706,11,0,0.25,131,2.91
Algeria,720,12,0,0.27,143,3.18
Algeria,734,11,0,0.25,154,3.43
Algeria,748,24,0,0.54,178,3.97
Algeria,762,12,0,0.27,190,4.24
Algeria,776,28,0,0.63,218,4.87
Algeria,790,8,0,0.18,226,5.05
Algeria,804,3,0,0.07,229,5.12
Algeria,818,1,0,0.02,230,5.14
Algeria,832,3,0,0.07,233,5.21
Algeria,846,2,0,0.04,235,5.25
Algeria,860,2,0,0.04,237,5.29
Algeria,874,7,0,0.16,244,5.45
Algeria,888,1,0,0.02,245,5.47
Andorra,510,2,0,25.86,2,25.86
Andorra,524,3,0,38.78,5,64.64
Andorra,538,7,0,90.49,12,155.13
Andorra,552,9,0,116.35,21,271.48
Andorra,566,1,0,12.93,22,284.41
Andorra,580,1,0,12.93,23,297.34
Andorra,594,3,0,38.78,26,336.12
Andorra,608,1,0,12.93,27,349.05
Andorra,622,3,0,38.78,30,387.83
Andorra,636,3,0,38.78,33,426.61
Andorra,650,1,0,12.93,34,439.54
Andorra,678,1,0,12.93,35,452.47
Andorra,692,12,0,155.13,47,607.6
Andorra,706,13,0,168.06,60,775.66
Andorra,720,24,0,310.26,84,1085.92
Andorra,734,18,0,232.7,102,1318.62
Andorra,748,11,0,142.2,113,1460.82
Andorra,762,8,0,103.42,121,1564.24
Andorra,776,5,0,64.64,126,1628.88
Andorra,790,5,0,64.64,131,1693.52
Andorra,804,9,0,116.35,140,1809.87
Andorra,818,5,0,64.64,145,1874.51
Andorra,832,6,0,77.57,151,1952.08
Angola,167,3,0,0.09,3,0.09
Angola,251,4,0,0.12,7,0.21
Angola,265,6,0,0.18,13,0.39
Angola,279,4,0,0.12,17,0.51
Angola,321,5,0,0.15,22,0.66
Angola,335,55,Beta,1.62,77,2.28
Angola,349,18,0,0.53,95,2.81
Angola,370,45,Others,1.33,140,4.14
Angola,384,33,Others,0.97,173,5.11
Angola,398,29,0,0.85,202,5.96
Angola,412,64,Beta,1.89,266,7.85
Angola,426,58,Beta,1.71,324,9.56
Angola,440,88,Beta,2.59,412,12.15
Angola,454,45,Beta,1.33,457,13.48
Angola,468,26,0,0.77,483,14.25
Angola,482,4,0,0.12,487,14.37
Angola,496,5,0,0.15,492,14.52
Angola,510,20,0,0.59,512,15.11
Angola,524,50,Alpha,1.47,562,16.58
Angola,538,43,Delta,1.27,605,17.85
Angola,552,8,0,0.24,613,18.09
Angola,566,4,0,0.12,617,18.21
Angola,580,1,0,0.03,618,18.24
Angola,594,19,0,0.56,637,18.8
Angola,608,66,Delta,1.94,703,20.74
Angola,622,83,Delta,2.45,786,23.19
Angola,636,10,0,0.29,796,23.48
Angola,650,11,0,0.32,807,23.8
Angola,664,1,0,0.03,808,23.83
Angola,678,1,0,0.03,809,23.86
Angola,706,53,Omicron,1.56,862,25.42
Angola,720,27,0,0.8,889,26.22
Angola,734,9,0,0.27,898,26.49
Argentina,111,146,Others,3.2,146,3.2
Argentina,125,165,Others,3.62,311,6.82
Argentina,139,67,Others,1.47,378,8.29
Argentina,153,78,Others,1.71,456,10.0
Argentina,167,59,Others,1.29,515,11.29
Argentina,181,110,Others,2.41,625,13.7
Argentina,195,99,Others,2.17,724,15.87
Argentina,209,110,Others,2.41,834,18.28
Argentina,223,135,Others,2.96,969,21.24
Argentina,237,49,Others,1.07,1018,22.31
Argentina,251,53,Others,1.16,1071,23.47
Argentina,265,38,Others,0.83,1109,24.3
Argentina,279,95,Others,2.08,1204,26.38
Argentina,293,55,Others,1.21,1259,27.59
Argentina,307,60,Others,1.32,1319,28.91
Argentina,321,48,Others,1.05,1367,29.96
Argentina,335,72,Others,1.58,1439,31.54
Argentina,349,81,Others,1.78,1520,33.32
Argentina,370,69,Others,1.51,1589,34.83
Argentina,384,65,Others,1.43,1654,36.26
Argentina,398,55,Others,1.21,1709,37.47
Argentina,412,55,Others,1.21,1764,38.68
Argentina,426,162,Others,3.55,1926,42.23
Argentina,440,178,Others,3.9,2104,46.13
Argentina,454,302,Others,6.62,2406,52.75
Argentina,468,310,Gamma,6.8,2716,59.55
Argentina,482,344,Gamma,7.54,3060,67.09
Argentina,496,325,Gamma,7.13,3385,74.22
Argentina,510,413,Gamma,9.06,3798,83.28
Argentina,524,397,Gamma,8.71,4195,91.99
Argentina,538,365,Gamma,8.0,4560,99.99
Argentina,552,347,Gamma,7.61,4907,107.6
Argentina,566,489,Gamma,10.72,5396,118.32
Argentina,580,439,Gamma,9.63,5835,127.95
