date,indicator,value,entity
2020-04-01,Daily hospital occupancy,643,Canada
2020-04-02,Daily hospital occupancy,571,Canada
2020-04-03,Daily hospital occupancy,596,Canada
2020-04-04,Daily hospital occupancy,668,Canada
2020-04-05,Daily hospital occupancy,697,Canada
2020-04-06,Daily hospital occupancy,1271,Canada
2020-04-07,Daily hospital occupancy,1354,Canada
2020-04-08,Daily hospital occupancy,1444,Canada
2020-04-09,Daily hospital occupancy,1654,Canada
2020-04-10,Daily hospital occupancy,1716,Canada
2020-04-11,Daily hospital occupancy,1775,Canada
2020-04-12,Daily hospital occupancy,1832,Canada
2020-04-13,Daily hospital occupancy,1911,Canada
2020-04-14,Daily hospital occupancy,1955,Canada
2020-04-15,Daily hospital occupancy,2039,Canada
2020-04-16,Daily hospital occupancy,2074,Canada
2020-04-17,Daily hospital occupancy,2139,Canada
2020-04-18,Daily hospital occupancy,2150,Canada
2020-04-19,Daily hospital occupancy,2271,Canada
2020-04-20,Daily hospital occupancy,2343,Canada
2020-04-21,Daily hospital occupancy,2406,Canada
2020-04-22,Daily hospital occupancy,2560,Canada
2020-04-23,Daily hospital occupancy,2632,Canada
2020-04-24,Daily hospital occupancy,2689,Canada
2020-04-25,Daily hospital occupancy,2708,Canada
2020-04-26,Daily hospital occupancy,2745,Canada
2020-04-27,Daily hospital occupancy,2855,Canada
2020-04-28,Daily hospital occupancy,2899,Canada
2020-04-29,Daily hospital occupancy,2954,Canada
2020-04-30,Daily hospital occupancy,2943,Canada
2020-05-01,Daily hospital occupancy,2978,Canada
2020-05-02,Daily hospital occupancy,2991,Canada
2020-05-03,Daily hospital occupancy,3064,Canada
2020-05-04,Daily hospital occupancy,3101,Canada
2020-05-05,Daily hospital occupancy,3120,Canada
2020-05-06,Daily hospital occupancy,3103,Canada
2020-05-07,Daily hospital occupancy,3087,Canada
2020-05-08,Daily hospital occupancy,3039,Canada
2020-05-09,Daily hospital occupancy,3089,Canada
2020-05-10,Daily hospital occupancy,3041,Canada
2020-05-11,Daily hospital occupancy,3084,Canada
2020-05-12,Daily hospital occupancy,3121,Canada
2020-05-13,Daily hospital occupancy,3036,Canada
2020-05-14,Daily hospital occupancy,3064,Canada
2020-05-15,Daily hospital occupancy,3011,Canada
2020-05-16,Daily hospital occupancy,3002,Canada
2020-05-17,Daily hospital occupancy,2950,Canada
2020-05-18,Daily hospital occupancy,3028,Canada
2020-05-19,Daily hospital occupancy,2776,Canada
2020-05-20,Daily hospital occupancy,2709,Canada
2020-05-21,Daily hospital occupancy,2634,Canada
2020-05-22,Daily hospital occupancy,2567,Canada
2020-05-23,Daily hospital occupancy,2525,Canada
2020-05-24,Daily hospital occupancy,2483,Canada
2020-05-25,Daily hospital occupancy,2524,Canada
2020-05-26,Daily hospital occupancy,2473,Canada
2020-05-27,Daily hospital occupancy,2421,Canada
2020-05-28,Daily hospital occupancy,2323,Canada
2020-05-29,Daily hospital occupancy,2253,Canada
2020-05-30,Daily hospital occupancy,2239,Canada
2020-05-31,Daily hospital occupancy,2214,Canada
2020-06-01,Daily hospital occupancy,2217,Canada
2020-06-02,Daily hospital occupancy,2171,Canada
2020-06-03,Daily hospital occupancy,2088,Canada
2020-06-04,Daily hospital occupancy,1939,Canada
2020-06-05,Daily hospital occupancy,1845,Canada
2020-06-06,Daily hospital occupancy,1803,Canada
2020-06-07,Daily hospital occupancy,1807,Canada
2020-06-08,Daily hospital occupancy,1771,Canada
2020-06-09,Daily hospital occupancy,1672,Canada
2020-06-10,Daily hospital occupancy,1612,Canada
2020-06-11,Daily hospital occupancy,1550,Canada
2020-06-12,Daily hospital occupancy,1447,Canada
2020-06-13,Daily hospital occupancy,1387,Canada
2020-06-14,Daily hospital occupancy,1372,Canada
2020-06-15,Daily hospital occupancy,1313,Canada
2020-06-16,Daily hospital occupancy,1228,Canada
2020-06-17,Daily hospital occupancy,1149,Canada
2020-06-18,Daily hospital occupancy,1069,Canada
2020-06-19,Daily hospital occupancy,981,Canada
2020-06-20,Daily hospital occupancy,955,Canada
2020-06-21,Daily hospital occupancy,952,Canada
2020-06-22,Daily hospital occupancy,941,Canada
2020-06-23,Daily hospital occupancy,923,Canada
2020-06-24,Daily hospital occupancy,885,Canada
2020-06-25,Daily hospital occupancy,871,Canada
2020-06-26,Daily hospital occupancy,828,Canada
2020-06-27,Daily hospital occupancy,813,Canada
2020-06-28,Daily hospital occupancy,793,Canada
2020-06-29,Daily hospital occupancy,783,Canada
2020-06-30,Daily hospital occupancy,713,Canada
2020-07-01,Daily hospital occupancy,690,Canada
2020-07-02,Daily hospital occupancy,678,Canada
2020-07-03,Daily hospital occupancy,657,Canada
2020-07-04,Daily hospital occupancy,628,Canada
2020-07-05,Daily hospital occupancy,628,Canada
2020-07-06,Daily hospital occupancy,601,Canada
2020-07-07,Daily hospital occupancy,581,Canada
2020-07-08,Daily hospital occupancy,544,Canada
2020-07-09,Daily hospital occupancy,564,Canada
2020-07-10,Daily hospital occupancy,536,Canada
2020-07-11,Daily hospital occupancy,529,Canada
2020-07-12,Daily hospital occupancy,536,Canada
2020-07-13,Daily hospital occupancy,523,Canada
2020-07-14,Daily hospital occupancy,511,Canada
2020-07-15,Daily hospital occupancy,507,Canada
2020-07-16,Daily hospital occupancy,496,Canada
2020-07-17,Daily hospital occupancy,492,Canada
2020-07-18,Daily hospital occupancy,481,Canada
2020-07-19,Daily hospital occupancy,486,Canada
2020-07-20,Daily hospital occupancy,527,Canada
2020-07-21,Daily hospital occupancy,546,Canada
2020-07-22,Daily hospital occupancy,524,Canada
2020-07-23,Daily hospital occupancy,465,Canada
2020-07-24,Daily hospital occupancy,442,Canada
2020-07-25,Daily hospital occupancy,403,Canada
2020-07-26,Daily hospital occupancy,415,Canada
2020-07-27,Daily hospital occupancy,423,Canada
2020-07-28,Daily hospital occupancy,403,Canada
2020-07-29,Daily hospital occupancy,415,Canada
2020-07-30,Daily hospital occupancy,382,Canada
2020-07-31,Daily hospital occupancy,353,Canada
2020-08-01,Daily hospital occupancy,339,Canada
2020-08-02,Daily hospital occupancy,338,Canada
2020-08-03,Daily hospital occupancy,322,Canada
2020-08-04,Daily hospital occupancy,347,Canada
2020-08-05,Daily hospital occupancy,330,Canada
2020-08-06,Daily hospital occupancy,299,Canada
2020-08-07,Daily hospital occupancy,304,Canada
2020-08-08,Daily hospital occupancy,275,Canada
2020-08-09,Daily hospital occupancy,280,Canada
2020-08-10,Daily hospital occupancy,281,Canada
2020-08-11,Daily hospital occupancy,270,Canada
2020-08-12,Daily hospital occupancy,267,Canada
2020-08-13,Daily hospital occupancy,299,Canada
2020-08-14,Daily hospital occupancy,267,Canada
2020-08-15,Daily hospital occupancy,245,Canada
2020-08-16,Daily hospital occupancy,245,Canada
2020-08-17,Daily hospital occupancy,259,Canada
2020-08-18,Daily hospital occupancy,256,Canada
2020-08-19,Daily hospital occupancy,255,Canada
2020-08-20,Daily hospital occupancy,240,Canada
2020-08-21,Daily hospital occupancy,240,Canada
2020-08-22,Daily hospital occupancy,217,Canada
2020-08-23,Daily hospital occupancy,213,Canada
2020-08-24,Daily hospital occupancy,238,Canada
2020-08-25,Daily hospital occupancy,242,Canada
2020-08-26,Daily hospital occupancy,261,Canada
2020-08-27,Daily hospital occupancy,231,Canada
2020-08-28,Daily hospital occupancy,228,Canada
2020-08-29,Daily hospital occupancy,222,Canada
2020-08-30,Daily hospital occupancy,239,Canada
2020-08-31,Daily hospital occupancy,268,Canada
2020-09-01,Daily hospital occupancy,258,Canada
2020-09-02,Daily hospital occupancy,253,Canada
2020-09-03,Daily hospital occupancy,263,Canada
2020-09-04,Daily hospital occupancy,248,Canada
2020-09-05,Daily hospital occupancy,223,Canada
2020-09-06,Daily hospital occupancy,224,Canada
2020-09-07,Daily hospital occupancy,223,Canada
2020-09-08,Daily hospital occupancy,262,Canada
2020-09-09,Daily hospital occupancy,269,Canada
2020-09-10,Daily hospital occupancy,270,Canada
2020-09-11,Daily hospital occupancy,277,Canada
