entity,indicator,date,value
Cyprus,Daily hospital occupancy,2020-03-09,0.0
Cyprus,Daily hospital occupancy,2020-03-10,0.0
Cyprus,Daily hospital occupancy,2020-03-11,0.0
Cyprus,Daily hospital occupancy,2020-03-12,0.0
Cyprus,Daily hospital occupancy,2020-03-19,0.0
Cyprus,Daily hospital occupancy,2020-03-26,21.0
Cyprus,Daily hospital occupancy,2020-04-02,51.0
Cyprus,Daily hospital occupancy,2020-04-09,51.0
Cyprus,Daily hospital occupancy,2020-04-16,36.0
Cyprus,Daily hospital occupancy,2020-04-23,31.0
Cyprus,Daily hospital occupancy,2020-04-30,25.0
Cyprus,Daily hospital occupancy,2020-05-07,19.0
Cyprus,Daily hospital occupancy,2020-05-14,10.0
Cyprus,Daily hospital occupancy,2020-05-21,8.0
Cyprus,Daily hospital occupancy,2020-05-28,7.0
Cyprus,Daily hospital occupancy,2020-06-04,7.0
Cyprus,Daily hospital occupancy,2020-06-11,4.0
Cyprus,Daily hospital occupancy,2020-06-18,2.0
Cyprus,Daily hospital occupancy,2020-06-25,0.0
Cyprus,Daily hospital occupancy,2020-07-02,1.0
Cyprus,Daily hospital occupancy,2020-07-09,0.0
Cyprus,Daily hospital occupancy,2020-07-16,0.0
Cyprus,Daily hospital occupancy,2020-07-23,0.0
Cyprus,Daily hospital occupancy,2020-07-30,6.0
Cyprus,Daily hospital occupancy,2020-08-06,4.0
Cyprus,Daily hospital occupancy,2020-08-13,3.0
Cyprus,Daily hospital occupancy,2020-08-20,2.0
Cyprus,Daily hospital occupancy,2020-08-27,5.0
Cyprus,Daily hospital occupancy,2020-09-03,6.0
Cyprus,Daily hospital occupancy,2020-09-10,4.0
Cyprus,Daily hospital occupancy,2020-09-17,7.0
Cyprus,Daily hospital occupancy,2020-09-24,12.0
Cyprus,Daily hospital occupancy,2020-10-01,12.0
Cyprus,Daily hospital occupancy,2020-10-08,8.0
Cyprus,Daily hospital occupancy,2020-10-15,9.0
Cyprus,Daily hospital occupancy,2020-10-22,26.0
Cyprus,Daily hospital occupancy,2020-10-29,38.0
Cyprus,Daily hospital occupancy,2020-11-05,65.0
Cyprus,Daily hospital occupancy,2020-11-12,68.0
Cyprus,Daily hospital occupancy,2020-11-19,81.0
Cyprus,Daily hospital occupancy,2020-11-26,109.0
Cyprus,Daily hospital occupancy,2020-12-03,124.0
Cyprus,Daily hospital occupancy,2020-12-10,106.0
Cyprus,Daily hospital occupancy,2020-12-17,115.0
Cyprus,Daily hospital occupancy,2020-12-24,142.0
Cyprus,Daily hospital occupancy,2020-12-31,160.0
Cyprus,Daily hospital occupancy,2021-01-07,196.0
Cyprus,Daily hospital occupancy,2021-01-14,202.0
Cyprus,Daily hospital occupancy,2021-01-21,184.0
Cyprus,Daily hospital occupancy,2021-01-28,153.0
Cyprus,Daily hospital occupancy,2021-02-04,112.0
Cyprus,Daily hospital occupancy,2021-02-11,94.0
Cyprus,Daily hospital occupancy,2021-02-18,81.0
Cyprus,Daily hospital occupancy,2021-02-25,82.0
Cyprus,Daily hospital occupancy,2021-03-04,101.0
Cyprus,Daily hospital occupancy,2021-03-11,185.0
Cyprus,Daily hospital occupancy,2021-03-18,212.0
Cyprus,Daily hospital occupancy,2021-03-25,196.0
Cyprus,Daily hospital occupancy,2021-04-01,190.0
Cyprus,Daily hospital occupancy,2021-04-08,207.0
Cyprus,Daily hospital occupancy,2021-04-15,251.0
Cyprus,Daily hospital occupancy,2021-04-22,296.0
Cyprus,Daily hospital occupancy,2021-04-29,279.0
Cyprus,Daily hospital occupancy,2021-05-06,247.0
Cyprus,Daily hospital occupancy,2021-05-13,167.0
Cyprus,Daily hospital occupancy,2021-05-20,134.0
Cyprus,Daily hospital occupancy,2021-05-27,82.0
Cyprus,Daily hospital occupancy,2021-06-03,58.0
Cyprus,Daily hospital occupancy,2021-06-10,47.0
Cyprus,Daily hospital occupancy,2021-06-17,41.0
Cyprus,Daily hospital occupancy,2021-06-24,47.0
Cyprus,Daily hospital occupancy,2021-07-01,59.0
Cyprus,Daily hospital occupancy,2021-07-08,107.0
Cyprus,Daily hospital occupancy,2021-07-15,181.0
Cyprus,Daily hospital occupancy,2021-07-22,264.0
Cyprus,Daily hospital occupancy,2021-07-29,283.0
Cyprus,Daily hospital occupancy,2021-08-05,293.0
Cyprus,Daily hospital occupancy,2021-08-12,276.0
Cyprus,Daily hospital occupancy,2021-08-19,208.0
Cyprus,Daily hospital occupancy,2021-08-26,178.0
Cyprus,Daily hospital occupancy,2021-09-02,134.0
Cyprus,Daily hospital occupancy,2021-09-09,119.0
Cyprus,Daily hospital occupancy,2021-09-16,97.0
Cyprus,Daily hospital occupancy,2021-09-23,80.0
Cyprus,Daily hospital occupancy,2021-09-30,79.0
Cyprus,Daily hospital occupancy,2021-10-07,60.0
Cyprus,Daily hospital occupancy,2021-10-14,60.0
Cyprus,Daily hospital occupancy,2021-10-21,58.0
Cyprus,Daily hospital occupancy,2021-10-28,59.0
Cyprus,Daily hospital occupancy,2021-11-04,73.0
Cyprus,Daily hospital occupancy,2021-11-11,80.0
Cyprus,Daily hospital occupancy,2021-11-18,86.0
Cyprus,Daily hospital occupancy,2021-11-25,110.0
Cyprus,Daily hospital occupancy,2021-12-02,112.0
Cyprus,Daily hospital occupancy,2021-12-09,139.0
Cyprus,Daily hospital occupancy,2021-12-16,165.0
Cyprus,Daily hospital occupancy,2021-12-23,162.0
Cyprus,Daily hospital occupancy,2021-12-30,178.0
Cyprus,Daily hospital occupancy,2022-01-06,235.0
Cyprus,Daily hospital occupancy,2022-01-13,259.0
Cyprus,Daily hospital occupancy,2022-01-20,244.0
Cyprus,Daily hospital occupancy,2022-01-27,226.0
Cyprus,Daily hospital occupancy,2022-02-03,222.0
Cyprus,Daily hospital occupancy,2022-02-10,198.0
Cyprus,Daily hospital occupancy,2022-02-17,168.0
Cyprus,Daily hospital occupancy,2022-02-24,167.0
Cyprus,Daily hospital occupancy,2022-03-03,144.0
Cyprus,Daily hospital occupancy,2022-03-10,113.0
Cyprus,Daily hospital occupancy,2022-03-17,113.0
Cyprus,Daily hospital occupancy,2022-03-24,151.0
Cyprus,Daily hospital occupancy,2022-03-31,195.0
Cyprus,Daily hospital occupancy,2022-04-07,208.0
Cyprus,Daily hospital occupancy,2022-04-14,157.0
Cyprus,Daily hospital occupancy,2022-04-21,108.0
Cyprus,Daily hospital occupancy,2022-04-28,89.0
Cyprus,Daily hospital occupancy,2022-05-05,60.0
Cyprus,Daily ICU occupancy,2020-03-09,0.0
Cyprus,Daily ICU occupancy,2020-03-10,0.0
Cyprus,Daily ICU occupancy,2020-03-11,0.0
Cyprus,Daily ICU occupancy,2020-03-12,0.0
Cyprus,Daily ICU occupancy,2020-03-19,0.0
Cyprus,Daily ICU occupancy,2020-03-26,6.0
Cyprus,Daily ICU occupancy,2020-04-02,9.0
Cyprus,Daily ICU occupancy,2020-04-09,12.0
Cyprus,Daily ICU occupancy,2020-04-16,12.0
Cyprus,Daily ICU occupancy,2020-04-23,10.0
Cyprus,Daily ICU occupancy,2020-04-30,6.0
Cyprus,Daily ICU occupancy,2020-05-07,5.0
Cyprus,Daily ICU occupancy,2020-05-14,3.0
Cyprus,Daily ICU occupancy,2020-05-21,4.0
Cyprus,Daily ICU occupancy,2020-05-28,3.0
Cyprus,Daily ICU occupancy,2020-06-04,3.0
Cyprus,Daily ICU occupancy,2020-06-11,2.0
Cyprus,Daily ICU occupancy,2020-06-18,1.0
Cyprus,Daily ICU occupancy,2020-06-25,0.0
Cyprus,Daily ICU occupancy,2020-07-02,0.0
Cyprus,Daily ICU occupancy,2020-07-09,0.0
Cyprus,Daily ICU occupancy,2020-07-16,0.0
Cyprus,Daily ICU occupancy,2020-07-23,0.0
Cyprus,Daily ICU occupancy,2020-07-30,0.0
Cyprus,Daily ICU occupancy,2020-08-06,0.0
Cyprus,Daily ICU occupancy,2020-08-13,0.0
Cyprus,Daily ICU occupancy,2020-08-20,1.0
Cyprus,Daily ICU occupancy,2020-08-27,1.0
Cyprus,Daily ICU occupancy,2020-09-03,2.0
Cyprus,Daily ICU occupancy,2020-09-10,1.0
Cyprus,Daily ICU occupancy,2020-09-17,1.0
Cyprus,Daily ICU occupancy,2020-09-24,0.0
Cyprus,Daily ICU occupancy,2020-10-01,1.0
Cyprus,Daily ICU occupancy,2020-10-08,2.0
Cyprus,Daily ICU occupancy,2020-10-15,2.0
Cyprus,Daily ICU occupancy,2020-10-22,2.0
Cyprus,Daily ICU occupancy,2020-10-29,4.0
Cyprus,Daily ICU occupancy,2020-11-05,5.0
Cyprus,Daily ICU occupancy,2020-11-12,7.0
Cyprus,Daily ICU occupancy,2020-11-19,10.0
Cyprus,Daily ICU occupancy,2020-11-26,17.0
Cyprus,Daily ICU occupancy,2020-12-03,14.0
Cyprus,Daily ICU occupancy,2020-12-10,13.0
Cyprus,Daily ICU occupancy,2020-12-17,14.0
Cyprus,Daily ICU occupancy,2020-12-24,17.0
Cyprus,Daily ICU occupancy,2020-12-31,27.0
Cyprus,Daily ICU occupancy,2021-01-07,32.0
Cyprus,Daily ICU occupancy,2021-01-14,37.0
Cyprus,Daily ICU occupancy,2021-01-21,37.0
Cyprus,Daily ICU occupancy,2021-01-28,35.0
Cyprus,Daily ICU occupancy,2021-02-04,22.0
Cyprus,Daily ICU occupancy,2021-02-11,24.0
Cyprus,Daily ICU occupancy,2021-02-18,16.0
Cyprus,Daily ICU occupancy,2021-02-25,13.0
Cyprus,Daily ICU occupancy,2021-03-04,13.0
Cyprus,Daily ICU occupancy,2021-03-11,20.0
Cyprus,Daily ICU occupancy,2021-03-18,23.0
Cyprus,Daily ICU occupancy,2021-03-25,29.0
Cyprus,Daily ICU occupancy,2021-04-01,27.0
Cyprus,Daily ICU occupancy,2021-04-08,31.0
Cyprus,Daily ICU occupancy,2021-04-15,39.0
Cyprus,Daily ICU occupancy,2021-04-22,38.0
Cyprus,Daily ICU occupancy,2021-04-29,39.0
Cyprus,Daily ICU occupancy,2021-05-06,33.0
Cyprus,Daily ICU occupancy,2021-05-13,34.0
Cyprus,Daily ICU occupancy,2021-05-20,31.0
Cyprus,Daily ICU occupancy,2021-05-27,24.0
Cyprus,Daily ICU occupancy,2021-06-03,15.0
Cyprus,Daily ICU occupancy,2021-06-10,11.0
Cyprus,Daily ICU occupancy,2021-06-17,9.0
Cyprus,Daily ICU occupancy,2021-06-24,11.0
Cyprus,Daily ICU occupancy,2021-07-01,9.0
Cyprus,Daily ICU occupancy,2021-07-08,11.0
Cyprus,Daily ICU occupancy,2021-07-15,19.0
Cyprus,Daily ICU occupancy,2021-07-22,29.0
Cyprus,Daily ICU occupancy,2021-07-29,41.0
Cyprus,Daily ICU occupancy,2021-08-05,50.0
Cyprus,Daily ICU occupancy,2021-08-12,55.0
Cyprus,Daily ICU occupancy,2021-08-19,50.0
Cyprus,Daily ICU occupancy,2021-08-26,38.0
Cyprus,Daily ICU occupancy,2021-09-02,23.0
Cyprus,Daily ICU occupancy,2021-09-09,18.0
Cyprus,Daily ICU occupancy,2021-09-16,18.0
Cyprus,Daily ICU occupancy,2021-09-23,16.0
Cyprus,Daily ICU occupancy,2021-09-30,17.0
Cyprus,Daily ICU occupancy,2021-10-07,13.0
Cyprus,Daily ICU occupancy,2021-10-14,10.0
Cyprus,Daily ICU occupancy,2021-10-21,11.0
Cyprus,Daily ICU occupancy,2021-10-28,10.0
Cyprus,Daily ICU occupancy,2021-11-04,9.0
Cyprus,Daily ICU occupancy,2021-11-11,12.0
Cyprus,Daily ICU occupancy,2021-11-18,16.0
Cyprus,Daily ICU occupancy,2021-11-25,19.0
Cyprus,Daily ICU occupancy,2021-12-02,21.0
Cyprus,Daily ICU occupancy,2021-12-09,19.0
Cyprus,Daily ICU occupancy,2021-12-16,22.0
Cyprus,Daily ICU occupancy,2021-12-23,29.0
Cyprus,Daily ICU occupancy,2021-12-30,39.0
Cyprus,Daily ICU occupancy,2022-01-06,31.0
Cyprus,Daily ICU occupancy,2022-01-13,33.0
Cyprus,Daily ICU occupancy,2022-01-20,37.0
Cyprus,Daily ICU occupancy,2022-01-27,38.0
Cyprus,Daily ICU occupancy,2022-02-03,35.0
Cyprus,Daily ICU occupancy,2022-02-10,18.0
Cyprus,Daily ICU occupancy,2022-02-17,12.0
Cyprus,Daily ICU occupancy,2022-02-24,16.0
Cyprus,Daily ICU occupancy,2022-03-03,15.0
Cyprus,Daily ICU occupancy,2022-03-10,8.0
Cyprus,Daily ICU occupancy,2022-03-17,8.0
Cyprus,Daily ICU occupancy,2022-03-24,7.0
Cyprus,Daily ICU occupancy,2022-03-31,7.0
Cyprus,Daily ICU occupancy,2022-04-07,7.0
Cyprus,Daily ICU occupancy,2022-04-14,9.0
Cyprus,Daily ICU occupancy,2022-04-21,10.0
Cyprus,Daily ICU occupancy,2022-04-28,10.0
Cyprus,Daily ICU occupancy,2022-05-05,7.0
Cyprus,Weekly new hospital admissions,2020-04-26,5.999986607247487
Cyprus,Weekly new ICU admissions,2020-04-26,1.9999955357491592
Cyprus,Weekly new hospital admissions,2020-05-03,5.999986607247487
Cyprus,Weekly new ICU admissions,2020-05-03,0.9999977678745796
Cyprus,Weekly new hospital admissions,2020-05-10,5.999986607247487
