date,indicator,value,entity
2020-04-02,Daily hospital occupancy,527.0,Denmark
2020-04-03,Daily hospital occupancy,511.0,Denmark
2020-04-04,Daily hospital occupancy,498.0,Denmark
2020-04-05,Daily hospital occupancy,490.0,Denmark
2020-04-06,Daily hospital occupancy,488.0,Denmark
2020-04-07,Daily hospital occupancy,466.0,Denmark
2020-04-08,Daily hospital occupancy,446.0,Denmark
2020-04-09,Daily hospital occupancy,427.0,Denmark
2020-04-10,Daily hospital occupancy,398.0,Denmark
2020-04-11,Daily hospital occupancy,402.0,Denmark
2020-04-12,Daily hospital occupancy,391.0,Denmark
2020-04-13,Daily hospital occupancy,381.0,Denmark
2020-04-14,Daily hospital occupancy,374.0,Denmark
2020-04-15,Daily hospital occupancy,355.0,Denmark
2020-04-16,Daily hospital occupancy,341.0,Denmark
2020-04-17,Daily hospital occupancy,337.0,Denmark
2020-04-18,Daily hospital occupancy,304.0,Denmark
2020-04-19,Daily hospital occupancy,303.0,Denmark
2020-04-20,Daily hospital occupancy,321.0,Denmark
2020-04-21,Daily hospital occupancy,315.0,Denmark
2020-04-22,Daily hospital occupancy,309.0,Denmark
2020-04-23,Daily hospital occupancy,303.0,Denmark
2020-04-24,Daily hospital occupancy,303.0,Denmark
2020-04-25,Daily hospital occupancy,276.0,Denmark
2020-04-26,Daily hospital occupancy,273.0,Denmark
2020-04-27,Daily hospital occupancy,293.0,Denmark
2020-04-28,Daily hospital occupancy,271.0,Denmark
2020-04-29,Daily hospital occupancy,254.0,Denmark
2020-04-30,Daily hospital occupancy,236.0,Denmark
2020-05-01,Daily hospital occupancy,229.0,Denmark
2020-05-02,Daily hospital occupancy,214.0,Denmark
2020-05-03,Daily hospital occupancy,225.0,Denmark
2020-05-04,Daily hospital occupancy,228.0,Denmark
2020-05-05,Daily hospital occupancy,209.0,Denmark
2020-05-06,Daily hospital occupancy,190.0,Denmark
2020-05-07,Daily hospital occupancy,178.0,Denmark
2020-05-08,Daily hospital occupancy,183.0,Denmark
2020-05-09,Daily hospital occupancy,169.0,Denmark
2020-05-10,Daily hospital occupancy,174.0,Denmark
2020-05-11,Daily hospital occupancy,173.0,Denmark
2020-05-12,Daily hospital occupancy,151.0,Denmark
2020-05-13,Daily hospital occupancy,138.0,Denmark
2020-05-14,Daily hospital occupancy,128.0,Denmark
2020-05-15,Daily hospital occupancy,120.0,Denmark
2020-05-16,Daily hospital occupancy,115.0,Denmark
2020-05-17,Daily hospital occupancy,113.0,Denmark
2020-05-18,Daily hospital occupancy,118.0,Denmark
2020-05-19,Daily hospital occupancy,115.0,Denmark
2020-05-20,Daily hospital occupancy,103.0,Denmark
2020-05-21,Daily hospital occupancy,100.0,Denmark
2020-05-22,Daily hospital occupancy,100.0,Denmark
2020-05-23,Daily hospital occupancy,102.0,Denmark
2020-05-24,Daily hospital occupancy,100.0,Denmark
2020-05-25,Daily hospital occupancy,102.0,Denmark
2020-05-26,Daily hospital occupancy,97.0,Denmark
2020-05-27,Daily hospital occupancy,91.0,Denmark
2020-05-28,Daily hospital occupancy,96.0,Denmark
2020-05-29,Daily hospital occupancy,93.0,Denmark
2020-05-30,Daily hospital occupancy,87.0,Denmark
2020-05-31,Daily hospital occupancy,85.0,Denmark
2020-06-01,Daily hospital occupancy,88.0,Denmark
2020-06-02,Daily hospital occupancy,86.0,Denmark
2020-06-03,Daily hospital occupancy,82.0,Denmark
2020-06-04,Daily hospital occupancy,76.0,Denmark
2020-06-05,Daily hospital occupancy,66.0,Denmark
2020-06-06,Daily hospital occupancy,68.0,Denmark
2020-06-07,Daily hospital occupancy,65.0,Denmark
2020-06-08,Daily hospital occupancy,66.0,Denmark
2020-06-09,Daily hospital occupancy,59.0,Denmark
2020-06-10,Daily hospital occupancy,57.0,Denmark
2020-06-11,Daily hospital occupancy,51.0,Denmark
2020-06-12,Daily hospital occupancy,51.0,Denmark
2020-06-13,Daily hospital occupancy,47.0,Denmark
2020-06-14,Daily hospital occupancy,49.0,Denmark
2020-06-15,Daily hospital occupancy,46.0,Denmark
2020-06-16,Daily hospital occupancy,43.0,Denmark
2020-06-17,Daily hospital occupancy,39.0,Denmark
2020-06-18,Daily hospital occupancy,38.0,Denmark
2020-06-19,Daily hospital occupancy,37.0,Denmark
2020-06-20,Daily hospital occupancy,39.0,Denmark
2020-06-21,Daily hospital occupancy,38.0,Denmark
2020-06-22,Daily hospital occupancy,37.0,Denmark
2020-06-23,Daily hospital occupancy,32.0,Denmark
2020-06-24,Daily hospital occupancy,33.0,Denmark
2020-06-25,Daily hospital occupancy,36.0,Denmark
2020-06-26,Daily hospital occupancy,31.0,Denmark
2020-06-27,Daily hospital occupancy,29.0,Denmark
2020-06-28,Daily hospital occupancy,30.0,Denmark
2020-06-29,Daily hospital occupancy,35.0,Denmark
2020-06-30,Daily hospital occupancy,32.0,Denmark
2020-07-01,Daily hospital occupancy,29.0,Denmark
2020-07-02,Daily hospital occupancy,29.0,Denmark
2020-07-03,Daily hospital occupancy,27.0,Denmark
2020-07-04,Daily hospital occupancy,26.0,Denmark
2020-07-05,Daily hospital occupancy,24.0,Denmark
2020-07-06,Daily hospital occupancy,23.0,Denmark
2020-07-07,Daily hospital occupancy,17.0,Denmark
2020-07-08,Daily hospital occupancy,18.0,Denmark
2020-07-09,Daily hospital occupancy,18.0,Denmark
2020-07-10,Daily hospital occupancy,17.0,Denmark
2020-07-11,Daily hospital occupancy,15.0,Denmark
2020-07-12,Daily hospital occupancy,18.0,Denmark
2020-07-13,Daily hospital occupancy,18.0,Denmark
2020-07-14,Daily hospital occupancy,17.0,Denmark
2020-07-15,Daily hospital occupancy,19.0,Denmark
2020-07-16,Daily hospital occupancy,17.0,Denmark
2020-07-17,Daily hospital occupancy,20.0,Denmark
2020-07-18,Daily hospital occupancy,16.0,Denmark
2020-07-19,Daily hospital occupancy,19.0,Denmark
2020-07-20,Daily hospital occupancy,18.0,Denmark
2020-07-21,Daily hospital occupancy,18.0,Denmark
2020-07-22,Daily hospital occupancy,16.0,Denmark
