date,indicator,value,entity
2020-03-20,Daily hospital occupancy,931.0,England
2020-03-21,Daily hospital occupancy,1402.0,England
2020-03-22,Daily hospital occupancy,1618.0,England
2020-03-23,Daily hospital occupancy,2071.0,England
2020-03-24,Daily hospital occupancy,2231.0,England
2020-03-25,Daily hospital occupancy,3151.0,England
2020-03-26,Daily hospital occupancy,3144.0,England
2020-03-27,Daily hospital occupancy,3530.0,England
2020-03-28,Daily hospital occupancy,3642.0,England
2020-03-29,Daily hospital occupancy,5831.0,England
2020-03-30,Daily hospital occupancy,6280.0,England
2020-03-31,Daily hospital occupancy,6763.0,England
2020-04-01,Daily hospital occupancy,7663.0,England
2020-04-02,Daily hospital occupancy,8390.0,England
2020-04-03,Daily hospital occupancy,8597.0,England
2020-04-04,Daily hospital occupancy,9828.0,England
2020-04-05,Daily hospital occupancy,11705.0,England
2020-04-06,Daily hospital occupancy,12374.0,England
2020-04-07,Daily hospital occupancy,12290.0,England
2020-04-08,Daily hospital occupancy,11208.0,England
2020-04-09,Daily hospital occupancy,12514.0,England
2020-04-10,Daily hospital occupancy,12254.0,England
2020-04-11,Daily hospital occupancy,11852.0,England
2020-04-12,Daily hospital occupancy,11438.0,England
2020-04-13,Daily hospital occupancy,12789.0,England
2020-04-14,Daily hospital occupancy,11454.0,England
2020-04-15,Daily hospital occupancy,12043.0,England
2020-04-16,Daily hospital occupancy,12682.0,England
2020-04-17,Daily hospital occupancy,11620.0,England
2020-04-18,Daily hospital occupancy,11349.0,England
2020-04-19,Daily hospital occupancy,10824.0,England
2020-04-20,Daily hospital occupancy,10032.0,England
2020-04-21,Daily hospital occupancy,10982.0,England
2020-04-22,Daily hospital occupancy,11158.0,England
2020-04-23,Daily hospital occupancy,10403.0,England
2020-04-24,Daily hospital occupancy,10191.0,England
2020-04-25,Daily hospital occupancy,9585.0,England
2020-04-26,Daily hospital occupancy,9628.0,England
2020-04-27,Daily hospital occupancy,9601.0,England
2020-04-28,Daily hospital occupancy,9502.0,England
2020-04-29,Daily hospital occupancy,9384.0,England
2020-04-30,Daily hospital occupancy,8494.0,England
2020-05-01,Daily hospital occupancy,8547.0,England
2020-05-02,Daily hospital occupancy,8895.0,England
2020-05-03,Daily hospital occupancy,8482.0,England
2020-05-04,Daily hospital occupancy,8175.0,England
2020-05-05,Daily hospital occupancy,8346.0,England
2020-05-06,Daily hospital occupancy,7761.0,England
2020-05-07,Daily hospital occupancy,7616.0,England
2020-05-08,Daily hospital occupancy,6792.0,England
