entity,indicator,date,value
Liechtenstein,Weekly new hospital admissions,2021-11-14,4.030725899372698
Liechtenstein,Weekly new hospital admissions,2021-11-21,3.0230444245295103
Liechtenstein,Weekly new hospital admissions,2021-11-28,8.061451798745358
Liechtenstein,Weekly new hospital admissions,2021-12-05,11.084496223274872
Liechtenstein,Weekly new hospital admissions,2021-12-12,14.107540647804385
Liechtenstein,Weekly new hospital admissions,2021-12-19,14.107540647804385
Liechtenstein,Weekly new hospital admissions,2021-12-26,10.076814748431689
Liechtenstein,Weekly new hospital admissions,2022-01-02,10.076814748431689
Liechtenstein,Weekly new hospital admissions,2022-01-09,5.038407374215844
Liechtenstein,Weekly new hospital admissions,2022-01-16,1.0076814748431688
Liechtenstein,Weekly new hospital admissions,2022-01-23,1.0076814748431688
Liechtenstein,Weekly new hospital admissions,2022-01-30,0.0
Liechtenstein,Weekly new hospital admissions,2022-02-06,0.0
Liechtenstein,Weekly new hospital admissions,2022-02-13,4.030725899372698
Liechtenstein,Weekly new hospital admissions,2022-02-20,5.038407374215844
Liechtenstein,Weekly new hospital admissions,2022-02-27,4.030725899372698
Liechtenstein,Weekly new hospital admissions,2022-03-06,4.030725899372698
Liechtenstein,Weekly new hospital admissions,2022-03-13,4.030725899372698
Liechtenstein,Weekly new hospital admissions,2022-03-20,5.038407374215844
Liechtenstein,Weekly new hospital admissions,2022-03-27,8.061451798745358
Liechtenstein,Weekly new hospital admissions,2022-04-03,1.0076814748431688
Liechtenstein,Weekly new hospital admissions,2022-04-10,1.0076814748431688
Liechtenstein,Weekly new hospital admissions,2022-04-17,3.0230444245295103
Liechtenstein,Weekly new hospital admissions,2022-04-24,0.0
Liechtenstein,Weekly new hospital admissions,2022-05-01,1.0076814748431688
Liechtenstein,Weekly new hospital admissions,2022-05-08,0.0
Liechtenstein,Weekly new hospital admissions,2022-05-15,1.0076814748431688
Liechtenstein,Weekly new hospital admissions,2022-05-22,0.0
Liechtenstein,Weekly new hospital admissions,2022-05-29,0.0
Liechtenstein,Weekly new hospital admissions,2022-06-05,1.0076814748431688
Liechtenstein,Weekly new hospital admissions,2022-06-12,2.015362949686341
Liechtenstein,Weekly new hospital admissions,2022-06-19,2.015362949686341
Liechtenstein,Weekly new hospital admissions,2022-06-26,1.0076814748431688
Liechtenstein,Weekly new hospital admissions,2022-07-03,2.015362949686341
Liechtenstein,Weekly new hospital admissions,2022-07-10,2.015362949686341
Liechtenstein,Weekly new hospital admissions,2022-07-17,0.0
Liechtenstein,Weekly new hospital admissions,2022-07-24,1.0076814748431688
Liechtenstein,Weekly new hospital admissions,2022-07-31,2.015362949686341
Liechtenstein,Weekly new hospital admissions,2022-08-07,0.0
Liechtenstein,Weekly new hospital admissions,2022-08-14,0.0
Liechtenstein,Weekly new hospital admissions,2022-08-21,1.0076814748431688
Liechtenstein,Weekly new hospital admissions,2022-08-28,1.0076814748431688
Liechtenstein,Weekly new hospital admissions,2022-09-04,2.015362949686341
Liechtenstein,Weekly new hospital admissions,2022-09-11,2.015362949686341
Liechtenstein,Weekly new hospital admissions,2022-09-18,0.0
Liechtenstein,Weekly new hospital admissions,2022-09-25,0.0
Liechtenstein,Weekly new hospital admissions,2022-10-02,4.030725899372698
Liechtenstein,Weekly new hospital admissions,2022-10-09,0.0
Liechtenstein,Weekly new hospital admissions,2022-10-16,2.015362949686341
Liechtenstein,Weekly new hospital admissions,2022-10-23,2.015362949686341
Liechtenstein,Weekly new hospital admissions,2022-10-30,1.0076814748431688
Liechtenstein,Weekly new hospital admissions,2022-11-06,1.0076814748431688
