entity,indicator,date,value
Malta,Daily hospital occupancy,2021-09-27,13.0
Malta,Daily hospital occupancy,2021-09-28,11.0
Malta,Daily hospital occupancy,2021-09-29,9.0
Malta,Daily hospital occupancy,2021-09-30,11.0
Malta,Daily hospital occupancy,2021-10-01,13.0
Malta,Daily hospital occupancy,2021-10-03,6.0
Malta,Daily hospital occupancy,2021-10-05,8.0
Malta,Daily hospital occupancy,2021-10-07,8.0
Malta,Daily hospital occupancy,2021-10-08,7.0
Malta,Daily hospital occupancy,2021-10-09,7.0
Malta,Daily hospital occupancy,2021-10-10,7.0
Malta,Daily hospital occupancy,2021-10-11,7.0
Malta,Daily hospital occupancy,2021-10-12,7.0
Malta,Daily hospital occupancy,2021-10-13,9.0
Malta,Daily hospital occupancy,2021-10-15,10.0
Malta,Daily hospital occupancy,2021-10-16,11.0
Malta,Daily hospital occupancy,2021-10-17,12.0
Malta,Daily hospital occupancy,2021-10-18,13.0
Malta,Daily hospital occupancy,2021-10-19,14.0
Malta,Daily hospital occupancy,2021-10-20,17.0
Malta,Daily hospital occupancy,2021-10-22,13.0
Malta,Daily hospital occupancy,2021-10-23,12.0
Malta,Daily hospital occupancy,2021-10-25,14.0
Malta,Daily hospital occupancy,2021-10-26,11.0
Malta,Daily hospital occupancy,2021-10-27,11.0
Malta,Daily hospital occupancy,2021-10-31,13.0
Malta,Daily hospital occupancy,2021-11-01,13.0
Malta,Daily hospital occupancy,2021-11-03,8.0
Malta,Daily hospital occupancy,2021-11-05,9.0
Malta,Daily hospital occupancy,2021-11-06,11.0
Malta,Daily hospital occupancy,2021-11-07,11.0
Malta,Daily hospital occupancy,2021-11-08,13.0
Malta,Daily hospital occupancy,2021-11-10,16.0
Malta,Daily hospital occupancy,2021-11-11,16.0
Malta,Daily hospital occupancy,2021-11-12,15.0
Malta,Daily hospital occupancy,2021-11-13,12.0
Malta,Daily hospital occupancy,2021-11-15,16.0
Malta,Daily hospital occupancy,2021-11-17,15.0
Malta,Daily hospital occupancy,2021-11-19,10.0
Malta,Daily hospital occupancy,2021-11-20,12.0
Malta,Daily hospital occupancy,2021-11-21,12.0
Malta,Daily hospital occupancy,2021-11-25,12.0
Malta,Daily hospital occupancy,2021-11-26,12.0
Malta,Daily hospital occupancy,2021-11-27,15.0
Malta,Daily hospital occupancy,2021-11-28,15.0
Malta,Daily hospital occupancy,2021-11-30,23.0
Malta,Daily hospital occupancy,2021-12-01,11.0
Malta,Daily hospital occupancy,2021-12-02,11.0
Malta,Daily hospital occupancy,2021-12-03,21.0
Malta,Daily hospital occupancy,2021-12-07,26.0
Malta,Daily hospital occupancy,2021-12-08,27.0
Malta,Daily hospital occupancy,2021-12-09,23.0
Malta,Daily hospital occupancy,2021-12-10,21.0
