date,indicator,value,entity
2022-06-07,Weekly new ICU admissions,12.0,Singapore
2022-06-08,Weekly new ICU admissions,11.0,Singapore
2022-06-09,Weekly new ICU admissions,11.0,Singapore
2022-06-10,Weekly new ICU admissions,6.0,Singapore
2022-06-11,Weekly new ICU admissions,4.0,Singapore
2022-06-12,Weekly new ICU admissions,3.0,Singapore
2022-06-13,Weekly new ICU admissions,3.0,Singapore
2022-06-14,Weekly new ICU admissions,4.0,Singapore
2022-06-15,Weekly new ICU admissions,3.0,Singapore
2022-06-16,Weekly new ICU admissions,3.0,Singapore
2022-06-17,Weekly new ICU admissions,5.0,Singapore
2022-06-18,Weekly new ICU admissions,7.0,Singapore
2022-06-19,Weekly new ICU admissions,9.0,Singapore
2022-06-20,Weekly new ICU admissions,9.0,Singapore
2022-06-21,Weekly new ICU admissions,10.0,Singapore
2022-06-22,Weekly new ICU admissions,14.0,Singapore
2022-06-23,Weekly new ICU admissions,14.0,Singapore
2022-06-24,Weekly new ICU admissions,15.0,Singapore
2022-06-25,Weekly new ICU admissions,17.0,Singapore
2022-06-26,Weekly new ICU admissions,17.0,Singapore
2022-06-27,Weekly new ICU admissions,18.0,Singapore
2022-06-28,Weekly new ICU admissions,18.0,Singapore
2022-06-29,Weekly new ICU admissions,14.0,Singapore
2022-06-30,Weekly new ICU admissions,19.0,Singapore
2022-07-01,Weekly new ICU admissions,20.0,Singapore
2022-07-02,Weekly new ICU admissions,20.0,Singapore
2022-07-03,Weekly new ICU admissions,21.0,Singapore
2022-07-04,Weekly new ICU admissions,24.0,Singapore
2022-07-05,Weekly new ICU admissions,26.0,Singapore
2022-07-06,Weekly new ICU admissions,27.0,Singapore
2022-07-07,Weekly new ICU admissions,23.0,Singapore
2022-07-08,Weekly new ICU admissions,22.0,Singapore
2022-07-09,Weekly new ICU admissions,22.0,Singapore
2022-07-10,Weekly new ICU admissions,25.0,Singapore
2022-07-11,Weekly new ICU admissions,21.0,Singapore
2022-07-12,Weekly new ICU admissions,20.0,Singapore
2022-07-13,Weekly new ICU admissions,21.0,Singapore
2022-07-14,Weekly new ICU admissions,30.0,Singapore
2022-07-15,Weekly new ICU admissions,31.0,Singapore
2022-07-16,Weekly new ICU admissions,31.0,Singapore
2022-07-17,Weekly new ICU admissions,26.0,Singapore
2022-07-18,Weekly new ICU admissions,27.0,Singapore
2022-07-19,Weekly new ICU admissions,26.0,Singapore
2022-07-20,Weekly new ICU admissions,29.0,Singapore
2022-07-21,Weekly new ICU admissions,21.0,Singapore
2022-07-22,Weekly new ICU admissions,20.0,Singapore
2022-07-23,Weekly new ICU admissions,17.0,Singapore
2022-07-24,Weekly new ICU admissions,26.0,Singapore
2022-07-25,Weekly new ICU admissions,27.0,Singapore
2022-07-26,Weekly new ICU admissions,30.0,Singapore
2022-07-27,Weekly new ICU admissions,29.0,Singapore
2022-07-28,Weekly new ICU admissions,31.0,Singapore
2022-07-29,Weekly new ICU admissions,33.0,Singapore
2022-07-30,Weekly new ICU admissions,33.0,Singapore
2022-07-31,Weekly new ICU admissions,25.0,Singapore
2022-06-07,Weekly new hospital admissions,410.0,Singapore
2022-06-08,Weekly new hospital admissions,393.0,Singapore
2022-06-09,Weekly new hospital admissions,369.0,Singapore
2022-06-10,Weekly new hospital admissions,374.0,Singapore
2022-06-11,Weekly new hospital admissions,391.0,Singapore
2022-06-12,Weekly new hospital admissions,382.0,Singapore
2022-06-13,Weekly new hospital admissions,410.0,Singapore
2022-06-14,Weekly new hospital admissions,423.0,Singapore
