entity,indicator,date,value
Slovenia,Daily hospital occupancy,2020-03-10,18.0
Slovenia,Daily hospital occupancy,2020-03-11,18.0
Slovenia,Daily hospital occupancy,2020-03-12,17.0
Slovenia,Daily hospital occupancy,2020-03-13,22.0
Slovenia,Daily hospital occupancy,2020-03-14,29.0
Slovenia,Daily hospital occupancy,2020-03-15,33.0
Slovenia,Daily hospital occupancy,2020-03-16,32.0
Slovenia,Daily hospital occupancy,2020-03-17,38.0
Slovenia,Daily hospital occupancy,2020-03-18,43.0
Slovenia,Daily hospital occupancy,2020-03-19,47.0
Slovenia,Daily hospital occupancy,2020-03-20,46.0
Slovenia,Daily hospital occupancy,2020-03-21,51.0
Slovenia,Daily hospital occupancy,2020-03-22,52.0
Slovenia,Daily hospital occupancy,2020-03-23,56.0
Slovenia,Daily hospital occupancy,2020-03-24,69.0
Slovenia,Daily hospital occupancy,2020-03-25,78.0
Slovenia,Daily hospital occupancy,2020-03-26,81.0
Slovenia,Daily hospital occupancy,2020-03-27,102.0
Slovenia,Daily hospital occupancy,2020-03-28,102.0
Slovenia,Daily hospital occupancy,2020-03-29,108.0
Slovenia,Daily hospital occupancy,2020-03-30,117.0
Slovenia,Daily hospital occupancy,2020-03-31,110.0
Slovenia,Daily hospital occupancy,2020-04-01,109.0
Slovenia,Daily hospital occupancy,2020-04-02,108.0
Slovenia,Daily hospital occupancy,2020-04-03,114.0
Slovenia,Daily hospital occupancy,2020-04-04,109.0
Slovenia,Daily hospital occupancy,2020-04-05,110.0
Slovenia,Daily hospital occupancy,2020-04-06,112.0
Slovenia,Daily hospital occupancy,2020-04-07,109.0
Slovenia,Daily hospital occupancy,2020-04-08,111.0
Slovenia,Daily hospital occupancy,2020-04-09,108.0
Slovenia,Daily hospital occupancy,2020-04-10,106.0
Slovenia,Daily hospital occupancy,2020-04-11,94.0
Slovenia,Daily hospital occupancy,2020-04-12,95.0
Slovenia,Daily hospital occupancy,2020-04-13,95.0
Slovenia,Daily hospital occupancy,2020-04-14,103.0
Slovenia,Daily hospital occupancy,2020-04-15,96.0
Slovenia,Daily hospital occupancy,2020-04-16,99.0
Slovenia,Daily hospital occupancy,2020-04-17,95.0
Slovenia,Daily hospital occupancy,2020-04-18,93.0
Slovenia,Daily hospital occupancy,2020-04-19,89.0
Slovenia,Daily hospital occupancy,2020-04-20,87.0
Slovenia,Daily hospital occupancy,2020-04-21,86.0
Slovenia,Daily hospital occupancy,2020-04-22,82.0
Slovenia,Daily hospital occupancy,2020-04-23,80.0
