date,indicator,value,entity
2020-04-17,Daily hospital occupancy,96.0,South Africa
2020-04-18,Daily hospital occupancy,101.0,South Africa
2020-04-19,Daily hospital occupancy,184.0,South Africa
2020-04-20,Daily hospital occupancy,183.0,South Africa
2020-04-21,Daily hospital occupancy,185.0,South Africa
2020-04-22,Daily hospital occupancy,189.0,South Africa
2020-04-23,Daily hospital occupancy,173.0,South Africa
2020-04-24,Daily hospital occupancy,204.0,South Africa
2020-04-25,Daily hospital occupancy,260.0,South Africa
2020-04-26,Daily hospital occupancy,267.0,South Africa
2020-04-27,Daily hospital occupancy,275.0,South Africa
2020-04-28,Daily hospital occupancy,286.0,South Africa
2020-04-29,Daily hospital occupancy,290.0,South Africa
2020-04-30,Daily hospital occupancy,310.0,South Africa
2020-05-01,Daily hospital occupancy,320.0,South Africa
2020-05-02,Daily hospital occupancy,328.0,South Africa
2020-05-03,Daily hospital occupancy,325.0,South Africa
2020-05-04,Daily hospital occupancy,324.0,South Africa
2020-05-05,Daily hospital occupancy,364.0,South Africa
2020-05-06,Daily hospital occupancy,361.0,South Africa
2020-05-07,Daily hospital occupancy,361.0,South Africa
2020-05-08,Daily hospital occupancy,361.0,South Africa
2020-05-09,Daily hospital occupancy,378.0,South Africa
2020-05-10,Daily hospital occupancy,388.0,South Africa
2020-05-11,Daily hospital occupancy,384.0,South Africa
2020-05-12,Daily hospital occupancy,434.0,South Africa
2020-05-13,Daily hospital occupancy,423.0,South Africa
2020-05-14,Daily hospital occupancy,523.0,South Africa
2020-05-15,Daily hospital occupancy,551.0,South Africa
2020-05-16,Daily hospital occupancy,566.0,South Africa
2020-05-17,Daily hospital occupancy,574.0,South Africa
2020-05-18,Daily hospital occupancy,574.0,South Africa
2020-05-19,Daily hospital occupancy,654.0,South Africa
2020-05-20,Daily hospital occupancy,684.0,South Africa
2020-05-21,Daily hospital occupancy,692.0,South Africa
2020-05-22,Daily hospital occupancy,700.0,South Africa
2020-05-23,Daily hospital occupancy,790.0,South Africa
2020-05-24,Daily hospital occupancy,851.0,South Africa
2020-05-25,Daily hospital occupancy,857.0,South Africa
2020-05-26,Daily hospital occupancy,971.0,South Africa
2020-05-27,Daily hospital occupancy,983.0,South Africa
2020-05-28,Daily hospital occupancy,1041.0,South Africa
2020-05-29,Daily hospital occupancy,1210.0,South Africa
2020-05-30,Daily hospital occupancy,1424.0,South Africa
2020-05-31,Daily hospital occupancy,1432.0,South Africa
2020-06-01,Daily hospital occupancy,1359.0,South Africa
2020-06-02,Daily hospital occupancy,1413.0,South Africa
2020-06-03,Daily hospital occupancy,1433.0,South Africa
2020-06-04,Daily hospital occupancy,1431.0,South Africa
2020-06-05,Daily hospital occupancy,1537.0,South Africa
2020-06-06,Daily hospital occupancy,1807.0,South Africa
2020-06-07,Daily hospital occupancy,2149.0,South Africa
2020-06-08,Daily hospital occupancy,2250.0,South Africa
2020-06-09,Daily hospital occupancy,2256.0,South Africa
2020-06-10,Daily hospital occupancy,2247.0,South Africa
2020-06-11,Daily hospital occupancy,2294.0,South Africa
2020-06-12,Daily hospital occupancy,2323.0,South Africa
2020-06-13,Daily hospital occupancy,2446.0,South Africa
2020-06-14,Daily hospital occupancy,2514.0,South Africa
2020-06-15,Daily hospital occupancy,2386.0,South Africa
2020-06-16,Daily hospital occupancy,2572.0,South Africa
2020-06-17,Daily hospital occupancy,2644.0,South Africa
2020-06-18,Daily hospital occupancy,2695.0,South Africa
2020-06-19,Daily hospital occupancy,2751.0,South Africa
2020-06-20,Daily hospital occupancy,3047.0,South Africa
2020-06-21,Daily hospital occupancy,3160.0,South Africa
2020-06-22,Daily hospital occupancy,3177.0,South Africa
