date,indicator,value,entity
2020-08-01,Daily hospital occupancy,1102.0,Spain
2020-08-02,Daily hospital occupancy,1074.0,Spain
2020-08-03,Daily hospital occupancy,2412.0,Spain
2020-08-04,Daily hospital occupancy,1421.0,Spain
2020-08-05,Daily hospital occupancy,2629.0,Spain
2020-08-06,Daily hospital occupancy,1681.0,Spain
2020-08-07,Daily hospital occupancy,1572.0,Spain
2020-08-08,Daily hospital occupancy,1804.0,Spain
2020-08-09,Daily hospital occupancy,3719.0,Spain
2020-08-10,Daily hospital occupancy,3067.0,Spain
2020-08-11,Daily hospital occupancy,2531.0,Spain
2020-08-12,Daily hospital occupancy,1461.0,Spain
2020-08-13,Daily hospital occupancy,1409.0,Spain
2020-08-14,Daily hospital occupancy,2378.0,Spain
2020-08-15,Daily hospital occupancy,1900.0,Spain
2020-08-16,Daily hospital occupancy,4642.0,Spain
2020-08-17,Daily hospital occupancy,4128.0,Spain
2020-08-18,Daily hospital occupancy,5959.0,Spain
2020-08-19,Daily hospital occupancy,4960.0,Spain
2020-08-20,Daily hospital occupancy,3119.0,Spain
2020-08-21,Daily hospital occupancy,2374.0,Spain
2020-08-22,Daily hospital occupancy,3013.0,Spain
2020-08-23,Daily hospital occupancy,5785.0,Spain
2020-08-24,Daily hospital occupancy,5219.0,Spain
2020-08-25,Daily hospital occupancy,4833.0,Spain
2020-08-26,Daily hospital occupancy,4397.0,Spain
2020-08-27,Daily hospital occupancy,3477.0,Spain
2020-08-28,Daily hospital occupancy,2749.0,Spain
2020-08-29,Daily hospital occupancy,2904.0,Spain
2020-08-30,Daily hospital occupancy,6198.0,Spain
2020-08-31,Daily hospital occupancy,5111.0,Spain
2020-09-01,Daily hospital occupancy,2894.0,Spain
2020-09-02,Daily hospital occupancy,4273.0,Spain
2020-09-03,Daily hospital occupancy,7978.0,Spain
2020-09-04,Daily hospital occupancy,1853.0,Spain
2020-09-05,Daily hospital occupancy,7754.0,Spain
2020-09-06,Daily hospital occupancy,6640.0,Spain
2020-09-07,Daily hospital occupancy,5597.0,Spain
2020-09-08,Daily hospital occupancy,8391.0,Spain
2020-09-09,Daily hospital occupancy,7698.0,Spain
2020-09-10,Daily hospital occupancy,6697.0,Spain
2020-09-11,Daily hospital occupancy,4494.0,Spain
2020-09-12,Daily hospital occupancy,7593.0,Spain
2020-09-13,Daily hospital occupancy,5783.0,Spain
2020-09-14,Daily hospital occupancy,6156.0,Spain
2020-09-15,Daily hospital occupancy,6569.0,Spain
2020-09-16,Daily hospital occupancy,7199.0,Spain
2020-09-17,Daily hospital occupancy,5661.0,Spain
2020-09-18,Daily hospital occupancy,6318.0,Spain
2020-09-19,Daily hospital occupancy,11095.0,Spain
2020-09-20,Daily hospital occupancy,7018.0,Spain
2020-09-21,Daily hospital occupancy,5654.0,Spain
2020-09-22,Daily hospital occupancy,9131.0,Spain
2020-09-23,Daily hospital occupancy,5055.0,Spain
2020-09-24,Daily hospital occupancy,8805.0,Spain
2020-09-25,Daily hospital occupancy,8096.0,Spain
2020-09-26,Daily hospital occupancy,2709.0,Spain
2020-09-27,Daily hospital occupancy,8058.0,Spain
2020-09-28,Daily hospital occupancy,9811.0,Spain
2020-09-29,Daily hospital occupancy,7422.0,Spain
2020-09-30,Daily hospital occupancy,6173.0,Spain
2020-10-01,Daily hospital occupancy,10481.0,Spain
2020-10-02,Daily hospital occupancy,6042.0,Spain
2020-10-03,Daily hospital occupancy,7960.0,Spain
2020-10-04,Daily hospital occupancy,8333.0,Spain
2020-10-05,Daily hospital occupancy,8546.0,Spain
2020-10-06,Daily hospital occupancy,4828.0,Spain
2020-10-07,Daily hospital occupancy,5335.0,Spain
2020-10-08,Daily hospital occupancy,8658.0,Spain
2020-10-09,Daily hospital occupancy,8485.0,Spain
2020-10-10,Daily hospital occupancy,7633.0,Spain
2020-10-11,Daily hospital occupancy,7524.0,Spain
2020-10-12,Daily hospital occupancy,5027.0,Spain
2020-10-13,Daily hospital occupancy,8652.0,Spain
2020-10-14,Daily hospital occupancy,4155.0,Spain
2020-10-15,Daily hospital occupancy,7942.0,Spain
2020-10-16,Daily hospital occupancy,5917.0,Spain
2020-10-17,Daily hospital occupancy,5923.0,Spain
2020-10-18,Daily hospital occupancy,2910.0,Spain
2020-10-19,Daily hospital occupancy,5994.0,Spain
2020-10-20,Daily hospital occupancy,9118.0,Spain
2020-10-21,Daily hospital occupancy,4957.0,Spain
2020-10-22,Daily hospital occupancy,9716.0,Spain
2020-10-23,Daily hospital occupancy,7803.0,Spain
2020-10-24,Daily hospital occupancy,3371.0,Spain
2020-10-25,Daily hospital occupancy,5372.0,Spain
2020-10-26,Daily hospital occupancy,8102.0,Spain
2020-10-27,Daily hospital occupancy,4818.0,Spain
2020-10-28,Daily hospital occupancy,3515.0,Spain
2020-10-29,Daily hospital occupancy,9630.0,Spain
2020-10-30,Daily hospital occupancy,6538.0,Spain
2020-10-31,Daily hospital occupancy,11717.0,Spain
2020-11-01,Daily hospital occupancy,5687.0,Spain
2020-11-02,Daily hospital occupancy,6833.0,Spain
2020-11-03,Daily hospital occupancy,2900.0,Spain
2020-11-04,Daily hospital occupancy,6502.0,Spain
2020-11-05,Daily hospital occupancy,5535.0,Spain
2020-11-06,Daily hospital occupancy,6265.0,Spain
2020-11-07,Daily hospital occupancy,9000.0,Spain
2020-11-08,Daily hospital occupancy,7073.0,Spain
2020-11-09,Daily hospital occupancy,10636.0,Spain
2020-11-10,Daily hospital occupancy,5142.0,Spain
2020-11-11,Daily hospital occupancy,7323.0,Spain
2020-11-12,Daily hospital occupancy,8758.0,Spain
2020-11-13,Daily hospital occupancy,7657.0,Spain
2020-11-14,Daily hospital occupancy,7782.0,Spain
