date,indicator,value,entity
2020-03-13,Daily hospital occupancy,0.0,Sweden
2020-03-14,Daily hospital occupancy,0.0,Sweden
2020-03-15,Daily hospital occupancy,0.0,Sweden
2020-03-16,Daily hospital occupancy,5.0,Sweden
2020-03-17,Daily hospital occupancy,82.0,Sweden
2020-03-18,Daily hospital occupancy,176.0,Sweden
2020-03-19,Daily hospital occupancy,181.0,Sweden
2020-03-20,Daily hospital occupancy,215.0,Sweden
2020-03-21,Daily hospital occupancy,248.0,Sweden
2020-03-22,Daily hospital occupancy,261.0,Sweden
2020-03-23,Daily hospital occupancy,298.0,Sweden
2020-03-24,Daily hospital occupancy,483.0,Sweden
2020-03-25,Daily hospital occupancy,664.0,Sweden
2020-03-26,Daily hospital occupancy,717.0,Sweden
2020-03-27,Daily hospital occupancy,810.0,Sweden
2020-03-28,Daily hospital occupancy,819.0,Sweden
2020-03-29,Daily hospital occupancy,829.0,Sweden
2020-03-30,Daily hospital occupancy,960.0,Sweden
2020-03-31,Daily hospital occupancy,999.0,Sweden
2020-04-01,Daily hospital occupancy,1099.0,Sweden
2020-04-02,Daily hospital occupancy,1142.0,Sweden
2020-04-03,Daily hospital occupancy,1335.0,Sweden
2020-04-04,Daily hospital occupancy,1348.0,Sweden
2020-04-05,Daily hospital occupancy,1370.0,Sweden
2020-04-06,Daily hospital occupancy,1674.0,Sweden
2020-04-07,Daily hospital occupancy,1701.0,Sweden
2020-04-08,Daily hospital occupancy,1912.0,Sweden
2020-04-09,Daily hospital occupancy,1946.0,Sweden
2020-04-10,Daily hospital occupancy,1984.0,Sweden
2020-04-11,Daily hospital occupancy,2046.0,Sweden
2020-04-12,Daily hospital occupancy,2103.0,Sweden
2020-04-13,Daily hospital occupancy,2135.0,Sweden
2020-04-14,Daily hospital occupancy,2225.0,Sweden
2020-04-15,Daily hospital occupancy,2214.0,Sweden
2020-04-16,Daily hospital occupancy,2325.0,Sweden
2020-04-17,Daily hospital occupancy,2296.0,Sweden
2020-04-18,Daily hospital occupancy,2271.0,Sweden
2020-04-19,Daily hospital occupancy,2341.0,Sweden
2020-04-20,Daily hospital occupancy,2412.0,Sweden
2020-04-21,Daily hospital occupancy,2246.0,Sweden
2020-04-22,Daily hospital occupancy,2260.0,Sweden
2020-04-23,Daily hospital occupancy,2255.0,Sweden
2020-04-24,Daily hospital occupancy,2227.0,Sweden
