date,indicator,value,entity
2020-04-01,Daily hospital occupancy,483.0,Wales
2020-04-08,Daily hospital occupancy,816.0,Wales
2020-04-15,Daily hospital occupancy,884.0,Wales
2020-04-22,Daily hospital occupancy,773.0,Wales
2020-04-29,Daily hospital occupancy,664.0,Wales
2020-05-06,Daily hospital occupancy,478.0,Wales
2020-05-13,Daily hospital occupancy,394.0,Wales
2020-05-20,Daily hospital occupancy,324.0,Wales
2020-05-27,Daily hospital occupancy,425.0,Wales
2020-06-03,Daily hospital occupancy,399.0,Wales
2020-06-10,Daily hospital occupancy,319.0,Wales
2020-06-17,Daily hospital occupancy,288.0,Wales
2020-06-24,Daily hospital occupancy,270.0,Wales
2020-07-01,Daily hospital occupancy,218.0,Wales
2020-07-08,Daily hospital occupancy,177.0,Wales
2020-07-15,Daily hospital occupancy,131.0,Wales
2020-07-22,Daily hospital occupancy,123.0,Wales
2020-07-29,Daily hospital occupancy,137.0,Wales
2020-08-05,Daily hospital occupancy,105.0,Wales
2020-08-12,Daily hospital occupancy,69.0,Wales
2020-08-19,Daily hospital occupancy,60.0,Wales
2020-08-26,Daily hospital occupancy,48.0,Wales
2020-09-02,Daily hospital occupancy,42.0,Wales
2020-09-09,Daily hospital occupancy,37.0,Wales
2020-09-16,Daily hospital occupancy,54.0,Wales
2020-09-23,Daily hospital occupancy,111.0,Wales
2020-09-30,Daily hospital occupancy,211.0,Wales
2020-10-07,Daily hospital occupancy,277.0,Wales
2020-10-14,Daily hospital occupancy,384.0,Wales
2020-10-21,Daily hospital occupancy,524.0,Wales
2020-10-28,Daily hospital occupancy,695.0,Wales
2020-11-04,Daily hospital occupancy,914.0,Wales
2020-11-11,Daily hospital occupancy,1054.0,Wales
2020-11-18,Daily hospital occupancy,1121.0,Wales
2020-11-25,Daily hospital occupancy,1128.0,Wales
2020-12-02,Daily hospital occupancy,1180.0,Wales
2020-12-09,Daily hospital occupancy,1280.0,Wales
2020-12-16,Daily hospital occupancy,1513.0,Wales
2020-12-23,Daily hospital occupancy,1720.0,Wales
2020-12-30,Daily hospital occupancy,1901.0,Wales
2021-01-06,Daily hospital occupancy,1914.0,Wales
2021-01-13,Daily hospital occupancy,1949.0,Wales
2021-01-20,Daily hospital occupancy,1867.0,Wales
2021-01-27,Daily hospital occupancy,1745.0,Wales
2021-02-03,Daily hospital occupancy,1598.0,Wales
2021-02-10,Daily hospital occupancy,1366.0,Wales
2021-02-17,Daily hospital occupancy,1199.0,Wales
2021-02-24,Daily hospital occupancy,1119.0,Wales
2021-03-03,Daily hospital occupancy,891.0,Wales
2021-03-10,Daily hospital occupancy,658.0,Wales
2021-03-17,Daily hospital occupancy,557.0,Wales
2021-03-24,Daily hospital occupancy,373.0,Wales
2021-03-31,Daily hospital occupancy,290.0,Wales
2021-04-07,Daily hospital occupancy,225.0,Wales
2021-04-14,Daily hospital occupancy,124.0,Wales
2021-04-21,Daily hospital occupancy,101.0,Wales
2021-04-28,Daily hospital occupancy,83.0,Wales
2021-05-05,Daily hospital occupancy,63.0,Wales
2021-05-12,Daily hospital occupancy,42.0,Wales
2021-05-19,Daily hospital occupancy,41.0,Wales
2021-05-26,Daily hospital occupancy,20.0,Wales
2021-06-02,Daily hospital occupancy,22.0,Wales
2021-06-09,Daily hospital occupancy,39.0,Wales
2021-06-16,Daily hospital occupancy,45.0,Wales
2021-06-23,Daily hospital occupancy,42.0,Wales
2021-06-30,Daily hospital occupancy,39.0,Wales
2021-07-07,Daily hospital occupancy,57.0,Wales
2021-07-14,Daily hospital occupancy,81.0,Wales
2021-07-21,Daily hospital occupancy,107.0,Wales
2021-07-28,Daily hospital occupancy,144.0,Wales
2021-08-04,Daily hospital occupancy,133.0,Wales
2021-08-11,Daily hospital occupancy,139.0,Wales
2021-08-18,Daily hospital occupancy,162.0,Wales
2021-08-25,Daily hospital occupancy,217.0,Wales
2021-09-01,Daily hospital occupancy,313.0,Wales
2021-09-08,Daily hospital occupancy,428.0,Wales
2021-09-15,Daily hospital occupancy,529.0,Wales
2021-09-22,Daily hospital occupancy,496.0,Wales
2021-09-29,Daily hospital occupancy,480.0,Wales
2021-10-06,Daily hospital occupancy,461.0,Wales
2021-10-13,Daily hospital occupancy,515.0,Wales
2021-10-20,Daily hospital occupancy,596.0,Wales
2021-10-27,Daily hospital occupancy,689.0,Wales
