location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Canada,2020-12-19,70,79,0.01,0.0,0.0
Canada,2020-12-19,80,,0.02,0.0,0.0
Canada,2020-12-26,70,79,0.04,0.0,0.0
Canada,2020-12-26,80,,0.13,0.0,0.0
Canada,2021-01-02,70,79,0.08,0.0,0.0
Canada,2021-01-02,80,,0.36,0.0,0.0
Canada,2021-01-09,70,79,0.37,0.0,0.0
Canada,2021-01-09,80,,1.88,0.0,0.0
Canada,2021-01-16,70,79,0.72,0.01,0.0
Canada,2021-01-16,80,,3.55,0.0,0.0
Canada,2021-01-23,70,79,1.2,0.02,0.0
Canada,2021-01-23,80,,5.31,0.02,0.0
Canada,2021-01-30,70,79,1.38,0.06,0.0
Canada,2021-01-30,80,,5.92,0.26,0.0
Canada,2021-02-06,70,79,1.49,0.12,0.0
Canada,2021-02-06,80,,6.4,0.62,0.0
Canada,2021-02-13,70,79,1.71,0.3,0.0
Canada,2021-02-13,80,,7.38,1.55,0.0
Canada,2021-02-20,70,79,2.86,0.95,0.0
Canada,2021-02-20,80,,13.69,5.34,0.0
Canada,2021-02-27,70,79,4.18,1.24,0.0
Canada,2021-02-27,80,,18.4,6.53,0.0
Canada,2021-03-06,70,79,7.05,1.37,0.0
Canada,2021-03-06,80,,27.73,7.11,0.0
Canada,2021-03-13,70,79,11.65,1.47,0.0
Canada,2021-03-13,80,,39.94,7.67,0.0
Canada,2021-03-20,70,79,18.09,1.57,0.0
Canada,2021-03-20,80,,56.88,8.3,0.0
Canada,2021-03-27,70,79,31.72,1.68,0.0
Canada,2021-03-27,80,,71.6,9.03,0.0
Canada,2021-04-03,70,79,50.82,1.89,0.0
Canada,2021-04-03,80,,78.48,10.09,0.0
Canada,2021-04-10,70,79,66.19,2.76,0.0
Canada,2021-04-10,80,,82.21,12.03,0.0
Canada,2021-04-17,18,29,8.35,1.44,0.0
Canada,2021-04-17,30,39,10.87,2.12,0.0
Canada,2021-04-17,40,49,13.17,2.42,0.0
Canada,2021-04-17,50,59,25.61,2.59,0.0
Canada,2021-04-17,60,69,47.95,2.07,0.0
Canada,2021-04-17,70,79,75.98,3.94,0.0
Canada,2021-04-17,80,,84.17,14.22,0.0
Canada,2021-04-24,18,29,10.23,1.54,0.0
Canada,2021-04-24,30,39,13.53,2.25,0.0
Canada,2021-04-24,40,49,21.34,2.58,0.0
Canada,2021-04-24,50,59,35.68,2.77,0.0
Canada,2021-04-24,60,69,60.28,2.26,0.0
Canada,2021-04-24,70,79,80.67,4.74,0.0
Canada,2021-04-24,80,,85.56,15.67,0.0
Canada,2021-05-01,18,29,12.34,1.71,0.0
Canada,2021-05-01,30,39,16.76,2.47,0.0
Canada,2021-05-01,40,49,29.28,2.83,0.0
Canada,2021-05-01,50,59,43.73,3.04,0.0
Canada,2021-05-01,60,69,69.69,2.52,0.0
Canada,2021-05-01,70,79,83.09,5.35,0.0
Canada,2021-05-01,80,,86.53,17.07,0.0
Canada,2021-05-08,18,29,16.87,1.96,0.0
Canada,2021-05-08,30,39,23.25,2.81,0.0
Canada,2021-05-08,40,49,37.97,3.23,0.0
Canada,2021-05-08,50,59,54.65,3.45,0.0
Canada,2021-05-08,60,69,76.24,2.91,0.0
Canada,2021-05-08,70,79,84.74,5.86,0.0
Canada,2021-05-08,80,,87.38,18.24,0.0
Canada,2021-05-15,18,29,25.0,2.47,0.0
Canada,2021-05-15,30,39,33.81,3.46,0.0
Canada,2021-05-15,40,49,48.42,4.1,0.0
Canada,2021-05-15,50,59,64.96,4.43,0.0
Canada,2021-05-15,60,69,80.12,3.8,0.0
Canada,2021-05-15,70,79,85.99,6.75,0.0
Canada,2021-05-15,80,,88.16,20.35,0.0
Canada,2021-05-22,18,29,34.14,2.98,0.0
Canada,2021-05-22,30,39,43.71,4.07,0.0
Canada,2021-05-22,40,49,58.14,4.8,0.0
Canada,2021-05-22,50,59,71.16,5.16,0.0
Canada,2021-05-22,60,69,81.95,4.4,0.0
Canada,2021-05-22,70,79,86.79,7.53,0.0
