location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Cyprus,2021-01-01,18,24,0.01,0.0,0.0
Cyprus,2021-01-01,25,49,0.02,0.0,0.0
Cyprus,2021-01-01,50,59,0.02,0.0,0.0
Cyprus,2021-01-01,60,69,0.04,0.0,0.0
Cyprus,2021-01-01,70,79,0.04,0.0,0.0
Cyprus,2021-01-01,80,,0.65,0.0,0.0
Cyprus,2021-01-08,18,24,0.08,0.0,0.0
Cyprus,2021-01-08,25,49,0.6,0.0,0.0
Cyprus,2021-01-08,50,59,0.85,0.0,0.0
Cyprus,2021-01-08,60,69,0.76,0.0,0.0
Cyprus,2021-01-08,70,79,0.73,0.0,0.0
Cyprus,2021-01-08,80,,5.76,0.0,0.0
Cyprus,2021-01-15,18,24,0.1,0.0,0.0
Cyprus,2021-01-15,25,49,0.81,0.02,0.0
Cyprus,2021-01-15,50,59,1.17,0.01,0.0
Cyprus,2021-01-15,60,69,1.08,0.03,0.0
Cyprus,2021-01-15,70,79,0.92,0.04,0.0
Cyprus,2021-01-15,80,,14.62,0.59,0.0
Cyprus,2021-01-22,18,24,0.14,0.03,0.0
Cyprus,2021-01-22,25,49,0.9,0.24,0.0
Cyprus,2021-01-22,50,59,1.34,0.34,0.0
Cyprus,2021-01-22,60,69,1.24,0.39,0.0
Cyprus,2021-01-22,70,79,1.13,0.42,0.0
Cyprus,2021-01-22,80,,26.72,2.59,0.0
Cyprus,2021-01-29,18,24,0.16,0.06,0.0
Cyprus,2021-01-29,25,49,0.95,0.55,0.0
Cyprus,2021-01-29,50,59,1.42,0.77,0.0
Cyprus,2021-01-29,60,69,1.31,0.72,0.0
Cyprus,2021-01-29,70,79,1.28,0.66,0.0
Cyprus,2021-01-29,80,,38.71,5.18,0.0
Cyprus,2021-02-05,18,24,0.17,0.08,0.0
Cyprus,2021-02-05,25,49,1.02,0.74,0.0
Cyprus,2021-02-05,50,59,1.53,1.08,0.0
Cyprus,2021-02-05,60,69,1.42,1.02,0.0
Cyprus,2021-02-05,70,79,1.55,0.84,0.0
Cyprus,2021-02-05,80,,47.0,13.9,0.0
Cyprus,2021-02-12,18,24,0.2,0.12,0.0
Cyprus,2021-02-12,25,49,1.18,0.84,0.0
Cyprus,2021-02-12,50,59,1.81,1.24,0.0
Cyprus,2021-02-12,60,69,1.73,1.18,0.0
Cyprus,2021-02-12,70,79,2.65,1.03,0.0
Cyprus,2021-02-12,80,,61.23,25.28,0.0
Cyprus,2021-02-19,18,24,0.37,0.13,0.0
Cyprus,2021-02-19,25,49,1.42,0.88,0.0
Cyprus,2021-02-19,50,59,2.12,1.32,0.0
Cyprus,2021-02-19,60,69,2.08,1.26,0.0
Cyprus,2021-02-19,70,79,9.84,1.18,0.0
Cyprus,2021-02-19,80,,71.22,37.12,0.0
Cyprus,2021-02-26,18,24,0.47,0.15,0.0
Cyprus,2021-02-26,25,49,1.54,0.97,0.0
Cyprus,2021-02-26,50,59,2.29,1.45,0.0
Cyprus,2021-02-26,60,69,2.29,1.37,0.0
Cyprus,2021-02-26,70,79,31.13,1.47,0.0
Cyprus,2021-02-26,80,,74.97,45.9,0.0
Cyprus,2021-03-05,18,24,0.52,0.17,0.0
Cyprus,2021-03-05,25,49,1.74,1.04,0.0
Cyprus,2021-03-05,50,59,2.52,1.59,0.0
Cyprus,2021-03-05,60,69,3.24,1.55,0.0
Cyprus,2021-03-05,70,79,49.35,2.51,0.0
Cyprus,2021-03-05,80,,77.59,59.92,0.0
Cyprus,2021-03-12,18,24,0.64,0.17,0.0
Cyprus,2021-03-12,25,49,1.9,1.06,0.0
Cyprus,2021-03-12,50,59,2.75,1.65,0.0
Cyprus,2021-03-12,60,69,9.29,1.61,0.0
Cyprus,2021-03-12,70,79,68.6,4.27,0.0
Cyprus,2021-03-12,80,,81.04,68.04,0.0
Cyprus,2021-03-19,18,24,0.65,0.18,0.0
Cyprus,2021-03-19,25,49,1.93,1.07,0.0
Cyprus,2021-03-19,50,59,2.82,1.67,0.0
Cyprus,2021-03-19,60,69,11.2,1.63,0.0
Cyprus,2021-03-19,70,79,70.6,10.16,0.0
Cyprus,2021-03-19,80,,81.59,69.19,0.0
Cyprus,2021-03-26,15,17,0.01,0.0,0.0
Cyprus,2021-03-26,18,24,0.67,0.18,0.0
Cyprus,2021-03-26,25,49,2.03,1.08,0.0
Cyprus,2021-03-26,50,59,2.97,1.68,0.0
Cyprus,2021-03-26,60,69,19.02,1.71,0.0
Cyprus,2021-03-26,70,79,76.1,15.59,0.0
Cyprus,2021-03-26,80,,83.5,69.74,0.0
Cyprus,2021-04-02,15,17,0.04,0.0,0.0
Cyprus,2021-04-02,18,24,0.81,0.18,0.0
Cyprus,2021-04-02,25,49,2.52,1.09,0.0
Cyprus,2021-04-02,50,59,4.37,1.7,0.0
