location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Estonia,2021-01-01,18,24,0.01,0.0,0.0
Estonia,2021-01-01,25,49,0.02,0.0,0.0
Estonia,2021-01-01,50,59,0.03,0.0,0.0
Estonia,2021-01-01,60,69,0.02,0.0,0.0
Estonia,2021-01-01,70,79,0.0,0.0,0.0
Estonia,2021-01-01,80,,0.0,0.0,0.0
Estonia,2021-01-08,18,24,0.39,0.02,0.0
Estonia,2021-01-08,25,49,1.06,0.03,0.0
Estonia,2021-01-08,50,59,1.54,0.03,0.0
Estonia,2021-01-08,60,69,1.32,0.02,0.0
Estonia,2021-01-08,70,79,0.61,0.0,0.0
Estonia,2021-01-08,80,,0.26,0.01,0.0
Estonia,2021-01-15,0,17,0.0,0.0,0.0
Estonia,2021-01-15,18,24,0.66,0.04,0.0
Estonia,2021-01-15,25,49,1.55,0.06,0.0
Estonia,2021-01-15,50,59,2.34,0.07,0.0
Estonia,2021-01-15,60,69,2.19,0.06,0.0
Estonia,2021-01-15,70,79,1.28,0.03,0.0
Estonia,2021-01-15,80,,1.68,0.13,0.0
Estonia,2021-01-22,18,24,0.78,0.1,0.0
Estonia,2021-01-22,25,49,1.8,0.3,0.0
Estonia,2021-01-22,50,59,2.86,0.44,0.01
Estonia,2021-01-22,60,69,2.77,0.36,0.0
Estonia,2021-01-22,70,79,1.9,0.19,0.0
Estonia,2021-01-22,80,,3.73,0.3,0.0
Estonia,2021-01-29,18,24,0.93,0.4,0.01
Estonia,2021-01-29,25,49,2.09,1.07,0.02
Estonia,2021-01-29,50,59,3.38,1.56,0.03
Estonia,2021-01-29,60,69,3.26,1.37,0.02
Estonia,2021-01-29,70,79,2.37,0.67,0.0
Estonia,2021-01-29,80,,4.88,0.53,0.0
Estonia,2021-02-05,0,17,0.0,0.0,0.0
Estonia,2021-02-05,18,24,1.14,0.67,0.03
Estonia,2021-02-05,25,49,2.49,1.57,0.04
Estonia,2021-02-05,50,59,4.04,2.41,0.05
Estonia,2021-02-05,60,69,3.91,2.27,0.05
Estonia,2021-02-05,70,79,3.35,1.36,0.03
Estonia,2021-02-05,80,,7.78,1.85,0.11
Estonia,2021-02-12,0,17,0.0,0.0,0.0
Estonia,2021-02-12,18,24,1.46,0.79,0.04
Estonia,2021-02-12,25,49,2.75,1.8,0.05
Estonia,2021-02-12,50,59,4.48,2.88,0.07
Estonia,2021-02-12,60,69,4.41,2.79,0.07
Estonia,2021-02-12,70,79,4.79,1.89,0.05
Estonia,2021-02-12,80,,14.89,3.53,0.18
Estonia,2021-02-19,0,17,0.0,0.0,0.0
Estonia,2021-02-19,18,24,1.72,0.95,0.04
Estonia,2021-02-19,25,49,3.56,2.1,0.06
Estonia,2021-02-19,50,59,6.11,3.41,0.09
Estonia,2021-02-19,60,69,6.02,3.26,0.08
Estonia,2021-02-19,70,79,6.9,2.29,0.06
Estonia,2021-02-19,80,,20.51,4.53,0.2
Estonia,2021-02-26,0,17,0.0,0.0,0.0
Estonia,2021-02-26,18,24,2.22,1.18,0.05
Estonia,2021-02-26,25,49,4.81,2.57,0.08
Estonia,2021-02-26,50,59,8.05,4.14,0.13
Estonia,2021-02-26,60,69,7.91,3.98,0.11
Estonia,2021-02-26,70,79,7.79,3.18,0.09
Estonia,2021-02-26,80,,23.9,7.34,0.25
Estonia,2021-03-05,0,17,0.01,0.0,0.0
Estonia,2021-03-05,18,24,3.12,1.57,0.06
Estonia,2021-03-05,25,49,6.26,2.89,0.1
Estonia,2021-03-05,50,59,10.9,4.65,0.14
Estonia,2021-03-05,60,69,11.62,4.57,0.13
Estonia,2021-03-05,70,79,9.44,4.57,0.1
Estonia,2021-03-05,80,,28.0,14.23,0.29
Estonia,2021-03-12,0,17,0.01,0.0,0.0
Estonia,2021-03-12,18,24,3.82,1.67,0.07
Estonia,2021-03-12,25,49,7.71,3.08,0.11
Estonia,2021-03-12,50,59,13.86,4.99,0.17
Estonia,2021-03-12,60,69,17.95,5.14,0.15
Estonia,2021-03-12,70,79,17.04,6.74,0.13
Estonia,2021-03-12,80,,33.81,20.13,0.31
Estonia,2021-03-19,0,17,0.01,0.0,0.0
Estonia,2021-03-19,18,24,4.77,1.79,0.07
Estonia,2021-03-19,25,49,9.07,3.22,0.12
Estonia,2021-03-19,50,59,16.33,5.21,0.19
Estonia,2021-03-19,60,69,21.31,5.39,0.16
Estonia,2021-03-19,70,79,24.29,7.77,0.14
Estonia,2021-03-19,80,,38.56,23.64,0.36
Estonia,2021-03-26,0,17,0.02,0.0,0.0
Estonia,2021-03-26,18,24,5.15,1.86,0.08
Estonia,2021-03-26,25,49,9.89,3.34,0.12
Estonia,2021-03-26,50,59,18.0,5.41,0.2
Estonia,2021-03-26,60,69,24.56,5.68,0.18
Estonia,2021-03-26,70,79,32.81,8.63,0.17
Estonia,2021-03-26,80,,44.71,26.27,0.43
Estonia,2021-04-02,0,17,0.02,0.0,0.0
Estonia,2021-04-02,18,24,5.6,1.94,0.08
Estonia,2021-04-02,25,49,10.87,3.48,0.13
Estonia,2021-04-02,50,59,20.84,5.72,0.21
Estonia,2021-04-02,60,69,30.55,6.33,0.21
Estonia,2021-04-02,70,79,40.71,11.54,0.22
Estonia,2021-04-02,80,,49.33,30.84,0.53
Estonia,2021-04-09,0,17,0.02,0.01,0.0
Estonia,2021-04-09,18,24,5.93,2.03,0.09
Estonia,2021-04-09,25,49,11.67,3.67,0.14
Estonia,2021-04-09,50,59,22.97,6.11,0.24
Estonia,2021-04-09,60,69,35.79,6.88,0.25
Estonia,2021-04-09,70,79,50.84,13.75,0.28
Estonia,2021-04-09,80,,55.22,33.14,0.65
Estonia,2021-04-16,0,17,0.03,0.01,0.0
Estonia,2021-04-16,18,24,6.25,2.2,0.1
Estonia,2021-04-16,25,49,12.56,4.37,0.17
Estonia,2021-04-16,50,59,25.38,7.59,0.3
Estonia,2021-04-16,60,69,40.99,8.62,0.32
Estonia,2021-04-16,70,79,58.57,15.29,0.36
Estonia,2021-04-16,80,,58.87,34.15,0.73
Estonia,2021-04-23,0,17,0.04,0.01,0.0
Estonia,2021-04-23,18,24,6.72,2.52,0.11
Estonia,2021-04-23,25,49,13.6,5.38,0.19
Estonia,2021-04-23,50,59,28.13,9.35,0.36
Estonia,2021-04-23,60,69,45.44,10.57,0.39
Estonia,2021-04-23,70,79,62.42,17.98,0.44
Estonia,2021-04-23,80,,60.81,35.57,0.78
Estonia,2021-04-30,0,17,0.05,0.01,0.0
Estonia,2021-04-30,18,24,7.59,3.5,0.15
Estonia,2021-04-30,25,49,15.21,6.92,0.26
Estonia,2021-04-30,50,59,32.55,12.25,0.47
Estonia,2021-04-30,60,69,49.65,14.55,0.5
Estonia,2021-04-30,70,79,65.3,21.93,0.55
Estonia,2021-04-30,80,,62.62,39.19,0.88
Estonia,2021-05-07,0,17,0.08,0.02,0.0
Estonia,2021-05-07,18,24,8.64,4.27,0.19
Estonia,2021-05-07,25,49,17.19,8.36,0.32
Estonia,2021-05-07,50,59,40.52,15.7,0.61
Estonia,2021-05-07,60,69,53.53,20.38,0.66
Estonia,2021-05-07,70,79,67.04,29.68,0.68
Estonia,2021-05-07,80,,63.77,44.59,0.98
Estonia,2021-05-14,0,17,0.12,0.02,0.0
Estonia,2021-05-14,18,24,9.74,4.71,0.22
Estonia,2021-05-14,25,49,19.73,9.31,0.38
Estonia,2021-05-14,50,59,45.75,17.62,0.7
Estonia,2021-05-14,60,69,55.87,23.29,0.74
Estonia,2021-05-14,70,79,68.01,34.52,0.81
Estonia,2021-05-14,80,,64.77,48.16,1.11
Estonia,2021-05-21,0,17,0.18,0.03,0.01
Estonia,2021-05-21,18,24,11.44,5.59,0.25
Estonia,2021-05-21,25,49,25.61,11.18,0.44
Estonia,2021-05-21,50,59,48.18,20.02,0.77
Estonia,2021-05-21,60,69,57.02,26.98,0.82
Estonia,2021-05-21,70,79,68.58,41.95,0.86
Estonia,2021-05-21,80,,65.45,53.51,1.15
Estonia,2021-05-28,0,17,0.54,0.04,0.01
Estonia,2021-05-28,18,24,18.27,7.72,0.28
Estonia,2021-05-28,25,49,30.16,13.34,0.5
Estonia,2021-05-28,50,59,49.57,23.23,0.84
Estonia,2021-05-28,60,69,57.84,32.1,0.89
Estonia,2021-05-28,70,79,69.1,49.23,0.93
Estonia,2021-05-28,80,,66.09,57.21,1.21
Estonia,2021-06-04,0,17,0.95,0.08,0.01
Estonia,2021-06-04,18,24,23.97,9.55,0.32
Estonia,2021-06-04,25,49,34.24,15.6,0.55
Estonia,2021-06-04,50,59,51.02,27.08,0.91
Estonia,2021-06-04,60,69,58.7,37.9,1.0
Estonia,2021-06-04,70,79,69.59,54.13,0.98
Estonia,2021-06-04,80,,66.61,59.33,1.23
Estonia,2021-06-11,0,17,1.25,0.13,0.01
Estonia,2021-06-11,18,24,28.42,11.98,0.39
Estonia,2021-06-11,25,49,37.25,18.69,0.61
Estonia,2021-06-11,50,59,52.3,34.38,1.02
Estonia,2021-06-11,60,69,59.49,44.85,1.09
Estonia,2021-06-11,70,79,70.02,59.02,1.01
Estonia,2021-06-11,80,,67.05,61.74,1.27
Estonia,2021-06-18,0,17,1.73,0.2,0.02
Estonia,2021-06-18,18,24,31.82,14.37,0.44
Estonia,2021-06-18,25,49,39.71,22.83,0.69
Estonia,2021-06-18,50,59,53.63,43.73,1.17
Estonia,2021-06-18,60,69,60.28,51.22,1.18
Estonia,2021-06-18,70,79,70.42,63.41,1.06
Estonia,2021-06-18,80,,67.41,63.55,1.28
Estonia,2021-06-25,0,17,2.33,0.27,0.02
Estonia,2021-06-25,18,24,33.12,16.03,0.48
Estonia,2021-06-25,25,49,40.71,24.89,0.73
Estonia,2021-06-25,50,59,54.19,47.0,1.22
Estonia,2021-06-25,60,69,60.58,54.15,1.22
Estonia,2021-06-25,70,79,70.54,65.59,1.07
Estonia,2021-06-25,80,,67.52,64.22,1.29
Estonia,2021-07-02,0,17,3.28,0.43,0.03
Estonia,2021-07-02,18,24,34.9,18.35,0.54
Estonia,2021-07-02,25,49,42.09,30.21,0.84
Estonia,2021-07-02,50,59,55.17,49.87,1.28
Estonia,2021-07-02,60,69,61.25,57.19,1.26
Estonia,2021-07-02,70,79,70.87,68.06,1.09
Estonia,2021-07-02,80,,67.77,65.15,1.31
Estonia,2021-07-09,0,17,4.34,0.84,0.04
Estonia,2021-07-09,18,24,36.87,23.62,0.63
Estonia,2021-07-09,25,49,43.69,34.21,0.93
Estonia,2021-07-09,50,59,56.36,51.49,1.33
Estonia,2021-07-09,60,69,62.07,58.45,1.3
Estonia,2021-07-09,70,79,71.28,68.88,1.11
Estonia,2021-07-09,80,,68.1,65.7,1.32
Estonia,2021-07-16,0,17,5.34,1.29,0.06
Estonia,2021-07-16,18,24,38.84,28.31,0.74
Estonia,2021-07-16,25,49,45.27,37.72,1.01
Estonia,2021-07-16,50,59,57.59,53.09,1.38
Estonia,2021-07-16,60,69,62.82,59.46,1.34
Estonia,2021-07-16,70,79,71.65,69.38,1.13
Estonia,2021-07-16,80,,68.38,66.08,1.34
Estonia,2021-07-23,0,17,6.8,2.0,0.07
Estonia,2021-07-23,18,24,42.29,33.14,0.82
Estonia,2021-07-23,25,49,47.29,41.11,1.07
Estonia,2021-07-23,50,59,59.15,54.9,1.42
Estonia,2021-07-23,60,69,63.94,60.65,1.37
Estonia,2021-07-23,70,79,72.29,69.98,1.14
Estonia,2021-07-23,80,,68.83,66.55,1.35
Estonia,2021-07-30,0,17,8.21,2.69,0.09
Estonia,2021-07-30,18,24,44.9,36.12,0.93
Estonia,2021-07-30,25,49,49.12,43.31,1.13
Estonia,2021-07-30,50,59,60.57,56.3,1.47
Estonia,2021-07-30,60,69,64.93,61.61,1.41
Estonia,2021-07-30,70,79,72.8,70.45,1.16
Estonia,2021-07-30,80,,69.18,66.86,1.36
Estonia,2021-08-06,0,17,10.04,3.55,0.11
Estonia,2021-08-06,18,24,48.41,38.41,1.07
Estonia,2021-08-06,25,49,51.63,45.2,1.22
Estonia,2021-08-06,50,59,62.4,57.65,1.56
Estonia,2021-08-06,60,69,66.11,62.48,1.47
Estonia,2021-08-06,70,79,73.45,70.88,1.18
Estonia,2021-08-06,80,,69.73,67.2,1.38
Estonia,2021-08-13,0,17,11.37,4.71,0.15
Estonia,2021-08-13,18,24,51.8,40.87,1.22
Estonia,2021-08-13,25,49,53.96,47.09,1.32
Estonia,2021-08-13,50,59,64.11,59.06,1.66
Estonia,2021-08-13,60,69,67.42,63.55,1.54
Estonia,2021-08-13,70,79,74.22,71.42,1.22
Estonia,2021-08-13,80,,70.34,67.59,1.4
Estonia,2021-08-20,0,17,12.19,5.6,0.17
Estonia,2021-08-20,18,24,54.21,43.1,1.38
Estonia,2021-08-20,25,49,55.56,48.47,1.41
Estonia,2021-08-20,50,59,65.37,60.16,1.75
Estonia,2021-08-20,60,69,68.3,64.32,1.6
Estonia,2021-08-20,70,79,74.71,71.86,1.25
Estonia,2021-08-20,80,,70.76,67.9,1.42
Estonia,2021-08-27,0,17,13.06,6.74,0.2
Estonia,2021-08-27,18,24,56.84,45.62,1.57
Estonia,2021-08-27,25,49,57.09,49.92,1.53
Estonia,2021-08-27,50,59,66.4,61.26,1.88
Estonia,2021-08-27,60,69,69.12,65.19,1.7
Estonia,2021-08-27,70,79,75.16,72.33,1.3
Estonia,2021-08-27,80,,71.15,68.26,1.45
Estonia,2021-09-03,0,17,13.4,8.07,0.24
Estonia,2021-09-03,18,24,58.38,47.79,1.73
Estonia,2021-09-03,25,49,58.0,51.45,1.66
Estonia,2021-09-03,50,59,67.06,62.39,1.99
Estonia,2021-09-03,60,69,69.59,65.98,1.78
Estonia,2021-09-03,70,79,75.43,72.84,1.35
Estonia,2021-09-03,80,,71.41,68.62,1.48
Estonia,2021-09-10,0,17,13.59,9.33,0.28
Estonia,2021-09-10,18,24,59.54,50.12,1.91
Estonia,2021-09-10,25,49,58.69,53.0,1.8
Estonia,2021-09-10,50,59,67.58,63.57,2.13
Estonia,2021-09-10,60,69,70.08,66.92,1.89
Estonia,2021-09-10,70,79,75.76,73.34,1.41
Estonia,2021-09-10,80,,71.67,69.02,1.51
Estonia,2021-09-17,0,17,13.81,10.61,0.32
Estonia,2021-09-17,18,24,60.58,52.84,2.08
Estonia,2021-09-17,25,49,59.42,54.89,1.94
Estonia,2021-09-17,50,59,68.15,64.93,2.29
Estonia,2021-09-17,60,69,70.55,67.88,2.0
Estonia,2021-09-17,70,79,76.05,73.89,1.48
Estonia,2021-09-17,80,,72.01,69.5,1.55
Estonia,2021-09-24,0,17,14.06,11.83,0.36
Estonia,2021-09-24,18,24,61.51,55.87,2.27
Estonia,2021-09-24,25,49,60.09,56.91,2.11
Estonia,2021-09-24,50,59,68.7,66.41,2.45
Estonia,2021-09-24,60,69,71.01,69.01,2.12
Estonia,2021-09-24,70,79,76.33,74.62,1.55
Estonia,2021-09-24,80,,72.34,70.18,1.62
Estonia,2021-10-01,0,17,14.25,12.57,0.39
Estonia,2021-10-01,18,24,62.17,57.76,2.42
Estonia,2021-10-01,25,49,60.6,58.14,2.21
Estonia,2021-10-01,50,59,69.09,67.3,2.56
Estonia,2021-10-01,60,69,71.39,69.69,2.23
Estonia,2021-10-01,70,79,76.6,75.05,1.61
Estonia,2021-10-01,80,,72.61,70.58,1.68
Estonia,2021-10-08,0,17,14.42,13.15,0.42
Estonia,2021-10-08,18,24,62.78,59.42,2.55
Estonia,2021-10-08,25,49,61.07,59.18,2.34
Estonia,2021-10-08,50,59,69.42,68.02,2.7
Estonia,2021-10-08,60,69,71.71,70.22,2.42
Estonia,2021-10-08,70,79,76.83,75.38,1.77
Estonia,2021-10-08,80,,72.86,70.9,1.83
Estonia,2021-10-15,0,17,14.58,13.47,0.45
Estonia,2021-10-15,18,24,63.38,60.71,2.79
Estonia,2021-10-15,25,49,61.63,60.07,2.73
Estonia,2021-10-15,50,59,69.91,68.69,3.22
Estonia,2021-10-15,60,69,72.16,70.76,2.95
Estonia,2021-10-15,70,79,77.15,75.74,2.36
Estonia,2021-10-15,80,,73.19,71.23,2.67
Estonia,2021-10-22,0,17,14.82,13.77,0.47
Estonia,2021-10-22,18,24,64.52,62.08,3.07
Estonia,2021-10-22,25,49,62.8,61.23,3.32
Estonia,2021-10-22,50,59,70.72,69.52,4.21
Estonia,2021-10-22,60,69,72.88,71.42,4.08
Estonia,2021-10-22,70,79,77.63,76.16,4.06
Estonia,2021-10-22,80,,73.66,71.67,5.47
Estonia,2021-10-29,0,17,15.32,14.07,0.5
Estonia,2021-10-29,18,24,66.09,63.54,3.44
Estonia,2021-10-29,25,49,64.17,62.34,4.15
Estonia,2021-10-29,50,59,71.8,70.34,5.98
Estonia,2021-10-29,60,69,73.82,72.02,7.0
Estonia,2021-10-29,70,79,78.35,76.59,9.62
Estonia,2021-10-29,80,,74.39,72.1,15.69
Estonia,2021-11-05,0,17,15.88,14.37,0.52
Estonia,2021-11-05,18,24,67.31,64.59,4.0
Estonia,2021-11-05,25,49,65.28,63.16,5.54
Estonia,2021-11-05,50,59,72.72,70.9,9.18
Estonia,2021-11-05,60,69,74.68,72.52,11.81
Estonia,2021-11-05,70,79,79.07,76.96,17.54
Estonia,2021-11-05,80,,75.14,72.51,26.21
Estonia,2021-11-12,0,17,16.25,14.56,0.55
Estonia,2021-11-12,18,24,68.09,65.29,4.67
Estonia,2021-11-12,25,49,65.94,63.73,6.89
Estonia,2021-11-12,50,59,73.22,71.29,11.97
Estonia,2021-11-12,60,69,75.22,72.89,16.3
Estonia,2021-11-12,70,79,79.54,77.27,24.21
Estonia,2021-11-12,80,,75.72,72.85,32.84
Estonia,2021-11-19,0,17,16.55,14.76,0.56
Estonia,2021-11-19,18,24,68.74,65.98,5.37
Estonia,2021-11-19,25,49,66.5,64.31,8.33
Estonia,2021-11-19,50,59,73.61,71.69,14.99
Estonia,2021-11-19,60,69,75.59,73.26,20.81
Estonia,2021-11-19,70,79,79.84,77.55,30.7
Estonia,2021-11-19,80,,76.2,73.19,37.55
