location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Italy,2021-01-01,18,24,0.0,0.0,0.0
Italy,2021-01-01,25,49,0.02,0.0,0.0
Italy,2021-01-01,50,59,0.02,0.0,0.0
Italy,2021-01-01,60,69,0.02,0.0,0.0
Italy,2021-01-01,70,79,0.0,0.0,0.0
Italy,2021-01-01,80,,0.0,0.0,0.0
Italy,2021-01-08,0,17,0.0,0.0,0.0
Italy,2021-01-08,18,24,0.36,0.0,0.0
Italy,2021-01-08,25,49,1.62,0.0,0.0
Italy,2021-01-08,50,59,1.97,0.0,0.0
Italy,2021-01-08,60,69,1.57,0.0,0.0
Italy,2021-01-08,70,79,0.28,0.0,0.0
Italy,2021-01-08,80,,0.79,0.0,0.0
Italy,2021-01-15,0,17,0.0,0.0,0.0
Italy,2021-01-15,18,24,0.9,0.0,0.0
Italy,2021-01-15,25,49,2.77,0.01,0.0
Italy,2021-01-15,50,59,3.37,0.01,0.0
Italy,2021-01-15,60,69,2.65,0.01,0.0
Italy,2021-01-15,70,79,0.7,0.0,0.0
Italy,2021-01-15,80,,2.28,0.0,0.0
Italy,2021-01-22,0,17,0.0,0.0,0.0
Italy,2021-01-22,18,24,1.01,0.03,0.0
Italy,2021-01-22,25,49,3.03,0.28,0.0
Italy,2021-01-22,50,59,3.66,0.34,0.0
Italy,2021-01-22,60,69,2.88,0.26,0.0
Italy,2021-01-22,70,79,0.84,0.03,0.0
Italy,2021-01-22,80,,2.95,0.11,0.0
Italy,2021-01-29,0,17,0.0,0.0,0.0
Italy,2021-01-29,18,24,1.03,0.33,0.0
Italy,2021-01-29,25,49,3.09,1.56,0.0
Italy,2021-01-29,50,59,3.73,1.91,0.0
Italy,2021-01-29,60,69,2.93,1.54,0.0
Italy,2021-01-29,70,79,0.88,0.25,0.0
Italy,2021-01-29,80,,3.12,0.66,0.0
Italy,2021-02-05,0,17,0.0,0.0,0.0
Italy,2021-02-05,18,24,1.12,0.87,0.0
Italy,2021-02-05,25,49,3.25,2.72,0.0
Italy,2021-02-05,50,59,3.9,3.31,0.0
Italy,2021-02-05,60,69,3.07,2.62,0.0
Italy,2021-02-05,70,79,0.95,0.66,0.0
Italy,2021-02-05,80,,3.37,2.02,0.0
Italy,2021-02-12,0,17,0.0,0.0,0.0
Italy,2021-02-12,18,24,1.46,0.98,0.0
Italy,2021-02-12,25,49,3.85,2.99,0.0
Italy,2021-02-12,50,59,4.46,3.62,0.0
Italy,2021-02-12,60,69,3.52,2.86,0.0
Italy,2021-02-12,70,79,1.19,0.8,0.0
Italy,2021-02-12,80,,4.91,2.71,0.0
Italy,2021-02-19,0,17,0.0,0.0,0.0
Italy,2021-02-19,18,24,1.81,1.01,0.0
Italy,2021-02-19,25,49,4.65,3.06,0.0
Italy,2021-02-19,50,59,5.2,3.71,0.0
Italy,2021-02-19,60,69,3.93,2.94,0.0
Italy,2021-02-19,70,79,1.43,0.85,0.0
Italy,2021-02-19,80,,9.48,2.91,0.0
Italy,2021-02-26,0,17,0.0,0.0,0.0
Italy,2021-02-26,18,24,2.08,1.08,0.0
Italy,2021-02-26,25,49,5.56,3.2,0.0
Italy,2021-02-26,50,59,6.33,3.86,0.0
Italy,2021-02-26,60,69,4.53,3.06,0.0
Italy,2021-02-26,70,79,1.61,0.92,0.0
Italy,2021-02-26,80,,18.42,3.15,0.0
Italy,2021-03-05,0,17,0.01,0.0,0.0
Italy,2021-03-05,18,24,2.37,1.4,0.0
Italy,2021-03-05,25,49,6.65,3.69,0.0
Italy,2021-03-05,50,59,8.0,4.35,0.0
Italy,2021-03-05,60,69,5.74,3.5,0.0
Italy,2021-03-05,70,79,1.95,1.14,0.0
Italy,2021-03-05,80,,27.95,4.47,0.0
Italy,2021-03-12,0,17,0.01,0.0,0.0
Italy,2021-03-12,18,24,2.71,1.67,0.0
Italy,2021-03-12,25,49,7.86,4.12,0.0
Italy,2021-03-12,50,59,9.65,4.78,0.0
Italy,2021-03-12,60,69,7.0,3.88,0.0
Italy,2021-03-12,70,79,2.52,1.36,0.0
Italy,2021-03-12,80,,37.3,8.52,0.0
Italy,2021-03-19,0,17,0.01,0.0,0.0
Italy,2021-03-19,18,24,2.92,1.85,0.0
Italy,2021-03-19,25,49,8.39,4.4,0.0
