location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Latvia,2021-01-08,18,24,0.31,0.0,0.0
Latvia,2021-01-08,25,49,0.55,0.0,0.0
Latvia,2021-01-08,50,59,0.67,0.0,0.0
Latvia,2021-01-08,60,69,0.49,0.0,0.0
Latvia,2021-01-08,70,79,0.12,0.0,0.0
Latvia,2021-01-08,80,,0.02,0.0,0.0
Latvia,2021-01-15,18,24,0.7,0.0,0.0
Latvia,2021-01-15,25,49,1.18,0.0,0.0
Latvia,2021-01-15,50,59,1.57,0.0,0.0
Latvia,2021-01-15,60,69,1.22,0.0,0.0
Latvia,2021-01-15,70,79,0.36,0.0,0.0
Latvia,2021-01-15,80,,0.07,0.0,0.0
Latvia,2021-01-22,18,24,0.76,0.1,0.0
Latvia,2021-01-22,25,49,1.26,0.2,0.0
Latvia,2021-01-22,50,59,1.66,0.19,0.0
Latvia,2021-01-22,60,69,1.28,0.11,0.0
Latvia,2021-01-22,70,79,0.38,0.04,0.0
Latvia,2021-01-22,80,,0.08,0.0,0.0
Latvia,2021-01-29,15,17,0.01,0.0,0.0
Latvia,2021-01-29,18,24,0.77,0.29,0.0
Latvia,2021-01-29,25,49,1.28,0.53,0.0
Latvia,2021-01-29,50,59,1.68,0.65,0.0
Latvia,2021-01-29,60,69,1.3,0.47,0.0
Latvia,2021-01-29,70,79,0.39,0.12,0.0
Latvia,2021-01-29,80,,0.08,0.01,0.0
Latvia,2021-02-05,15,17,0.01,0.0,0.0
Latvia,2021-02-05,18,24,0.78,0.62,0.0
Latvia,2021-02-05,25,49,1.32,1.06,0.0
Latvia,2021-02-05,50,59,1.77,1.44,0.0
Latvia,2021-02-05,60,69,1.37,1.12,0.0
Latvia,2021-02-05,70,79,0.41,0.32,0.0
Latvia,2021-02-05,80,,0.09,0.06,0.0
Latvia,2021-02-12,15,17,0.01,0.0,0.0
Latvia,2021-02-12,18,24,1.0,0.71,0.0
Latvia,2021-02-12,25,49,1.52,1.21,0.0
Latvia,2021-02-12,50,59,2.04,1.6,0.0
Latvia,2021-02-12,60,69,1.64,1.24,0.0
Latvia,2021-02-12,70,79,0.55,0.37,0.0
Latvia,2021-02-12,80,,0.26,0.08,0.0
Latvia,2021-02-19,15,17,0.01,0.0,0.0
Latvia,2021-02-19,18,24,1.18,0.74,0.0
Latvia,2021-02-19,25,49,1.86,1.25,0.0
Latvia,2021-02-19,50,59,2.64,1.65,0.0
Latvia,2021-02-19,60,69,2.25,1.28,0.0
Latvia,2021-02-19,70,79,1.47,0.39,0.0
Latvia,2021-02-19,80,,1.39,0.08,0.0
Latvia,2021-02-26,15,17,0.01,0.0,0.0
Latvia,2021-02-26,18,24,1.52,0.75,0.0
Latvia,2021-02-26,25,49,2.13,1.27,0.0
Latvia,2021-02-26,50,59,3.06,1.67,0.0
Latvia,2021-02-26,60,69,2.84,1.3,0.0
Latvia,2021-02-26,70,79,6.13,0.39,0.0
Latvia,2021-02-26,80,,4.98,0.08,0.0
Latvia,2021-03-05,15,17,0.02,0.01,0.0
Latvia,2021-03-05,18,24,1.65,0.79,0.0
Latvia,2021-03-05,25,49,2.31,1.33,0.0
Latvia,2021-03-05,50,59,3.41,1.78,0.0
Latvia,2021-03-05,60,69,3.43,1.39,0.0
Latvia,2021-03-05,70,79,11.9,0.42,0.0
Latvia,2021-03-05,80,,9.79,0.09,0.0
Latvia,2021-03-12,15,17,0.02,0.01,0.0
Latvia,2021-03-12,18,24,1.76,0.8,0.0
Latvia,2021-03-12,25,49,2.44,1.34,0.0
Latvia,2021-03-12,50,59,3.66,1.79,0.0
Latvia,2021-03-12,60,69,4.06,1.4,0.0
Latvia,2021-03-12,70,79,16.44,0.43,0.0
Latvia,2021-03-12,80,,13.52,0.09,0.0
Latvia,2021-03-19,15,17,0.02,0.01,0.0
Latvia,2021-03-19,18,24,1.8,0.83,0.0
Latvia,2021-03-19,25,49,2.48,1.39,0.0
Latvia,2021-03-19,50,59,3.73,1.85,0.0
Latvia,2021-03-19,60,69,4.26,1.45,0.0
Latvia,2021-03-19,70,79,17.93,0.53,0.0
Latvia,2021-03-19,80,,14.63,0.16,0.0
Latvia,2021-03-26,15,17,0.02,0.01,0.0
Latvia,2021-03-26,18,24,1.92,0.91,0.0
Latvia,2021-03-26,25,49,2.76,1.47,0.0
Latvia,2021-03-26,50,59,4.48,1.96,0.0
Latvia,2021-03-26,60,69,6.16,1.55,0.0
Latvia,2021-03-26,70,79,23.01,1.27,0.0
Latvia,2021-03-26,80,,18.45,0.72,0.0
Latvia,2021-04-02,15,17,0.02,0.01,0.0
Latvia,2021-04-02,18,24,2.17,0.98,0.0
Latvia,2021-04-02,25,49,3.26,1.53,0.0
Latvia,2021-04-02,50,59,5.69,2.07,0.0
Latvia,2021-04-02,60,69,8.57,1.69,0.0
Latvia,2021-04-02,70,79,25.85,2.07,0.0
Latvia,2021-04-02,80,,20.47,1.32,0.0
Latvia,2021-04-09,15,17,0.04,0.01,0.0
Latvia,2021-04-09,18,24,2.71,1.01,0.0
Latvia,2021-04-09,25,49,4.1,1.57,0.0
Latvia,2021-04-09,50,59,7.33,2.12,0.0
Latvia,2021-04-09,60,69,13.67,1.76,0.0
Latvia,2021-04-09,70,79,28.6,2.46,0.0
Latvia,2021-04-09,80,,22.65,1.63,0.0
Latvia,2021-04-16,15,17,0.06,0.01,0.0
Latvia,2021-04-16,18,24,4.23,1.08,0.0
Latvia,2021-04-16,25,49,6.0,1.67,0.0
Latvia,2021-04-16,50,59,9.73,2.26,0.0
Latvia,2021-04-16,60,69,17.24,1.9,0.0
Latvia,2021-04-16,70,79,30.21,2.65,0.0
Latvia,2021-04-16,80,,23.9,1.8,0.0
Latvia,2021-04-23,15,17,0.08,0.02,0.0
Latvia,2021-04-23,18,24,5.08,1.23,0.0
Latvia,2021-04-23,25,49,8.14,1.98,0.0
Latvia,2021-04-23,50,59,12.78,2.85,0.0
Latvia,2021-04-23,60,69,21.73,2.89,0.0
Latvia,2021-04-23,70,79,32.42,4.51,0.0
Latvia,2021-04-23,80,,25.46,3.23,0.0
Latvia,2021-04-30,15,17,0.13,0.02,0.0
Latvia,2021-04-30,18,24,6.55,1.57,0.0
Latvia,2021-04-30,25,49,11.08,2.32,0.0
Latvia,2021-04-30,50,59,16.31,3.48,0.0
Latvia,2021-04-30,60,69,25.88,3.87,0.0
Latvia,2021-04-30,70,79,34.81,8.0,0.0
Latvia,2021-04-30,80,,27.2,6.11,0.0
Latvia,2021-05-07,15,17,0.3,0.03,0.0
Latvia,2021-05-07,18,24,10.95,2.0,0.0
Latvia,2021-05-07,25,49,16.02,3.2,0.0
Latvia,2021-05-07,50,59,19.98,5.03,0.0
Latvia,2021-05-07,60,69,28.68,6.42,0.0
Latvia,2021-05-07,70,79,36.47,12.26,0.0
Latvia,2021-05-07,80,,28.44,9.74,0.0
Latvia,2021-05-14,10,14,0.01,0.0,0.0
Latvia,2021-05-14,15,17,0.6,0.05,0.0
Latvia,2021-05-14,18,24,16.41,2.84,0.0
Latvia,2021-05-14,25,49,22.16,4.98,0.0
Latvia,2021-05-14,50,59,25.06,7.54,0.0
Latvia,2021-05-14,60,69,31.84,9.99,0.0
Latvia,2021-05-14,70,79,38.64,17.56,0.0
Latvia,2021-05-14,80,,30.2,14.15,0.0
Latvia,2021-05-21,10,14,0.02,0.0,0.0
Latvia,2021-05-21,15,17,3.59,0.12,0.0
Latvia,2021-05-21,18,24,20.33,4.58,0.0
Latvia,2021-05-21,25,49,26.21,8.35,0.0
Latvia,2021-05-21,50,59,28.54,11.75,0.0
Latvia,2021-05-21,60,69,34.43,15.36,0.0
Latvia,2021-05-21,70,79,40.39,23.3,0.0
Latvia,2021-05-21,80,,31.54,18.72,0.0
Latvia,2021-05-28,10,14,0.03,0.0,0.0
Latvia,2021-05-28,15,17,6.73,0.29,0.0
Latvia,2021-05-28,18,24,24.75,9.32,0.0
Latvia,2021-05-28,25,49,29.56,13.86,0.0
Latvia,2021-05-28,50,59,31.44,16.55,0.0
Latvia,2021-05-28,60,69,36.58,20.28,0.0
Latvia,2021-05-28,70,79,41.93,28.96,0.0
Latvia,2021-05-28,80,,32.68,23.13,0.0
Latvia,2021-06-04,10,14,0.61,0.01,0.0
Latvia,2021-06-04,15,17,9.62,0.62,0.0
Latvia,2021-06-04,18,24,28.59,15.63,0.0
Latvia,2021-06-04,25,49,31.89,20.64,0.0
Latvia,2021-06-04,50,59,33.47,22.43,0.0
Latvia,2021-06-04,60,69,38.23,24.84,0.0
Latvia,2021-06-04,70,79,43.2,33.55,0.0
Latvia,2021-06-04,80,,33.69,26.65,0.0
Latvia,2021-06-11,10,14,2.67,0.03,0.0
Latvia,2021-06-11,15,17,13.81,3.36,0.0
Latvia,2021-06-11,18,24,32.12,19.92,0.0
Latvia,2021-06-11,25,49,34.14,25.18,0.0
Latvia,2021-06-11,50,59,35.49,26.89,0.0
Latvia,2021-06-11,60,69,39.88,29.72,0.0
Latvia,2021-06-11,70,79,44.46,37.45,0.0
Latvia,2021-06-11,80,,34.64,29.69,0.0
Latvia,2021-06-18,10,14,4.07,0.05,0.0
Latvia,2021-06-18,15,17,17.09,6.39,0.0
Latvia,2021-06-18,18,24,34.76,24.73,0.0
Latvia,2021-06-18,25,49,36.03,29.28,0.0
Latvia,2021-06-18,50,59,37.29,30.88,0.0
Latvia,2021-06-18,60,69,41.35,33.94,0.0
Latvia,2021-06-18,70,79,45.59,40.59,0.0
Latvia,2021-06-18,80,,35.48,32.1,0.0
Latvia,2021-06-25,10,14,4.43,0.34,0.0
Latvia,2021-06-25,15,17,17.98,8.14,0.0
Latvia,2021-06-25,18,24,35.62,26.97,0.0
Latvia,2021-06-25,25,49,36.67,30.94,0.0
Latvia,2021-06-25,50,59,37.86,32.52,0.0
Latvia,2021-06-25,60,69,41.83,35.79,0.0
Latvia,2021-06-25,70,79,45.95,41.76,0.0
Latvia,2021-06-25,80,,35.68,32.95,0.0
Latvia,2021-07-02,10,14,5.61,2.38,0.0
Latvia,2021-07-02,15,17,20.67,13.16,0.0
Latvia,2021-07-02,18,24,37.98,32.54,0.0
Latvia,2021-07-02,25,49,38.39,34.91,0.0
Latvia,2021-07-02,50,59,39.67,36.29,0.0
Latvia,2021-07-02,60,69,43.4,40.03,0.0
Latvia,2021-07-02,70,79,47.05,44.21,0.0
Latvia,2021-07-02,80,,36.49,34.81,0.0
Latvia,2021-07-09,10,14,6.66,3.87,0.0
Latvia,2021-07-09,15,17,23.08,16.68,0.0
Latvia,2021-07-09,18,24,40.33,36.33,0.0
Latvia,2021-07-09,25,49,40.23,37.71,0.0
Latvia,2021-07-09,50,59,41.56,38.89,0.0
Latvia,2021-07-09,60,69,45.02,42.21,0.0
Latvia,2021-07-09,70,79,48.15,45.75,0.0
Latvia,2021-07-09,80,,37.22,35.99,0.0
Latvia,2021-07-16,10,14,7.64,4.31,0.0
Latvia,2021-07-16,15,17,25.19,17.75,0.0
Latvia,2021-07-16,18,24,42.54,38.09,0.0
Latvia,2021-07-16,25,49,41.89,39.14,0.0
Latvia,2021-07-16,50,59,43.3,40.32,0.0
Latvia,2021-07-16,60,69,46.41,43.39,0.0
Latvia,2021-07-16,70,79,48.98,46.52,0.0
Latvia,2021-07-16,80,,37.79,36.63,0.0
Latvia,2021-07-23,10,14,8.59,5.33,0.0
Latvia,2021-07-23,15,17,27.11,20.24,0.0
Latvia,2021-07-23,18,24,44.43,40.11,0.0
Latvia,2021-07-23,25,49,43.37,40.56,0.0
Latvia,2021-07-23,50,59,44.83,41.74,0.0
Latvia,2021-07-23,60,69,47.65,44.66,0.0
Latvia,2021-07-23,70,79,49.82,47.39,0.0
Latvia,2021-07-23,80,,38.35,37.27,0.0
Latvia,2021-07-30,10,14,9.59,6.39,0.0
Latvia,2021-07-30,15,17,29.04,22.65,0.0
Latvia,2021-07-30,18,24,46.17,41.78,0.0
Latvia,2021-07-30,25,49,44.69,41.79,0.0
Latvia,2021-07-30,50,59,46.14,42.94,0.0
Latvia,2021-07-30,60,69,48.74,45.79,0.0
Latvia,2021-07-30,70,79,50.54,48.19,0.0
Latvia,2021-07-30,80,,38.85,37.78,0.0
Latvia,2021-08-06,10,14,10.43,7.25,0.0
Latvia,2021-08-06,15,17,30.75,24.52,0.0
Latvia,2021-08-06,18,24,47.73,43.25,0.0
Latvia,2021-08-06,25,49,45.89,42.79,0.0
Latvia,2021-08-06,50,59,47.46,43.98,0.0
Latvia,2021-08-06,60,69,49.81,46.73,0.0
Latvia,2021-08-06,70,79,51.22,48.75,0.0
Latvia,2021-08-06,80,,39.4,38.18,0.0
Latvia,2021-08-13,10,14,11.74,8.16,0.0
Latvia,2021-08-13,15,17,33.33,26.36,0.0
Latvia,2021-08-13,18,24,49.28,44.61,0.0
Latvia,2021-08-13,25,49,47.11,43.76,0.0
Latvia,2021-08-13,50,59,48.75,45.02,0.0
Latvia,2021-08-13,60,69,50.9,47.6,0.0
Latvia,2021-08-13,70,79,51.98,49.41,0.0
Latvia,2021-08-13,80,,39.97,38.65,0.0
Latvia,2021-08-20,10,14,13.37,9.06,0.0
Latvia,2021-08-20,15,17,36.39,28.2,0.0
Latvia,2021-08-20,18,24,51.11,46.1,0.0
Latvia,2021-08-20,25,49,48.24,44.76,0.0
Latvia,2021-08-20,50,59,49.97,46.13,0.0
Latvia,2021-08-20,60,69,51.89,48.56,0.0
Latvia,2021-08-20,70,79,52.64,50.04,0.0
Latvia,2021-08-20,80,,40.48,39.18,0.0
Latvia,2021-08-27,10,14,14.78,9.91,0.0
Latvia,2021-08-27,15,17,38.8,29.85,0.0
Latvia,2021-08-27,18,24,53.02,47.41,0.0
Latvia,2021-08-27,25,49,49.35,45.71,0.0
Latvia,2021-08-27,50,59,51.13,47.23,0.0
Latvia,2021-08-27,60,69,52.79,49.48,0.0
Latvia,2021-08-27,70,79,53.23,50.64,0.0
Latvia,2021-08-27,80,,40.93,39.65,0.0
Latvia,2021-09-03,10,14,15.64,11.04,0.0
Latvia,2021-09-03,15,17,40.37,32.12,0.0
Latvia,2021-09-03,18,24,54.9,48.74,0.0
Latvia,2021-09-03,25,49,50.35,46.66,0.0
Latvia,2021-09-03,50,59,52.07,48.26,0.0
Latvia,2021-09-03,60,69,53.55,50.37,0.0
Latvia,2021-09-03,70,79,53.77,51.27,0.0
Latvia,2021-09-03,80,,41.37,40.07,0.0
Latvia,2021-09-10,10,14,16.37,12.42,0.0
Latvia,2021-09-10,15,17,41.61,34.7,0.0
Latvia,2021-09-10,18,24,56.38,50.19,0.0
Latvia,2021-09-10,25,49,51.33,47.52,0.0
