location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Netherlands,2021-01-08,15,17,0.0,0.0,0.0
Netherlands,2021-01-08,18,24,0.13,0.0,0.0
Netherlands,2021-01-08,25,49,0.39,0.0,0.0
Netherlands,2021-01-08,50,59,0.3,0.0,0.0
Netherlands,2021-01-08,60,69,0.16,0.0,0.0
Netherlands,2021-01-08,70,79,0.0,0.0,0.0
Netherlands,2021-01-08,80,,0.0,0.0,0.0
Netherlands,2021-01-15,15,17,0.0,0.0,0.0
Netherlands,2021-01-15,18,24,0.34,0.0,0.0
Netherlands,2021-01-15,25,49,0.7,0.0,0.0
Netherlands,2021-01-15,50,59,0.83,0.0,0.0
Netherlands,2021-01-15,60,69,0.57,0.0,0.0
Netherlands,2021-01-15,70,79,0.02,0.0,0.0
Netherlands,2021-01-15,80,,0.0,0.0,0.0
Netherlands,2021-01-22,10,14,0.0,0.0,0.0
Netherlands,2021-01-22,15,17,0.0,0.0,0.0
Netherlands,2021-01-22,18,24,0.83,0.0,0.0
Netherlands,2021-01-22,25,49,1.26,0.0,0.0
Netherlands,2021-01-22,50,59,1.88,0.0,0.0
Netherlands,2021-01-22,60,69,1.4,0.0,0.0
Netherlands,2021-01-22,70,79,0.16,0.0,0.0
Netherlands,2021-01-22,80,,0.29,0.0,0.0
Netherlands,2021-01-29,10,14,0.0,0.0,0.0
Netherlands,2021-01-29,15,17,0.0,0.0,0.0
Netherlands,2021-01-29,18,24,1.37,0.09,0.0
Netherlands,2021-01-29,25,49,1.89,0.25,0.0
Netherlands,2021-01-29,50,59,3.02,0.2,0.0
Netherlands,2021-01-29,60,69,2.36,0.11,0.0
Netherlands,2021-01-29,70,79,0.65,0.0,0.0
Netherlands,2021-01-29,80,,4.47,0.01,0.0
Netherlands,2021-02-05,10,14,0.0,0.0,0.0
Netherlands,2021-02-05,15,17,0.01,0.0,0.0
Netherlands,2021-02-05,18,24,1.7,0.28,0.0
Netherlands,2021-02-05,25,49,2.34,0.62,0.0
Netherlands,2021-02-05,50,59,3.68,0.67,0.0
Netherlands,2021-02-05,60,69,2.94,0.45,0.0
Netherlands,2021-02-05,70,79,1.03,0.02,0.0
Netherlands,2021-02-05,80,,14.88,0.03,0.0
Netherlands,2021-02-12,10,14,0.0,0.0,0.0
Netherlands,2021-02-12,15,17,0.01,0.0,0.0
Netherlands,2021-02-12,18,24,1.74,0.76,0.0
Netherlands,2021-02-12,25,49,2.39,1.15,0.0
Netherlands,2021-02-12,50,59,3.75,1.71,0.0
Netherlands,2021-02-12,60,69,3.02,1.26,0.0
Netherlands,2021-02-12,70,79,1.07,0.15,0.0
Netherlands,2021-02-12,80,,27.86,0.3,0.0
Netherlands,2021-02-19,10,14,0.0,0.0,0.0
Netherlands,2021-02-19,15,17,0.01,0.0,0.0
Netherlands,2021-02-19,18,24,2.1,1.19,0.0
Netherlands,2021-02-19,25,49,2.83,1.6,0.0
Netherlands,2021-02-19,50,59,4.37,2.57,0.0
Netherlands,2021-02-19,60,69,3.9,1.91,0.0
Netherlands,2021-02-19,70,79,1.17,0.18,0.0
Netherlands,2021-02-19,80,,37.81,0.34,0.0
Netherlands,2021-02-26,10,14,0.0,0.0,0.0
Netherlands,2021-02-26,15,17,0.01,0.0,0.0
Netherlands,2021-02-26,18,24,2.56,1.54,0.0
Netherlands,2021-02-26,25,49,3.49,2.02,0.0
Netherlands,2021-02-26,50,59,5.23,3.29,0.0
Netherlands,2021-02-26,60,69,6.95,2.58,0.0
Netherlands,2021-02-26,70,79,1.42,0.65,0.0
Netherlands,2021-02-26,80,,48.3,2.78,0.0
Netherlands,2021-03-05,10,14,0.0,0.0,0.0
Netherlands,2021-03-05,15,17,0.02,0.01,0.0
Netherlands,2021-03-05,18,24,2.75,1.68,0.0
Netherlands,2021-03-05,25,49,3.77,2.31,0.0
Netherlands,2021-03-05,50,59,5.64,3.63,0.0
Netherlands,2021-03-05,60,69,9.24,2.95,0.0
Netherlands,2021-03-05,70,79,1.68,1.0,0.0
Netherlands,2021-03-05,80,,61.21,5.79,0.0
Netherlands,2021-03-12,10,14,0.0,0.0,0.0
Netherlands,2021-03-12,15,17,0.02,0.01,0.0
Netherlands,2021-03-12,18,24,3.19,1.71,0.0
Netherlands,2021-03-12,25,49,4.28,2.35,0.0
Netherlands,2021-03-12,50,59,6.43,3.69,0.0
Netherlands,2021-03-12,60,69,10.84,3.02,0.0
Netherlands,2021-03-12,70,79,2.38,1.02,0.0
Netherlands,2021-03-12,80,,69.56,14.08,0.0
Netherlands,2021-03-19,10,14,0.0,0.0,0.0
Netherlands,2021-03-19,15,17,0.02,0.01,0.0
Netherlands,2021-03-19,18,24,3.23,1.75,0.0
