location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Peru,2021-02-13,0,17.0,0.0,,
Peru,2021-02-13,18,24.0,0.0429,,
Peru,2021-02-13,25,49.0,0.6269,,
Peru,2021-02-13,50,59.0,0.5705,,
Peru,2021-02-13,60,69.0,0.328,,
Peru,2021-02-13,70,79.0,0.0061,,
Peru,2021-02-13,80,,0.0015,,
Peru,2021-02-20,0,17.0,0.0,,
Peru,2021-02-20,18,24.0,0.1565,,
Peru,2021-02-20,25,49.0,1.1289,,
Peru,2021-02-20,50,59.0,1.0379,,
Peru,2021-02-20,60,69.0,0.7783,,
Peru,2021-02-20,70,79.0,0.018,,
Peru,2021-02-20,80,,0.0042,,
Peru,2021-02-27,0,17.0,0.0001,,
Peru,2021-02-27,18,24.0,0.3144,,
Peru,2021-02-27,25,49.0,1.7747,,
Peru,2021-02-27,50,59.0,1.6735,,
Peru,2021-02-27,60,69.0,1.5028,,
Peru,2021-02-27,70,79.0,0.0572,,
Peru,2021-02-27,80,,0.0118,,
Peru,2021-03-06,0,17.0,0.0003,0.0,
Peru,2021-03-06,18,24.0,0.3681,0.0355,
Peru,2021-03-06,25,49.0,1.9587,0.5452,
Peru,2021-03-06,50,59.0,1.8284,0.5195,
Peru,2021-03-06,60,69.0,1.7262,0.3052,
Peru,2021-03-06,70,79.0,0.0799,0.006,
Peru,2021-03-06,80,,0.0169,0.0006,
Peru,2021-03-13,0,17.0,0.0005,0.0001,
Peru,2021-03-13,18,24.0,0.6367,0.123,
Peru,2021-03-13,25,49.0,2.2014,0.9891,
Peru,2021-03-13,50,59.0,2.2568,0.9402,
Peru,2021-03-13,60,69.0,1.9231,0.7091,
Peru,2021-03-13,70,79.0,0.2975,0.0185,
Peru,2021-03-13,80,,1.9851,0.0058,
Peru,2021-03-20,0,17.0,0.0014,0.0001,
Peru,2021-03-20,18,24.0,1.0831,0.2727,
Peru,2021-03-20,25,49.0,2.6016,1.6196,
Peru,2021-03-20,50,59.0,2.5175,1.5745,
Peru,2021-03-20,60,69.0,2.2045,1.4264,
Peru,2021-03-20,70,79.0,1.1361,0.057,
Peru,2021-03-20,80,,8.2855,0.0124,
Peru,2021-03-27,0,17.0,0.0016,0.0001,
Peru,2021-03-27,18,24.0,1.4367,0.3284,
Peru,2021-03-27,25,49.0,2.7738,1.8293,
Peru,2021-03-27,50,59.0,2.6484,1.745,
Peru,2021-03-27,60,69.0,2.462,1.6576,
Peru,2021-03-27,70,79.0,1.8773,0.08,
Peru,2021-03-27,80,,12.2662,0.0168,
Peru,2021-04-03,0,17.0,0.0017,0.0003,
Peru,2021-04-03,18,24.0,1.4903,0.569,
Peru,2021-04-03,25,49.0,2.8712,2.0384,
Peru,2021-04-03,50,59.0,2.7197,2.1477,
Peru,2021-04-03,60,69.0,2.5517,1.826,
Peru,2021-04-03,70,79.0,1.9921,0.2612,
Peru,2021-04-03,80,,13.132,1.7934,
Peru,2021-04-10,0,17.0,0.0019,0.0006,
Peru,2021-04-10,18,24.0,1.7231,0.8312,
Peru,2021-04-10,25,49.0,3.2405,2.344,
Peru,2021-04-10,50,59.0,2.9701,2.3728,
Peru,2021-04-10,60,69.0,2.712,2.0889,
Peru,2021-04-10,70,79.0,2.1294,0.9615,
Peru,2021-04-10,80,,13.398,6.8397,
Peru,2021-04-17,0,17.0,0.002,0.0007,
Peru,2021-04-17,18,24.0,1.891,1.333,
Peru,2021-04-17,25,49.0,3.2856,2.6579,
Peru,2021-04-17,50,59.0,3.0032,2.5722,
Peru,2021-04-17,60,69.0,2.7358,2.3813,
Peru,2021-04-17,70,79.0,2.2084,1.7678,
Peru,2021-04-17,80,,19.7333,11.5192,
Peru,2021-04-24,0,17.0,0.0022,0.0008,
Peru,2021-04-24,18,24.0,1.9789,1.4155,
Peru,2021-04-24,25,49.0,3.4795,2.7703,
Peru,2021-04-24,50,59.0,3.2068,2.653,
Peru,2021-04-24,60,69.0,2.8084,2.4818,
Peru,2021-04-24,70,79.0,3.1755,1.8767,
Peru,2021-04-24,80,,30.2901,12.5574,
Peru,2021-05-01,0,17.0,0.0024,0.001,
Peru,2021-05-01,18,24.0,2.0407,1.5888,
Peru,2021-05-01,25,49.0,3.5429,3.1034,
Peru,2021-05-01,50,59.0,3.2436,2.8797,
Peru,2021-05-01,60,69.0,3.5874,2.6284,
Peru,2021-05-01,70,79.0,13.9887,1.9876,
Peru,2021-05-01,80,,47.5254,12.7896,
Peru,2021-05-08,0,17.0,0.0029,0.001,
Peru,2021-05-08,18,24.0,2.1401,1.7346,
Peru,2021-05-08,25,49.0,3.5892,3.1685,
Peru,2021-05-08,50,59.0,3.2624,2.9256,
Peru,2021-05-08,60,69.0,4.6892,2.6704,
Peru,2021-05-08,70,79.0,27.2718,2.0952,
Peru,2021-05-08,80,,60.0497,17.9667,
Peru,2021-05-15,0,17.0,0.0037,0.0013,
Peru,2021-05-15,18,24.0,2.3385,1.8735,
Peru,2021-05-15,25,49.0,3.7252,3.3116,
Peru,2021-05-15,50,59.0,3.35,3.0903,
Peru,2021-05-15,60,69.0,7.1844,2.7378,
Peru,2021-05-15,70,79.0,49.5754,2.9564,
Peru,2021-05-15,80,,65.063,28.3387,
Peru,2021-05-22,0,17.0,0.0045,0.0014,
Peru,2021-05-22,18,24.0,2.4772,1.9223,
Peru,2021-05-22,25,49.0,3.8415,3.3892,
Peru,2021-05-22,50,59.0,3.5264,3.1575,
Peru,2021-05-22,60,69.0,16.0904,2.9785,
Peru,2021-05-22,70,79.0,65.8484,9.7934,
Peru,2021-05-22,80,,68.8912,39.044,
Peru,2021-05-29,0,17.0,0.0057,0.0017,
Peru,2021-05-29,18,24.0,2.6336,2.032,
Peru,2021-05-29,25,49.0,4.0196,3.4842,
Peru,2021-05-29,50,59.0,4.2868,3.1978,
Peru,2021-05-29,60,69.0,35.8161,3.4394,
Peru,2021-05-29,70,79.0,70.5237,20.6399,
Peru,2021-05-29,80,,71.0503,51.1328,
Peru,2021-06-05,0,17.0,0.0068,0.0022,
Peru,2021-06-05,18,24.0,2.7308,2.0985,
Peru,2021-06-05,25,49.0,4.1462,3.5318,
Peru,2021-06-05,50,59.0,5.0557,3.2314,
Peru,2021-06-05,60,69.0,46.8413,3.996,
Peru,2021-06-05,70,79.0,72.1625,34.1472,
Peru,2021-06-05,80,,72.2723,54.2652,
Peru,2021-06-12,0,17.0,0.0075,0.0029,
Peru,2021-06-12,18,24.0,2.807,2.2039,
Peru,2021-06-12,25,49.0,4.2615,3.6274,
Peru,2021-06-12,50,59.0,6.7696,3.3635,
Peru,2021-06-12,60,69.0,64.4682,11.8487,
Peru,2021-06-12,70,79.0,74.9773,58.8417,
Peru,2021-06-12,80,,74.519,63.2276,
Peru,2021-06-19,0,17.0,0.0085,0.004,
Peru,2021-06-19,18,24.0,2.9575,2.4107,
Peru,2021-06-19,25,49.0,4.5984,3.8396,
Peru,2021-06-19,50,59.0,8.1455,4.0473,
Peru,2021-06-19,60,69.0,69.738,31.7186,
Peru,2021-06-19,70,79.0,77.3256,66.7147,
Peru,2021-06-19,80,,76.4792,67.1476,
Peru,2021-06-26,0,17.0,0.0095,0.0046,
Peru,2021-06-26,18,24.0,3.2103,2.5857,
Peru,2021-06-26,25,49.0,5.025,4.0201,
Peru,2021-06-26,50,59.0,13.9587,4.7707,
Peru,2021-06-26,60,69.0,72.2277,44.0111,
Peru,2021-06-26,70,79.0,79.2187,69.1167,
Peru,2021-06-26,80,,78.2966,68.9623,
Peru,2021-07-03,0,17.0,0.0107,0.0051,
Peru,2021-07-03,18,24.0,3.3673,2.6738,
Peru,2021-07-03,25,49.0,5.3459,4.1262,
Peru,2021-07-03,50,59.0,27.0557,6.0994,
Peru,2021-07-03,60,69.0,74.1631,59.8822,
Peru,2021-07-03,70,79.0,80.6667,71.3755,
Peru,2021-07-03,80,,79.6129,70.6905,
Peru,2021-07-10,0,17.0,0.0129,0.0057,
Peru,2021-07-10,18,24.0,3.6224,2.7991,
Peru,2021-07-10,25,49.0,7.5178,4.4227,
Peru,2021-07-10,50,59.0,47.6063,7.4606,
Peru,2021-07-10,60,69.0,76.7037,65.9062,
Peru,2021-07-10,70,79.0,82.3105,73.6447,
Peru,2021-07-10,80,,81.013,72.6096,
Peru,2021-07-17,0,17.0,0.0151,0.0064,
Peru,2021-07-17,18,24.0,3.8683,3.0008,
Peru,2021-07-17,25,49.0,11.2232,4.7852,
Peru,2021-07-17,50,59.0,61.0278,12.4162,
Peru,2021-07-17,60,69.0,78.2816,68.9427,
Peru,2021-07-17,70,79.0,83.3322,75.8814,
Peru,2021-07-17,80,,81.8079,74.6759,
Peru,2021-07-24,0,17.0,0.0282,0.0071,
Peru,2021-07-24,18,24.0,4.4895,3.1358,
Peru,2021-07-24,25,49.0,16.3863,5.0841,
Peru,2021-07-24,50,59.0,66.4304,23.8203,
Peru,2021-07-24,60,69.0,79.4362,70.903,
Peru,2021-07-24,70,79.0,84.0562,77.4774,
Peru,2021-07-24,80,,82.3265,76.1027,
Peru,2021-07-31,0,17.0,0.0365,0.008,
Peru,2021-07-31,18,24.0,4.7551,3.2772,
Peru,2021-07-31,25,49.0,18.898,6.5725,
Peru,2021-07-31,50,59.0,68.9031,41.1183,
Peru,2021-07-31,60,69.0,80.1023,73.1969,
Peru,2021-07-31,70,79.0,84.4935,79.0612,
Peru,2021-07-31,80,,82.6534,77.4876,
Peru,2021-08-07,0,17.0,0.0418,0.0097,
Peru,2021-08-07,18,24.0,5.2519,3.4845,
Peru,2021-08-07,25,49.0,23.2415,9.8469,
Peru,2021-08-07,50,59.0,71.6308,54.884,
Peru,2021-08-07,60,69.0,80.9999,75.2432,
Peru,2021-08-07,70,79.0,85.1304,80.4216,
Peru,2021-08-07,80,,83.0817,78.5819,
Peru,2021-08-14,0,17.0,0.0516,0.0171,
Peru,2021-08-14,18,24.0,5.6181,3.895,
Peru,2021-08-14,25,49.0,26.365,13.5909,
Peru,2021-08-14,50,59.0,73.4606,60.0933,
Peru,2021-08-14,60,69.0,81.7853,76.4727,
Peru,2021-08-14,70,79.0,85.772,81.2479,
Peru,2021-08-14,80,,83.5179,79.2003,
Peru,2021-08-21,0,17.0,0.0727,0.0263,
Peru,2021-08-21,18,24.0,5.8951,4.1656,
Peru,2021-08-21,25,49.0,29.1675,16.9628,
Peru,2021-08-21,50,59.0,74.9448,64.2031,
Peru,2021-08-21,60,69.0,82.5896,77.5241,
Peru,2021-08-21,70,79.0,86.4278,81.9576,
Peru,2021-08-21,80,,83.959,79.7715,
Peru,2021-08-28,0,17.0,0.0935,0.035,
Peru,2021-08-28,18,24.0,6.2525,4.5257,
Peru,2021-08-28,25,49.0,33.3989,20.392,
Peru,2021-08-28,50,59.0,76.8145,67.7212,
Peru,2021-08-28,60,69.0,83.5365,78.5885,
Peru,2021-08-28,70,79.0,87.0849,82.7389,
Peru,2021-08-28,80,,84.4367,80.3547,
Peru,2021-09-04,0,17.0,0.1148,0.0438,
Peru,2021-09-04,18,24.0,6.7101,4.9729,
Peru,2021-09-04,25,49.0,39.7969,23.9951,
Peru,2021-09-04,50,59.0,78.7075,69.8883,
Peru,2021-09-04,60,69.0,84.4596,79.3832,
Peru,2021-09-04,70,79.0,87.6851,83.3186,
Peru,2021-09-04,80,,84.8492,80.7573,
Peru,2021-09-11,0,17.0,0.2814,0.0606,
Peru,2021-09-11,18,24.0,9.6556,5.2055,
Peru,2021-09-11,25,49.0,53.4558,26.4635,
Peru,2021-09-11,50,59.0,81.0615,71.6416,
Peru,2021-09-11,60,69.0,85.7979,80.2145,
Peru,2021-09-11,70,79.0,88.5236,83.9487,
Peru,2021-09-11,80,,85.4281,81.1686,
Peru,2021-09-18,0,17.0,0.7584,0.0811,
Peru,2021-09-18,18,24.0,21.6237,5.5772,
Peru,2021-09-18,25,49.0,63.6608,30.0216,
Peru,2021-09-18,50,59.0,82.652,73.3788,
Peru,2021-09-18,60,69.0,86.7636,81.1477,
Peru,2021-09-18,70,79.0,89.1684,84.6284,
Peru,2021-09-18,80,,85.8911,81.6346,
Peru,2021-09-25,0,17.0,0.8745,0.1006,
Peru,2021-09-25,18,24.0,28.9686,5.9196,
Peru,2021-09-25,25,49.0,67.8344,35.1853,
Peru,2021-09-25,50,59.0,83.5435,75.2538,
Peru,2021-09-25,60,69.0,87.3228,82.1107,
Peru,2021-09-25,70,79.0,89.5545,85.3262,
Peru,2021-09-25,80,,86.1829,82.1172,
Peru,2021-10-02,0,17.0,0.9267,0.2377,
Peru,2021-10-02,18,24.0,39.1387,7.8844,
Peru,2021-10-02,25,49.0,70.8221,45.397,
Peru,2021-10-02,50,59.0,84.3399,77.4445,
Peru,2021-10-02,60,69.0,87.8511,83.3624,
Peru,2021-10-02,70,79.0,89.917,86.1525,
Peru,2021-10-02,80,,86.4654,82.6952,
Peru,2021-10-09,0,17.0,0.9704,0.6011,
Peru,2021-10-09,18,24.0,45.7431,16.4101,
Peru,2021-10-09,25,49.0,73.3497,54.7048,
Peru,2021-10-09,50,59.0,85.012,79.0234,
Peru,2021-10-09,60,69.0,88.2942,84.2814,
Peru,2021-10-09,70,79.0,90.1949,86.7393,
Peru,2021-10-09,80,,86.6728,83.1208,
Peru,2021-10-16,0,17.0,1.0921,0.7196,0.0
Peru,2021-10-16,18,24.0,56.0879,22.6779,0.0139
Peru,2021-10-16,25,49.0,75.8618,59.6813,0.2549
Peru,2021-10-16,50,59.0,85.7626,80.063,0.2634
Peru,2021-10-16,60,69.0,88.7524,84.9035,0.2122
Peru,2021-10-16,70,79.0,90.5035,87.1539,0.0074
Peru,2021-10-16,80,,86.8932,83.4335,0.0025
Peru,2021-10-23,0,17.0,2.0724,0.7796,0.0001
Peru,2021-10-23,18,24.0,62.9862,30.6612,0.0643
Peru,2021-10-23,25,49.0,77.548,62.8384,0.9661
Peru,2021-10-23,50,59.0,86.3252,80.916,0.9956
Peru,2021-10-23,60,69.0,89.1094,85.4377,0.8524
Peru,2021-10-23,70,79.0,90.7311,87.5207,0.0307
Peru,2021-10-23,80,,87.0735,83.7126,0.0054
Peru,2021-10-30,0,17.0,3.897,0.8226,0.0001
Peru,2021-10-30,18,24.0,66.7536,36.56,0.09
Peru,2021-10-30,25,49.0,78.6989,65.3732,1.1914
Peru,2021-10-30,50,59.0,86.7407,81.6142,1.2596
Peru,2021-10-30,60,69.0,89.3867,85.8884,1.2556
Peru,2021-10-30,70,79.0,90.9077,87.8235,0.4208
Peru,2021-10-30,80,,87.1954,83.9349,1.643
Peru,2021-11-06,0,17.0,13.1796,0.8953,0.0002
Peru,2021-11-06,18,24.0,69.6823,40.2451,0.1116
Peru,2021-11-06,25,49.0,79.6653,67.257,1.343
Peru,2021-11-06,50,59.0,87.1144,82.1654,1.4349
Peru,2021-11-06,60,69.0,89.6321,86.2342,1.6816
Peru,2021-11-06,70,79.0,91.0772,88.0499,0.9959
Peru,2021-11-06,80,,87.3081,84.1053,4.0923
Peru,2021-11-13,0,17.0,19.041,1.7266,0.0002
Peru,2021-11-13,18,24.0,72.8251,47.0079,0.1576
Peru,2021-11-13,25,49.0,80.8675,69.2707,1.6931
Peru,2021-11-13,50,59.0,87.6137,82.827,1.7415
Peru,2021-11-13,60,69.0,89.9509,86.6438,1.9821
Peru,2021-11-13,70,79.0,91.2905,88.3173,1.3318
Peru,2021-11-13,80,,87.4733,84.3122,7.3456
Peru,2021-11-20,0,17.0,22.1453,2.8967,0.0003
Peru,2021-11-20,18,24.0,76.9923,53.6019,0.2024
Peru,2021-11-20,25,49.0,82.9808,71.3335,1.8492
Peru,2021-11-20,50,59.0,88.562,83.5364,1.8864
Peru,2021-11-20,60,69.0,90.582,87.0631,2.1952
Peru,2021-11-20,70,79.0,91.7019,88.596,1.8927
Peru,2021-11-20,80,,87.7831,84.5222,13.8021
Peru,2021-11-27,0,17.0,24.2905,9.7765,0.0008
Peru,2021-11-27,18,24.0,80.4203,57.963,0.3584
Peru,2021-11-27,25,49.0,84.794,72.9436,2.0723
Peru,2021-11-27,50,59.0,89.3976,84.1381,2.1806
Peru,2021-11-27,60,69.0,91.1542,87.4484,4.7616
Peru,2021-11-27,70,79.0,92.0942,88.8866,10.7113
Peru,2021-11-27,80,,88.1026,84.7379,22.3539
Peru,2021-12-04,0,17.0,25.6941,15.2568,0.0017
Peru,2021-12-04,18,24.0,83.0996,61.5478,0.9483
Peru,2021-12-04,25,49.0,86.2912,74.4041,2.7196
Peru,2021-12-04,50,59.0,90.1008,84.6835,3.1932
Peru,2021-12-04,60,69.0,91.6468,87.8208,17.7732
Peru,2021-12-04,70,79.0,92.4514,89.1786,30.3088
Peru,2021-12-04,80,,88.3934,84.9498,34.5929
Peru,2021-12-11,0,17.0,26.8414,18.3433,0.0026
Peru,2021-12-11,18,24.0,86.429,66.144,1.2764
Peru,2021-12-11,25,49.0,88.3391,76.8156,3.1689
Peru,2021-12-11,50,59.0,91.0617,85.5725,3.9796
Peru,2021-12-11,60,69.0,92.3372,88.4061,28.1105
Peru,2021-12-11,70,79.0,92.9503,89.595,42.0722
Peru,2021-12-11,80,,88.8028,85.2533,42.4354
Peru,2021-12-18,0,17.0,27.9741,20.8329,0.0037
Peru,2021-12-18,18,24.0,90.3266,71.7416,1.5236
Peru,2021-12-18,25,49.0,90.7813,79.7844,3.5014
Peru,2021-12-18,50,59.0,92.4107,86.7878,5.3294
Peru,2021-12-18,60,69.0,93.4947,89.2478,35.8377
Peru,2021-12-18,70,79.0,94.0931,90.2804,49.9587
Peru,2021-12-18,80,,89.9406,85.8309,48.6085
Peru,2021-12-25,0,17.0,28.4433,21.9929,0.015
Peru,2021-12-25,18,24.0,91.7128,74.347,1.9047
Peru,2021-12-25,25,49.0,91.631,81.1911,6.0801
Peru,2021-12-25,50,59.0,92.9205,87.4658,14.3131
Peru,2021-12-25,60,69.0,93.9411,89.7358,42.0794
Peru,2021-12-25,70,79.0,94.5239,90.6777,54.9584
Peru,2021-12-25,80,,90.4106,86.1676,52.6328
Peru,2022-01-01,0,17.0,28.7813,22.8396,0.0257
Peru,2022-01-01,18,24.0,92.7172,76.5768,2.3085
Peru,2022-01-01,25,49.0,92.2474,82.4779,9.519
Peru,2022-01-01,50,59.0,93.2824,88.108,22.8415
Peru,2022-01-01,60,69.0,94.2392,90.216,47.0635
Peru,2022-01-01,70,79.0,94.7613,91.0284,58.5498
Peru,2022-01-01,80,,90.6852,86.4661,55.6155
Peru,2022-01-08,0,17.0,29.2008,23.7571,0.0413
Peru,2022-01-08,18,24.0,93.7811,79.4254,3.6683
Peru,2022-01-08,25,49.0,92.9452,84.2872,15.2526
Peru,2022-01-08,50,59.0,93.6589,89.1024,32.7709
Peru,2022-01-08,60,69.0,94.5254,91.0356,52.6491
Peru,2022-01-08,70,79.0,94.9792,91.7605,62.2189
Peru,2022-01-08,80,,90.932,87.1583,58.4068
Peru,2022-01-15,0,17.0,29.5741,24.4854,0.0558
Peru,2022-01-15,18,24.0,94.6643,81.8381,5.6681
Peru,2022-01-15,25,49.0,93.5053,85.6787,20.5897
Peru,2022-01-15,50,59.0,93.9682,89.869,40.719
