location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Poland,2021-01-01,15,17,0.0,0.0,0.0
Poland,2021-01-01,18,24,0.0,0.0,0.0
Poland,2021-01-01,25,49,0.01,0.0,0.0
Poland,2021-01-01,50,59,0.01,0.0,0.0
Poland,2021-01-01,60,69,0.01,0.0,0.0
Poland,2021-01-01,70,79,0.0,0.0,0.0
Poland,2021-01-01,80,,0.0,0.0,0.0
Poland,2021-01-08,15,17,0.01,0.0,0.0
Poland,2021-01-08,18,24,0.33,0.0,0.0
Poland,2021-01-08,25,49,0.7,0.0,0.0
Poland,2021-01-08,50,59,1.39,0.0,0.0
Poland,2021-01-08,60,69,0.67,0.0,0.0
Poland,2021-01-08,70,79,0.24,0.0,0.0
Poland,2021-01-08,80,,0.13,0.0,0.0
Poland,2021-01-15,15,17,0.03,0.0,0.0
Poland,2021-01-15,18,24,1.17,0.0,0.0
Poland,2021-01-15,25,49,1.62,0.0,0.0
Poland,2021-01-15,50,59,2.95,0.0,0.0
Poland,2021-01-15,60,69,1.45,0.0,0.0
Poland,2021-01-15,70,79,0.52,0.0,0.0
Poland,2021-01-15,80,,0.29,0.0,0.0
Poland,2021-01-22,10,14,0.0,0.0,0.0
Poland,2021-01-22,15,17,0.04,0.0,0.0
Poland,2021-01-22,18,24,1.55,0.04,0.0
Poland,2021-01-22,25,49,2.09,0.16,0.0
Poland,2021-01-22,50,59,3.72,0.33,0.0
Poland,2021-01-22,60,69,2.03,0.16,0.0
Poland,2021-01-22,70,79,1.16,0.06,0.0
Poland,2021-01-22,80,,2.49,0.03,0.0
Poland,2021-01-29,10,14,0.0,0.0,0.0
Poland,2021-01-29,15,17,0.04,0.01,0.0
Poland,2021-01-29,18,24,1.9,0.3,0.0
Poland,2021-01-29,25,49,2.46,0.67,0.0
Poland,2021-01-29,50,59,4.25,1.33,0.0
Poland,2021-01-29,60,69,2.36,0.65,0.0
Poland,2021-01-29,70,79,2.34,0.23,0.0
Poland,2021-01-29,80,,13.3,0.13,0.0
Poland,2021-02-05,0,4,0.0,0.0,0.0
Poland,2021-02-05,10,14,0.0,0.0,0.0
Poland,2021-02-05,15,17,0.04,0.02,0.0
Poland,2021-02-05,18,24,2.04,1.07,0.0
Poland,2021-02-05,25,49,2.58,1.51,0.0
Poland,2021-02-05,50,59,4.41,2.8,0.0
Poland,2021-02-05,60,69,2.56,1.39,0.0
Poland,2021-02-05,70,79,4.49,0.5,0.0
Poland,2021-02-05,80,,21.78,0.29,0.0
Poland,2021-02-12,0,4,0.0,0.0,0.0
Poland,2021-02-12,10,14,0.0,0.0,0.0
Poland,2021-02-12,15,17,0.05,0.04,0.0
Poland,2021-02-12,18,24,2.16,1.43,0.0
Poland,2021-02-12,25,49,2.78,2.01,0.0
Poland,2021-02-12,50,59,4.71,3.62,0.0
Poland,2021-02-12,60,69,2.83,1.99,0.0
Poland,2021-02-12,70,79,8.08,1.12,0.0
Poland,2021-02-12,80,,28.46,2.4,0.0
Poland,2021-02-19,0,4,0.0,0.0,0.0
Poland,2021-02-19,10,14,0.0,0.0,0.0
Poland,2021-02-19,15,17,0.05,0.04,0.0
Poland,2021-02-19,18,24,2.29,1.75,0.0
Poland,2021-02-19,25,49,3.31,2.35,0.0
Poland,2021-02-19,50,59,5.66,4.11,0.0
Poland,2021-02-19,60,69,3.12,2.29,0.0
Poland,2021-02-19,70,79,11.52,2.1,0.0
Poland,2021-02-19,80,,32.77,12.34,0.0
Poland,2021-02-26,0,4,0.0,0.0,0.0
Poland,2021-02-26,10,14,0.0,0.0,0.0
Poland,2021-02-26,15,17,0.05,0.04,0.0
Poland,2021-02-26,18,24,2.4,1.96,0.0
Poland,2021-02-26,25,49,4.02,2.52,0.0
Poland,2021-02-26,50,59,6.92,4.34,0.0
Poland,2021-02-26,60,69,3.64,2.51,0.0
Poland,2021-02-26,70,79,15.54,4.15,0.0
Poland,2021-02-26,80,,36.36,20.99,0.0
Poland,2021-03-05,0,4,0.0,0.0,0.0
Poland,2021-03-05,10,14,0.0,0.0,0.0
Poland,2021-03-05,15,17,0.05,0.04,0.0
Poland,2021-03-05,18,24,2.52,2.08,0.0
Poland,2021-03-05,25,49,4.84,2.64,0.0
Poland,2021-03-05,50,59,8.23,4.5,0.0
Poland,2021-03-05,60,69,4.32,2.76,0.0
Poland,2021-03-05,70,79,20.0,7.36,0.0
Poland,2021-03-05,80,,39.43,27.57,0.0
Poland,2021-03-12,0,4,0.0,0.0,0.0
Poland,2021-03-12,10,14,0.0,0.0,0.0
Poland,2021-03-12,15,17,0.05,0.05,0.0
Poland,2021-03-12,18,24,2.96,2.15,0.0
Poland,2021-03-12,25,49,5.33,2.71,0.0
Poland,2021-03-12,5,9,0.0,0.0,0.0
Poland,2021-03-12,50,59,8.88,4.59,0.0
Poland,2021-03-12,60,69,5.14,2.94,0.0
Poland,2021-03-12,70,79,25.57,10.13,0.0
Poland,2021-03-12,80,,42.67,31.56,0.0
Poland,2021-03-19,0,4,0.0,0.0,0.0
Poland,2021-03-19,10,14,0.0,0.0,0.0
Poland,2021-03-19,15,17,0.06,0.05,0.0
Poland,2021-03-19,18,24,3.28,2.19,0.0
Poland,2021-03-19,25,49,5.59,2.77,0.0
Poland,2021-03-19,5,9,0.0,0.0,0.0
Poland,2021-03-19,50,59,9.22,4.67,0.0
Poland,2021-03-19,60,69,6.12,3.16,0.0
Poland,2021-03-19,70,79,31.11,13.5,0.0
Poland,2021-03-19,80,,45.33,34.89,0.0
Poland,2021-03-26,0,4,0.0,0.0,0.0
Poland,2021-03-26,10,14,0.0,0.0,0.0
Poland,2021-03-26,15,17,0.07,0.05,0.0
Poland,2021-03-26,18,24,3.46,2.22,0.0
Poland,2021-03-26,25,49,5.94,2.82,0.0
Poland,2021-03-26,5,9,0.0,0.0,0.0
Poland,2021-03-26,50,59,9.78,4.74,0.0
Poland,2021-03-26,60,69,12.8,3.44,0.0
Poland,2021-03-26,70,79,37.75,17.88,0.0
Poland,2021-03-26,80,,48.05,38.19,0.0
Poland,2021-04-02,0,4,0.0,0.0,0.0
Poland,2021-04-02,10,14,0.0,0.0,0.0
Poland,2021-04-02,15,17,0.08,0.05,0.0
Poland,2021-04-02,18,24,3.7,2.24,0.0
Poland,2021-04-02,25,49,6.52,2.84,0.0
Poland,2021-04-02,5,9,0.0,0.0,0.0
Poland,2021-04-02,50,59,10.71,4.78,0.0
Poland,2021-04-02,60,69,20.0,3.58,0.0
Poland,2021-04-02,70,79,43.62,19.69,0.0
Poland,2021-04-02,80,,50.19,39.12,0.0
Poland,2021-04-09,0,4,0.0,0.0,0.0
Poland,2021-04-09,10,14,0.0,0.0,0.0
Poland,2021-04-09,15,17,0.08,0.05,0.0
Poland,2021-04-09,18,24,4.06,2.25,0.0
Poland,2021-04-09,25,49,7.33,2.86,0.0
Poland,2021-04-09,5,9,0.0,0.0,0.0
Poland,2021-04-09,50,59,13.36,4.81,0.0
Poland,2021-04-09,60,69,29.02,3.65,0.0
Poland,2021-04-09,70,79,52.23,20.34,0.0
Poland,2021-04-09,80,,52.7,39.42,0.0
Poland,2021-04-16,0,4,0.0,0.0,0.0
Poland,2021-04-16,10,14,0.0,0.0,0.0
Poland,2021-04-16,15,17,0.09,0.05,0.0
Poland,2021-04-16,18,24,4.41,2.28,0.0
Poland,2021-04-16,25,49,8.15,2.92,0.0
Poland,2021-04-16,5,9,0.0,0.0,0.0
Poland,2021-04-16,50,59,17.8,5.0,0.0
Poland,2021-04-16,60,69,38.04,4.29,0.0
Poland,2021-04-16,70,79,58.8,24.46,0.0
Poland,2021-04-16,80,,54.55,41.89,0.0
Poland,2021-04-23,0,4,0.0,0.0,0.0
Poland,2021-04-23,10,14,0.0,0.0,0.0
Poland,2021-04-23,15,17,0.11,0.06,0.0
Poland,2021-04-23,18,24,4.87,2.35,0.0
Poland,2021-04-23,25,49,9.41,3.13,0.0
Poland,2021-04-23,5,9,0.0,0.0,0.0
Poland,2021-04-23,50,59,26.34,5.7,0.0
Poland,2021-04-23,60,69,45.62,5.29,0.0
Poland,2021-04-23,70,79,63.99,30.37,0.0
Poland,2021-04-23,80,,56.15,44.72,0.0
Poland,2021-04-30,0,4,0.0,0.0,0.0
Poland,2021-04-30,10,14,0.0,0.0,0.0
Poland,2021-04-30,15,17,0.14,0.06,0.0
Poland,2021-04-30,18,24,5.47,2.48,0.0
Poland,2021-04-30,25,49,13.04,3.79,0.0
Poland,2021-04-30,5,9,0.0,0.0,0.0
Poland,2021-04-30,50,59,33.1,6.84,0.0
Poland,2021-04-30,60,69,51.61,6.59,0.0
Poland,2021-04-30,70,79,67.74,36.84,0.0
Poland,2021-04-30,80,,57.4,47.5,0.0
Poland,2021-05-07,0,4,0.0,0.0,0.0
Poland,2021-05-07,10,14,0.0,0.0,0.0
Poland,2021-05-07,15,17,0.17,0.07,0.0
Poland,2021-05-07,18,24,7.16,2.7,0.0
Poland,2021-05-07,25,49,18.59,4.73,0.0
Poland,2021-05-07,5,9,0.0,0.0,0.0
Poland,2021-05-07,50,59,38.12,8.49,0.0
Poland,2021-05-07,60,69,55.05,9.57,0.0
Poland,2021-05-07,70,79,69.51,43.01,0.0
Poland,2021-05-07,80,,58.14,49.69,0.0
Poland,2021-05-14,0,4,0.0,0.0,0.0
Poland,2021-05-14,10,14,0.0,0.0,0.0
Poland,2021-05-14,15,17,0.22,0.08,0.0
Poland,2021-05-14,18,24,12.67,3.26,0.0
Poland,2021-05-14,25,49,24.27,6.28,0.0
Poland,2021-05-14,5,9,0.0,0.0,0.0
Poland,2021-05-14,50,59,42.06,11.8,0.0
Poland,2021-05-14,60,69,57.58,14.57,0.0
Poland,2021-05-14,70,79,70.78,51.73,0.0
Poland,2021-05-14,80,,58.75,52.29,0.0
Poland,2021-05-21,0,4,0.0,0.0,0.0
Poland,2021-05-21,10,14,0.0,0.0,0.0
Poland,2021-05-21,15,17,3.27,0.1,0.0
Poland,2021-05-21,18,24,18.04,4.15,0.0
Poland,2021-05-21,25,49,28.95,7.8,0.0
Poland,2021-05-21,5,9,0.0,0.0,0.0
Poland,2021-05-21,50,59,45.92,15.88,0.0
Poland,2021-05-21,60,69,60.0,21.25,0.0
Poland,2021-05-21,70,79,71.95,58.6,0.0
Poland,2021-05-21,80,,59.3,54.25,0.0
Poland,2021-05-28,0,4,0.0,0.0,0.0
Poland,2021-05-28,10,14,0.0,0.0,0.0
Poland,2021-05-28,15,17,5.43,0.13,0.0
Poland,2021-05-28,18,24,21.98,5.78,0.0
Poland,2021-05-28,25,49,32.39,10.16,0.0
Poland,2021-05-28,5,9,0.0,0.0,0.0
Poland,2021-05-28,50,59,48.8,23.42,0.0
Poland,2021-05-28,60,69,61.79,28.57,0.0
Poland,2021-05-28,70,79,72.92,63.69,0.0
Poland,2021-05-28,80,,59.79,55.83,0.0
Poland,2021-06-04,0,4,0.0,0.0,0.0
Poland,2021-06-04,10,14,0.01,0.0,0.0
Poland,2021-06-04,15,17,10.34,0.16,0.0
Poland,2021-06-04,18,24,27.43,7.35,0.0
Poland,2021-06-04,25,49,36.14,13.93,0.0
Poland,2021-06-04,5,9,0.0,0.0,0.0
Poland,2021-06-04,50,59,51.47,30.4,0.0
Poland,2021-06-04,60,69,63.59,35.19,0.0
Poland,2021-06-04,70,79,73.93,67.63,0.0
Poland,2021-06-04,80,,60.33,57.13,0.0
Poland,2021-06-11,0,4,0.0,0.0,0.0
Poland,2021-06-11,10,14,4.32,0.01,0.0
Poland,2021-06-11,15,17,18.01,0.43,0.0
Poland,2021-06-11,18,24,31.67,9.71,0.0
Poland,2021-06-11,25,49,39.35,19.38,0.0
Poland,2021-06-11,5,9,0.0,0.0,0.0
Poland,2021-06-11,50,59,53.86,35.86,0.0
Poland,2021-06-11,60,69,65.19,43.21,0.0
Poland,2021-06-11,70,79,74.89,69.7,0.0
Poland,2021-06-11,80,,60.89,58.0,0.0
Poland,2021-06-18,0,4,0.0,0.0,0.0
Poland,2021-06-18,10,14,6.69,0.01,0.0
Poland,2021-06-18,15,17,22.69,1.19,0.0
Poland,2021-06-18,18,24,34.55,14.34,0.0
Poland,2021-06-18,25,49,41.56,24.69,0.0
Poland,2021-06-18,5,9,0.0,0.0,0.0
Poland,2021-06-18,50,59,55.53,39.93,0.0
Poland,2021-06-18,60,69,66.38,49.91,0.0
Poland,2021-06-18,70,79,75.61,71.1,0.0
Poland,2021-06-18,80,,61.34,58.67,0.0
Poland,2021-06-25,0,4,0.0,0.0,0.0
Poland,2021-06-25,10,14,8.3,0.02,0.0
Poland,2021-06-25,15,17,25.92,4.24,0.0
Poland,2021-06-25,18,24,36.65,19.87,0.0
Poland,2021-06-25,25,49,43.21,29.7,0.0
Poland,2021-06-25,5,9,0.0,0.0,0.0
Poland,2021-06-25,50,59,56.79,44.43,0.0
Poland,2021-06-25,60,69,67.29,56.07,0.0
Poland,2021-06-25,70,79,76.19,72.41,0.0
Poland,2021-06-25,80,,61.7,59.29,0.0
Poland,2021-07-02,0,4,0.0,0.0,0.0
Poland,2021-07-02,10,14,9.8,1.85,0.0
Poland,2021-07-02,15,17,28.82,9.44,0.0
Poland,2021-07-02,18,24,38.42,24.48,0.0
Poland,2021-07-02,25,49,44.6,33.69,0.0
Poland,2021-07-02,5,9,0.0,0.0,0.0
Poland,2021-07-02,50,59,57.92,48.32,0.0
Poland,2021-07-02,60,69,68.13,60.35,0.0
Poland,2021-07-02,70,79,76.73,73.57,0.0
Poland,2021-07-02,80,,62.04,59.88,0.0
Poland,2021-07-09,0,4,0.0,0.0,0.0
Poland,2021-07-09,10,14,10.88,4.09,0.0
Poland,2021-07-09,15,17,30.61,16.36,0.0
Poland,2021-07-09,18,24,39.75,30.24,0.0
Poland,2021-07-09,25,49,45.66,38.07,0.0
Poland,2021-07-09,5,9,0.0,0.0,0.0
Poland,2021-07-09,50,59,58.76,52.19,0.0
Poland,2021-07-09,60,69,68.7,63.56,0.0
Poland,2021-07-09,70,79,77.1,74.87,0.0
Poland,2021-07-09,80,,62.29,60.6,0.0
Poland,2021-07-16,0,4,0.0,0.0,0.0
Poland,2021-07-16,10,14,11.89,6.75,0.0
Poland,2021-07-16,15,17,32.35,22.51,0.0
Poland,2021-07-16,18,24,41.06,34.95,0.0
Poland,2021-07-16,25,49,46.76,41.76,0.0
Poland,2021-07-16,5,9,0.0,0.0,0.0
Poland,2021-07-16,50,59,59.63,55.21,0.0
Poland,2021-07-16,60,69,69.31,65.8,0.0
Poland,2021-07-16,70,79,77.5,76.1,0.0
Poland,2021-07-16,80,,62.58,61.31,0.0
Poland,2021-07-23,0,4,0.0,0.0,0.0
Poland,2021-07-23,10,14,12.75,8.6,0.0
Poland,2021-07-23,15,17,33.85,26.54,0.0
Poland,2021-07-23,18,24,42.26,37.93,0.0
Poland,2021-07-23,25,49,47.77,44.31,0.0
Poland,2021-07-23,5,9,0.0,0.0,0.0
Poland,2021-07-23,50,59,60.45,57.34,0.0
Poland,2021-07-23,60,69,69.87,67.44,0.0
Poland,2021-07-23,70,79,77.89,76.93,0.0
Poland,2021-07-23,80,,62.87,61.81,0.0
Poland,2021-07-30,0,4,0.0,0.0,0.0
Poland,2021-07-30,10,14,13.62,9.97,0.0
Poland,2021-07-30,15,17,35.31,29.15,0.0
Poland,2021-07-30,18,24,43.48,40.11,0.0
Poland,2021-07-30,25,49,48.81,46.11,0.0
Poland,2021-07-30,5,9,0.0,0.0,0.0
Poland,2021-07-30,50,59,61.26,58.84,0.0
Poland,2021-07-30,60,69,70.41,68.54,0.0
Poland,2021-07-30,70,79,78.26,77.53,0.0
Poland,2021-07-30,80,,63.16,62.19,0.0
Poland,2021-08-06,0,4,0.0,0.0,0.0
Poland,2021-08-06,10,14,14.46,11.08,0.0
Poland,2021-08-06,15,17,36.68,31.23,0.0
Poland,2021-08-06,18,24,44.55,41.66,0.0
Poland,2021-08-06,25,49,49.74,47.41,0.0
Poland,2021-08-06,5,9,0.0,0.0,0.0
Poland,2021-08-06,50,59,61.99,59.94,0.0
Poland,2021-08-06,60,69,70.87,69.31,0.0
Poland,2021-08-06,70,79,78.57,78.03,0.0
Poland,2021-08-06,80,,63.4,62.53,0.0
Poland,2021-08-13,0,4,0.0,0.0,0.0
Poland,2021-08-13,10,14,15.16,11.93,0.0
Poland,2021-08-13,15,17,37.8,32.76,0.0
Poland,2021-08-13,18,24,45.49,42.87,0.0
Poland,2021-08-13,25,49,50.56,48.45,0.0
Poland,2021-08-13,5,9,0.0,0.0,0.0
Poland,2021-08-13,50,59,62.64,60.8,0.0
Poland,2021-08-13,60,69,71.3,69.91,0.0
Poland,2021-08-13,70,79,78.86,78.43,0.0
Poland,2021-08-13,80,,63.63,62.82,0.0
Poland,2021-08-20,0,4,0.0,0.0,0.0
Poland,2021-08-20,10,14,15.79,12.8,0.0
Poland,2021-08-20,15,17,38.75,34.28,0.0
Poland,2021-08-20,18,24,46.3,43.99,0.0
Poland,2021-08-20,25,49,51.25,49.41,0.0
Poland,2021-08-20,5,9,0.0,0.0,0.0
Poland,2021-08-20,50,59,63.17,61.57,0.0
Poland,2021-08-20,60,69,71.64,70.44,0.0
Poland,2021-08-20,70,79,79.09,78.8,0.0
Poland,2021-08-20,80,,63.81,63.1,0.0
Poland,2021-08-27,0,4,0.0,0.0,0.0
Poland,2021-08-27,10,14,16.5,13.69,0.0
Poland,2021-08-27,15,17,39.73,35.8,0.0
Poland,2021-08-27,18,24,47.06,45.02,0.0
Poland,2021-08-27,25,49,51.92,50.31,0.0
Poland,2021-08-27,5,9,0.0,0.0,0.0
Poland,2021-08-27,50,59,63.67,62.3,0.0
Poland,2021-08-27,60,69,71.95,70.92,0.0
Poland,2021-08-27,70,79,79.3,79.12,0.0
Poland,2021-08-27,80,,63.98,63.36,0.0
Poland,2021-09-03,0,4,0.0,0.0,0.0
Poland,2021-09-03,10,14,17.03,14.49,0.0
Poland,2021-09-03,15,17,40.39,37.07,0.0
Poland,2021-09-03,18,24,47.71,45.88,0.0
Poland,2021-09-03,25,49,52.46,51.03,0.0
Poland,2021-09-03,5,9,0.0,0.0,0.0
Poland,2021-09-03,50,59,64.05,62.86,0.01
Poland,2021-09-03,60,69,72.19,71.3,0.0
Poland,2021-09-03,70,79,79.46,79.39,0.01
Poland,2021-09-03,80,,64.11,63.57,0.0
Poland,2021-09-10,0,4,0.0,0.0,0.0
Poland,2021-09-10,10,14,17.41,15.05,0.0
Poland,2021-09-10,15,17,40.92,37.96,0.0
Poland,2021-09-10,18,24,48.25,46.56,0.0
Poland,2021-09-10,25,49,52.92,51.6,0.01
Poland,2021-09-10,5,9,0.0,0.0,0.0
Poland,2021-09-10,50,59,64.38,63.29,0.02
Poland,2021-09-10,60,69,72.41,71.6,0.02
Poland,2021-09-10,70,79,79.61,79.61,0.04
Poland,2021-09-10,80,,64.24,63.74,0.02
Poland,2021-09-17,0,4,0.0,0.0,0.0
Poland,2021-09-17,10,14,18.11,15.58,0.0
Poland,2021-09-17,15,17,41.69,38.76,0.0
Poland,2021-09-17,18,24,48.76,47.14,0.0
Poland,2021-09-17,25,49,53.33,52.11,0.02
Poland,2021-09-17,5,9,0.0,0.0,0.0
Poland,2021-09-17,50,59,64.66,63.67,0.04
Poland,2021-09-17,60,69,72.59,71.86,0.06
Poland,2021-09-17,70,79,79.73,79.79,0.1
Poland,2021-09-17,80,,64.35,63.9,0.06
Poland,2021-09-24,0,4,0.0,0.0,0.0
Poland,2021-09-24,10,14,18.77,16.13,0.0
Poland,2021-09-24,15,17,42.44,39.48,0.0
Poland,2021-09-24,18,24,49.25,47.73,0.02
Poland,2021-09-24,25,49,53.73,52.6,0.07
Poland,2021-09-24,5,9,0.0,0.0,0.0
Poland,2021-09-24,50,59,64.94,64.03,0.17
Poland,2021-09-24,60,69,72.77,72.1,0.17
Poland,2021-09-24,70,79,79.86,79.96,0.53
Poland,2021-09-24,80,,64.46,64.03,0.56
Poland,2021-10-01,0,4,0.0,0.0,0.0
Poland,2021-10-01,10,14,19.22,16.59,0.0
Poland,2021-10-01,15,17,42.99,40.13,0.0
Poland,2021-10-01,18,24,49.68,48.24,0.11
Poland,2021-10-01,25,49,54.08,53.03,0.28
Poland,2021-10-01,5,9,0.0,0.0,0.0
Poland,2021-10-01,50,59,65.16,64.32,0.73
Poland,2021-10-01,60,69,72.92,72.3,0.63
Poland,2021-10-01,70,79,79.98,80.1,2.98
Poland,2021-10-01,80,,64.58,64.16,4.31
Poland,2021-10-08,0,4,0.0,0.0,0.0
Poland,2021-10-08,10,14,19.56,17.22,0.0
Poland,2021-10-08,15,17,43.46,40.91,0.0
Poland,2021-10-08,18,24,50.04,48.67,0.25
Poland,2021-10-08,25,49,54.4,53.4,0.5
Poland,2021-10-08,5,9,0.0,0.0,0.0
Poland,2021-10-08,50,59,65.37,64.57,1.32
