location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Slovakia,2021-01-08,10,14,0.0,0.0,0.0
Slovakia,2021-01-08,15,17,0.0,0.0,0.0
Slovakia,2021-01-08,18,24,0.24,0.0,0.0
Slovakia,2021-01-08,25,49,0.73,0.0,0.0
Slovakia,2021-01-08,50,59,1.06,0.0,0.0
Slovakia,2021-01-08,60,69,0.73,0.0,0.0
Slovakia,2021-01-08,70,79,0.33,0.0,0.0
Slovakia,2021-01-08,80,,0.13,0.0,0.0
Slovakia,2021-01-15,15,17,0.0,0.0,0.0
Slovakia,2021-01-15,18,24,0.6,0.0,0.0
Slovakia,2021-01-15,25,49,1.54,0.0,0.0
Slovakia,2021-01-15,50,59,2.22,0.0,0.0
Slovakia,2021-01-15,60,69,1.53,0.0,0.0
Slovakia,2021-01-15,70,79,0.67,0.0,0.0
Slovakia,2021-01-15,80,,0.26,0.0,0.0
Slovakia,2021-01-22,18,24,1.1,0.01,0.0
Slovakia,2021-01-22,25,49,2.34,0.08,0.0
Slovakia,2021-01-22,50,59,3.37,0.09,0.0
Slovakia,2021-01-22,60,69,2.3,0.07,0.0
Slovakia,2021-01-22,70,79,1.12,0.02,0.0
Slovakia,2021-01-22,80,,0.89,0.01,0.0
Slovakia,2021-01-29,15,17,0.0,0.0,0.0
Slovakia,2021-01-29,18,24,1.51,0.06,0.0
Slovakia,2021-01-29,25,49,2.76,0.24,0.0
Slovakia,2021-01-29,50,59,3.93,0.35,0.0
Slovakia,2021-01-29,60,69,2.83,0.24,0.0
Slovakia,2021-01-29,70,79,2.87,0.11,0.0
Slovakia,2021-01-29,80,,9.23,0.04,0.0
Slovakia,2021-02-05,15,17,0.01,0.0,0.0
Slovakia,2021-02-05,18,24,1.72,0.25,0.0
Slovakia,2021-02-05,25,49,2.97,0.79,0.0
Slovakia,2021-02-05,50,59,4.22,1.14,0.0
Slovakia,2021-02-05,60,69,3.22,0.8,0.0
Slovakia,2021-02-05,70,79,7.37,0.35,0.0
Slovakia,2021-02-05,80,,19.26,0.14,0.0
Slovakia,2021-02-12,15,17,0.02,0.0,0.0
Slovakia,2021-02-12,18,24,2.06,0.6,0.0
Slovakia,2021-02-12,25,49,3.67,1.54,0.0
Slovakia,2021-02-12,50,59,5.08,2.23,0.0
Slovakia,2021-02-12,60,69,3.73,1.55,0.0
Slovakia,2021-02-12,70,79,10.57,0.69,0.0
Slovakia,2021-02-12,80,,26.08,0.32,0.0
Slovakia,2021-02-19,15,17,0.02,0.0,0.0
Slovakia,2021-02-19,18,24,2.27,1.08,0.0
Slovakia,2021-02-19,25,49,4.39,2.3,0.0
Slovakia,2021-02-19,50,59,6.14,3.29,0.0
Slovakia,2021-02-19,60,69,4.62,2.26,0.0
Slovakia,2021-02-19,70,79,11.98,1.14,0.0
Slovakia,2021-02-19,80,,28.6,0.93,0.0
Slovakia,2021-02-26,15,17,0.02,0.0,0.0
Slovakia,2021-02-26,18,24,2.56,1.48,0.0
Slovakia,2021-02-26,25,49,5.34,2.73,0.0
Slovakia,2021-02-26,50,59,7.12,3.87,0.0
Slovakia,2021-02-26,60,69,4.99,2.79,0.0
Slovakia,2021-02-26,70,79,13.04,2.68,0.0
Slovakia,2021-02-26,80,,30.7,8.56,0.0
Slovakia,2021-03-05,15,17,0.03,0.01,0.0
Slovakia,2021-03-05,18,24,3.01,1.7,0.0
Slovakia,2021-03-05,25,49,6.67,2.94,0.0
Slovakia,2021-03-05,50,59,8.81,4.18,0.0
Slovakia,2021-03-05,60,69,5.95,3.19,0.0
Slovakia,2021-03-05,70,79,13.53,7.21,0.0
Slovakia,2021-03-05,80,,31.5,18.69,0.0
Slovakia,2021-03-12,15,17,0.03,0.02,0.0
Slovakia,2021-03-12,18,24,3.14,1.98,0.0
Slovakia,2021-03-12,25,49,7.0,3.2,0.0
Slovakia,2021-03-12,50,59,9.34,4.55,0.0
Slovakia,2021-03-12,60,69,11.13,3.7,0.0
Slovakia,2021-03-12,70,79,18.41,10.39,0.0
Slovakia,2021-03-12,80,,32.94,25.45,0.0
Slovakia,2021-03-19,10,14,0.0,0.0,0.0
Slovakia,2021-03-19,15,17,0.04,0.02,0.0
Slovakia,2021-03-19,18,24,3.44,2.14,0.0
Slovakia,2021-03-19,25,49,7.49,3.41,0.0
Slovakia,2021-03-19,50,59,10.43,5.1,0.0
Slovakia,2021-03-19,60,69,15.99,4.56,0.0
Slovakia,2021-03-19,70,79,30.52,11.8,0.0
Slovakia,2021-03-19,80,,36.92,27.97,0.0
Slovakia,2021-03-26,10,14,0.0,0.0,0.0
Slovakia,2021-03-26,15,17,0.04,0.02,0.0
Slovakia,2021-03-26,18,24,3.79,2.31,0.0
Slovakia,2021-03-26,25,49,8.08,3.61,0.0
Slovakia,2021-03-26,50,59,12.42,5.41,0.0
Slovakia,2021-03-26,60,69,19.54,4.94,0.0
Slovakia,2021-03-26,70,79,42.44,12.88,0.0
Slovakia,2021-03-26,80,,45.0,30.1,0.0
Slovakia,2021-04-02,10,14,0.0,0.0,0.0
Slovakia,2021-04-02,15,17,0.05,0.03,0.0
Slovakia,2021-04-02,18,24,4.04,2.35,0.0
Slovakia,2021-04-02,25,49,8.54,3.7,0.0
Slovakia,2021-04-02,50,59,14.85,5.57,0.0
Slovakia,2021-04-02,60,69,24.45,5.15,0.0
Slovakia,2021-04-02,70,79,50.64,13.26,0.0
Slovakia,2021-04-02,80,,47.44,30.76,0.0
Slovakia,2021-04-09,10,14,0.0,0.0,0.0
Slovakia,2021-04-09,15,17,0.05,0.03,0.0
Slovakia,2021-04-09,18,24,4.38,2.41,0.0
Slovakia,2021-04-09,25,49,9.29,3.83,0.0
Slovakia,2021-04-09,50,59,20.25,5.8,0.0
Slovakia,2021-04-09,60,69,29.38,5.59,0.0
Slovakia,2021-04-09,70,79,55.18,17.24,0.0
Slovakia,2021-04-09,80,,49.05,32.19,0.0
Slovakia,2021-04-16,10,14,0.0,0.0,0.0
Slovakia,2021-04-16,15,17,0.05,0.03,0.0
Slovakia,2021-04-16,18,24,4.65,2.49,0.0
Slovakia,2021-04-16,25,49,10.97,3.98,0.0
Slovakia,2021-04-16,50,59,23.66,6.09,0.0
Slovakia,2021-04-16,60,69,32.83,6.11,0.0
Slovakia,2021-04-16,70,79,57.89,27.98,0.0
Slovakia,2021-04-16,80,,50.52,36.01,0.0
Slovakia,2021-04-23,15,17,0.06,0.04,0.0
Slovakia,2021-04-23,18,24,4.94,2.63,0.0
Slovakia,2021-04-23,25,49,12.19,4.57,0.0
Slovakia,2021-04-23,50,59,25.66,7.02,0.0
Slovakia,2021-04-23,60,69,35.51,7.17,0.0
Slovakia,2021-04-23,70,79,59.86,38.65,0.0
Slovakia,2021-04-23,80,,51.69,43.9,0.0
Slovakia,2021-04-30,10,14,0.0,0.0,0.0
Slovakia,2021-04-30,15,17,0.21,0.04,0.0
Slovakia,2021-04-30,18,24,5.61,2.72,0.0
Slovakia,2021-04-30,25,49,13.78,5.03,0.0
Slovakia,2021-04-30,50,59,27.16,7.72,0.0
Slovakia,2021-04-30,60,69,39.79,11.12,0.0
Slovakia,2021-04-30,70,79,62.41,47.29,0.0
Slovakia,2021-04-30,80,,53.16,46.37,0.0
Slovakia,2021-05-07,10,14,0.0,0.0,0.0
Slovakia,2021-05-07,15,17,0.34,0.04,0.0
Slovakia,2021-05-07,18,24,6.8,2.89,0.0
Slovakia,2021-05-07,25,49,15.87,5.9,0.0
Slovakia,2021-05-07,50,59,30.57,8.78,0.0
Slovakia,2021-05-07,60,69,44.88,15.59,0.0
Slovakia,2021-05-07,70,79,64.9,52.23,0.0
Slovakia,2021-05-07,80,,54.82,48.05,0.0
Slovakia,2021-05-14,10,14,0.0,0.0,0.0
Slovakia,2021-05-14,15,17,0.44,0.04,0.0
Slovakia,2021-05-14,18,24,7.96,3.28,0.0
Slovakia,2021-05-14,25,49,18.77,7.23,0.0
Slovakia,2021-05-14,50,59,36.43,10.59,0.0
Slovakia,2021-05-14,60,69,50.36,19.41,0.0
Slovakia,2021-05-14,70,79,66.76,54.92,0.0
Slovakia,2021-05-14,80,,56.18,49.53,0.0
Slovakia,2021-05-21,10,14,0.0,0.0,0.0
Slovakia,2021-05-21,15,17,1.34,0.05,0.0
Slovakia,2021-05-21,18,24,10.85,3.54,0.0
Slovakia,2021-05-21,25,49,23.66,7.91,0.0
Slovakia,2021-05-21,50,59,39.79,11.55,0.0
Slovakia,2021-05-21,60,69,53.06,26.45,0.0
Slovakia,2021-05-21,70,79,68.54,57.98,0.0
Slovakia,2021-05-21,80,,57.43,50.74,0.0
Slovakia,2021-05-28,10,14,0.0,0.0,0.0
Slovakia,2021-05-28,15,17,2.36,0.17,0.0
Slovakia,2021-05-28,18,24,13.94,4.17,0.0
Slovakia,2021-05-28,25,49,28.39,8.83,0.0
Slovakia,2021-05-28,50,59,42.66,12.91,0.0
Slovakia,2021-05-28,60,69,54.84,34.21,0.0
Slovakia,2021-05-28,70,79,69.79,61.2,0.0
Slovakia,2021-05-28,80,,58.32,52.22,0.0
Slovakia,2021-06-04,10,14,0.01,0.0,0.0
Slovakia,2021-06-04,15,17,3.67,0.29,0.0
Slovakia,2021-06-04,18,24,18.1,5.36,0.0
Slovakia,2021-06-04,25,49,31.44,10.54,0.0
Slovakia,2021-06-04,50,59,44.08,17.27,0.0
Slovakia,2021-06-04,60,69,55.99,42.01,0.0
Slovakia,2021-06-04,70,79,70.73,64.04,0.0
Slovakia,2021-06-04,80,,59.11,53.82,0.0
Slovakia,2021-06-11,10,14,0.06,0.0,0.0
Slovakia,2021-06-11,15,17,4.79,0.39,0.0
Slovakia,2021-06-11,18,24,20.85,6.7,0.0
Slovakia,2021-06-11,25,49,33.2,13.48,0.0
Slovakia,2021-06-11,50,59,45.29,24.94,0.0
Slovakia,2021-06-11,60,69,56.88,48.46,0.0
Slovakia,2021-06-11,70,79,71.49,65.98,0.0
Slovakia,2021-06-11,80,,59.79,55.1,0.0
Slovakia,2021-06-18,10,14,0.12,0.0,0.0
Slovakia,2021-06-18,15,17,5.91,1.07,0.0
Slovakia,2021-06-18,18,24,23.81,9.1,0.0
Slovakia,2021-06-18,25,49,34.54,18.06,0.0
Slovakia,2021-06-18,50,59,46.31,32.74,0.0
Slovakia,2021-06-18,60,69,57.78,51.69,0.0
Slovakia,2021-06-18,70,79,72.21,67.73,0.0
Slovakia,2021-06-18,80,,60.35,56.33,0.0
Slovakia,2021-06-25,10,14,0.65,0.0,0.0
Slovakia,2021-06-25,15,17,8.42,1.94,0.0
Slovakia,2021-06-25,18,24,25.92,12.14,0.0
Slovakia,2021-06-25,25,49,35.69,23.77,0.0
Slovakia,2021-06-25,50,59,47.13,38.45,0.0
Slovakia,2021-06-25,60,69,58.51,53.66,0.0
Slovakia,2021-06-25,70,79,72.83,68.92,0.0
Slovakia,2021-06-25,80,,60.85,57.15,0.0
Slovakia,2021-07-02,10,14,1.73,0.01,0.0
Slovakia,2021-07-02,15,17,12.32,3.05,0.0
Slovakia,2021-07-02,18,24,29.13,15.93,0.0
Slovakia,2021-07-02,25,49,37.29,28.29,0.0
Slovakia,2021-07-02,50,59,48.4,42.28,0.0
Slovakia,2021-07-02,60,69,59.34,55.3,0.0
Slovakia,2021-07-02,70,79,73.47,70.06,0.0
Slovakia,2021-07-02,80,,61.36,58.06,0.0
Slovakia,2021-07-09,10,14,2.76,0.05,0.0
Slovakia,2021-07-09,15,17,15.89,4.36,0.0
Slovakia,2021-07-09,18,24,32.16,19.52,0.0
Slovakia,2021-07-09,25,49,38.98,31.69,0.0
Slovakia,2021-07-09,50,59,49.73,44.6,0.0
Slovakia,2021-07-09,60,69,60.04,56.54,0.0
Slovakia,2021-07-09,70,79,73.96,71.03,0.0
Slovakia,2021-07-09,80,,61.71,58.8,0.0
Slovakia,2021-07-16,10,14,3.52,0.09,0.0
Slovakia,2021-07-16,15,17,18.28,5.44,0.0
Slovakia,2021-07-16,18,24,34.38,23.15,0.0
Slovakia,2021-07-16,25,49,40.38,34.19,0.0
Slovakia,2021-07-16,50,59,50.82,46.26,0.0
Slovakia,2021-07-16,60,69,60.69,57.6,0.0
Slovakia,2021-07-16,70,79,74.42,71.8,0.0
Slovakia,2021-07-16,80,,62.12,59.36,0.0
Slovakia,2021-07-23,10,14,4.09,0.66,0.0
Slovakia,2021-07-23,15,17,19.89,8.25,0.0
Slovakia,2021-07-23,18,24,35.7,25.76,0.0
Slovakia,2021-07-23,25,49,41.16,35.81,0.0
Slovakia,2021-07-23,50,59,51.52,47.32,0.0
Slovakia,2021-07-23,60,69,61.2,58.37,0.0
Slovakia,2021-07-23,70,79,74.85,72.44,0.0
Slovakia,2021-07-23,80,,62.49,59.91,0.0
Slovakia,2021-07-30,10,14,4.58,1.47,0.0
Slovakia,2021-07-30,15,17,21.32,11.14,0.0
Slovakia,2021-07-30,18,24,36.76,28.67,0.0
Slovakia,2021-07-30,25,49,41.86,37.39,0.0
Slovakia,2021-07-30,50,59,52.2,48.58,0.0
Slovakia,2021-07-30,60,69,61.67,59.19,0.0
Slovakia,2021-07-30,70,79,75.21,73.07,0.0
Slovakia,2021-07-30,80,,62.82,60.45,0.0
Slovakia,2021-08-06,10,14,5.11,2.41,0.0
Slovakia,2021-08-06,15,17,22.72,14.48,0.0
Slovakia,2021-08-06,18,24,37.79,31.68,0.0
Slovakia,2021-08-06,25,49,42.59,38.91,0.0
Slovakia,2021-08-06,50,59,52.96,49.8,0.0
Slovakia,2021-08-06,60,69,62.22,59.89,0.0
Slovakia,2021-08-06,70,79,75.68,73.56,0.0
Slovakia,2021-08-06,80,,63.22,60.83,0.0
Slovakia,2021-08-13,10,14,5.56,3.19,0.0
Slovakia,2021-08-13,15,17,23.83,17.06,0.0
Slovakia,2021-08-13,18,24,38.67,34.01,0.0
Slovakia,2021-08-13,25,49,43.22,40.24,0.0
Slovakia,2021-08-13,50,59,53.58,50.9,0.0
Slovakia,2021-08-13,60,69,62.65,60.59,0.0
Slovakia,2021-08-13,70,79,76.07,74.09,0.0
Slovakia,2021-08-13,80,,63.55,61.31,0.0
Slovakia,2021-08-20,10,14,6.03,3.74,0.0
Slovakia,2021-08-20,15,17,24.99,18.92,0.0
Slovakia,2021-08-20,18,24,39.68,35.59,0.0
Slovakia,2021-08-20,25,49,43.89,41.21,0.0
Slovakia,2021-08-20,50,59,54.2,51.71,0.0
Slovakia,2021-08-20,60,69,63.07,61.12,0.0
Slovakia,2021-08-20,70,79,76.45,74.52,0.0
Slovakia,2021-08-20,80,,63.86,61.67,0.0
Slovakia,2021-08-27,10,14,6.47,4.38,0.0
Slovakia,2021-08-27,15,17,25.97,20.57,0.0
Slovakia,2021-08-27,18,24,40.45,36.77,0.0
Slovakia,2021-08-27,25,49,44.39,41.96,0.0
Slovakia,2021-08-27,50,59,54.67,52.43,0.0
Slovakia,2021-08-27,60,69,63.4,61.63,0.0
Slovakia,2021-08-27,70,79,76.73,74.91,0.0
Slovakia,2021-08-27,80,,64.12,62.01,0.0
Slovakia,2021-09-03,10,14,6.84,4.85,0.0
Slovakia,2021-09-03,15,17,26.7,21.82,0.0
Slovakia,2021-09-03,18,24,41.13,37.77,0.0
Slovakia,2021-09-03,25,49,44.75,42.58,0.0
Slovakia,2021-09-03,50,59,54.97,53.02,0.0
Slovakia,2021-09-03,60,69,63.6,62.06,0.0
Slovakia,2021-09-03,70,79,76.91,75.29,0.0
Slovakia,2021-09-03,80,,64.27,62.32,0.0
Slovakia,2021-09-10,10,14,7.06,5.4,0.0
Slovakia,2021-09-10,15,17,27.22,23.18,0.0
Slovakia,2021-09-10,18,24,41.69,38.65,0.0
Slovakia,2021-09-10,25,49,45.07,43.15,0.0
Slovakia,2021-09-10,50,59,55.22,53.54,0.0
Slovakia,2021-09-10,60,69,63.79,62.44,0.0
Slovakia,2021-09-10,70,79,77.1,75.65,0.0
Slovakia,2021-09-10,80,,64.44,62.62,0.0
Slovakia,2021-09-17,10,14,7.27,5.81,0.0
Slovakia,2021-09-17,15,17,27.69,24.19,0.0
Slovakia,2021-09-17,18,24,42.29,39.48,0.0
Slovakia,2021-09-17,25,49,45.42,43.67,0.0
Slovakia,2021-09-17,5,9,0.0,0.0,0.0
Slovakia,2021-09-17,50,59,55.51,54.05,0.0
Slovakia,2021-09-17,60,69,63.99,62.78,0.0
Slovakia,2021-09-17,70,79,77.27,75.97,0.0
Slovakia,2021-09-17,80,,64.61,62.9,0.0
Slovakia,2021-09-24,10,14,7.52,6.25,0.0
Slovakia,2021-09-24,15,17,28.27,25.21,0.0
Slovakia,2021-09-24,18,24,42.99,40.28,0.0
Slovakia,2021-09-24,25,49,45.85,44.16,0.0
Slovakia,2021-09-24,5,9,0.0,0.0,0.0
Slovakia,2021-09-24,50,59,55.86,54.47,0.0
Slovakia,2021-09-24,60,69,64.26,63.1,0.0
Slovakia,2021-09-24,70,79,77.52,76.25,0.0
Slovakia,2021-09-24,80,,64.86,63.16,0.0
Slovakia,2021-10-01,10,14,7.72,6.63,0.0
Slovakia,2021-10-01,15,17,28.8,26.03,0.0
Slovakia,2021-10-01,18,24,43.59,40.97,0.0
Slovakia,2021-10-01,25,49,46.22,44.56,0.0
Slovakia,2021-10-01,50,59,56.18,54.81,0.0
Slovakia,2021-10-01,60,69,64.51,63.33,0.0
Slovakia,2021-10-01,70,79,77.73,76.44,0.0
Slovakia,2021-10-01,80,,65.09,63.33,0.0
Slovakia,2021-10-08,10,14,7.92,6.9,0.0
Slovakia,2021-10-08,15,17,29.35,26.61,0.0
Slovakia,2021-10-08,18,24,44.07,41.52,0.0
Slovakia,2021-10-08,25,49,46.54,44.91,0.0
Slovakia,2021-10-08,5,9,0.0,0.0,0.0
Slovakia,2021-10-08,50,59,56.44,55.1,0.0
Slovakia,2021-10-08,60,69,64.7,63.53,0.0
Slovakia,2021-10-08,70,79,77.93,76.65,0.0
Slovakia,2021-10-08,80,,65.28,63.5,0.0
Slovakia,2021-10-15,10,14,8.1,7.11,0.0
Slovakia,2021-10-15,15,17,29.76,27.09,0.0
Slovakia,2021-10-15,18,24,44.47,42.06,0.0
Slovakia,2021-10-15,25,49,46.8,45.23,0.01
Slovakia,2021-10-15,5,9,0.0,0.0,0.0
Slovakia,2021-10-15,50,59,56.66,55.35,0.02
Slovakia,2021-10-15,60,69,64.85,63.72,0.02
Slovakia,2021-10-15,70,79,78.06,76.8,0.02
Slovakia,2021-10-15,80,,65.42,63.65,0.03
Slovakia,2021-10-22,10,14,8.3,7.36,0.0
Slovakia,2021-10-22,15,17,30.19,27.65,0.0
Slovakia,2021-10-22,18,24,44.83,42.64,0.06
Slovakia,2021-10-22,25,49,47.06,45.59,0.28
Slovakia,2021-10-22,5,9,0.0,0.0,0.0
Slovakia,2021-10-22,50,59,56.85,55.65,0.51
Slovakia,2021-10-22,60,69,65.0,63.96,0.64
Slovakia,2021-10-22,70,79,78.21,77.03,0.99
Slovakia,2021-10-22,80,,65.54,63.85,0.82
Slovakia,2021-10-29,10,14,8.54,7.55,0.0
Slovakia,2021-10-29,15,17,30.64,28.15,0.0
Slovakia,2021-10-29,18,24,45.24,43.18,0.17
Slovakia,2021-10-29,25,49,47.34,45.94,0.6
Slovakia,2021-10-29,5,9,0.01,0.0,0.0
Slovakia,2021-10-29,50,59,57.06,55.96,1.22
Slovakia,2021-10-29,60,69,65.16,64.18,1.81
Slovakia,2021-10-29,70,79,78.35,77.23,4.23
Slovakia,2021-10-29,80,,65.69,64.06,4.39
Slovakia,2021-11-05,10,14,8.79,7.73,0.0
Slovakia,2021-11-05,15,17,31.1,28.62,0.0
Slovakia,2021-11-05,18,24,45.69,43.66,0.29
Slovakia,2021-11-05,25,49,47.7,46.29,0.92
Slovakia,2021-11-05,5,9,0.02,0.0,0.0
Slovakia,2021-11-05,50,59,57.35,56.24,2.04
Slovakia,2021-11-05,60,69,65.33,64.36,3.65
Slovakia,2021-11-05,70,79,78.5,77.4,12.53
Slovakia,2021-11-05,80,,65.83,64.22,11.55
Slovakia,2021-11-12,10,14,9.13,7.92,0.0
Slovakia,2021-11-12,15,17,31.84,29.09,0.01
Slovakia,2021-11-12,18,24,46.58,44.33,0.48
Slovakia,2021-11-12,25,49,48.52,46.83,1.47
Slovakia,2021-11-12,5,9,0.02,0.0,0.0
Slovakia,2021-11-12,50,59,58.05,56.68,3.1
Slovakia,2021-11-12,60,69,65.76,64.62,6.54
Slovakia,2021-11-12,70,79,78.85,77.6,22.59
Slovakia,2021-11-12,80,,66.14,64.41,19.59
Slovakia,2021-11-19,10,14,9.55,8.1,0.0
Slovakia,2021-11-19,15,17,32.89,29.47,0.01
Slovakia,2021-11-19,18,24,48.06,45.17,0.77
Slovakia,2021-11-19,25,49,49.78,47.49,2.37
Slovakia,2021-11-19,5,9,0.02,0.0,0.0
Slovakia,2021-11-19,50,59,59.09,57.18,4.52
Slovakia,2021-11-19,60,69,66.34,64.89,9.58
Slovakia,2021-11-19,70,79,79.29,77.8,29.66
Slovakia,2021-11-19,80,,66.47,64.55,25.07
Slovakia,2021-11-26,10,14,10.17,8.37,0.0
Slovakia,2021-11-26,15,17,34.3,29.97,0.02
Slovakia,2021-11-26,18,24,49.71,46.15,1.19
Slovakia,2021-11-26,25,49,51.07,48.22,3.44
Slovakia,2021-11-26,5,9,0.04,0.01,0.0
Slovakia,2021-11-26,50,59,60.18,57.73,6.23
Slovakia,2021-11-26,60,69,67.07,65.22,14.67
Slovakia,2021-11-26,70,79,79.9,78.05,36.65
Slovakia,2021-11-26,80,,67.0,64.76,30.23
Slovakia,2021-12-03,10,14,10.6,8.59,0.0
Slovakia,2021-12-03,15,17,35.2,30.44,0.04
Slovakia,2021-12-03,18,24,50.49,46.69,1.64
Slovakia,2021-12-03,25,49,51.7,48.64,4.53
Slovakia,2021-12-03,5,9,0.05,0.01,0.0
Slovakia,2021-12-03,50,59,60.77,58.09,8.07
Slovakia,2021-12-03,60,69,67.58,65.45,21.24
Slovakia,2021-12-03,70,79,80.38,78.24,42.76
Slovakia,2021-12-03,80,,67.45,64.94,34.47
Slovakia,2021-12-10,10,14,10.9,8.89,0.0
Slovakia,2021-12-10,15,17,35.79,31.09,0.06
Slovakia,2021-12-10,18,24,51.0,47.32,2.15
Slovakia,2021-12-10,25,49,52.11,49.18,5.77
Slovakia,2021-12-10,5,9,0.07,0.02,0.0
Slovakia,2021-12-10,50,59,61.15,58.55,10.87
Slovakia,2021-12-10,60,69,68.18,65.81,30.41
Slovakia,2021-12-10,70,79,80.98,78.55,49.32
Slovakia,2021-12-10,80,,68.03,65.19,38.92
Slovakia,2021-12-17,10,14,11.28,9.25,0.01
Slovakia,2021-12-17,15,17,36.39,31.91,0.13
Slovakia,2021-12-17,18,24,51.47,48.17,3.48
Slovakia,2021-12-17,25,49,52.43,49.91,8.39
Slovakia,2021-12-17,5,9,0.07,0.02,0.0
Slovakia,2021-12-17,50,59,61.42,59.18,15.49
Slovakia,2021-12-17,60,69,68.88,66.27,39.37
Slovakia,2021-12-17,70,79,81.71,78.94,56.19
Slovakia,2021-12-17,80,,68.78,65.51,43.56
Slovakia,2021-12-24,10,14,11.51,9.6,0.01
Slovakia,2021-12-24,15,17,36.76,32.68,0.23
Slovakia,2021-12-24,18,24,51.71,48.77,5.16
Slovakia,2021-12-24,25,49,52.59,50.37,10.35
Slovakia,2021-12-24,5,9,0.1,0.04,0.0
Slovakia,2021-12-24,50,59,61.56,59.61,18.34
Slovakia,2021-12-24,60,69,69.19,66.61,42.86
Slovakia,2021-12-24,70,79,82.0,79.24,58.83
Slovakia,2021-12-24,80,,69.06,65.76,45.51
Slovakia,2021-12-31,10,14,11.71,9.97,0.02
Slovakia,2021-12-31,15,17,37.07,33.48,0.31
Slovakia,2021-12-31,18,24,51.9,49.25,7.3
Slovakia,2021-12-31,25,49,52.73,50.81,12.76
Slovakia,2021-12-31,5,9,0.1,0.04,0.0
Slovakia,2021-12-31,50,59,61.67,60.03,21.81
Slovakia,2021-12-31,60,69,69.46,66.98,46.2
Slovakia,2021-12-31,70,79,82.26,79.59,61.26
Slovakia,2021-12-31,80,,69.31,66.06,47.71
