location,date,age_group_min,age_group_max,people_vaccinated_per_hundred
Switzerland,2020-12-27,0,9,0.0
Switzerland,2020-12-27,10,19,0.0
Switzerland,2020-12-27,20,29,0.01
Switzerland,2020-12-27,30,39,0.01
Switzerland,2020-12-27,40,49,0.01
Switzerland,2020-12-27,50,59,0.01
Switzerland,2020-12-27,60,69,0.01
Switzerland,2020-12-27,70,79,0.01
Switzerland,2020-12-27,80,,0.09
Switzerland,2021-01-03,0,9,0.0
Switzerland,2021-01-03,10,19,0.0
Switzerland,2021-01-03,20,29,0.02
Switzerland,2021-01-03,30,39,0.02
Switzerland,2021-01-03,40,49,0.04
Switzerland,2021-01-03,50,59,0.05
Switzerland,2021-01-03,60,69,0.1
Switzerland,2021-01-03,70,79,0.2
Switzerland,2021-01-03,80,,0.46
Switzerland,2021-01-10,0,9,0.0
Switzerland,2021-01-10,10,19,0.02
Switzerland,2021-01-10,20,29,0.13
Switzerland,2021-01-10,30,39,0.15
Switzerland,2021-01-10,40,49,0.23
Switzerland,2021-01-10,50,59,0.34
Switzerland,2021-01-10,60,69,0.4
Switzerland,2021-01-10,70,79,1.13
Switzerland,2021-01-10,80,,3.53
Switzerland,2021-01-17,0,9,0.0
Switzerland,2021-01-17,10,19,0.04
Switzerland,2021-01-17,20,29,0.29
Switzerland,2021-01-17,30,39,0.36
Switzerland,2021-01-17,40,49,0.52
Switzerland,2021-01-17,50,59,0.7
Switzerland,2021-01-17,60,69,0.85
Switzerland,2021-01-17,70,79,3.02
Switzerland,2021-01-17,80,,8.46
Switzerland,2021-01-24,0,9,0.0
Switzerland,2021-01-24,10,19,0.08
Switzerland,2021-01-24,20,29,0.52
Switzerland,2021-01-24,30,39,0.69
Switzerland,2021-01-24,40,49,0.96
Switzerland,2021-01-24,50,59,1.34
Switzerland,2021-01-24,60,69,1.68
Switzerland,2021-01-24,70,79,6.69
Switzerland,2021-01-24,80,,16.82
Switzerland,2021-01-31,0,9,0.0
Switzerland,2021-01-31,10,19,0.12
Switzerland,2021-01-31,20,29,0.77
Switzerland,2021-01-31,30,39,1.0
Switzerland,2021-01-31,40,49,1.42
Switzerland,2021-01-31,50,59,2.04
Switzerland,2021-01-31,60,69,2.75
Switzerland,2021-01-31,70,79,10.97
Switzerland,2021-01-31,80,,26.93
Switzerland,2021-02-07,0,9,0.0
Switzerland,2021-02-07,10,19,0.14
Switzerland,2021-02-07,20,29,0.91
Switzerland,2021-02-07,30,39,1.19
Switzerland,2021-02-07,40,49,1.69
Switzerland,2021-02-07,50,59,2.5
Switzerland,2021-02-07,60,69,3.52
Switzerland,2021-02-07,70,79,13.79
Switzerland,2021-02-07,80,,32.35
Switzerland,2021-02-14,0,9,0.0
Switzerland,2021-02-14,10,19,0.17
Switzerland,2021-02-14,20,29,1.12
Switzerland,2021-02-14,30,39,1.45
Switzerland,2021-02-14,40,49,2.08
Switzerland,2021-02-14,50,59,3.11
Switzerland,2021-02-14,60,69,4.33
Switzerland,2021-02-14,70,79,16.59
Switzerland,2021-02-14,80,,38.51
Switzerland,2021-02-21,0,9,0.0
Switzerland,2021-02-21,10,19,0.2
Switzerland,2021-02-21,20,29,1.3
Switzerland,2021-02-21,30,39,1.67
Switzerland,2021-02-21,40,49,2.39
Switzerland,2021-02-21,50,59,3.63
Switzerland,2021-02-21,60,69,5.1
Switzerland,2021-02-21,70,79,18.7
Switzerland,2021-02-21,80,,42.47
Switzerland,2021-02-28,0,9,0.0
Switzerland,2021-02-28,10,19,0.22
Switzerland,2021-02-28,20,29,1.47
Switzerland,2021-02-28,30,39,1.89
Switzerland,2021-02-28,40,49,2.67
Switzerland,2021-02-28,50,59,4.05
Switzerland,2021-02-28,60,69,5.69
Switzerland,2021-02-28,70,79,20.5
Switzerland,2021-02-28,80,,45.59
Switzerland,2021-03-07,0,9,0.0
Switzerland,2021-03-07,10,19,0.25
Switzerland,2021-03-07,20,29,1.68
Switzerland,2021-03-07,30,39,2.15
Switzerland,2021-03-07,40,49,3.01
Switzerland,2021-03-07,50,59,4.59
Switzerland,2021-03-07,60,69,6.58
Switzerland,2021-03-07,70,79,23.78
Switzerland,2021-03-07,80,,50.49
Switzerland,2021-03-14,0,9,0.0
Switzerland,2021-03-14,10,19,0.29
Switzerland,2021-03-14,20,29,1.97
Switzerland,2021-03-14,30,39,2.5
Switzerland,2021-03-14,40,49,3.49
Switzerland,2021-03-14,50,59,5.32
Switzerland,2021-03-14,60,69,7.8
Switzerland,2021-03-14,70,79,27.6
Switzerland,2021-03-14,80,,55.75
Switzerland,2021-03-21,0,9,0.0
Switzerland,2021-03-21,10,19,0.32
Switzerland,2021-03-21,20,29,2.18
Switzerland,2021-03-21,30,39,2.79
Switzerland,2021-03-21,40,49,3.93
Switzerland,2021-03-21,50,59,6.02
Switzerland,2021-03-21,60,69,9.22
Switzerland,2021-03-21,70,79,31.02
Switzerland,2021-03-21,80,,59.26
Switzerland,2021-03-28,0,9,0.0
Switzerland,2021-03-28,10,19,0.36
Switzerland,2021-03-28,20,29,2.49
Switzerland,2021-03-28,30,39,3.17
Switzerland,2021-03-28,40,49,4.5
Switzerland,2021-03-28,50,59,7.01
Switzerland,2021-03-28,60,69,11.45
Switzerland,2021-03-28,70,79,36.24
Switzerland,2021-03-28,80,,63.98
Switzerland,2021-04-04,0,9,0.0
Switzerland,2021-04-04,10,19,0.4
Switzerland,2021-04-04,20,29,2.75
Switzerland,2021-04-04,30,39,3.53
Switzerland,2021-04-04,40,49,5.04
Switzerland,2021-04-04,50,59,7.93
Switzerland,2021-04-04,60,69,13.96
Switzerland,2021-04-04,70,79,41.33
Switzerland,2021-04-04,80,,67.89
Switzerland,2021-04-11,0,9,0.01
Switzerland,2021-04-11,10,19,0.44
Switzerland,2021-04-11,20,29,3.02
Switzerland,2021-04-11,30,39,3.85
Switzerland,2021-04-11,40,49,5.52
Switzerland,2021-04-11,50,59,8.79
Switzerland,2021-04-11,60,69,17.57
Switzerland,2021-04-11,70,79,47.59
Switzerland,2021-04-11,80,,71.18
Switzerland,2021-04-18,0,9,0.01
Switzerland,2021-04-18,10,19,0.5
Switzerland,2021-04-18,20,29,3.51
Switzerland,2021-04-18,30,39,4.5
Switzerland,2021-04-18,40,49,6.54
Switzerland,2021-04-18,50,59,10.55
Switzerland,2021-04-18,60,69,24.6
Switzerland,2021-04-18,70,79,57.38
Switzerland,2021-04-18,80,,74.58
Switzerland,2021-04-25,0,9,0.01
Switzerland,2021-04-25,10,19,0.62
Switzerland,2021-04-25,20,29,4.29
Switzerland,2021-04-25,30,39,5.44
Switzerland,2021-04-25,40,49,8.33
