location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-03-19,Johnson&Johnson,28
Austria,2021-03-26,Johnson&Johnson,57
Austria,2021-04-02,Johnson&Johnson,116
Austria,2021-04-09,Johnson&Johnson,220
Austria,2021-04-16,Johnson&Johnson,243
Austria,2021-04-23,Johnson&Johnson,253
Austria,2021-04-30,Johnson&Johnson,569
Austria,2021-05-07,Johnson&Johnson,6841
Austria,2021-05-14,Johnson&Johnson,14114
Austria,2021-05-21,Johnson&Johnson,26731
Austria,2021-05-28,Johnson&Johnson,39351
Austria,2021-06-04,Johnson&Johnson,60679
Austria,2021-06-11,Johnson&Johnson,83371
Austria,2021-06-18,Johnson&Johnson,98923
Austria,2021-06-25,Johnson&Johnson,107919
Austria,2021-07-02,Johnson&Johnson,134164
Austria,2021-07-09,Johnson&Johnson,159162
Austria,2021-07-16,Johnson&Johnson,179104
Austria,2021-07-23,Johnson&Johnson,196199
Austria,2021-07-30,Johnson&Johnson,208762
Austria,2021-08-06,Johnson&Johnson,224514
Austria,2021-08-13,Johnson&Johnson,235300
Austria,2021-08-20,Johnson&Johnson,249144
Austria,2021-08-27,Johnson&Johnson,263377
Austria,2021-09-03,Johnson&Johnson,276814
Austria,2021-09-10,Johnson&Johnson,291204
Austria,2021-09-17,Johnson&Johnson,302971
Austria,2021-09-24,Johnson&Johnson,317160
Austria,2021-10-01,Johnson&Johnson,325023
Austria,2021-10-08,Johnson&Johnson,329451
Austria,2021-10-15,Johnson&Johnson,332501
Austria,2021-10-22,Johnson&Johnson,336154
Austria,2021-10-29,Johnson&Johnson,341953
Austria,2021-11-05,Johnson&Johnson,347105
Austria,2021-11-12,Johnson&Johnson,351881
Austria,2021-11-19,Johnson&Johnson,354942
Austria,2021-11-26,Johnson&Johnson,356784
Austria,2021-12-03,Johnson&Johnson,358060
Austria,2021-12-10,Johnson&Johnson,359394
Austria,2021-12-17,Johnson&Johnson,361221
Austria,2021-12-24,Johnson&Johnson,362361
Austria,2021-12-31,Johnson&Johnson,363805
Austria,2022-01-07,Johnson&Johnson,365108
Austria,2022-01-14,Johnson&Johnson,365737
Austria,2022-01-21,Johnson&Johnson,366166
Austria,2022-01-28,Johnson&Johnson,366469
Austria,2022-02-04,Johnson&Johnson,366670
Austria,2022-02-11,Johnson&Johnson,366794
Austria,2022-02-18,Johnson&Johnson,366867
Austria,2022-02-25,Johnson&Johnson,366916
Austria,2022-03-04,Johnson&Johnson,366949
Austria,2022-03-11,Johnson&Johnson,366986
Austria,2022-03-18,Johnson&Johnson,367010
Austria,2022-03-25,Johnson&Johnson,367031
Austria,2022-04-01,Johnson&Johnson,367060
Austria,2022-04-08,Johnson&Johnson,367101
Austria,2022-04-15,Johnson&Johnson,367141
Austria,2022-04-22,Johnson&Johnson,367174
Austria,2022-04-29,Johnson&Johnson,367217
Austria,2022-05-06,Johnson&Johnson,367250
Austria,2022-05-13,Johnson&Johnson,367313
Austria,2022-05-20,Johnson&Johnson,367369
Austria,2022-05-27,Johnson&Johnson,367410
Austria,2022-06-03,Johnson&Johnson,367457
Austria,2022-06-10,Johnson&Johnson,367501
Austria,2022-06-14,Johnson&Johnson,364819
Austria,2022-06-17,Johnson&Johnson,367542
Austria,2022-06-24,Johnson&Johnson,367590
Austria,2022-06-28,Johnson&Johnson,364929
Austria,2022-07-01,Johnson&Johnson,367638
Austria,2022-07-08,Johnson&Johnson,367663
Austria,2022-07-12,Johnson&Johnson,367669
Austria,2021-01-08,Moderna,0
Austria,2021-01-15,Moderna,104
Austria,2021-01-22,Moderna,355
Austria,2021-01-29,Moderna,4370
Austria,2021-02-05,Moderna,6108
Austria,2021-02-12,Moderna,10272
Austria,2021-02-19,Moderna,14478
Austria,2021-02-26,Moderna,22993
Austria,2021-03-05,Moderna,32418
Austria,2021-03-12,Moderna,47925
Austria,2021-03-19,Moderna,79924
Austria,2021-03-26,Moderna,105561
Austria,2021-04-02,Moderna,142286
Austria,2021-04-09,Moderna,182247
Austria,2021-04-16,Moderna,225296
Austria,2021-04-23,Moderna,263164
Austria,2021-04-30,Moderna,302640
Austria,2021-05-07,Moderna,352552
Austria,2021-05-14,Moderna,403321
Austria,2021-05-21,Moderna,472225
Austria,2021-05-28,Moderna,526592
Austria,2021-06-04,Moderna,583016
Austria,2021-06-11,Moderna,647062
Austria,2021-06-18,Moderna,697640
Austria,2021-06-25,Moderna,754381
Austria,2021-07-02,Moderna,815400
Austria,2021-07-09,Moderna,866836
Austria,2021-07-16,Moderna,912448
Austria,2021-07-23,Moderna,959598
Austria,2021-07-30,Moderna,979271
Austria,2021-08-06,Moderna,998118
