location,date,vaccine,total_vaccinations
Canada,2021-11-13,Johnson&Johnson,135
Canada,2021-11-20,Johnson&Johnson,2500
Canada,2021-11-27,Johnson&Johnson,5184
Canada,2021-12-04,Johnson&Johnson,6771
Canada,2021-12-11,Johnson&Johnson,8406
Canada,2021-12-18,Johnson&Johnson,9578
Canada,2021-12-25,Johnson&Johnson,10785
Canada,2022-01-01,Johnson&Johnson,11621
Canada,2022-01-08,Johnson&Johnson,12955
Canada,2022-01-15,Johnson&Johnson,14091
Canada,2022-01-22,Johnson&Johnson,15300
Canada,2022-01-30,Johnson&Johnson,16215
Canada,2022-02-06,Johnson&Johnson,16921
Canada,2022-02-13,Johnson&Johnson,17644
Canada,2022-02-20,Johnson&Johnson,18082
Canada,2022-02-27,Johnson&Johnson,18447
Canada,2022-03-06,Johnson&Johnson,18890
Canada,2022-03-13,Johnson&Johnson,19132
Canada,2022-03-20,Johnson&Johnson,19489
Canada,2022-03-27,Johnson&Johnson,19744
Canada,2022-04-03,Johnson&Johnson,20013
Canada,2022-04-10,Johnson&Johnson,20216
Canada,2022-04-24,Johnson&Johnson,20587
Canada,2022-05-08,Johnson&Johnson,20991
Canada,2022-05-22,Johnson&Johnson,21455
Canada,2022-06-19,Johnson&Johnson,22084
Canada,2022-07-17,Johnson&Johnson,22408
Canada,2022-08-14,Johnson&Johnson,22748
Canada,2022-09-11,Johnson&Johnson,23041
Canada,2022-10-09,Johnson&Johnson,23265
Canada,2022-11-06,Johnson&Johnson,23414
Canada,2022-12-04,Johnson&Johnson,23591
Canada,2022-05-22,Medicago,285
Canada,2022-06-19,Medicago,518
Canada,2022-07-17,Medicago,580
Canada,2022-08-14,Medicago,863
Canada,2021-01-02,Moderna,1778
Canada,2021-01-09,Moderna,46739
Canada,2021-01-16,Moderna,76759
Canada,2021-01-23,Moderna,145016
Canada,2021-01-30,Moderna,175760
Canada,2021-02-06,Moderna,195489
Canada,2021-02-13,Moderna,237442
Canada,2021-02-20,Moderna,394662
Canada,2021-02-27,Moderna,437566
Canada,2021-03-06,Moderna,517476
Canada,2021-03-13,Moderna,581812
Canada,2021-03-20,Moderna,788947
Canada,2021-03-27,Moderna,937452
Canada,2021-04-03,Moderna,1108412
Canada,2021-04-10,Moderna,1395102
Canada,2021-04-17,Moderna,1837142
Canada,2021-04-24,Moderna,2275546
Canada,2021-05-01,Moderna,2588182
Canada,2021-05-08,Moderna,2966045
Canada,2021-05-15,Moderna,3576990
Canada,2021-05-22,Moderna,4065077
Canada,2021-05-29,Moderna,4627756
Canada,2021-06-05,Moderna,5019209
Canada,2021-06-12,Moderna,5392212
Canada,2021-06-19,Moderna,5892721
Canada,2021-06-26,Moderna,7567387
Canada,2021-07-03,Moderna,8945514
Canada,2021-07-10,Moderna,10372585
Canada,2021-07-17,Moderna,11384432
Canada,2021-07-24,Moderna,11906209
Canada,2021-07-31,Moderna,12205417
Canada,2021-08-07,Moderna,12421740
Canada,2021-08-14,Moderna,12661548
Canada,2021-08-21,Moderna,12870327
Canada,2021-08-28,Moderna,13047665
Canada,2021-09-04,Moderna,13192599
Canada,2021-09-11,Moderna,13335606
Canada,2021-09-18,Moderna,13480076
Canada,2021-09-25,Moderna,13645000
Canada,2021-10-02,Moderna,13762311
Canada,2021-10-09,Moderna,13877343
Canada,2021-10-16,Moderna,13991472
Canada,2021-10-23,Moderna,14117012
Canada,2021-10-30,Moderna,14231859
Canada,2021-11-06,Moderna,14335040
Canada,2021-11-13,Moderna,14439822
Canada,2021-11-20,Moderna,14569536
Canada,2021-11-27,Moderna,14703849
Canada,2021-12-04,Moderna,14848486
Canada,2021-12-11,Moderna,15045665
Canada,2021-12-18,Moderna,15420590
Canada,2021-12-25,Moderna,16075295
Canada,2022-01-01,Moderna,16867350
Canada,2022-01-08,Moderna,18291982
Canada,2022-01-15,Moderna,19878625
Canada,2022-01-22,Moderna,21071535
Canada,2022-01-30,Moderna,21809156
Canada,2022-02-06,Moderna,22161502
Canada,2022-02-13,Moderna,22389238
Canada,2022-02-20,Moderna,22525121
Canada,2022-02-27,Moderna,22607582
Canada,2022-03-06,Moderna,22652159
Canada,2022-03-13,Moderna,22688789
Canada,2022-03-20,Moderna,22719974
Canada,2022-03-27,Moderna,22750944
Canada,2022-04-03,Moderna,22792342
Canada,2022-04-10,Moderna,22884164
Canada,2022-04-24,Moderna,23197962
Canada,2022-05-08,Moderna,23526609
Canada,2022-05-22,Moderna,23758309
Canada,2022-06-19,Moderna,24087160
Canada,2022-07-17,Moderna,24380856
Canada,2022-08-14,Moderna,24803177
Canada,2022-09-11,Moderna,25160983
Canada,2022-10-09,Moderna,26922874
Canada,2022-11-06,Moderna,28269709
Canada,2022-12-04,Moderna,28804585
Canada,2022-04-24,Novavax,1085
Canada,2022-05-08,Novavax,5153
Canada,2022-05-22,Novavax,7800
Canada,2022-06-19,Novavax,12114
Canada,2022-07-17,Novavax,18691
Canada,2022-08-14,Novavax,21948
Canada,2022-09-11,Novavax,23868
Canada,2022-10-09,Novavax,25477
Canada,2022-11-06,Novavax,27087
Canada,2022-12-04,Novavax,28433
Canada,2021-03-13,Oxford/AstraZeneca,75900
Canada,2021-03-20,Oxford/AstraZeneca,309989
Canada,2021-03-27,Oxford/AstraZeneca,438922
Canada,2021-04-03,Oxford/AstraZeneca,485069
Canada,2021-04-10,Oxford/AstraZeneca,717052
Canada,2021-04-17,Oxford/AstraZeneca,1108149
Canada,2021-04-24,Oxford/AstraZeneca,1684437
Canada,2021-05-01,Oxford/AstraZeneca,2060977
Canada,2021-05-08,Oxford/AstraZeneca,2180942
Canada,2021-05-15,Oxford/AstraZeneca,2214939
Canada,2021-05-22,Oxford/AstraZeneca,2219361
Canada,2021-05-29,Oxford/AstraZeneca,2264750
Canada,2021-06-05,Oxford/AstraZeneca,2368969
Canada,2021-06-12,Oxford/AstraZeneca,2500235
Canada,2021-06-19,Oxford/AstraZeneca,2620750
Canada,2021-06-26,Oxford/AstraZeneca,2709503
Canada,2021-07-03,Oxford/AstraZeneca,2741580
Canada,2021-07-10,Oxford/AstraZeneca,2763608
Canada,2021-07-17,Oxford/AstraZeneca,2772858
Canada,2021-07-24,Oxford/AstraZeneca,2778864
Canada,2021-07-31,Oxford/AstraZeneca,2784244
Canada,2021-08-07,Oxford/AstraZeneca,2788899
Canada,2021-08-14,Oxford/AstraZeneca,2792702
Canada,2021-08-21,Oxford/AstraZeneca,2795267
Canada,2021-09-25,Oxford/AstraZeneca,2795596
Canada,2021-10-02,Oxford/AstraZeneca,2796380
Canada,2021-10-09,Oxford/AstraZeneca,2797075
Canada,2021-10-16,Oxford/AstraZeneca,2797856
Canada,2021-10-23,Oxford/AstraZeneca,2798729
Canada,2021-11-06,Oxford/AstraZeneca,2799417
Canada,2021-11-13,Oxford/AstraZeneca,2799540
Canada,2021-11-27,Oxford/AstraZeneca,2799658
Canada,2021-12-04,Oxford/AstraZeneca,2800492
Canada,2021-12-11,Oxford/AstraZeneca,2802005
Canada,2021-12-18,Oxford/AstraZeneca,2803207
Canada,2021-12-25,Oxford/AstraZeneca,2804181
Canada,2022-01-01,Oxford/AstraZeneca,2804637
Canada,2022-01-08,Oxford/AstraZeneca,2805376
Canada,2022-01-15,Oxford/AstraZeneca,2806441
Canada,2022-01-22,Oxford/AstraZeneca,2807740
Canada,2022-01-30,Oxford/AstraZeneca,2808800
Canada,2022-02-06,Oxford/AstraZeneca,2809644
Canada,2022-02-13,Oxford/AstraZeneca,2810401
Canada,2022-02-20,Oxford/AstraZeneca,2811262
Canada,2022-02-27,Oxford/AstraZeneca,2811530
Canada,2022-03-06,Oxford/AstraZeneca,2811663
Canada,2022-03-13,Oxford/AstraZeneca,2811871
Canada,2022-03-20,Oxford/AstraZeneca,2812040
Canada,2022-03-27,Oxford/AstraZeneca,2812309
Canada,2022-04-03,Oxford/AstraZeneca,2812436
Canada,2022-04-10,Oxford/AstraZeneca,2812492
Canada,2022-06-19,Oxford/AstraZeneca,2812606
Canada,2022-07-17,Oxford/AstraZeneca,2812975
Canada,2022-08-14,Oxford/AstraZeneca,2813475
Canada,2022-09-11,Oxford/AstraZeneca,2813832
Canada,2022-10-09,Oxford/AstraZeneca,2814449
Canada,2022-11-06,Oxford/AstraZeneca,2815029
Canada,2022-12-04,Oxford/AstraZeneca,2815498
Canada,2020-12-19,Pfizer/BioNTech,12360
Canada,2020-12-26,Pfizer/BioNTech,46153
Canada,2021-01-02,Pfizer/BioNTech,67350
Canada,2021-01-09,Pfizer/BioNTech,168861
Canada,2021-01-16,Pfizer/BioNTech,304252
Canada,2021-01-23,Pfizer/BioNTech,394843
Canada,2021-01-30,Pfizer/BioNTech,440208
Canada,2021-02-06,Pfizer/BioNTech,500380
Canada,2021-02-13,Pfizer/BioNTech,575145
Canada,2021-02-20,Pfizer/BioNTech,1126951
Canada,2021-02-27,Pfizer/BioNTech,1482190
Canada,2021-03-06,Pfizer/BioNTech,1910930
Canada,2021-03-13,Pfizer/BioNTech,2440027
Canada,2021-03-20,Pfizer/BioNTech,2931403
Canada,2021-03-27,Pfizer/BioNTech,3823835
Canada,2021-04-03,Pfizer/BioNTech,4910486
Canada,2021-04-10,Pfizer/BioNTech,6032437
Canada,2021-04-17,Pfizer/BioNTech,7182871
Canada,2021-04-24,Pfizer/BioNTech,8196653
Canada,2021-05-01,Pfizer/BioNTech,9258143
Canada,2021-05-08,Pfizer/BioNTech,10883178
Canada,2021-05-15,Pfizer/BioNTech,12856273
Canada,2021-05-22,Pfizer/BioNTech,14991375
Canada,2021-05-29,Pfizer/BioNTech,16781130
Canada,2021-06-05,Pfizer/BioNTech,18945479
Canada,2021-06-12,Pfizer/BioNTech,21351774
Canada,2021-06-19,Pfizer/BioNTech,23818450
Canada,2021-06-26,Pfizer/BioNTech,25575834
Canada,2021-07-03,Pfizer/BioNTech,27702396
Canada,2021-07-10,Pfizer/BioNTech,29670161
Canada,2021-07-17,Pfizer/BioNTech,31282434
Canada,2021-07-24,Pfizer/BioNTech,33075248
Canada,2021-07-31,Pfizer/BioNTech,34499349
Canada,2021-08-07,Pfizer/BioNTech,35320450
Canada,2021-08-14,Pfizer/BioNTech,36023261
Canada,2021-08-21,Pfizer/BioNTech,36648817
Canada,2021-08-28,Pfizer/BioNTech,37197478
Canada,2021-09-04,Pfizer/BioNTech,37668256
Canada,2021-09-11,Pfizer/BioNTech,38143708
Canada,2021-09-18,Pfizer/BioNTech,38635276
Canada,2021-09-25,Pfizer/BioNTech,39197999
Canada,2021-10-02,Pfizer/BioNTech,39644090
Canada,2021-10-09,Pfizer/BioNTech,40073574
Canada,2021-10-16,Pfizer/BioNTech,40476212
Canada,2021-10-23,Pfizer/BioNTech,40874856
