location,date,vaccine,total_vaccinations
Chile,2021-05-31,CanSino,75
Chile,2021-06-01,CanSino,10471
Chile,2021-06-02,CanSino,33802
Chile,2021-06-03,CanSino,73430
Chile,2021-06-04,CanSino,107821
Chile,2021-06-05,CanSino,117733
Chile,2021-06-06,CanSino,119524
Chile,2021-06-07,CanSino,147005
Chile,2021-06-08,CanSino,167097
Chile,2021-06-09,CanSino,183833
Chile,2021-06-10,CanSino,197000
Chile,2021-06-11,CanSino,201046
Chile,2021-06-12,CanSino,201440
Chile,2021-06-13,CanSino,201490
Chile,2021-06-14,CanSino,205671
Chile,2021-06-15,CanSino,209352
Chile,2021-06-16,CanSino,213306
Chile,2021-06-17,CanSino,216349
Chile,2021-06-18,CanSino,218726
Chile,2021-06-19,CanSino,219005
Chile,2021-06-20,CanSino,219017
Chile,2021-06-21,CanSino,219096
Chile,2021-06-22,CanSino,222861
Chile,2021-06-23,CanSino,235292
Chile,2021-06-24,CanSino,298894
Chile,2021-06-25,CanSino,349043
Chile,2021-06-26,CanSino,359123
Chile,2021-06-27,CanSino,360379
Chile,2021-06-28,CanSino,361606
Chile,2021-06-29,CanSino,393531
Chile,2021-06-30,CanSino,416450
Chile,2021-07-01,CanSino,430480
Chile,2021-07-02,CanSino,441961
Chile,2021-07-03,CanSino,445394
Chile,2021-07-04,CanSino,445796
Chile,2021-07-05,CanSino,456215
Chile,2021-07-06,CanSino,463810
Chile,2021-07-07,CanSino,468611
Chile,2021-07-08,CanSino,472484
Chile,2021-07-09,CanSino,476402
Chile,2021-07-10,CanSino,477977
Chile,2021-07-11,CanSino,478149
Chile,2021-07-12,CanSino,482239
Chile,2021-07-13,CanSino,485075
Chile,2021-07-14,CanSino,487804
Chile,2021-07-15,CanSino,493121
Chile,2021-07-16,CanSino,493218
Chile,2021-07-17,CanSino,493687
Chile,2021-07-18,CanSino,493789
Chile,2021-07-19,CanSino,496425
Chile,2021-07-20,CanSino,498162
Chile,2021-07-21,CanSino,499566
Chile,2021-07-22,CanSino,501159
Chile,2021-07-23,CanSino,502390
