location,date,vaccine,total_vaccinations
Croatia,2021-02-05,Johnson&Johnson,2
Croatia,2021-02-12,Johnson&Johnson,3
Croatia,2021-02-19,Johnson&Johnson,5
Croatia,2021-03-05,Johnson&Johnson,9
Croatia,2021-03-12,Johnson&Johnson,24
Croatia,2021-03-19,Johnson&Johnson,39
Croatia,2021-03-26,Johnson&Johnson,51
Croatia,2021-04-02,Johnson&Johnson,70
Croatia,2021-04-09,Johnson&Johnson,116
Croatia,2021-04-16,Johnson&Johnson,126
Croatia,2021-04-23,Johnson&Johnson,126
Croatia,2021-04-30,Johnson&Johnson,852
Croatia,2021-05-07,Johnson&Johnson,3662
Croatia,2021-05-14,Johnson&Johnson,6279
Croatia,2021-05-21,Johnson&Johnson,9719
Croatia,2021-05-28,Johnson&Johnson,13052
Croatia,2021-06-04,Johnson&Johnson,15364
Croatia,2021-06-11,Johnson&Johnson,18360
Croatia,2021-06-18,Johnson&Johnson,20883
Croatia,2021-06-25,Johnson&Johnson,23028
Croatia,2021-07-02,Johnson&Johnson,26074
Croatia,2021-07-09,Johnson&Johnson,31745
Croatia,2021-07-16,Johnson&Johnson,39401
Croatia,2021-07-23,Johnson&Johnson,46994
Croatia,2021-07-30,Johnson&Johnson,54334
Croatia,2021-08-06,Johnson&Johnson,58156
Croatia,2021-08-13,Johnson&Johnson,62123
Croatia,2021-08-20,Johnson&Johnson,66550
Croatia,2021-08-27,Johnson&Johnson,71657
Croatia,2021-09-03,Johnson&Johnson,77279
Croatia,2021-09-10,Johnson&Johnson,81615
Croatia,2021-09-17,Johnson&Johnson,88014
Croatia,2021-09-24,Johnson&Johnson,94541
Croatia,2021-10-01,Johnson&Johnson,100632
Croatia,2021-10-08,Johnson&Johnson,106514
Croatia,2021-10-15,Johnson&Johnson,110448
Croatia,2021-10-22,Johnson&Johnson,114006
Croatia,2021-10-29,Johnson&Johnson,119744
Croatia,2021-11-05,Johnson&Johnson,127515
Croatia,2021-11-12,Johnson&Johnson,146092
Croatia,2021-11-19,Johnson&Johnson,164406
Croatia,2021-11-26,Johnson&Johnson,175998
Croatia,2021-12-03,Johnson&Johnson,181310
Croatia,2021-12-10,Johnson&Johnson,184645
Croatia,2021-12-17,Johnson&Johnson,187270
Croatia,2021-12-24,Johnson&Johnson,188762
Croatia,2021-12-31,Johnson&Johnson,190182
Croatia,2022-01-07,Johnson&Johnson,191858
Croatia,2022-01-14,Johnson&Johnson,193994
Croatia,2022-01-21,Johnson&Johnson,195730
Croatia,2022-01-28,Johnson&Johnson,197015
Croatia,2022-02-04,Johnson&Johnson,198036
Croatia,2022-02-11,Johnson&Johnson,198932
Croatia,2022-02-18,Johnson&Johnson,199818
Croatia,2022-02-25,Johnson&Johnson,200480
Croatia,2022-03-04,Johnson&Johnson,200825
Croatia,2022-03-11,Johnson&Johnson,201126
Croatia,2022-03-18,Johnson&Johnson,201320
Croatia,2022-03-25,Johnson&Johnson,201519
Croatia,2022-04-01,Johnson&Johnson,201696
Croatia,2022-04-08,Johnson&Johnson,201905
Croatia,2022-04-15,Johnson&Johnson,202047
Croatia,2022-04-22,Johnson&Johnson,202186
Croatia,2022-04-29,Johnson&Johnson,202354
Croatia,2022-05-06,Johnson&Johnson,202481
Croatia,2022-05-13,Johnson&Johnson,202618
Croatia,2022-05-20,Johnson&Johnson,202719
Croatia,2022-05-27,Johnson&Johnson,202819
Croatia,2022-06-03,Johnson&Johnson,202921
Croatia,2022-06-10,Johnson&Johnson,202998
Croatia,2022-06-17,Johnson&Johnson,203019
Croatia,2021-01-08,Moderna,21
Croatia,2021-01-15,Moderna,1507
Croatia,2021-01-22,Moderna,2733
Croatia,2021-01-29,Moderna,2831
Croatia,2021-02-05,Moderna,3342
Croatia,2021-02-12,Moderna,8458
Croatia,2021-02-19,Moderna,13649
Croatia,2021-02-26,Moderna,14836
Croatia,2021-03-05,Moderna,23417
Croatia,2021-03-12,Moderna,30234
Croatia,2021-03-19,Moderna,45677
Croatia,2021-03-26,Moderna,53639
Croatia,2021-04-02,Moderna,73124
Croatia,2021-04-09,Moderna,85501
Croatia,2021-04-16,Moderna,106087
Croatia,2021-04-23,Moderna,117177
Croatia,2021-04-30,Moderna,132204
Croatia,2021-05-07,Moderna,149754
Croatia,2021-05-14,Moderna,175217
Croatia,2021-05-21,Moderna,199116
Croatia,2021-05-28,Moderna,215217
Croatia,2021-06-04,Moderna,226462
Croatia,2021-06-11,Moderna,244993
Croatia,2021-06-18,Moderna,263298
Croatia,2021-06-25,Moderna,274458
Croatia,2021-07-02,Moderna,285606
Croatia,2021-07-09,Moderna,293139
Croatia,2021-07-16,Moderna,299622
Croatia,2021-07-23,Moderna,303362
Croatia,2021-07-30,Moderna,307623
Croatia,2021-08-06,Moderna,311483
Croatia,2021-08-13,Moderna,315346
Croatia,2021-08-20,Moderna,317973
Croatia,2021-08-27,Moderna,321059
Croatia,2021-09-03,Moderna,322925
Croatia,2021-09-10,Moderna,325145
Croatia,2021-09-17,Moderna,327305
Croatia,2021-09-24,Moderna,329994
Croatia,2021-10-01,Moderna,331948
Croatia,2021-10-08,Moderna,334360
Croatia,2021-10-15,Moderna,335740
Croatia,2021-10-22,Moderna,337994
Croatia,2021-10-29,Moderna,341214
Croatia,2021-11-05,Moderna,348291
Croatia,2021-11-12,Moderna,360704
Croatia,2021-11-19,Moderna,373337
Croatia,2021-11-26,Moderna,388881
Croatia,2021-12-03,Moderna,403536
Croatia,2021-12-10,Moderna,417266
Croatia,2021-12-17,Moderna,434606
Croatia,2021-12-24,Moderna,445719
Croatia,2021-12-31,Moderna,457203
Croatia,2022-01-07,Moderna,472995
Croatia,2022-01-14,Moderna,487474
Croatia,2022-01-21,Moderna,495243
Croatia,2022-01-28,Moderna,499545
Croatia,2022-02-04,Moderna,502541
Croatia,2022-02-11,Moderna,504788
Croatia,2022-02-18,Moderna,506466
Croatia,2022-02-25,Moderna,507511
Croatia,2022-03-04,Moderna,508211
Croatia,2022-03-11,Moderna,508743
Croatia,2022-03-18,Moderna,509279
Croatia,2022-03-25,Moderna,509768
Croatia,2022-04-01,Moderna,510228
Croatia,2022-04-08,Moderna,510721
Croatia,2022-04-15,Moderna,510934
Croatia,2022-04-22,Moderna,511216
Croatia,2022-04-29,Moderna,511418
Croatia,2022-05-06,Moderna,511587
Croatia,2022-05-13,Moderna,511762
Croatia,2022-05-20,Moderna,511924
Croatia,2022-05-27,Moderna,512084
Croatia,2022-06-03,Moderna,512153
Croatia,2022-06-10,Moderna,512238
Croatia,2022-06-17,Moderna,512259
Croatia,2022-03-04,Novavax,1
Croatia,2022-03-11,Novavax,58
Croatia,2022-03-18,Novavax,219
Croatia,2022-03-25,Novavax,332
Croatia,2022-04-01,Novavax,423
Croatia,2022-04-08,Novavax,618
Croatia,2022-04-15,Novavax,722
Croatia,2022-04-22,Novavax,807
Croatia,2022-04-29,Novavax,898
Croatia,2022-05-06,Novavax,972
Croatia,2022-05-13,Novavax,1015
Croatia,2022-05-20,Novavax,1064
Croatia,2022-05-27,Novavax,1113
Croatia,2022-06-03,Novavax,1137
Croatia,2022-06-10,Novavax,1159
Croatia,2022-06-17,Novavax,1162
Croatia,2021-01-15,Oxford/AstraZeneca,4
Croatia,2021-02-05,Oxford/AstraZeneca,12
Croatia,2021-02-12,Oxford/AstraZeneca,3241
Croatia,2021-02-19,Oxford/AstraZeneca,19304
Croatia,2021-02-26,Oxford/AstraZeneca,60919
Croatia,2021-03-05,Oxford/AstraZeneca,85671
Croatia,2021-03-12,Oxford/AstraZeneca,119406
Croatia,2021-03-19,Oxford/AstraZeneca,140318
Croatia,2021-03-26,Oxford/AstraZeneca,161716
Croatia,2021-04-02,Oxford/AstraZeneca,177699
Croatia,2021-04-09,Oxford/AstraZeneca,206890
Croatia,2021-04-16,Oxford/AstraZeneca,238981
Croatia,2021-04-23,Oxford/AstraZeneca,254063
Croatia,2021-04-30,Oxford/AstraZeneca,274357
Croatia,2021-05-07,Oxford/AstraZeneca,315729
Croatia,2021-05-14,Oxford/AstraZeneca,355446
Croatia,2021-05-21,Oxford/AstraZeneca,389052
Croatia,2021-05-28,Oxford/AstraZeneca,419715
Croatia,2021-06-04,Oxford/AstraZeneca,438522
Croatia,2021-06-11,Oxford/AstraZeneca,460167
Croatia,2021-06-18,Oxford/AstraZeneca,477635
Croatia,2021-06-25,Oxford/AstraZeneca,487983
Croatia,2021-07-02,Oxford/AstraZeneca,507879
Croatia,2021-07-09,Oxford/AstraZeneca,527217
Croatia,2021-07-16,Oxford/AstraZeneca,533689
Croatia,2021-07-23,Oxford/AstraZeneca,541050
Croatia,2021-07-30,Oxford/AstraZeneca,551466
Croatia,2021-08-06,Oxford/AstraZeneca,556009
Croatia,2021-08-13,Oxford/AstraZeneca,557572
Croatia,2021-08-20,Oxford/AstraZeneca,558523
Croatia,2021-08-27,Oxford/AstraZeneca,560182
Croatia,2021-09-03,Oxford/AstraZeneca,560979
Croatia,2021-09-10,Oxford/AstraZeneca,561681
Croatia,2021-09-17,Oxford/AstraZeneca,562528
Croatia,2021-09-24,Oxford/AstraZeneca,563281
Croatia,2021-10-01,Oxford/AstraZeneca,563927
Croatia,2021-10-08,Oxford/AstraZeneca,564572
Croatia,2021-10-15,Oxford/AstraZeneca,565083
Croatia,2021-10-22,Oxford/AstraZeneca,565469
Croatia,2021-10-29,Oxford/AstraZeneca,565934
Croatia,2021-11-05,Oxford/AstraZeneca,566317
Croatia,2021-11-12,Oxford/AstraZeneca,566818
Croatia,2021-11-19,Oxford/AstraZeneca,567159
Croatia,2021-11-26,Oxford/AstraZeneca,567442
Croatia,2021-12-03,Oxford/AstraZeneca,567655
Croatia,2021-12-10,Oxford/AstraZeneca,567797
Croatia,2021-12-17,Oxford/AstraZeneca,567908
Croatia,2021-12-24,Oxford/AstraZeneca,567979
Croatia,2021-12-31,Oxford/AstraZeneca,568061
Croatia,2022-01-07,Oxford/AstraZeneca,568126
Croatia,2022-01-14,Oxford/AstraZeneca,568194
Croatia,2022-01-21,Oxford/AstraZeneca,568243
Croatia,2022-01-28,Oxford/AstraZeneca,568290
Croatia,2022-02-04,Oxford/AstraZeneca,568317
Croatia,2022-02-11,Oxford/AstraZeneca,568335
Croatia,2022-02-18,Oxford/AstraZeneca,568348
Croatia,2022-02-25,Oxford/AstraZeneca,568353
Croatia,2022-03-04,Oxford/AstraZeneca,568358
Croatia,2022-03-11,Oxford/AstraZeneca,568363
Croatia,2022-03-18,Oxford/AstraZeneca,568365
Croatia,2022-03-25,Oxford/AstraZeneca,568366
Croatia,2022-04-01,Oxford/AstraZeneca,568367
Croatia,2022-04-08,Oxford/AstraZeneca,568369
Croatia,2022-04-15,Oxford/AstraZeneca,568370
Croatia,2022-04-22,Oxford/AstraZeneca,568371
Croatia,2022-04-29,Oxford/AstraZeneca,568372
Croatia,2021-01-01,Pfizer/BioNTech,2087
Croatia,2021-01-08,Pfizer/BioNTech,31832
Croatia,2021-01-15,Pfizer/BioNTech,49106
Croatia,2021-01-22,Pfizer/BioNTech,72143
Croatia,2021-01-29,Pfizer/BioNTech,88846
Croatia,2021-02-05,Pfizer/BioNTech,106145
Croatia,2021-02-12,Pfizer/BioNTech,127222
Croatia,2021-02-19,Pfizer/BioNTech,147580
Croatia,2021-02-26,Pfizer/BioNTech,167981
Croatia,2021-03-05,Pfizer/BioNTech,192546
Croatia,2021-03-12,Pfizer/BioNTech,216541
Croatia,2021-03-19,Pfizer/BioNTech,248093
Croatia,2021-03-26,Pfizer/BioNTech,282389
Croatia,2021-04-02,Pfizer/BioNTech,315605
Croatia,2021-04-09,Pfizer/BioNTech,344262
Croatia,2021-04-16,Pfizer/BioNTech,405539
Croatia,2021-04-23,Pfizer/BioNTech,484555
Croatia,2021-04-30,Pfizer/BioNTech,572763
Croatia,2021-05-07,Pfizer/BioNTech,749327
Croatia,2021-05-14,Pfizer/BioNTech,927144
Croatia,2021-05-21,Pfizer/BioNTech,1084108
Croatia,2021-05-28,Pfizer/BioNTech,1224529
Croatia,2021-06-04,Pfizer/BioNTech,1330524
Croatia,2021-06-11,Pfizer/BioNTech,1498276
Croatia,2021-06-18,Pfizer/BioNTech,1667509
Croatia,2021-06-25,Pfizer/BioNTech,1797099
Croatia,2021-07-02,Pfizer/BioNTech,1932532
Croatia,2021-07-09,Pfizer/BioNTech,2043127
Croatia,2021-07-16,Pfizer/BioNTech,2116151
Croatia,2021-07-23,Pfizer/BioNTech,2189291
Croatia,2021-07-30,Pfizer/BioNTech,2238253
Croatia,2021-08-06,Pfizer/BioNTech,2270472
Croatia,2021-08-13,Pfizer/BioNTech,2303268
Croatia,2021-08-20,Pfizer/BioNTech,2336964
Croatia,2021-08-27,Pfizer/BioNTech,2370598
Croatia,2021-09-03,Pfizer/BioNTech,2398748
Croatia,2021-09-10,Pfizer/BioNTech,2423308
Croatia,2021-09-17,Pfizer/BioNTech,2450109
Croatia,2021-09-24,Pfizer/BioNTech,2477617
Croatia,2021-10-01,Pfizer/BioNTech,2506124
Croatia,2021-10-08,Pfizer/BioNTech,2532795
Croatia,2021-10-15,Pfizer/BioNTech,2557655
Croatia,2021-10-22,Pfizer/BioNTech,2588338
Croatia,2021-10-29,Pfizer/BioNTech,2637612
Croatia,2021-11-05,Pfizer/BioNTech,2701537
Croatia,2021-11-12,Pfizer/BioNTech,2831133
Croatia,2021-11-19,Pfizer/BioNTech,2930352
Croatia,2021-11-26,Pfizer/BioNTech,3022619
Croatia,2021-12-03,Pfizer/BioNTech,3129208
Croatia,2021-12-10,Pfizer/BioNTech,3246356
Croatia,2021-12-17,Pfizer/BioNTech,3385666
Croatia,2021-12-24,Pfizer/BioNTech,3462367
Croatia,2021-12-31,Pfizer/BioNTech,3529843
Croatia,2022-01-07,Pfizer/BioNTech,3613474
Croatia,2022-01-14,Pfizer/BioNTech,3721995
Croatia,2022-01-21,Pfizer/BioNTech,3790321
Croatia,2022-01-28,Pfizer/BioNTech,3829972
Croatia,2022-02-04,Pfizer/BioNTech,3858320
Croatia,2022-02-11,Pfizer/BioNTech,3879586
Croatia,2022-02-18,Pfizer/BioNTech,3896067
Croatia,2022-02-25,Pfizer/BioNTech,3906396
Croatia,2022-03-04,Pfizer/BioNTech,3912619
Croatia,2022-03-11,Pfizer/BioNTech,3918244
Croatia,2022-03-18,Pfizer/BioNTech,3923769
Croatia,2022-03-25,Pfizer/BioNTech,3928265
Croatia,2022-04-01,Pfizer/BioNTech,3932491
Croatia,2022-04-08,Pfizer/BioNTech,3936913
Croatia,2022-04-15,Pfizer/BioNTech,3939357
Croatia,2022-04-22,Pfizer/BioNTech,3941867
Croatia,2022-04-29,Pfizer/BioNTech,3944699
Croatia,2022-05-06,Pfizer/BioNTech,3946932
Croatia,2022-05-13,Pfizer/BioNTech,3948969
Croatia,2022-05-20,Pfizer/BioNTech,3950685
Croatia,2022-05-27,Pfizer/BioNTech,3952219
Croatia,2022-06-03,Pfizer/BioNTech,3953143
Croatia,2022-06-10,Pfizer/BioNTech,3954260
Croatia,2022-06-17,Pfizer/BioNTech,3954402
