location,date,vaccine,total_vaccinations
Czechia,2021-01-13,Covaxin,1
Czechia,2021-01-27,Covaxin,2
Czechia,2021-06-11,Covaxin,3
Czechia,2021-07-09,Covaxin,4
Czechia,2021-12-16,Covaxin,5
Czechia,2021-03-05,Johnson&Johnson,2
Czechia,2021-03-06,Johnson&Johnson,9
Czechia,2021-03-07,Johnson&Johnson,11
Czechia,2021-03-08,Johnson&Johnson,14
Czechia,2021-03-09,Johnson&Johnson,16
Czechia,2021-03-10,Johnson&Johnson,19
Czechia,2021-03-11,Johnson&Johnson,22
Czechia,2021-03-12,Johnson&Johnson,24
Czechia,2021-03-13,Johnson&Johnson,27
Czechia,2021-03-14,Johnson&Johnson,30
Czechia,2021-03-15,Johnson&Johnson,31
Czechia,2021-03-16,Johnson&Johnson,34
Czechia,2021-03-18,Johnson&Johnson,39
Czechia,2021-03-19,Johnson&Johnson,41
Czechia,2021-03-20,Johnson&Johnson,49
Czechia,2021-03-21,Johnson&Johnson,51
Czechia,2021-03-22,Johnson&Johnson,54
Czechia,2021-03-23,Johnson&Johnson,58
Czechia,2021-03-24,Johnson&Johnson,62
Czechia,2021-03-25,Johnson&Johnson,63
Czechia,2021-03-26,Johnson&Johnson,64
Czechia,2021-03-27,Johnson&Johnson,67
Czechia,2021-03-29,Johnson&Johnson,70
Czechia,2021-03-30,Johnson&Johnson,76
Czechia,2021-03-31,Johnson&Johnson,84
Czechia,2021-04-01,Johnson&Johnson,98
Czechia,2021-04-02,Johnson&Johnson,118
Czechia,2021-04-03,Johnson&Johnson,121
Czechia,2021-04-04,Johnson&Johnson,126
Czechia,2021-04-05,Johnson&Johnson,137
Czechia,2021-04-06,Johnson&Johnson,153
Czechia,2021-04-07,Johnson&Johnson,169
Czechia,2021-04-08,Johnson&Johnson,195
Czechia,2021-04-09,Johnson&Johnson,215
Czechia,2021-04-10,Johnson&Johnson,240
Czechia,2021-04-11,Johnson&Johnson,252
Czechia,2021-04-12,Johnson&Johnson,271
Czechia,2021-04-19,Johnson&Johnson,272
Czechia,2021-04-20,Johnson&Johnson,274
Czechia,2021-04-22,Johnson&Johnson,303
Czechia,2021-04-23,Johnson&Johnson,524
Czechia,2021-04-24,Johnson&Johnson,538
Czechia,2021-04-25,Johnson&Johnson,554
Czechia,2021-04-26,Johnson&Johnson,1091
Czechia,2021-04-27,Johnson&Johnson,2018
Czechia,2021-04-28,Johnson&Johnson,3462
Czechia,2021-04-29,Johnson&Johnson,5066
Czechia,2021-04-30,Johnson&Johnson,6525
Czechia,2021-05-01,Johnson&Johnson,6635
Czechia,2021-05-02,Johnson&Johnson,6676
Czechia,2021-05-03,Johnson&Johnson,7801
Czechia,2021-05-04,Johnson&Johnson,9365
Czechia,2021-05-05,Johnson&Johnson,11338
Czechia,2021-05-06,Johnson&Johnson,13299
Czechia,2021-05-07,Johnson&Johnson,15224
Czechia,2021-05-08,Johnson&Johnson,15380
Czechia,2021-05-09,Johnson&Johnson,15392
Czechia,2021-05-10,Johnson&Johnson,17075
Czechia,2021-05-11,Johnson&Johnson,18898
Czechia,2021-05-12,Johnson&Johnson,20486
Czechia,2021-05-13,Johnson&Johnson,21995
Czechia,2021-05-14,Johnson&Johnson,23110
Czechia,2021-05-15,Johnson&Johnson,23193
Czechia,2021-05-16,Johnson&Johnson,23207
Czechia,2021-05-17,Johnson&Johnson,24083
Czechia,2021-05-18,Johnson&Johnson,25089
Czechia,2021-05-19,Johnson&Johnson,26321
Czechia,2021-05-20,Johnson&Johnson,27956
Czechia,2021-05-21,Johnson&Johnson,29387
Czechia,2021-05-22,Johnson&Johnson,29575
Czechia,2021-05-23,Johnson&Johnson,29592
Czechia,2021-05-24,Johnson&Johnson,30876
Czechia,2021-05-25,Johnson&Johnson,32655
Czechia,2021-05-26,Johnson&Johnson,34567
Czechia,2021-05-27,Johnson&Johnson,36677
Czechia,2021-05-28,Johnson&Johnson,38791
Czechia,2021-05-29,Johnson&Johnson,38941
Czechia,2021-05-30,Johnson&Johnson,38961
Czechia,2021-05-31,Johnson&Johnson,40819
Czechia,2021-06-01,Johnson&Johnson,43107
Czechia,2021-06-02,Johnson&Johnson,45569
Czechia,2021-06-03,Johnson&Johnson,48357
Czechia,2021-06-04,Johnson&Johnson,51596
Czechia,2021-06-05,Johnson&Johnson,51733
Czechia,2021-06-06,Johnson&Johnson,51818
Czechia,2021-06-07,Johnson&Johnson,54940
Czechia,2021-06-08,Johnson&Johnson,57992
Czechia,2021-06-09,Johnson&Johnson,61633
Czechia,2021-06-10,Johnson&Johnson,64730
Czechia,2021-06-11,Johnson&Johnson,67865
Czechia,2021-06-12,Johnson&Johnson,67974
Czechia,2021-06-13,Johnson&Johnson,68032
Czechia,2021-06-14,Johnson&Johnson,70437
Czechia,2021-06-15,Johnson&Johnson,72621
Czechia,2021-06-16,Johnson&Johnson,75166
Czechia,2021-06-17,Johnson&Johnson,77357
Czechia,2021-06-18,Johnson&Johnson,79413
Czechia,2021-06-19,Johnson&Johnson,79441
Czechia,2021-06-20,Johnson&Johnson,79482
Czechia,2021-06-21,Johnson&Johnson,80916
Czechia,2021-06-22,Johnson&Johnson,82535
Czechia,2021-06-23,Johnson&Johnson,84341
Czechia,2021-06-24,Johnson&Johnson,86166
Czechia,2021-06-25,Johnson&Johnson,87872
Czechia,2021-06-26,Johnson&Johnson,87915
Czechia,2021-06-27,Johnson&Johnson,87931
Czechia,2021-06-28,Johnson&Johnson,89196
Czechia,2021-06-29,Johnson&Johnson,90651
Czechia,2021-06-30,Johnson&Johnson,92005
Czechia,2021-07-01,Johnson&Johnson,93781
Czechia,2021-07-02,Johnson&Johnson,95510
Czechia,2021-07-03,Johnson&Johnson,95537
Czechia,2021-07-04,Johnson&Johnson,95549
Czechia,2021-07-05,Johnson&Johnson,95574
Czechia,2021-07-06,Johnson&Johnson,95612
Czechia,2021-07-07,Johnson&Johnson,96603
Czechia,2021-07-08,Johnson&Johnson,97923
Czechia,2021-07-09,Johnson&Johnson,99357
Czechia,2021-07-10,Johnson&Johnson,99384
Czechia,2021-07-11,Johnson&Johnson,99432
Czechia,2021-07-12,Johnson&Johnson,100755
Czechia,2021-07-13,Johnson&Johnson,102595
Czechia,2021-07-14,Johnson&Johnson,104591
Czechia,2021-07-15,Johnson&Johnson,106928
Czechia,2021-07-16,Johnson&Johnson,109406
Czechia,2021-07-17,Johnson&Johnson,109912
Czechia,2021-07-18,Johnson&Johnson,110452
Czechia,2021-07-19,Johnson&Johnson,111919
Czechia,2021-07-20,Johnson&Johnson,113839
Czechia,2021-07-21,Johnson&Johnson,116680
Czechia,2021-07-22,Johnson&Johnson,119723
Czechia,2021-07-23,Johnson&Johnson,122838
Czechia,2021-07-24,Johnson&Johnson,124037
Czechia,2021-07-25,Johnson&Johnson,125196
Czechia,2021-07-26,Johnson&Johnson,127858
Czechia,2021-07-27,Johnson&Johnson,131155
Czechia,2021-07-28,Johnson&Johnson,134913
Czechia,2021-07-29,Johnson&Johnson,138234
Czechia,2021-07-30,Johnson&Johnson,141554
