location,date,vaccine,total_vaccinations
Denmark,2021-01-08,Johnson&Johnson,3
Denmark,2021-01-15,Johnson&Johnson,4
Denmark,2021-01-22,Johnson&Johnson,5
Denmark,2021-02-05,Johnson&Johnson,6
Denmark,2021-02-26,Johnson&Johnson,7
Denmark,2021-03-05,Johnson&Johnson,13
Denmark,2021-03-12,Johnson&Johnson,23
Denmark,2021-03-19,Johnson&Johnson,80
Denmark,2021-03-26,Johnson&Johnson,123
Denmark,2021-04-02,Johnson&Johnson,186
Denmark,2021-04-09,Johnson&Johnson,321
Denmark,2021-04-16,Johnson&Johnson,340
Denmark,2021-04-23,Johnson&Johnson,342
Denmark,2021-04-30,Johnson&Johnson,387
Denmark,2021-05-07,Johnson&Johnson,446
Denmark,2021-05-14,Johnson&Johnson,544
Denmark,2021-05-21,Johnson&Johnson,708
Denmark,2021-05-28,Johnson&Johnson,1666
Denmark,2021-06-04,Johnson&Johnson,11217
Denmark,2021-06-11,Johnson&Johnson,29991
Denmark,2021-06-18,Johnson&Johnson,39603
Denmark,2021-06-25,Johnson&Johnson,43158
Denmark,2021-07-02,Johnson&Johnson,44868
Denmark,2021-07-09,Johnson&Johnson,45440
Denmark,2021-07-16,Johnson&Johnson,45738
Denmark,2021-07-23,Johnson&Johnson,45970
Denmark,2021-07-30,Johnson&Johnson,46094
Denmark,2021-08-06,Johnson&Johnson,46201
Denmark,2021-08-13,Johnson&Johnson,46279
Denmark,2021-08-20,Johnson&Johnson,46339
Denmark,2021-08-27,Johnson&Johnson,46405
Denmark,2021-09-03,Johnson&Johnson,46437
Denmark,2021-09-10,Johnson&Johnson,46446
Denmark,2021-09-17,Johnson&Johnson,46460
Denmark,2021-09-24,Johnson&Johnson,46471
Denmark,2021-10-01,Johnson&Johnson,46492
Denmark,2021-10-08,Johnson&Johnson,46510
Denmark,2021-10-15,Johnson&Johnson,46528
Denmark,2021-10-22,Johnson&Johnson,46553
Denmark,2021-10-29,Johnson&Johnson,46570
Denmark,2021-11-05,Johnson&Johnson,46578
Denmark,2021-11-12,Johnson&Johnson,46595
Denmark,2021-11-19,Johnson&Johnson,46620
Denmark,2021-11-26,Johnson&Johnson,46646
Denmark,2021-12-03,Johnson&Johnson,46691
Denmark,2021-12-10,Johnson&Johnson,46715
Denmark,2021-12-17,Johnson&Johnson,46733
Denmark,2021-12-24,Johnson&Johnson,46745
Denmark,2021-12-31,Johnson&Johnson,46752
Denmark,2022-01-07,Johnson&Johnson,46771
Denmark,2022-01-14,Johnson&Johnson,46779
Denmark,2022-01-21,Johnson&Johnson,46785
Denmark,2022-01-28,Johnson&Johnson,46793
Denmark,2022-02-04,Johnson&Johnson,46796
Denmark,2022-02-11,Johnson&Johnson,46797
Denmark,2022-02-18,Johnson&Johnson,46798
Denmark,2022-02-25,Johnson&Johnson,46804
Denmark,2022-03-04,Johnson&Johnson,46808
Denmark,2022-03-11,Johnson&Johnson,46817
Denmark,2022-03-18,Johnson&Johnson,46819
Denmark,2022-03-25,Johnson&Johnson,46823
Denmark,2022-04-01,Johnson&Johnson,46825
Denmark,2022-04-08,Johnson&Johnson,46831
Denmark,2022-04-15,Johnson&Johnson,46835
Denmark,2022-04-22,Johnson&Johnson,46838
Denmark,2022-04-29,Johnson&Johnson,46842
Denmark,2022-05-06,Johnson&Johnson,46846
Denmark,2021-01-01,Moderna,1
Denmark,2021-01-08,Moderna,18
Denmark,2021-01-15,Moderna,1056
Denmark,2021-01-22,Moderna,2548
Denmark,2021-01-29,Moderna,2607
Denmark,2021-02-05,Moderna,5639
Denmark,2021-02-12,Moderna,11607
Denmark,2021-02-19,Moderna,13442
Denmark,2021-02-26,Moderna,15026
Denmark,2021-03-05,Moderna,23875
Denmark,2021-03-12,Moderna,33741
Denmark,2021-03-19,Moderna,45698
Denmark,2021-03-26,Moderna,53854
Denmark,2021-04-02,Moderna,73415
Denmark,2021-04-09,Moderna,91481
Denmark,2021-04-16,Moderna,111625
Denmark,2021-04-23,Moderna,123410
Denmark,2021-04-30,Moderna,148566
Denmark,2021-05-07,Moderna,183513
Denmark,2021-05-14,Moderna,218931
Denmark,2021-05-21,Moderna,263961
Denmark,2021-05-28,Moderna,295433
Denmark,2021-06-04,Moderna,327476
Denmark,2021-06-11,Moderna,351751
Denmark,2021-06-18,Moderna,390287
Denmark,2021-06-25,Moderna,428167
Denmark,2021-07-02,Moderna,467518
Denmark,2021-07-09,Moderna,543922
Denmark,2021-07-16,Moderna,654537
Denmark,2021-07-23,Moderna,732034
Denmark,2021-07-30,Moderna,776610
Denmark,2021-08-06,Moderna,838554
Denmark,2021-08-13,Moderna,948690
Denmark,2021-08-20,Moderna,1019029
Denmark,2021-08-27,Moderna,1067963
Denmark,2021-09-03,Moderna,1092287
Denmark,2021-09-10,Moderna,1105484
Denmark,2021-09-17,Moderna,1116415
Denmark,2021-09-24,Moderna,1125573
Denmark,2021-10-01,Moderna,1133962
Denmark,2021-10-08,Moderna,1145887
Denmark,2021-10-15,Moderna,1157073
Denmark,2021-10-22,Moderna,1166554
Denmark,2021-10-29,Moderna,1177801
Denmark,2021-11-05,Moderna,1191100
Denmark,2021-11-12,Moderna,1213215
Denmark,2021-11-19,Moderna,1233963
Denmark,2021-11-26,Moderna,1261030
Denmark,2021-12-03,Moderna,1286755
Denmark,2021-12-10,Moderna,1324110
Denmark,2021-12-17,Moderna,1395951
Denmark,2021-12-24,Moderna,1443375
Denmark,2021-12-31,Moderna,1494326
Denmark,2022-01-07,Moderna,1563135
Denmark,2022-01-14,Moderna,1617954
Denmark,2022-01-21,Moderna,1657752
Denmark,2022-01-28,Moderna,1676443
Denmark,2022-02-04,Moderna,1684844
