location,date,vaccine,total_vaccinations
Estonia,2021-04-16,Johnson&Johnson,0
Estonia,2021-04-30,Johnson&Johnson,35
Estonia,2021-05-07,Johnson&Johnson,345
Estonia,2021-05-14,Johnson&Johnson,1082
Estonia,2021-05-21,Johnson&Johnson,5787
Estonia,2021-05-28,Johnson&Johnson,11241
Estonia,2021-06-04,Johnson&Johnson,15119
Estonia,2021-06-11,Johnson&Johnson,16417
Estonia,2021-06-18,Johnson&Johnson,18996
Estonia,2021-06-25,Johnson&Johnson,20494
Estonia,2021-07-02,Johnson&Johnson,23737
Estonia,2021-07-09,Johnson&Johnson,25932
Estonia,2021-07-16,Johnson&Johnson,29799
Estonia,2021-07-23,Johnson&Johnson,34025
Estonia,2021-07-30,Johnson&Johnson,36925
Estonia,2021-08-06,Johnson&Johnson,40586
Estonia,2021-08-13,Johnson&Johnson,43706
Estonia,2021-08-20,Johnson&Johnson,44734
Estonia,2021-08-27,Johnson&Johnson,45291
Estonia,2021-09-03,Johnson&Johnson,45799
Estonia,2021-09-10,Johnson&Johnson,46049
Estonia,2021-09-17,Johnson&Johnson,47448
Estonia,2021-09-24,Johnson&Johnson,49747
Estonia,2021-10-01,Johnson&Johnson,51701
Estonia,2021-10-08,Johnson&Johnson,53232
Estonia,2021-10-15,Johnson&Johnson,55191
Estonia,2021-10-22,Johnson&Johnson,59304
Estonia,2021-10-29,Johnson&Johnson,63570
Estonia,2021-11-05,Johnson&Johnson,66659
Estonia,2021-11-12,Johnson&Johnson,68474
Estonia,2021-11-19,Johnson&Johnson,69973
Estonia,2021-11-26,Johnson&Johnson,71256
Estonia,2021-12-03,Johnson&Johnson,72399
Estonia,2021-12-10,Johnson&Johnson,73453
Estonia,2021-12-17,Johnson&Johnson,74286
Estonia,2021-12-24,Johnson&Johnson,74829
Estonia,2021-12-31,Johnson&Johnson,75407
Estonia,2022-01-07,Johnson&Johnson,76064
Estonia,2022-01-14,Johnson&Johnson,76517
Estonia,2022-01-21,Johnson&Johnson,76892
Estonia,2022-01-28,Johnson&Johnson,77144
Estonia,2022-02-04,Johnson&Johnson,77315
Estonia,2022-02-11,Johnson&Johnson,77439
Estonia,2022-02-18,Johnson&Johnson,77533
Estonia,2022-02-25,Johnson&Johnson,77639
Estonia,2022-03-04,Johnson&Johnson,77711
Estonia,2022-03-11,Johnson&Johnson,77789
Estonia,2022-03-18,Johnson&Johnson,77842
Estonia,2022-03-25,Johnson&Johnson,77888
Estonia,2022-04-01,Johnson&Johnson,77932
Estonia,2022-04-08,Johnson&Johnson,77957
Estonia,2022-04-15,Johnson&Johnson,77985
Estonia,2022-04-22,Johnson&Johnson,78028
Estonia,2022-04-29,Johnson&Johnson,78061
Estonia,2022-05-06,Johnson&Johnson,78114
Estonia,2022-05-13,Johnson&Johnson,78161
Estonia,2022-05-20,Johnson&Johnson,78195
Estonia,2022-05-27,Johnson&Johnson,78237
Estonia,2022-06-03,Johnson&Johnson,78261
Estonia,2022-06-10,Johnson&Johnson,78290
Estonia,2022-06-17,Johnson&Johnson,78322
Estonia,2022-06-24,Johnson&Johnson,78343
Estonia,2022-07-01,Johnson&Johnson,78372
Estonia,2022-07-08,Johnson&Johnson,78410
Estonia,2022-07-15,Johnson&Johnson,78445
Estonia,2022-07-22,Johnson&Johnson,78498
Estonia,2022-07-29,Johnson&Johnson,78549
Estonia,2022-08-05,Johnson&Johnson,78607
Estonia,2022-08-12,Johnson&Johnson,78672
Estonia,2022-08-19,Johnson&Johnson,78735
Estonia,2022-08-26,Johnson&Johnson,78776
Estonia,2022-09-02,Johnson&Johnson,78821
Estonia,2022-09-09,Johnson&Johnson,78861
Estonia,2022-09-16,Johnson&Johnson,78903
Estonia,2022-09-23,Johnson&Johnson,78922
Estonia,2022-09-30,Johnson&Johnson,78953
Estonia,2021-01-15,Moderna,0
Estonia,2021-01-22,Moderna,440
Estonia,2021-01-29,Moderna,813
Estonia,2021-02-05,Moderna,1349
Estonia,2021-02-12,Moderna,2107
Estonia,2021-02-19,Moderna,2591
Estonia,2021-02-26,Moderna,3349
Estonia,2021-03-05,Moderna,5808
Estonia,2021-03-12,Moderna,9396
Estonia,2021-03-19,Moderna,11984
Estonia,2021-03-26,Moderna,14263
Estonia,2021-04-02,Moderna,17620
Estonia,2021-04-09,Moderna,22678
Estonia,2021-04-16,Moderna,26420
Estonia,2021-04-23,Moderna,31186
Estonia,2021-04-30,Moderna,36217
Estonia,2021-05-07,Moderna,41006
Estonia,2021-05-14,Moderna,46735
Estonia,2021-05-21,Moderna,57684
Estonia,2021-05-28,Moderna,66260
Estonia,2021-06-04,Moderna,71780
Estonia,2021-06-11,Moderna,78996
Estonia,2021-06-18,Moderna,87410
Estonia,2021-06-25,Moderna,91265
Estonia,2021-07-02,Moderna,95860
Estonia,2021-07-09,Moderna,99444
Estonia,2021-07-16,Moderna,101747
Estonia,2021-07-23,Moderna,103950
Estonia,2021-07-30,Moderna,107023
Estonia,2021-08-06,Moderna,110147
Estonia,2021-08-13,Moderna,114826
Estonia,2021-08-20,Moderna,119553
Estonia,2021-08-27,Moderna,125304
Estonia,2021-09-03,Moderna,129515
Estonia,2021-09-10,Moderna,134506
Estonia,2021-09-17,Moderna,139351
Estonia,2021-09-24,Moderna,143936
Estonia,2021-10-01,Moderna,147150
Estonia,2021-10-08,Moderna,149646
Estonia,2021-10-15,Moderna,151963
Estonia,2021-10-22,Moderna,154428
Estonia,2021-10-29,Moderna,156838
Estonia,2021-11-05,Moderna,160754
Estonia,2021-11-12,Moderna,165944
Estonia,2021-11-19,Moderna,172471
Estonia,2021-11-26,Moderna,177809
Estonia,2021-12-03,Moderna,182971
Estonia,2021-12-10,Moderna,187764
Estonia,2021-12-17,Moderna,193708
Estonia,2021-12-24,Moderna,198487
Estonia,2021-12-31,Moderna,204344
Estonia,2022-01-07,Moderna,210821
Estonia,2022-01-14,Moderna,217478
Estonia,2022-01-21,Moderna,222417
Estonia,2022-01-28,Moderna,226274
Estonia,2022-02-04,Moderna,228698
Estonia,2022-02-11,Moderna,230241
Estonia,2022-02-18,Moderna,231387
Estonia,2022-02-25,Moderna,232499
Estonia,2022-03-04,Moderna,233463
Estonia,2022-03-11,Moderna,234188
Estonia,2022-03-18,Moderna,234675
Estonia,2022-03-25,Moderna,235143
Estonia,2022-04-01,Moderna,235614
Estonia,2022-04-08,Moderna,235955
Estonia,2022-04-15,Moderna,236282
Estonia,2022-04-22,Moderna,236561
Estonia,2022-04-29,Moderna,236827
Estonia,2022-05-06,Moderna,237035
Estonia,2022-05-13,Moderna,237220
Estonia,2022-05-20,Moderna,237394
Estonia,2022-05-27,Moderna,237558
Estonia,2022-06-03,Moderna,237706
Estonia,2022-06-10,Moderna,237832
Estonia,2022-06-17,Moderna,237947
Estonia,2022-06-24,Moderna,238010
Estonia,2022-07-01,Moderna,238111
Estonia,2022-07-08,Moderna,238214
Estonia,2022-07-15,Moderna,238327
Estonia,2022-07-22,Moderna,238521
Estonia,2022-07-29,Moderna,238614
Estonia,2022-08-05,Moderna,238698
Estonia,2022-08-12,Moderna,238766
Estonia,2022-08-19,Moderna,238804
Estonia,2022-09-02,Moderna,238806
Estonia,2022-09-16,Moderna,25
Estonia,2022-09-23,Moderna,238969
Estonia,2022-09-30,Moderna,676
Estonia,2022-02-25,Novavax,0
Estonia,2022-03-04,Novavax,1
Estonia,2022-03-11,Novavax,61
Estonia,2022-03-18,Novavax,147
Estonia,2022-03-25,Novavax,224
Estonia,2022-04-01,Novavax,344
Estonia,2022-04-08,Novavax,439
Estonia,2022-04-15,Novavax,503
Estonia,2022-04-22,Novavax,577
Estonia,2022-04-29,Novavax,649
Estonia,2022-05-06,Novavax,702
Estonia,2022-05-13,Novavax,762
Estonia,2022-05-20,Novavax,805
Estonia,2022-05-27,Novavax,855
Estonia,2022-06-03,Novavax,877
Estonia,2022-06-10,Novavax,910
Estonia,2022-06-17,Novavax,928
Estonia,2022-06-24,Novavax,941
Estonia,2022-07-01,Novavax,974
Estonia,2022-07-08,Novavax,1008
Estonia,2022-07-15,Novavax,1058
Estonia,2022-07-22,Novavax,1114
Estonia,2022-07-29,Novavax,1209
Estonia,2022-08-05,Novavax,1335
Estonia,2022-08-12,Novavax,1434
Estonia,2022-08-19,Novavax,1546
Estonia,2022-08-26,Novavax,1667
Estonia,2022-09-02,Novavax,1774
Estonia,2022-09-09,Novavax,1953
Estonia,2022-09-16,Novavax,2018
Estonia,2022-09-23,Novavax,2061
Estonia,2022-09-30,Novavax,2096
Estonia,2021-02-12,Oxford/AstraZeneca,0
Estonia,2021-02-19,Oxford/AstraZeneca,8113
Estonia,2021-02-26,Oxford/AstraZeneca,20705
Estonia,2021-03-05,Oxford/AstraZeneca,39128
Estonia,2021-03-12,Oxford/AstraZeneca,64062
Estonia,2021-03-19,Oxford/AstraZeneca,80343
Estonia,2021-03-26,Oxford/AstraZeneca,89791
Estonia,2021-04-02,Oxford/AstraZeneca,108674
Estonia,2021-04-09,Oxford/AstraZeneca,118707
Estonia,2021-04-16,Oxford/AstraZeneca,128157
Estonia,2021-04-23,Oxford/AstraZeneca,138406
Estonia,2021-04-30,Oxford/AstraZeneca,154311
Estonia,2021-05-07,Oxford/AstraZeneca,171791
Estonia,2021-05-14,Oxford/AstraZeneca,178578
Estonia,2021-05-21,Oxford/AstraZeneca,181482
Estonia,2021-05-28,Oxford/AstraZeneca,183619
Estonia,2021-06-04,Oxford/AstraZeneca,191066
Estonia,2021-06-11,Oxford/AstraZeneca,208924
Estonia,2021-06-18,Oxford/AstraZeneca,220109
Estonia,2021-06-25,Oxford/AstraZeneca,227234
Estonia,2021-07-02,Oxford/AstraZeneca,234766
Estonia,2021-07-09,Oxford/AstraZeneca,236437
Estonia,2021-07-16,Oxford/AstraZeneca,236945
Estonia,2021-07-23,Oxford/AstraZeneca,237261
Estonia,2021-07-30,Oxford/AstraZeneca,237642
Estonia,2021-08-06,Oxford/AstraZeneca,237932
Estonia,2021-08-13,Oxford/AstraZeneca,238154
Estonia,2021-08-20,Oxford/AstraZeneca,238337
Estonia,2021-08-27,Oxford/AstraZeneca,238514
Estonia,2021-09-03,Oxford/AstraZeneca,238594
Estonia,2021-09-10,Oxford/AstraZeneca,238647
Estonia,2021-09-17,Oxford/AstraZeneca,238690
Estonia,2021-09-24,Oxford/AstraZeneca,238717
Estonia,2021-10-01,Oxford/AstraZeneca,238731
Estonia,2021-10-08,Oxford/AstraZeneca,238748
Estonia,2021-10-15,Oxford/AstraZeneca,238759
Estonia,2021-10-22,Oxford/AstraZeneca,238774
Estonia,2021-10-29,Oxford/AstraZeneca,238786
Estonia,2021-11-05,Oxford/AstraZeneca,238811
Estonia,2021-11-12,Oxford/AstraZeneca,238833
Estonia,2021-11-19,Oxford/AstraZeneca,238850
Estonia,2021-11-26,Oxford/AstraZeneca,238857
Estonia,2021-12-03,Oxford/AstraZeneca,238863
Estonia,2021-12-10,Oxford/AstraZeneca,238870
Estonia,2021-12-17,Oxford/AstraZeneca,238871
Estonia,2021-12-24,Oxford/AstraZeneca,238875
Estonia,2021-12-31,Oxford/AstraZeneca,238879
Estonia,2022-01-07,Oxford/AstraZeneca,238887
Estonia,2022-01-14,Oxford/AstraZeneca,238888
Estonia,2022-01-21,Oxford/AstraZeneca,238891
Estonia,2022-02-04,Oxford/AstraZeneca,238896
Estonia,2022-02-11,Oxford/AstraZeneca,238898
Estonia,2022-02-18,Oxford/AstraZeneca,238899
Estonia,2022-02-25,Oxford/AstraZeneca,238900
Estonia,2022-03-11,Oxford/AstraZeneca,238902
Estonia,2022-03-25,Oxford/AstraZeneca,238903
Estonia,2022-04-01,Oxford/AstraZeneca,238904
Estonia,2022-06-03,Oxford/AstraZeneca,238905
Estonia,2022-08-12,Oxford/AstraZeneca,238907
Estonia,2021-01-01,Pfizer/BioNTech,196
Estonia,2021-01-08,Pfizer/BioNTech,11241
Estonia,2021-01-15,Pfizer/BioNTech,18834
Estonia,2021-01-22,Pfizer/BioNTech,26483
Estonia,2021-01-29,Pfizer/BioNTech,38916
Estonia,2021-02-05,Pfizer/BioNTech,53608
Estonia,2021-02-12,Pfizer/BioNTech,68122
Estonia,2021-02-19,Pfizer/BioNTech,80394
Estonia,2021-02-26,Pfizer/BioNTech,91792
Estonia,2021-03-05,Pfizer/BioNTech,105478
Estonia,2021-03-12,Pfizer/BioNTech,122949
Estonia,2021-03-19,Pfizer/BioNTech,138652
Estonia,2021-03-26,Pfizer/BioNTech,158530
Estonia,2021-04-02,Pfizer/BioNTech,178115
Estonia,2021-04-09,Pfizer/BioNTech,202715
Estonia,2021-04-16,Pfizer/BioNTech,230106
Estonia,2021-04-23,Pfizer/BioNTech,254232
Estonia,2021-04-30,Pfizer/BioNTech,288399
Estonia,2021-05-07,Pfizer/BioNTech,335675
Estonia,2021-05-14,Pfizer/BioNTech,371309
Estonia,2021-05-21,Pfizer/BioNTech,417092
Estonia,2021-05-28,Pfizer/BioNTech,465904
Estonia,2021-06-04,Pfizer/BioNTech,511129
Estonia,2021-06-11,Pfizer/BioNTech,555032
Estonia,2021-06-18,Pfizer/BioNTech,605299
Estonia,2021-06-25,Pfizer/BioNTech,625193
Estonia,2021-07-02,Pfizer/BioNTech,661306
Estonia,2021-07-09,Pfizer/BioNTech,698595
Estonia,2021-07-16,Pfizer/BioNTech,730979
Estonia,2021-07-23,Pfizer/BioNTech,770023
Estonia,2021-07-30,Pfizer/BioNTech,799866
Estonia,2021-08-06,Pfizer/BioNTech,832992
Estonia,2021-08-13,Pfizer/BioNTech,865356
Estonia,2021-08-20,Pfizer/BioNTech,889826
Estonia,2021-08-27,Pfizer/BioNTech,915663
Estonia,2021-09-03,Pfizer/BioNTech,936841
Estonia,2021-09-10,Pfizer/BioNTech,956443
Estonia,2021-09-17,Pfizer/BioNTech,976662
Estonia,2021-09-24,Pfizer/BioNTech,996632
Estonia,2021-10-01,Pfizer/BioNTech,1008596
Estonia,2021-10-08,Pfizer/BioNTech,1019767
Estonia,2021-10-15,Pfizer/BioNTech,1033143
Estonia,2021-10-22,Pfizer/BioNTech,1054425
Estonia,2021-10-29,Pfizer/BioNTech,1094524
Estonia,2021-11-05,Pfizer/BioNTech,1142976
Estonia,2021-11-12,Pfizer/BioNTech,1179963
Estonia,2021-11-19,Pfizer/BioNTech,1213620
Estonia,2021-11-26,Pfizer/BioNTech,1242666
Estonia,2021-12-03,Pfizer/BioNTech,1270705
Estonia,2021-12-10,Pfizer/BioNTech,1300962
Estonia,2021-12-17,Pfizer/BioNTech,1333204
Estonia,2021-12-24,Pfizer/BioNTech,1355676
Estonia,2021-12-31,Pfizer/BioNTech,1376135
