location,date,vaccine,total_vaccinations
Finland,2021-01-01,Johnson&Johnson,0
Finland,2021-01-01,Moderna,2
Finland,2021-01-08,Moderna,18
Finland,2021-01-15,Moderna,20
Finland,2021-01-22,Moderna,951
Finland,2021-01-29,Moderna,3523
Finland,2021-02-05,Moderna,4395
Finland,2021-02-12,Moderna,5748
Finland,2021-02-19,Moderna,10392
Finland,2021-02-26,Moderna,19170
Finland,2021-03-05,Moderna,27048
Finland,2021-03-12,Moderna,38861
Finland,2021-03-19,Moderna,42693
Finland,2021-03-26,Moderna,52782
Finland,2021-04-02,Moderna,69666
Finland,2021-04-09,Moderna,81722
Finland,2021-04-16,Moderna,103983
Finland,2021-04-23,Moderna,118988
Finland,2021-04-30,Moderna,138464
Finland,2021-05-07,Moderna,162950
Finland,2021-05-14,Moderna,189195
Finland,2021-05-21,Moderna,223082
Finland,2021-05-28,Moderna,259744
Finland,2021-06-04,Moderna,298099
Finland,2021-06-11,Moderna,327192
Finland,2021-06-18,Moderna,360164
Finland,2021-06-25,Moderna,385548
Finland,2021-07-02,Moderna,411720
Finland,2021-07-09,Moderna,443788
Finland,2021-07-16,Moderna,469900
Finland,2021-07-23,Moderna,501797
Finland,2021-07-30,Moderna,538907
Finland,2021-08-06,Moderna,584659
Finland,2021-08-13,Moderna,647105
Finland,2021-08-20,Moderna,716795
Finland,2021-08-27,Moderna,765324
Finland,2021-09-03,Moderna,801192
Finland,2021-09-10,Moderna,835089
Finland,2021-09-17,Moderna,866659
Finland,2021-09-24,Moderna,910546
Finland,2021-10-01,Moderna,950530
Finland,2021-10-08,Moderna,981871
Finland,2021-10-15,Moderna,1000057
Finland,2021-10-22,Moderna,1015408
Finland,2021-10-29,Moderna,1032823
Finland,2021-11-05,Moderna,1045264
Finland,2021-11-12,Moderna,1056294
Finland,2021-11-19,Moderna,1066705
Finland,2021-11-26,Moderna,1077116
Finland,2021-12-03,Moderna,1091284
Finland,2021-12-10,Moderna,1110699
Finland,2021-12-17,Moderna,1152407
Finland,2021-12-24,Moderna,1198986
Finland,2021-12-31,Moderna,1297941
Finland,2022-01-07,Moderna,1429757
Finland,2022-01-14,Moderna,1582792
Finland,2022-01-21,Moderna,1726500
Finland,2022-01-28,Moderna,1814829
Finland,2022-02-04,Moderna,1852262
Finland,2022-02-11,Moderna,1869498
Finland,2022-02-18,Moderna,1878764
Finland,2022-02-25,Moderna,1884503
Finland,2022-03-04,Moderna,1887767
Finland,2022-03-11,Moderna,1890503
Finland,2022-03-18,Moderna,1892848
Finland,2022-03-25,Moderna,1895877
Finland,2022-04-01,Moderna,1904583
Finland,2022-04-08,Moderna,1916667
Finland,2022-04-15,Moderna,1924846
Finland,2022-04-22,Moderna,1931365
Finland,2022-04-29,Moderna,1938008
Finland,2022-05-06,Moderna,1942603
Finland,2022-05-13,Moderna,1947387
Finland,2022-05-20,Moderna,1951474
Finland,2022-05-27,Moderna,1954144
Finland,2022-06-03,Moderna,1957320
Finland,2022-06-10,Moderna,1962822
Finland,2022-06-17,Moderna,1968214
Finland,2022-06-24,Moderna,1970978
Finland,2022-07-01,Moderna,1973394
Finland,2022-07-08,Moderna,1975759
Finland,2022-07-15,Moderna,1978766
Finland,2022-07-22,Moderna,1983022
Finland,2022-07-29,Moderna,1990038
Finland,2022-08-05,Moderna,2000846
Finland,2022-08-12,Moderna,2015573
Finland,2022-08-19,Moderna,2032150
Finland,2022-08-26,Moderna,2043481
Finland,2022-09-02,Moderna,2053442
Finland,2022-09-09,Moderna,2060403
Finland,2022-09-16,Moderna,2063980
Finland,2022-09-23,Moderna,2065870
Finland,2022-09-30,Moderna,2066949
Finland,2022-10-07,Moderna,2067579
Finland,2022-10-14,Moderna,2068005
Finland,2022-10-21,Moderna,2068131
Finland,2022-10-28,Moderna,2068157
Finland,2022-11-04,Moderna,2068161
Finland,2022-11-11,Moderna,2068163
Finland,2022-11-25,Moderna,2068165
Finland,2022-12-09,Moderna,2068171
Finland,2022-12-16,Moderna,2068172
Finland,2022-12-23,Moderna,2068173
Finland,2023-02-03,Moderna,2068174
Finland,2021-01-01,Novavax,0
Finland,2021-01-01,Oxford/AstraZeneca,0
Finland,2021-01-08,Oxford/AstraZeneca,9
Finland,2021-01-15,Oxford/AstraZeneca,11
Finland,2021-01-22,Oxford/AstraZeneca,13
Finland,2021-01-29,Oxford/AstraZeneca,15
Finland,2021-02-05,Oxford/AstraZeneca,22
Finland,2021-02-12,Oxford/AstraZeneca,4036
Finland,2021-02-19,Oxford/AstraZeneca,24316
Finland,2021-02-26,Oxford/AstraZeneca,56079
Finland,2021-03-05,Oxford/AstraZeneca,96339
Finland,2021-03-12,Oxford/AstraZeneca,140877
Finland,2021-03-19,Oxford/AstraZeneca,185343
Finland,2021-03-26,Oxford/AstraZeneca,185368
Finland,2021-04-02,Oxford/AstraZeneca,202678
Finland,2021-04-09,Oxford/AstraZeneca,243603
Finland,2021-04-16,Oxford/AstraZeneca,299818
Finland,2021-04-23,Oxford/AstraZeneca,337188
Finland,2021-04-30,Oxford/AstraZeneca,354627
Finland,2021-05-07,Oxford/AstraZeneca,360373
Finland,2021-05-14,Oxford/AstraZeneca,368026
Finland,2021-05-21,Oxford/AstraZeneca,381101
Finland,2021-05-28,Oxford/AstraZeneca,392781
Finland,2021-06-04,Oxford/AstraZeneca,405354
Finland,2021-06-11,Oxford/AstraZeneca,422322
Finland,2021-06-18,Oxford/AstraZeneca,426273
Finland,2021-06-25,Oxford/AstraZeneca,439138
Finland,2021-07-02,Oxford/AstraZeneca,471570
Finland,2021-07-09,Oxford/AstraZeneca,508174
Finland,2021-07-16,Oxford/AstraZeneca,536377
Finland,2021-07-23,Oxford/AstraZeneca,549675
Finland,2021-07-30,Oxford/AstraZeneca,552493
Finland,2021-08-06,Oxford/AstraZeneca,553189
Finland,2021-08-13,Oxford/AstraZeneca,553313
Finland,2021-08-20,Oxford/AstraZeneca,553432
Finland,2021-08-27,Oxford/AstraZeneca,553491
Finland,2021-09-03,Oxford/AstraZeneca,553520
Finland,2021-09-10,Oxford/AstraZeneca,553549
Finland,2021-09-17,Oxford/AstraZeneca,553574
Finland,2021-09-24,Oxford/AstraZeneca,553605
Finland,2021-10-01,Oxford/AstraZeneca,553650
Finland,2021-10-08,Oxford/AstraZeneca,553683
Finland,2021-10-15,Oxford/AstraZeneca,553708
Finland,2021-10-22,Oxford/AstraZeneca,553741
Finland,2021-10-29,Oxford/AstraZeneca,553751
Finland,2021-11-05,Oxford/AstraZeneca,553773
Finland,2021-11-12,Oxford/AstraZeneca,553785
Finland,2021-11-19,Oxford/AstraZeneca,553821
Finland,2021-11-26,Oxford/AstraZeneca,553883
Finland,2021-12-03,Oxford/AstraZeneca,553889
