location,date,vaccine,total_vaccinations
France,2021-04-23,Johnson&Johnson,3847
France,2021-04-24,Johnson&Johnson,5416
France,2021-04-25,Johnson&Johnson,5541
France,2021-04-26,Johnson&Johnson,8411
France,2021-04-27,Johnson&Johnson,17934
France,2021-04-28,Johnson&Johnson,27846
France,2021-04-29,Johnson&Johnson,43846
France,2021-04-30,Johnson&Johnson,63089
France,2021-05-01,Johnson&Johnson,65089
France,2021-05-02,Johnson&Johnson,65572
France,2021-05-03,Johnson&Johnson,70638
France,2021-05-04,Johnson&Johnson,79050
France,2021-05-05,Johnson&Johnson,85246
France,2021-05-06,Johnson&Johnson,96640
France,2021-05-07,Johnson&Johnson,115774
France,2021-05-08,Johnson&Johnson,118158
France,2021-05-09,Johnson&Johnson,118847
France,2021-05-10,Johnson&Johnson,126095
France,2021-05-11,Johnson&Johnson,140427
France,2021-05-12,Johnson&Johnson,150613
France,2021-05-13,Johnson&Johnson,152200
France,2021-05-14,Johnson&Johnson,159974
France,2021-05-15,Johnson&Johnson,163703
France,2021-05-16,Johnson&Johnson,164121
France,2021-05-17,Johnson&Johnson,168604
France,2021-05-18,Johnson&Johnson,177375
France,2021-05-19,Johnson&Johnson,183075
France,2021-05-20,Johnson&Johnson,192565
France,2021-05-21,Johnson&Johnson,205398
France,2021-05-22,Johnson&Johnson,210471
France,2021-05-23,Johnson&Johnson,210969
France,2021-05-24,Johnson&Johnson,212034
France,2021-05-25,Johnson&Johnson,219682
France,2021-05-26,Johnson&Johnson,227426
France,2021-05-27,Johnson&Johnson,241794
France,2021-05-28,Johnson&Johnson,268466
France,2021-05-29,Johnson&Johnson,279869
France,2021-05-30,Johnson&Johnson,280848
France,2021-05-31,Johnson&Johnson,293561
France,2021-06-01,Johnson&Johnson,313871
France,2021-06-02,Johnson&Johnson,328425
France,2021-06-03,Johnson&Johnson,347877
France,2021-06-04,Johnson&Johnson,370439
France,2021-06-05,Johnson&Johnson,380186
France,2021-06-06,Johnson&Johnson,381226
France,2021-06-07,Johnson&Johnson,390471
France,2021-06-08,Johnson&Johnson,405114
France,2021-06-09,Johnson&Johnson,417344
France,2021-06-10,Johnson&Johnson,432779
France,2021-06-11,Johnson&Johnson,449818
France,2021-06-12,Johnson&Johnson,457293
France,2021-06-13,Johnson&Johnson,458203
France,2021-06-14,Johnson&Johnson,464878
France,2021-06-15,Johnson&Johnson,475803
France,2021-06-16,Johnson&Johnson,484727
France,2021-06-17,Johnson&Johnson,495661
France,2021-06-18,Johnson&Johnson,508128
France,2021-06-19,Johnson&Johnson,513720
France,2021-06-20,Johnson&Johnson,514548
France,2021-06-21,Johnson&Johnson,519665
France,2021-06-22,Johnson&Johnson,527606
France,2021-06-23,Johnson&Johnson,534747
France,2021-06-24,Johnson&Johnson,543446
France,2021-06-25,Johnson&Johnson,553659
France,2021-06-26,Johnson&Johnson,558526
France,2021-06-27,Johnson&Johnson,559294
France,2021-06-28,Johnson&Johnson,564138
France,2021-06-29,Johnson&Johnson,571272
France,2021-06-30,Johnson&Johnson,578034
France,2021-07-01,Johnson&Johnson,586281
France,2021-07-02,Johnson&Johnson,595761
France,2021-07-03,Johnson&Johnson,600627
France,2021-07-04,Johnson&Johnson,601319
France,2021-07-05,Johnson&Johnson,606112
France,2021-07-06,Johnson&Johnson,613869
France,2021-07-07,Johnson&Johnson,620986
France,2021-07-08,Johnson&Johnson,630257
France,2021-07-09,Johnson&Johnson,640570
France,2021-07-10,Johnson&Johnson,645224
France,2021-07-11,Johnson&Johnson,645812
France,2021-07-12,Johnson&Johnson,651713
France,2021-07-13,Johnson&Johnson,665974
France,2021-07-14,Johnson&Johnson,668277
France,2021-07-15,Johnson&Johnson,686548
France,2021-07-16,Johnson&Johnson,709456
France,2021-07-17,Johnson&Johnson,719212
France,2021-07-18,Johnson&Johnson,720572
France,2021-07-19,Johnson&Johnson,733592
France,2021-07-20,Johnson&Johnson,750961
France,2021-07-21,Johnson&Johnson,766609
France,2021-07-22,Johnson&Johnson,784899
France,2021-07-23,Johnson&Johnson,805377
France,2021-07-24,Johnson&Johnson,814698
France,2021-07-25,Johnson&Johnson,816059
France,2021-07-26,Johnson&Johnson,827122
France,2021-07-27,Johnson&Johnson,841837
France,2021-07-28,Johnson&Johnson,854795
France,2021-07-29,Johnson&Johnson,868940
France,2021-07-30,Johnson&Johnson,884485
France,2021-07-31,Johnson&Johnson,891341
France,2021-08-01,Johnson&Johnson,892247
France,2021-08-02,Johnson&Johnson,900194
France,2021-08-03,Johnson&Johnson,911024
France,2021-08-04,Johnson&Johnson,920798
France,2021-08-05,Johnson&Johnson,930660
France,2021-08-06,Johnson&Johnson,940890
France,2021-08-07,Johnson&Johnson,946019
France,2021-08-08,Johnson&Johnson,947251
France,2021-08-09,Johnson&Johnson,953625
France,2021-08-10,Johnson&Johnson,962391
France,2021-08-11,Johnson&Johnson,970370
France,2021-08-12,Johnson&Johnson,978985
France,2021-08-13,Johnson&Johnson,986568
France,2021-08-14,Johnson&Johnson,990379
France,2021-08-15,Johnson&Johnson,991155
France,2021-08-16,Johnson&Johnson,995179
France,2021-08-17,Johnson&Johnson,1000825
France,2021-08-18,Johnson&Johnson,1006029
France,2021-08-19,Johnson&Johnson,1011550
France,2021-08-20,Johnson&Johnson,1016797
France,2021-08-21,Johnson&Johnson,1019129
France,2021-08-22,Johnson&Johnson,1019537
France,2021-08-23,Johnson&Johnson,1022489
France,2021-08-24,Johnson&Johnson,1026260
France,2021-08-25,Johnson&Johnson,1029828
France,2021-08-26,Johnson&Johnson,1033564
France,2021-08-27,Johnson&Johnson,1037214
France,2021-08-28,Johnson&Johnson,1038950
