location,date,vaccine,total_vaccinations
Iceland,2022-01-01,Johnson&Johnson,0
Iceland,2022-01-02,Johnson&Johnson,0
Iceland,2022-01-03,Johnson&Johnson,6
Iceland,2022-01-04,Johnson&Johnson,7
Iceland,2022-01-05,Johnson&Johnson,9
Iceland,2022-01-06,Johnson&Johnson,12
Iceland,2022-01-07,Johnson&Johnson,22
Iceland,2022-01-08,Johnson&Johnson,22
Iceland,2022-01-09,Johnson&Johnson,22
Iceland,2022-01-10,Johnson&Johnson,26
Iceland,2022-01-11,Johnson&Johnson,31
Iceland,2022-01-12,Johnson&Johnson,34
Iceland,2022-01-13,Johnson&Johnson,34
Iceland,2022-01-14,Johnson&Johnson,35
Iceland,2022-01-15,Johnson&Johnson,35
Iceland,2022-01-16,Johnson&Johnson,35
Iceland,2022-01-17,Johnson&Johnson,43
Iceland,2022-01-18,Johnson&Johnson,47
Iceland,2022-01-19,Johnson&Johnson,52
Iceland,2022-01-20,Johnson&Johnson,54
Iceland,2022-01-21,Johnson&Johnson,55
Iceland,2022-01-23,Johnson&Johnson,55
Iceland,2022-01-24,Johnson&Johnson,58
Iceland,2022-01-25,Johnson&Johnson,60
Iceland,2022-01-26,Johnson&Johnson,63
Iceland,2022-01-27,Johnson&Johnson,67
Iceland,2022-01-28,Johnson&Johnson,68
Iceland,2022-01-29,Johnson&Johnson,68
Iceland,2022-01-31,Johnson&Johnson,72
Iceland,2022-02-01,Johnson&Johnson,75
Iceland,2022-02-02,Johnson&Johnson,77
Iceland,2022-02-03,Johnson&Johnson,77
Iceland,2022-02-04,Johnson&Johnson,78
Iceland,2022-02-05,Johnson&Johnson,78
Iceland,2022-02-06,Johnson&Johnson,78
Iceland,2022-02-07,Johnson&Johnson,78
Iceland,2022-02-08,Johnson&Johnson,78
Iceland,2022-02-09,Johnson&Johnson,79
Iceland,2022-02-10,Johnson&Johnson,79
Iceland,2022-02-11,Johnson&Johnson,79
Iceland,2022-02-12,Johnson&Johnson,79
Iceland,2022-02-14,Johnson&Johnson,79
Iceland,2022-02-15,Johnson&Johnson,79
Iceland,2022-02-16,Johnson&Johnson,79
Iceland,2022-02-17,Johnson&Johnson,79
Iceland,2022-02-18,Johnson&Johnson,79
Iceland,2022-02-19,Johnson&Johnson,79
Iceland,2022-02-21,Johnson&Johnson,80
Iceland,2022-02-22,Johnson&Johnson,81
Iceland,2022-02-23,Johnson&Johnson,81
Iceland,2022-02-24,Johnson&Johnson,83
Iceland,2022-02-25,Johnson&Johnson,84
Iceland,2022-02-26,Johnson&Johnson,84
Iceland,2022-02-28,Johnson&Johnson,84
Iceland,2022-03-01,Johnson&Johnson,84
Iceland,2022-03-02,Johnson&Johnson,84
Iceland,2022-03-03,Johnson&Johnson,84
Iceland,2022-03-04,Johnson&Johnson,84
Iceland,2022-03-05,Johnson&Johnson,84
Iceland,2022-03-07,Johnson&Johnson,84
Iceland,2022-03-08,Johnson&Johnson,84
Iceland,2022-03-09,Johnson&Johnson,84
Iceland,2022-03-10,Johnson&Johnson,84
Iceland,2022-03-11,Johnson&Johnson,84
Iceland,2022-03-14,Johnson&Johnson,84
Iceland,2022-03-15,Johnson&Johnson,84
Iceland,2022-03-16,Johnson&Johnson,84
Iceland,2022-03-17,Johnson&Johnson,84
Iceland,2022-03-18,Johnson&Johnson,84
Iceland,2022-03-21,Johnson&Johnson,84
Iceland,2022-01-01,Moderna,1
Iceland,2022-01-02,Moderna,1
Iceland,2022-01-03,Moderna,76
Iceland,2022-01-04,Moderna,167
Iceland,2022-01-05,Moderna,293
Iceland,2022-01-06,Moderna,484
Iceland,2022-01-07,Moderna,728
Iceland,2022-01-08,Moderna,728
Iceland,2022-01-09,Moderna,728
Iceland,2022-01-10,Moderna,917
Iceland,2022-01-11,Moderna,1123
Iceland,2022-01-12,Moderna,1301
Iceland,2022-01-13,Moderna,1448
Iceland,2022-01-14,Moderna,1618
Iceland,2022-01-15,Moderna,1618
Iceland,2022-01-16,Moderna,1619
Iceland,2022-01-17,Moderna,1956
Iceland,2022-01-18,Moderna,2331
Iceland,2022-01-19,Moderna,2647
Iceland,2022-01-20,Moderna,2927
Iceland,2022-01-21,Moderna,3248
Iceland,2022-01-23,Moderna,3248
Iceland,2022-01-24,Moderna,3425
Iceland,2022-01-25,Moderna,3785
Iceland,2022-01-26,Moderna,4190
Iceland,2022-01-27,Moderna,4789
Iceland,2022-01-28,Moderna,5438
Iceland,2022-01-29,Moderna,5439
Iceland,2022-01-31,Moderna,5531
Iceland,2022-02-01,Moderna,5623
Iceland,2022-02-02,Moderna,5699
Iceland,2022-02-03,Moderna,5761
Iceland,2022-02-04,Moderna,5818
Iceland,2022-02-05,Moderna,5818
Iceland,2022-02-06,Moderna,5818
Iceland,2022-02-07,Moderna,5819
Iceland,2022-02-08,Moderna,5883
Iceland,2022-02-09,Moderna,5947
Iceland,2022-02-10,Moderna,5981
Iceland,2022-02-11,Moderna,6011
Iceland,2022-02-12,Moderna,6011
Iceland,2022-02-14,Moderna,6021
Iceland,2022-02-15,Moderna,6038
Iceland,2022-02-16,Moderna,6055
Iceland,2022-02-17,Moderna,6075
Iceland,2022-02-18,Moderna,6103
Iceland,2022-02-19,Moderna,6103
Iceland,2022-02-21,Moderna,6187
Iceland,2022-02-22,Moderna,6231
Iceland,2022-02-23,Moderna,6301
Iceland,2022-02-24,Moderna,6406
Iceland,2022-02-25,Moderna,6491
Iceland,2022-02-26,Moderna,6491
Iceland,2022-02-28,Moderna,6491
Iceland,2022-03-01,Moderna,6491
Iceland,2022-03-02,Moderna,6491
Iceland,2022-03-03,Moderna,6491
Iceland,2022-03-04,Moderna,6491
Iceland,2022-03-05,Moderna,6491
Iceland,2022-03-07,Moderna,6491
Iceland,2022-03-08,Moderna,6491
Iceland,2022-03-09,Moderna,6491
Iceland,2022-03-10,Moderna,6491
Iceland,2022-03-11,Moderna,6491
Iceland,2022-03-14,Moderna,6491
Iceland,2022-03-15,Moderna,6491
Iceland,2022-03-16,Moderna,6491
Iceland,2022-03-17,Moderna,6491
Iceland,2022-03-18,Moderna,6491
Iceland,2022-03-21,Moderna,6491
Iceland,2022-01-01,Oxford/AstraZeneca,0
Iceland,2022-01-02,Oxford/AstraZeneca,0
Iceland,2022-01-03,Oxford/AstraZeneca,0
Iceland,2022-01-04,Oxford/AstraZeneca,0
Iceland,2022-01-05,Oxford/AstraZeneca,1
Iceland,2022-01-06,Oxford/AstraZeneca,1
Iceland,2022-01-07,Oxford/AstraZeneca,1
Iceland,2022-01-08,Oxford/AstraZeneca,1
Iceland,2022-01-09,Oxford/AstraZeneca,1
Iceland,2022-01-10,Oxford/AstraZeneca,1
Iceland,2022-01-11,Oxford/AstraZeneca,1
Iceland,2022-01-12,Oxford/AstraZeneca,1
Iceland,2022-01-13,Oxford/AstraZeneca,1
Iceland,2022-01-14,Oxford/AstraZeneca,1
Iceland,2022-01-15,Oxford/AstraZeneca,1
Iceland,2022-01-16,Oxford/AstraZeneca,1
Iceland,2022-01-17,Oxford/AstraZeneca,1
Iceland,2022-01-18,Oxford/AstraZeneca,1
Iceland,2022-01-19,Oxford/AstraZeneca,1
Iceland,2022-01-20,Oxford/AstraZeneca,1
Iceland,2022-01-21,Oxford/AstraZeneca,1
Iceland,2022-01-23,Oxford/AstraZeneca,1
Iceland,2022-01-24,Oxford/AstraZeneca,1
Iceland,2022-01-25,Oxford/AstraZeneca,1
Iceland,2022-01-26,Oxford/AstraZeneca,1
Iceland,2022-01-27,Oxford/AstraZeneca,1
Iceland,2022-01-28,Oxford/AstraZeneca,1
Iceland,2022-01-29,Oxford/AstraZeneca,1
Iceland,2022-01-31,Oxford/AstraZeneca,1
Iceland,2022-02-01,Oxford/AstraZeneca,1
Iceland,2022-02-02,Oxford/AstraZeneca,1
Iceland,2022-02-03,Oxford/AstraZeneca,1
Iceland,2022-02-04,Oxford/AstraZeneca,1
Iceland,2022-02-05,Oxford/AstraZeneca,1
Iceland,2022-02-06,Oxford/AstraZeneca,1
Iceland,2022-02-07,Oxford/AstraZeneca,1
Iceland,2022-02-08,Oxford/AstraZeneca,1
Iceland,2022-02-09,Oxford/AstraZeneca,1
Iceland,2022-02-10,Oxford/AstraZeneca,1
Iceland,2022-02-11,Oxford/AstraZeneca,1
Iceland,2022-02-12,Oxford/AstraZeneca,1
Iceland,2022-02-14,Oxford/AstraZeneca,1
Iceland,2022-02-15,Oxford/AstraZeneca,1
Iceland,2022-02-16,Oxford/AstraZeneca,1
Iceland,2022-02-17,Oxford/AstraZeneca,1
Iceland,2022-02-18,Oxford/AstraZeneca,1
Iceland,2022-02-19,Oxford/AstraZeneca,1
Iceland,2022-02-21,Oxford/AstraZeneca,1
Iceland,2022-02-22,Oxford/AstraZeneca,1
Iceland,2022-02-23,Oxford/AstraZeneca,1
Iceland,2022-02-24,Oxford/AstraZeneca,1
Iceland,2022-02-25,Oxford/AstraZeneca,1
Iceland,2022-02-26,Oxford/AstraZeneca,1
Iceland,2022-02-28,Oxford/AstraZeneca,1
Iceland,2022-03-01,Oxford/AstraZeneca,1
Iceland,2022-03-02,Oxford/AstraZeneca,1
Iceland,2022-03-03,Oxford/AstraZeneca,1
Iceland,2022-03-04,Oxford/AstraZeneca,1
Iceland,2022-03-05,Oxford/AstraZeneca,1
Iceland,2022-03-07,Oxford/AstraZeneca,1
Iceland,2022-03-08,Oxford/AstraZeneca,1
Iceland,2022-03-09,Oxford/AstraZeneca,1
Iceland,2022-03-10,Oxford/AstraZeneca,1
Iceland,2022-03-11,Oxford/AstraZeneca,1
Iceland,2022-03-14,Oxford/AstraZeneca,1
Iceland,2022-03-15,Oxford/AstraZeneca,1
Iceland,2022-03-16,Oxford/AstraZeneca,1
Iceland,2022-03-17,Oxford/AstraZeneca,1
Iceland,2022-03-18,Oxford/AstraZeneca,1
Iceland,2022-03-21,Oxford/AstraZeneca,1
Iceland,2022-01-01,Pfizer/BioNTech,0
Iceland,2022-01-02,Pfizer/BioNTech,1
Iceland,2022-01-03,Pfizer/BioNTech,688
Iceland,2022-01-04,Pfizer/BioNTech,1717
Iceland,2022-01-05,Pfizer/BioNTech,3767
Iceland,2022-01-06,Pfizer/BioNTech,6951
Iceland,2022-01-07,Pfizer/BioNTech,8343
Iceland,2022-01-08,Pfizer/BioNTech,8359
Iceland,2022-01-09,Pfizer/BioNTech,8360
Iceland,2022-01-10,Pfizer/BioNTech,11572
Iceland,2022-01-11,Pfizer/BioNTech,16032
Iceland,2022-01-12,Pfizer/BioNTech,22702
Iceland,2022-01-13,Pfizer/BioNTech,28465
Iceland,2022-01-14,Pfizer/BioNTech,30563
Iceland,2022-01-15,Pfizer/BioNTech,30564
Iceland,2022-01-16,Pfizer/BioNTech,30565
Iceland,2022-01-17,Pfizer/BioNTech,32253
Iceland,2022-01-18,Pfizer/BioNTech,34252
Iceland,2022-01-19,Pfizer/BioNTech,39088
Iceland,2022-01-20,Pfizer/BioNTech,43097
Iceland,2022-01-21,Pfizer/BioNTech,44723
Iceland,2022-01-23,Pfizer/BioNTech,44724
Iceland,2022-01-24,Pfizer/BioNTech,45730
Iceland,2022-01-25,Pfizer/BioNTech,46793
Iceland,2022-01-26,Pfizer/BioNTech,49250
Iceland,2022-01-27,Pfizer/BioNTech,51449
Iceland,2022-01-28,Pfizer/BioNTech,52722
Iceland,2022-01-29,Pfizer/BioNTech,52724
Iceland,2022-01-31,Pfizer/BioNTech,54533
Iceland,2022-02-01,Pfizer/BioNTech,57463
Iceland,2022-02-02,Pfizer/BioNTech,61384
Iceland,2022-02-03,Pfizer/BioNTech,65220
Iceland,2022-02-04,Pfizer/BioNTech,67423
Iceland,2022-02-05,Pfizer/BioNTech,67426
Iceland,2022-02-06,Pfizer/BioNTech,67427
Iceland,2022-02-07,Pfizer/BioNTech,67454
Iceland,2022-02-08,Pfizer/BioNTech,68114
Iceland,2022-02-09,Pfizer/BioNTech,69380
Iceland,2022-02-10,Pfizer/BioNTech,70409
Iceland,2022-02-11,Pfizer/BioNTech,70865
Iceland,2022-02-12,Pfizer/BioNTech,70867
Iceland,2022-02-14,Pfizer/BioNTech,70957
Iceland,2022-02-15,Pfizer/BioNTech,71208
Iceland,2022-02-16,Pfizer/BioNTech,71965
Iceland,2022-02-17,Pfizer/BioNTech,72340
Iceland,2022-02-18,Pfizer/BioNTech,72685
Iceland,2022-02-19,Pfizer/BioNTech,72686
Iceland,2022-02-21,Pfizer/BioNTech,73172
Iceland,2022-02-22,Pfizer/BioNTech,73441
Iceland,2022-02-23,Pfizer/BioNTech,73963
Iceland,2022-02-24,Pfizer/BioNTech,74529
Iceland,2022-02-25,Pfizer/BioNTech,74909
Iceland,2022-02-26,Pfizer/BioNTech,74910
Iceland,2022-02-28,Pfizer/BioNTech,74920
Iceland,2022-03-01,Pfizer/BioNTech,74977
Iceland,2022-03-02,Pfizer/BioNTech,75169
Iceland,2022-03-03,Pfizer/BioNTech,75310
Iceland,2022-03-04,Pfizer/BioNTech,75311
Iceland,2022-03-05,Pfizer/BioNTech,75325
Iceland,2022-03-07,Pfizer/BioNTech,75352
Iceland,2022-03-08,Pfizer/BioNTech,75442
Iceland,2022-03-09,Pfizer/BioNTech,75619
Iceland,2022-03-10,Pfizer/BioNTech,75747
Iceland,2022-03-11,Pfizer/BioNTech,75760
Iceland,2022-03-14,Pfizer/BioNTech,75795
Iceland,2022-03-15,Pfizer/BioNTech,75900
Iceland,2022-03-16,Pfizer/BioNTech,76034
Iceland,2022-03-17,Pfizer/BioNTech,76125
Iceland,2022-03-18,Pfizer/BioNTech,76147
Iceland,2022-03-21,Pfizer/BioNTech,76204
