location,date,vaccine,total_vaccinations
Ireland,2021-01-08,Johnson&Johnson,1
Ireland,2021-02-19,Johnson&Johnson,2
Ireland,2021-03-12,Johnson&Johnson,3
Ireland,2021-03-19,Johnson&Johnson,4
Ireland,2021-04-09,Johnson&Johnson,5
Ireland,2021-04-16,Johnson&Johnson,8
Ireland,2021-04-23,Johnson&Johnson,9
Ireland,2021-04-30,Johnson&Johnson,10
Ireland,2021-05-07,Johnson&Johnson,272
Ireland,2021-05-14,Johnson&Johnson,1061
Ireland,2021-05-21,Johnson&Johnson,40157
Ireland,2021-05-28,Johnson&Johnson,57540
Ireland,2021-06-04,Johnson&Johnson,70605
Ireland,2021-06-11,Johnson&Johnson,71872
Ireland,2021-06-18,Johnson&Johnson,73822
Ireland,2021-06-25,Johnson&Johnson,78145
Ireland,2021-07-02,Johnson&Johnson,81871
Ireland,2021-07-09,Johnson&Johnson,116468
Ireland,2021-07-16,Johnson&Johnson,165401
Ireland,2021-07-23,Johnson&Johnson,201745
Ireland,2021-07-30,Johnson&Johnson,218188
Ireland,2021-08-06,Johnson&Johnson,224238
Ireland,2021-08-13,Johnson&Johnson,228135
Ireland,2021-08-20,Johnson&Johnson,231207
Ireland,2021-08-27,Johnson&Johnson,233103
Ireland,2021-09-03,Johnson&Johnson,234014
Ireland,2021-09-10,Johnson&Johnson,234694
Ireland,2021-09-17,Johnson&Johnson,235196
Ireland,2021-09-24,Johnson&Johnson,235622
Ireland,2021-10-01,Johnson&Johnson,235990
Ireland,2021-10-08,Johnson&Johnson,236210
Ireland,2021-10-15,Johnson&Johnson,236275
Ireland,2021-10-22,Johnson&Johnson,236297
Ireland,2021-10-29,Johnson&Johnson,236308
Ireland,2021-11-05,Johnson&Johnson,236328
Ireland,2021-11-12,Johnson&Johnson,236338
Ireland,2021-11-19,Johnson&Johnson,236358
Ireland,2021-11-26,Johnson&Johnson,236395
Ireland,2021-12-03,Johnson&Johnson,236412
Ireland,2021-12-10,Johnson&Johnson,236431
Ireland,2021-12-17,Johnson&Johnson,236479
Ireland,2021-12-24,Johnson&Johnson,236531
Ireland,2021-12-31,Johnson&Johnson,236555
Ireland,2022-01-07,Johnson&Johnson,236577
Ireland,2022-01-14,Johnson&Johnson,236605
Ireland,2022-01-21,Johnson&Johnson,236620
Ireland,2022-01-28,Johnson&Johnson,236631
Ireland,2022-02-04,Johnson&Johnson,236641
Ireland,2022-02-11,Johnson&Johnson,236650
Ireland,2022-02-18,Johnson&Johnson,236659
Ireland,2022-02-25,Johnson&Johnson,236661
Ireland,2022-03-04,Johnson&Johnson,236668
Ireland,2022-03-11,Johnson&Johnson,236673
Ireland,2022-03-25,Johnson&Johnson,236680
Ireland,2022-04-01,Johnson&Johnson,236687
Ireland,2022-04-15,Johnson&Johnson,236688
Ireland,2022-04-22,Johnson&Johnson,236692
Ireland,2022-04-29,Johnson&Johnson,236694
Ireland,2022-05-13,Johnson&Johnson,236695
Ireland,2022-05-20,Johnson&Johnson,236696
Ireland,2022-05-27,Johnson&Johnson,236701
Ireland,2022-06-03,Johnson&Johnson,236703
Ireland,2022-06-10,Johnson&Johnson,236705
Ireland,2022-06-17,Johnson&Johnson,236717
Ireland,2022-06-24,Johnson&Johnson,236722
Ireland,2022-07-01,Johnson&Johnson,236726
Ireland,2022-07-15,Johnson&Johnson,236727
Ireland,2022-07-29,Johnson&Johnson,236728
Ireland,2022-08-05,Johnson&Johnson,236730
Ireland,2022-08-26,Johnson&Johnson,236733
Ireland,2022-09-09,Johnson&Johnson,236735
Ireland,2022-09-30,Johnson&Johnson,236738
Ireland,2021-01-08,Moderna,9
Ireland,2021-01-15,Moderna,1926
Ireland,2021-01-22,Moderna,1940
Ireland,2021-01-29,Moderna,1945
Ireland,2021-02-05,Moderna,1953
Ireland,2021-02-12,Moderna,3895
Ireland,2021-02-19,Moderna,5101
Ireland,2021-02-26,Moderna,9605
Ireland,2021-03-05,Moderna,17052
Ireland,2021-03-12,Moderna,21073
Ireland,2021-03-19,Moderna,22800
Ireland,2021-03-26,Moderna,30833
Ireland,2021-04-02,Moderna,43614
Ireland,2021-04-09,Moderna,52071
Ireland,2021-04-16,Moderna,56880
Ireland,2021-04-23,Moderna,70236
Ireland,2021-04-30,Moderna,84334
Ireland,2021-05-07,Moderna,94121
Ireland,2021-05-14,Moderna,120031
Ireland,2021-05-21,Moderna,159271
Ireland,2021-05-28,Moderna,195055
Ireland,2021-06-04,Moderna,234206
Ireland,2021-06-11,Moderna,273979
Ireland,2021-06-18,Moderna,317111
Ireland,2021-06-25,Moderna,356378
Ireland,2021-07-02,Moderna,402180
Ireland,2021-07-09,Moderna,435377
Ireland,2021-07-16,Moderna,472120
Ireland,2021-07-23,Moderna,499002
Ireland,2021-07-30,Moderna,513946
Ireland,2021-08-06,Moderna,533926
Ireland,2021-08-13,Moderna,549536
Ireland,2021-08-20,Moderna,557298
Ireland,2021-08-27,Moderna,562729
Ireland,2021-09-03,Moderna,567231
