location,date,vaccine,total_vaccinations
Japan,2021-05-22,Moderna,2
Japan,2021-05-23,Moderna,155
Japan,2021-05-24,Moderna,10512
Japan,2021-05-25,Moderna,20380
Japan,2021-05-26,Moderna,31792
Japan,2021-05-27,Moderna,44003
Japan,2021-05-28,Moderna,58038
Japan,2021-05-29,Moderna,73195
Japan,2021-05-30,Moderna,88887
Japan,2021-05-31,Moderna,107641
Japan,2021-06-01,Moderna,127198
Japan,2021-06-02,Moderna,147289
Japan,2021-06-03,Moderna,167657
Japan,2021-06-04,Moderna,188992
Japan,2021-06-05,Moderna,209669
Japan,2021-06-06,Moderna,232842
Japan,2021-06-07,Moderna,264605
Japan,2021-06-08,Moderna,298366
Japan,2021-06-09,Moderna,330731
Japan,2021-06-10,Moderna,366175
Japan,2021-06-11,Moderna,405097
Japan,2021-06-12,Moderna,444593
Japan,2021-06-13,Moderna,485007
Japan,2021-06-14,Moderna,529118
Japan,2021-06-15,Moderna,571821
Japan,2021-06-16,Moderna,615842
Japan,2021-06-17,Moderna,661890
Japan,2021-06-18,Moderna,704040
Japan,2021-06-19,Moderna,751515
Japan,2021-06-20,Moderna,801990
Japan,2021-06-21,Moderna,911611
Japan,2021-06-22,Moderna,1027590
Japan,2021-06-23,Moderna,1155066
Japan,2021-06-24,Moderna,1271677
Japan,2021-06-25,Moderna,1401911
Japan,2021-06-26,Moderna,1517774
Japan,2021-06-27,Moderna,1630126
Japan,2021-06-28,Moderna,1821297
Japan,2021-06-29,Moderna,2024415
Japan,2021-06-30,Moderna,2249860
Japan,2021-07-01,Moderna,2489575
Japan,2021-07-02,Moderna,2751635
Japan,2021-07-03,Moderna,2972090
Japan,2021-07-04,Moderna,3149663
Japan,2021-07-05,Moderna,3442464
Japan,2021-07-06,Moderna,3747887
Japan,2021-07-07,Moderna,4052526
Japan,2021-07-08,Moderna,4388593
Japan,2021-07-09,Moderna,4735820
Japan,2021-07-10,Moderna,5038677
Japan,2021-07-11,Moderna,5275815
Japan,2021-07-12,Moderna,5568025
Japan,2021-07-13,Moderna,5878501
Japan,2021-07-14,Moderna,6171810
Japan,2021-07-15,Moderna,6462645
Japan,2021-07-16,Moderna,6762597
Japan,2021-07-17,Moderna,7005245
Japan,2021-07-18,Moderna,7211740
Japan,2021-07-19,Moderna,7546662
Japan,2021-07-20,Moderna,7895453
Japan,2021-07-21,Moderna,8262277
Japan,2021-07-22,Moderna,8465237
Japan,2021-07-23,Moderna,8665312
Japan,2021-07-24,Moderna,8930912
Japan,2021-07-25,Moderna,9176277
Japan,2021-07-26,Moderna,9555782
Japan,2021-07-27,Moderna,9931596
Japan,2021-07-28,Moderna,10308883
Japan,2021-07-29,Moderna,10694744
Japan,2021-07-30,Moderna,11121102
Japan,2021-07-31,Moderna,11458777
Japan,2021-08-01,Moderna,11738712
Japan,2021-08-02,Moderna,12112615
Japan,2021-08-03,Moderna,12495408
Japan,2021-08-04,Moderna,12872659
Japan,2021-08-05,Moderna,13285402
Japan,2021-08-06,Moderna,13712305
Japan,2021-08-07,Moderna,14072910
Japan,2021-08-08,Moderna,14374036
Japan,2021-08-09,Moderna,14556521
Japan,2021-08-10,Moderna,14898641
Japan,2021-08-11,Moderna,15221714
Japan,2021-08-12,Moderna,15517177
Japan,2021-08-13,Moderna,15786912
Japan,2021-08-14,Moderna,16026175
Japan,2021-08-15,Moderna,16246485
Japan,2021-08-16,Moderna,16541669
Japan,2021-08-17,Moderna,16875448
Japan,2021-08-18,Moderna,17203841
Japan,2021-08-19,Moderna,17512567
Japan,2021-08-20,Moderna,17825015
Japan,2021-08-21,Moderna,18118730
Japan,2021-08-22,Moderna,18388970
Japan,2021-08-23,Moderna,18698428
Japan,2021-08-24,Moderna,19015014
Japan,2021-08-25,Moderna,19317497
Japan,2021-08-26,Moderna,19578447
Japan,2021-08-27,Moderna,19873994
Japan,2021-08-28,Moderna,20157117
Japan,2021-08-29,Moderna,20409035
Japan,2021-08-30,Moderna,20694337
Japan,2021-08-31,Moderna,20975584
Japan,2021-09-01,Moderna,21241127
Japan,2021-09-02,Moderna,21525952
Japan,2021-09-03,Moderna,21821693
Japan,2021-09-04,Moderna,22135783
Japan,2021-09-05,Moderna,22424137
Japan,2021-09-06,Moderna,22657100
Japan,2021-09-07,Moderna,22907376
Japan,2021-09-08,Moderna,23149910
Japan,2021-09-09,Moderna,23404522
Japan,2021-09-10,Moderna,23683358
Japan,2021-09-11,Moderna,23986527
Japan,2021-09-12,Moderna,24239114
Japan,2021-09-13,Moderna,24429434
