location,date,vaccine,total_vaccinations
Latvia,2021-01-04,Johnson&Johnson,1
Latvia,2021-01-07,Johnson&Johnson,2
Latvia,2021-01-25,Johnson&Johnson,3
Latvia,2021-01-28,Johnson&Johnson,4
Latvia,2021-02-07,Johnson&Johnson,5
Latvia,2021-02-14,Johnson&Johnson,6
Latvia,2021-03-05,Johnson&Johnson,7
Latvia,2021-03-07,Johnson&Johnson,8
Latvia,2021-03-08,Johnson&Johnson,10
Latvia,2021-03-14,Johnson&Johnson,11
Latvia,2021-03-16,Johnson&Johnson,13
Latvia,2021-03-18,Johnson&Johnson,14
Latvia,2021-03-22,Johnson&Johnson,15
Latvia,2021-03-23,Johnson&Johnson,16
Latvia,2021-03-30,Johnson&Johnson,18
Latvia,2021-04-01,Johnson&Johnson,21
Latvia,2021-04-02,Johnson&Johnson,22
Latvia,2021-04-03,Johnson&Johnson,24
Latvia,2021-04-05,Johnson&Johnson,25
Latvia,2021-04-06,Johnson&Johnson,26
Latvia,2021-04-07,Johnson&Johnson,35
Latvia,2021-04-08,Johnson&Johnson,41
Latvia,2021-04-09,Johnson&Johnson,48
Latvia,2021-04-10,Johnson&Johnson,49
Latvia,2021-04-11,Johnson&Johnson,51
Latvia,2021-04-13,Johnson&Johnson,52
Latvia,2021-04-21,Johnson&Johnson,53
Latvia,2021-04-27,Johnson&Johnson,129
Latvia,2021-04-28,Johnson&Johnson,240
Latvia,2021-04-29,Johnson&Johnson,289
Latvia,2021-04-30,Johnson&Johnson,370
Latvia,2021-05-01,Johnson&Johnson,372
Latvia,2021-05-02,Johnson&Johnson,383
Latvia,2021-05-03,Johnson&Johnson,385
Latvia,2021-05-04,Johnson&Johnson,387
Latvia,2021-05-05,Johnson&Johnson,520
Latvia,2021-05-06,Johnson&Johnson,688
Latvia,2021-05-07,Johnson&Johnson,855
Latvia,2021-05-08,Johnson&Johnson,903
Latvia,2021-05-09,Johnson&Johnson,986
Latvia,2021-05-10,Johnson&Johnson,1111
Latvia,2021-05-11,Johnson&Johnson,1393
Latvia,2021-05-12,Johnson&Johnson,1787
Latvia,2021-05-13,Johnson&Johnson,2184
Latvia,2021-05-14,Johnson&Johnson,2741
Latvia,2021-05-15,Johnson&Johnson,2832
Latvia,2021-05-16,Johnson&Johnson,2853
Latvia,2021-05-17,Johnson&Johnson,3227
Latvia,2021-05-18,Johnson&Johnson,4166
Latvia,2021-05-19,Johnson&Johnson,5442
Latvia,2021-05-20,Johnson&Johnson,6734
Latvia,2021-05-21,Johnson&Johnson,8667
Latvia,2021-05-22,Johnson&Johnson,9763
Latvia,2021-05-23,Johnson&Johnson,9978
Latvia,2021-05-24,Johnson&Johnson,11056
Latvia,2021-05-25,Johnson&Johnson,12178
Latvia,2021-05-26,Johnson&Johnson,13202
Latvia,2021-05-27,Johnson&Johnson,14129
Latvia,2021-05-28,Johnson&Johnson,15567
Latvia,2021-05-29,Johnson&Johnson,17216
Latvia,2021-05-30,Johnson&Johnson,17950
Latvia,2021-05-31,Johnson&Johnson,19010
Latvia,2021-06-01,Johnson&Johnson,19962
Latvia,2021-06-02,Johnson&Johnson,21419
Latvia,2021-06-03,Johnson&Johnson,22500
Latvia,2021-06-04,Johnson&Johnson,24316
Latvia,2021-06-05,Johnson&Johnson,25354
Latvia,2021-06-06,Johnson&Johnson,26435
Latvia,2021-06-07,Johnson&Johnson,27475
Latvia,2021-06-08,Johnson&Johnson,28887
Latvia,2021-06-09,Johnson&Johnson,30105
Latvia,2021-06-10,Johnson&Johnson,31708
Latvia,2021-06-11,Johnson&Johnson,33274
Latvia,2021-06-12,Johnson&Johnson,34573
Latvia,2021-06-13,Johnson&Johnson,35036
Latvia,2021-06-14,Johnson&Johnson,35935
Latvia,2021-06-15,Johnson&Johnson,37601
Latvia,2021-06-16,Johnson&Johnson,39199
Latvia,2021-06-17,Johnson&Johnson,40856
Latvia,2021-06-18,Johnson&Johnson,42861
Latvia,2021-06-19,Johnson&Johnson,44346
Latvia,2021-06-20,Johnson&Johnson,45007
Latvia,2021-06-21,Johnson&Johnson,46525
Latvia,2021-06-22,Johnson&Johnson,47815
Latvia,2021-06-23,Johnson&Johnson,47943
Latvia,2021-06-24,Johnson&Johnson,47958
Latvia,2021-06-25,Johnson&Johnson,48286
Latvia,2021-06-26,Johnson&Johnson,48898
Latvia,2021-06-27,Johnson&Johnson,49368
Latvia,2021-06-28,Johnson&Johnson,50679
Latvia,2021-06-29,Johnson&Johnson,52532
Latvia,2021-06-30,Johnson&Johnson,54465
Latvia,2021-07-01,Johnson&Johnson,56138
Latvia,2021-07-02,Johnson&Johnson,58109
Latvia,2021-07-03,Johnson&Johnson,59690
Latvia,2021-07-04,Johnson&Johnson,60519
Latvia,2021-07-05,Johnson&Johnson,62065
Latvia,2021-07-06,Johnson&Johnson,64117
Latvia,2021-07-07,Johnson&Johnson,66663
Latvia,2021-07-08,Johnson&Johnson,68655
Latvia,2021-07-09,Johnson&Johnson,71191
Latvia,2021-07-10,Johnson&Johnson,72824
Latvia,2021-07-11,Johnson&Johnson,73741
Latvia,2021-07-12,Johnson&Johnson,75403
