location,date,vaccine,total_vaccinations
Liechtenstein,2021-01-08,Johnson&Johnson,0
Liechtenstein,2021-10-15,Johnson&Johnson,2
Liechtenstein,2021-10-22,Johnson&Johnson,9
Liechtenstein,2021-10-29,Johnson&Johnson,97
Liechtenstein,2021-11-05,Johnson&Johnson,148
Liechtenstein,2021-11-12,Johnson&Johnson,166
Liechtenstein,2021-11-19,Johnson&Johnson,174
Liechtenstein,2021-11-26,Johnson&Johnson,184
Liechtenstein,2021-12-03,Johnson&Johnson,195
Liechtenstein,2021-12-10,Johnson&Johnson,201
Liechtenstein,2021-12-17,Johnson&Johnson,214
Liechtenstein,2021-12-24,Johnson&Johnson,226
Liechtenstein,2022-01-07,Johnson&Johnson,228
Liechtenstein,2022-01-21,Johnson&Johnson,260
Liechtenstein,2022-02-11,Johnson&Johnson,261
Liechtenstein,2022-03-11,Johnson&Johnson,262
Liechtenstein,2022-03-25,Johnson&Johnson,263
Liechtenstein,2022-06-17,Johnson&Johnson,264
Liechtenstein,2021-01-08,Moderna,0
Liechtenstein,2021-01-15,Moderna,5
Liechtenstein,2021-01-22,Moderna,43
Liechtenstein,2021-01-29,Moderna,345
Liechtenstein,2021-02-05,Moderna,410
Liechtenstein,2021-02-12,Moderna,456
Liechtenstein,2021-02-19,Moderna,1034
Liechtenstein,2021-02-26,Moderna,1321
Liechtenstein,2021-03-05,Moderna,1363
Liechtenstein,2021-03-12,Moderna,2027
Liechtenstein,2021-03-19,Moderna,2582
Liechtenstein,2021-03-26,Moderna,2590
Liechtenstein,2021-04-02,Moderna,3079
Liechtenstein,2021-04-09,Moderna,3977
Liechtenstein,2021-04-16,Moderna,4517
Liechtenstein,2021-04-23,Moderna,5371
Liechtenstein,2021-04-30,Moderna,6372
Liechtenstein,2021-05-07,Moderna,7723
Liechtenstein,2021-05-14,Moderna,8819
Liechtenstein,2021-05-21,Moderna,10516
Liechtenstein,2021-05-28,Moderna,11901
Liechtenstein,2021-06-04,Moderna,14679
Liechtenstein,2021-06-11,Moderna,16985
Liechtenstein,2021-06-18,Moderna,19802
Liechtenstein,2021-06-25,Moderna,20910
Liechtenstein,2021-07-02,Moderna,23192
Liechtenstein,2021-07-09,Moderna,25209
Liechtenstein,2021-07-16,Moderna,27540
Liechtenstein,2021-07-23,Moderna,27940
Liechtenstein,2021-07-30,Moderna,27954
Liechtenstein,2021-08-06,Moderna,27956
Liechtenstein,2021-08-13,Moderna,29080
Liechtenstein,2021-08-20,Moderna,29878
Liechtenstein,2021-08-27,Moderna,30269
Liechtenstein,2021-09-03,Moderna,30275
Liechtenstein,2021-09-10,Moderna,30298
Liechtenstein,2021-09-17,Moderna,31467
Liechtenstein,2021-09-24,Moderna,32117
Liechtenstein,2021-10-01,Moderna,32275
Liechtenstein,2021-10-08,Moderna,32446
Liechtenstein,2021-10-15,Moderna,32589
Liechtenstein,2021-10-22,Moderna,33417
Liechtenstein,2021-10-29,Moderna,33694
Liechtenstein,2021-11-05,Moderna,33977
Liechtenstein,2021-11-12,Moderna,34210
