location,date,vaccine,total_vaccinations
Luxembourg,2021-04-16,Johnson&Johnson,2158
Luxembourg,2021-04-23,Johnson&Johnson,2352
Luxembourg,2021-05-07,Johnson&Johnson,5810
Luxembourg,2021-05-14,Johnson&Johnson,7692
Luxembourg,2021-05-21,Johnson&Johnson,10808
Luxembourg,2021-05-28,Johnson&Johnson,11303
Luxembourg,2021-06-04,Johnson&Johnson,12730
Luxembourg,2021-06-11,Johnson&Johnson,16823
Luxembourg,2021-06-18,Johnson&Johnson,17741
Luxembourg,2021-06-25,Johnson&Johnson,26396
Luxembourg,2021-07-02,Johnson&Johnson,27926
Luxembourg,2021-07-09,Johnson&Johnson,28353
Luxembourg,2021-07-16,Johnson&Johnson,30607
Luxembourg,2021-07-23,Johnson&Johnson,31409
Luxembourg,2021-07-30,Johnson&Johnson,32319
Luxembourg,2021-08-06,Johnson&Johnson,32808
Luxembourg,2021-08-13,Johnson&Johnson,33362
Luxembourg,2021-08-20,Johnson&Johnson,34187
Luxembourg,2021-08-27,Johnson&Johnson,34767
Luxembourg,2021-09-03,Johnson&Johnson,35298
Luxembourg,2021-09-10,Johnson&Johnson,36021
Luxembourg,2021-09-17,Johnson&Johnson,36464
Luxembourg,2021-09-24,Johnson&Johnson,36866
Luxembourg,2021-10-01,Johnson&Johnson,37200
Luxembourg,2021-10-08,Johnson&Johnson,37531
Luxembourg,2021-10-15,Johnson&Johnson,38098
Luxembourg,2021-10-22,Johnson&Johnson,38579
Luxembourg,2021-10-29,Johnson&Johnson,38896
Luxembourg,2021-11-05,Johnson&Johnson,39196
Luxembourg,2021-11-12,Johnson&Johnson,39420
Luxembourg,2021-11-19,Johnson&Johnson,39567
Luxembourg,2021-11-26,Johnson&Johnson,39713
Luxembourg,2021-12-03,Johnson&Johnson,40073
Luxembourg,2021-12-10,Johnson&Johnson,40369
Luxembourg,2021-12-17,Johnson&Johnson,40598
Luxembourg,2021-12-24,Johnson&Johnson,40748
Luxembourg,2021-12-31,Johnson&Johnson,40899
Luxembourg,2022-01-07,Johnson&Johnson,41099
Luxembourg,2022-01-14,Johnson&Johnson,41286
Luxembourg,2022-01-21,Johnson&Johnson,41350
Luxembourg,2022-01-28,Johnson&Johnson,41380
Luxembourg,2022-02-04,Johnson&Johnson,41408
Luxembourg,2022-02-11,Johnson&Johnson,41421
Luxembourg,2022-02-18,Johnson&Johnson,41431
Luxembourg,2022-02-25,Johnson&Johnson,41438
Luxembourg,2022-03-04,Johnson&Johnson,41440
Luxembourg,2022-03-11,Johnson&Johnson,41447
Luxembourg,2022-03-18,Johnson&Johnson,41452
Luxembourg,2022-03-25,Johnson&Johnson,41454
Luxembourg,2022-04-01,Johnson&Johnson,41456
Luxembourg,2022-04-08,Johnson&Johnson,41460
Luxembourg,2022-04-15,Johnson&Johnson,41462
Luxembourg,2022-04-22,Johnson&Johnson,41464
Luxembourg,2022-04-29,Johnson&Johnson,41468
Luxembourg,2022-05-06,Johnson&Johnson,41471
Luxembourg,2022-05-13,Johnson&Johnson,41472
Luxembourg,2022-05-20,Johnson&Johnson,41475
Luxembourg,2022-05-27,Johnson&Johnson,41478
Luxembourg,2022-06-03,Johnson&Johnson,41480
Luxembourg,2022-06-10,Johnson&Johnson,41482
Luxembourg,2022-06-17,Johnson&Johnson,41485
Luxembourg,2022-06-24,Johnson&Johnson,41486
Luxembourg,2022-07-01,Johnson&Johnson,41487
Luxembourg,2022-07-08,Johnson&Johnson,41489
Luxembourg,2022-07-12,Johnson&Johnson,41517
Luxembourg,2022-07-15,Johnson&Johnson,41494
Luxembourg,2022-07-22,Johnson&Johnson,41497
Luxembourg,2022-08-05,Johnson&Johnson,41498
Luxembourg,2022-08-19,Johnson&Johnson,41499
Luxembourg,2022-09-16,Johnson&Johnson,41501
Luxembourg,2022-09-23,Johnson&Johnson,41502
Luxembourg,2022-09-30,Johnson&Johnson,41503
Luxembourg,2021-01-15,Moderna,0
Luxembourg,2021-01-22,Moderna,283
Luxembourg,2021-01-29,Moderna,416
Luxembourg,2021-02-05,Moderna,842
Luxembourg,2021-02-12,Moderna,1033
Luxembourg,2021-02-19,Moderna,1323
Luxembourg,2021-02-26,Moderna,1640
Luxembourg,2021-03-05,Moderna,2111
Luxembourg,2021-03-12,Moderna,2607
Luxembourg,2021-03-19,Moderna,4092
Luxembourg,2021-03-26,Moderna,4299
Luxembourg,2021-04-02,Moderna,4694
Luxembourg,2021-04-09,Moderna,7181
Luxembourg,2021-04-16,Moderna,11622
Luxembourg,2021-04-23,Moderna,12177
Luxembourg,2021-04-30,Moderna,14449
Luxembourg,2021-05-07,Moderna,17346
Luxembourg,2021-05-14,Moderna,23380
Luxembourg,2021-05-21,Moderna,29556
Luxembourg,2021-05-28,Moderna,33653
Luxembourg,2021-06-04,Moderna,34473
Luxembourg,2021-06-11,Moderna,37546
Luxembourg,2021-06-18,Moderna,43156
Luxembourg,2021-06-25,Moderna,48254
