location,date,vaccine,total_vaccinations
Nepal,2022-02-19,Johnson&Johnson,3005246.0
Nepal,2022-02-20,Johnson&Johnson,3012420.0
Nepal,2022-02-21,Johnson&Johnson,3023155.0
Nepal,2022-02-22,Johnson&Johnson,3039914.0
Nepal,2022-02-23,Johnson&Johnson,3057989.0
Nepal,2022-02-24,Johnson&Johnson,3068410.0
Nepal,2022-02-25,Johnson&Johnson,3082971.0
Nepal,2022-02-26,Johnson&Johnson,3091275.0
Nepal,2022-02-27,Johnson&Johnson,3098185.0
Nepal,2022-02-28,Johnson&Johnson,3117996.0
Nepal,2022-03-01,Johnson&Johnson,3133321.0
Nepal,2022-03-02,Johnson&Johnson,3137191.0
Nepal,2022-03-04,Johnson&Johnson,3146607.0
Nepal,2022-03-05,Johnson&Johnson,3160635.0
Nepal,2022-03-08,Johnson&Johnson,3186814.0
Nepal,2022-03-09,Johnson&Johnson,3194909.0
Nepal,2022-03-11,Johnson&Johnson,3212856.0
Nepal,2022-03-12,Johnson&Johnson,3221894.0
Nepal,2022-03-13,Johnson&Johnson,3227586.0
Nepal,2022-03-14,Johnson&Johnson,3244785.0
Nepal,2022-03-15,Johnson&Johnson,3254678.0
Nepal,2022-03-16,Johnson&Johnson,3264007.0
Nepal,2022-03-17,Johnson&Johnson,3270955.0
Nepal,2022-03-18,Johnson&Johnson,3273424.0
Nepal,2022-03-19,Johnson&Johnson,3273951.0
Nepal,2022-03-21,Johnson&Johnson,3280927.0
Nepal,2022-03-22,Johnson&Johnson,3287810.0
Nepal,2022-03-23,Johnson&Johnson,3299594.0
Nepal,2022-03-24,Johnson&Johnson,3308281.0
Nepal,2022-03-25,Johnson&Johnson,3312256.0
Nepal,2022-03-26,Johnson&Johnson,3320743.0
Nepal,2022-03-27,Johnson&Johnson,3323818.0
Nepal,2022-03-28,Johnson&Johnson,3333052.0
Nepal,2022-03-29,Johnson&Johnson,3339665.0
Nepal,2022-03-30,Johnson&Johnson,3350105.0
Nepal,2022-03-31,Johnson&Johnson,3354508.0
Nepal,2022-04-03,Johnson&Johnson,3368812.0
Nepal,2022-04-04,Johnson&Johnson,3372065.0
Nepal,2022-04-05,Johnson&Johnson,3373852.0
Nepal,2022-04-06,Johnson&Johnson,3380418.0
Nepal,2022-04-07,Johnson&Johnson,3385827.0
Nepal,2022-04-08,Johnson&Johnson,3388807.0
Nepal,2022-04-10,Johnson&Johnson,3393797.0
Nepal,2022-04-11,Johnson&Johnson,3397717.0
Nepal,2022-04-12,Johnson&Johnson,3401274.0
Nepal,2022-04-13,Johnson&Johnson,3406531.0
Nepal,2022-04-14,Johnson&Johnson,3409133.0
Nepal,2022-04-17,Johnson&Johnson,3415742.0
Nepal,2022-04-18,Johnson&Johnson,3418146.0
Nepal,2022-04-20,Johnson&Johnson,3426261.0
Nepal,2022-04-21,Johnson&Johnson,3428240.0
Nepal,2022-04-23,Johnson&Johnson,3438642.0
Nepal,2022-04-24,Johnson&Johnson,3453700.0
Nepal,2022-04-25,Johnson&Johnson,3457999.0
Nepal,2022-04-26,Johnson&Johnson,3460469.0
Nepal,2022-04-27,Johnson&Johnson,3465243.0
Nepal,2022-04-29,Johnson&Johnson,3480020.0
Nepal,2022-04-30,Johnson&Johnson,3483025.0
Nepal,2022-05-01,Johnson&Johnson,3484160.0
Nepal,2022-05-02,Johnson&Johnson,3485168.0
Nepal,2022-05-03,Johnson&Johnson,3490237.0
Nepal,2022-05-04,Johnson&Johnson,3492909.0
Nepal,2022-05-05,Johnson&Johnson,3499231.0
Nepal,2022-05-06,Johnson&Johnson,3503203.0
Nepal,2022-05-07,Johnson&Johnson,3517537.0
Nepal,2022-05-08,Johnson&Johnson,3519578.0
Nepal,2022-05-09,Johnson&Johnson,3520993.0
Nepal,2022-05-10,Johnson&Johnson,3524925.0
Nepal,2022-05-11,Johnson&Johnson,3524995.0
Nepal,2022-05-12,Johnson&Johnson,3525299.0
Nepal,2022-05-15,Johnson&Johnson,3525629.0
Nepal,2022-05-18,Johnson&Johnson,3529318.0
Nepal,2022-05-20,Johnson&Johnson,3529738.0
Nepal,2022-05-22,Johnson&Johnson,3530053.0
Nepal,2022-05-23,Johnson&Johnson,3530533.0
Nepal,2022-05-24,Johnson&Johnson,3531267.0
Nepal,2022-05-25,Johnson&Johnson,3534029.0
Nepal,2022-05-26,Johnson&Johnson,3537029.0
Nepal,2022-05-27,Johnson&Johnson,3541373.0
Nepal,2022-05-28,Johnson&Johnson,3544431.0
Nepal,2022-05-29,Johnson&Johnson,3544882.0
Nepal,2022-05-30,Johnson&Johnson,3545370.0
Nepal,2022-06-01,Johnson&Johnson,3561251.0
Nepal,2022-06-02,Johnson&Johnson,3567873.0
Nepal,2022-06-03,Johnson&Johnson,3573283.0
Nepal,2022-06-04,Johnson&Johnson,3576281.0
Nepal,2022-06-05,Johnson&Johnson,3577143.0
Nepal,2022-06-06,Johnson&Johnson,3580035.0
Nepal,2022-06-07,Johnson&Johnson,3582204.0
Nepal,2022-06-08,Johnson&Johnson,3585945.0
Nepal,2022-06-09,Johnson&Johnson,3589310.0
Nepal,2022-06-10,Johnson&Johnson,3593111.0
Nepal,2022-06-11,Johnson&Johnson,3597289.0
Nepal,2022-06-14,Johnson&Johnson,3601570.0
Nepal,2022-06-15,Johnson&Johnson,3607262.0
Nepal,2022-06-16,Johnson&Johnson,3612457.0
Nepal,2022-06-17,Johnson&Johnson,3636468.0
Nepal,2022-06-18,Johnson&Johnson,3638858.0
Nepal,2022-06-19,Johnson&Johnson,3639655.0
Nepal,2022-06-20,Johnson&Johnson,3643737.0
Nepal,2022-06-21,Johnson&Johnson,3649317.0
Nepal,2022-06-22,Johnson&Johnson,3662334.0
Nepal,2022-06-23,Johnson&Johnson,3664019.0
Nepal,2022-06-24,Johnson&Johnson,3667408.0
Nepal,2022-06-25,Johnson&Johnson,3669166.0
Nepal,2022-06-27,Johnson&Johnson,3671158.0
Nepal,2022-06-28,Johnson&Johnson,3672353.0
Nepal,2022-07-03,Johnson&Johnson,3692531.0
Nepal,2022-07-04,Johnson&Johnson,3693423.0
Nepal,2022-02-23,Moderna,4542898.0
Nepal,2022-02-24,Moderna,4568889.0
Nepal,2022-02-25,Moderna,4577019.0
Nepal,2022-02-26,Moderna,4609679.0
Nepal,2022-02-27,Moderna,4624778.0
Nepal,2022-02-28,Moderna,4643976.0
Nepal,2022-03-01,Moderna,4663614.0
Nepal,2022-03-02,Moderna,4673074.0
Nepal,2022-03-04,Moderna,4721773.0
Nepal,2022-03-05,Moderna,4830858.0
Nepal,2022-03-08,Moderna,5106945.0
Nepal,2022-03-09,Moderna,5139733.0
Nepal,2022-03-11,Moderna,5250942.0
Nepal,2022-03-12,Moderna,5277647.0
Nepal,2022-03-13,Moderna,5322564.0
Nepal,2022-03-14,Moderna,5342213.0
Nepal,2022-03-15,Moderna,5377315.0
Nepal,2022-03-16,Moderna,5405539.0
Nepal,2022-03-17,Moderna,5452862.0
Nepal,2022-03-18,Moderna,5467591.0
Nepal,2022-03-21,Moderna,5488220.0
Nepal,2022-03-22,Moderna,5496670.0
Nepal,2022-03-23,Moderna,5520488.0
Nepal,2022-03-24,Moderna,5540161.0
Nepal,2022-03-25,Moderna,5576566.0
Nepal,2022-03-26,Moderna,5583197.0
Nepal,2022-03-27,Moderna,5589837.0
Nepal,2022-03-28,Moderna,5623810.0
Nepal,2022-03-29,Moderna,5630789.0
Nepal,2022-03-30,Moderna,5651198.0
Nepal,2022-03-31,Moderna,5671665.0
Nepal,2022-04-03,Moderna,5711065.0
Nepal,2022-04-04,Moderna,5729589.0
Nepal,2022-04-05,Moderna,5732100.0
Nepal,2022-04-06,Moderna,5739525.0
Nepal,2022-04-07,Moderna,5758279.0
Nepal,2022-04-08,Moderna,5760057.0
Nepal,2022-04-10,Moderna,5762686.0
Nepal,2022-04-11,Moderna,5763827.0
Nepal,2022-04-12,Moderna,5784091.0
Nepal,2022-04-13,Moderna,5801462.0
Nepal,2022-04-14,Moderna,5815923.0
Nepal,2022-04-17,Moderna,5819382.0
Nepal,2022-04-18,Moderna,5832940.0
Nepal,2022-04-20,Moderna,5836685.0
Nepal,2022-04-21,Moderna,5836952.0
Nepal,2022-04-23,Moderna,5853498.0
Nepal,2022-04-24,Moderna,5853648.0
Nepal,2022-04-25,Moderna,5858692.0
Nepal,2022-04-26,Moderna,5860289.0
Nepal,2022-04-27,Moderna,5868106.0
Nepal,2022-04-29,Moderna,5881590.0
Nepal,2022-04-30,Moderna,5889177.0
Nepal,2022-05-01,Moderna,5890767.0
Nepal,2022-05-02,Moderna,5891463.0
Nepal,2022-05-03,Moderna,5892191.0
Nepal,2022-05-04,Moderna,5892838.0
Nepal,2022-05-05,Moderna,5901492.0
Nepal,2022-05-06,Moderna,5910781.0
Nepal,2022-05-07,Moderna,5915267.0
Nepal,2022-05-08,Moderna,5917763.0
Nepal,2022-05-09,Moderna,5920487.0
Nepal,2022-05-10,Moderna,5923038.0
Nepal,2022-05-11,Moderna,5923168.0
Nepal,2022-05-12,Moderna,5924252.0
Nepal,2022-05-15,Moderna,5926447.0
Nepal,2022-05-18,Moderna,5927202.0
Nepal,2022-05-20,Moderna,5928305.0
Nepal,2022-05-23,Moderna,5928801.0
Nepal,2022-05-24,Moderna,5929780.0
Nepal,2022-05-25,Moderna,5930550.0
Nepal,2022-05-26,Moderna,5948366.0
Nepal,2022-05-27,Moderna,5964184.0
Nepal,2022-05-28,Moderna,5999649.0
Nepal,2022-05-29,Moderna,6012034.0
Nepal,2022-05-30,Moderna,6015290.0
Nepal,2022-06-01,Moderna,6127727.0
Nepal,2022-06-02,Moderna,6191548.0
Nepal,2022-06-03,Moderna,6216705.0
Nepal,2022-06-04,Moderna,6267989.0
Nepal,2022-06-05,Moderna,6272334.0
Nepal,2022-06-06,Moderna,6339769.0
