location,date,vaccine,total_vaccinations
Netherlands,2021-01-01,Johnson&Johnson,0
Netherlands,2021-01-08,Johnson&Johnson,0
Netherlands,2021-01-15,Johnson&Johnson,0
Netherlands,2021-01-22,Johnson&Johnson,0
Netherlands,2021-01-29,Johnson&Johnson,0
Netherlands,2021-02-05,Johnson&Johnson,0
Netherlands,2021-02-12,Johnson&Johnson,0
Netherlands,2021-02-19,Johnson&Johnson,0
Netherlands,2021-02-26,Johnson&Johnson,0
Netherlands,2021-03-05,Johnson&Johnson,0
Netherlands,2021-03-12,Johnson&Johnson,0
Netherlands,2021-03-19,Johnson&Johnson,0
Netherlands,2021-03-26,Johnson&Johnson,0
Netherlands,2021-04-02,Johnson&Johnson,0
Netherlands,2021-04-09,Johnson&Johnson,0
Netherlands,2021-04-16,Johnson&Johnson,0
Netherlands,2021-04-23,Johnson&Johnson,9217
Netherlands,2021-04-30,Johnson&Johnson,42450
Netherlands,2021-05-07,Johnson&Johnson,58681
Netherlands,2021-05-14,Johnson&Johnson,77863
Netherlands,2021-05-21,Johnson&Johnson,97245
Netherlands,2021-05-28,Johnson&Johnson,192964
Netherlands,2021-06-04,Johnson&Johnson,342824
Netherlands,2021-06-11,Johnson&Johnson,389601
Netherlands,2021-06-18,Johnson&Johnson,395259
Netherlands,2021-06-25,Johnson&Johnson,464545
Netherlands,2021-07-02,Johnson&Johnson,591278
Netherlands,2021-07-09,Johnson&Johnson,656888
Netherlands,2021-07-16,Johnson&Johnson,669606
Netherlands,2021-07-23,Johnson&Johnson,677381
Netherlands,2021-07-30,Johnson&Johnson,683371
Netherlands,2021-08-06,Johnson&Johnson,687633
Netherlands,2021-08-13,Johnson&Johnson,691517
Netherlands,2021-08-20,Johnson&Johnson,694705
Netherlands,2021-08-27,Johnson&Johnson,697596
Netherlands,2021-09-03,Johnson&Johnson,700466
Netherlands,2021-09-10,Johnson&Johnson,703301
Netherlands,2021-09-17,Johnson&Johnson,709607
Netherlands,2021-09-24,Johnson&Johnson,715366
Netherlands,2021-10-01,Johnson&Johnson,720827
Netherlands,2021-10-08,Johnson&Johnson,724699
Netherlands,2021-10-15,Johnson&Johnson,727926
Netherlands,2021-10-22,Johnson&Johnson,730699
Netherlands,2021-10-29,Johnson&Johnson,734757
Netherlands,2021-11-05,Johnson&Johnson,742430
Netherlands,2021-11-12,Johnson&Johnson,746537
Netherlands,2021-11-19,Johnson&Johnson,749016
Netherlands,2021-11-26,Johnson&Johnson,750731
Netherlands,2021-12-03,Johnson&Johnson,751703
Netherlands,2021-12-10,Johnson&Johnson,752437
Netherlands,2021-12-17,Johnson&Johnson,752933
Netherlands,2021-12-24,Johnson&Johnson,753070
Netherlands,2021-12-31,Johnson&Johnson,753252
Netherlands,2022-01-07,Johnson&Johnson,753435
Netherlands,2022-01-14,Johnson&Johnson,753644
Netherlands,2022-01-21,Johnson&Johnson,753758
Netherlands,2022-01-28,Johnson&Johnson,753880
Netherlands,2022-02-04,Johnson&Johnson,753964
Netherlands,2022-02-11,Johnson&Johnson,754041
Netherlands,2022-02-18,Johnson&Johnson,754061
Netherlands,2022-02-25,Johnson&Johnson,754096
Netherlands,2022-03-04,Johnson&Johnson,754148
Netherlands,2022-03-11,Johnson&Johnson,754199
