location,date,vaccine,total_vaccinations
Norway,2021-03-05,Johnson&Johnson,34
Norway,2021-03-12,Johnson&Johnson,86
Norway,2021-03-19,Johnson&Johnson,153
Norway,2021-03-26,Johnson&Johnson,201
Norway,2021-04-02,Johnson&Johnson,294
Norway,2021-04-09,Johnson&Johnson,539
Norway,2021-04-16,Johnson&Johnson,564
Norway,2021-04-23,Johnson&Johnson,575
Norway,2021-04-30,Johnson&Johnson,650
Norway,2021-05-07,Johnson&Johnson,746
Norway,2021-05-14,Johnson&Johnson,912
Norway,2021-05-21,Johnson&Johnson,1113
Norway,2021-05-28,Johnson&Johnson,1296
Norway,2021-06-04,Johnson&Johnson,1586
Norway,2021-06-11,Johnson&Johnson,1850
Norway,2021-06-18,Johnson&Johnson,2328
Norway,2021-06-25,Johnson&Johnson,3122
Norway,2021-07-02,Johnson&Johnson,3872
Norway,2021-07-09,Johnson&Johnson,4457
Norway,2021-07-16,Johnson&Johnson,4957
Norway,2021-07-23,Johnson&Johnson,5368
Norway,2021-07-30,Johnson&Johnson,5630
Norway,2021-08-06,Johnson&Johnson,5880
Norway,2021-08-13,Johnson&Johnson,6071
Norway,2021-08-20,Johnson&Johnson,6229
Norway,2021-08-27,Johnson&Johnson,6357
Norway,2021-09-03,Johnson&Johnson,6433
Norway,2021-09-10,Johnson&Johnson,6501
Norway,2021-09-17,Johnson&Johnson,6562
Norway,2021-09-24,Johnson&Johnson,6640
Norway,2021-10-01,Johnson&Johnson,6663
Norway,2021-10-08,Johnson&Johnson,6726
Norway,2021-10-15,Johnson&Johnson,6754
Norway,2021-10-22,Johnson&Johnson,6811
Norway,2021-10-29,Johnson&Johnson,6849
Norway,2021-11-05,Johnson&Johnson,6898
Norway,2021-11-12,Johnson&Johnson,6934
Norway,2021-11-19,Johnson&Johnson,6982
Norway,2021-11-26,Johnson&Johnson,7017
Norway,2021-12-03,Johnson&Johnson,7061
Norway,2021-12-10,Johnson&Johnson,7085
Norway,2021-12-17,Johnson&Johnson,7123
Norway,2021-12-24,Johnson&Johnson,7152
Norway,2021-12-31,Johnson&Johnson,7178
Norway,2022-01-07,Johnson&Johnson,7209
Norway,2022-01-14,Johnson&Johnson,7230
Norway,2022-01-21,Johnson&Johnson,7245
Norway,2022-01-28,Johnson&Johnson,7266
Norway,2022-02-04,Johnson&Johnson,7277
Norway,2022-02-11,Johnson&Johnson,7287
Norway,2022-02-18,Johnson&Johnson,7302
Norway,2022-02-25,Johnson&Johnson,7308
Norway,2022-03-04,Johnson&Johnson,7313
Norway,2022-03-11,Johnson&Johnson,7316
Norway,2022-03-18,Johnson&Johnson,7323
Norway,2022-03-25,Johnson&Johnson,7324
Norway,2022-04-01,Johnson&Johnson,7330
Norway,2022-04-08,Johnson&Johnson,7337
Norway,2022-04-15,Johnson&Johnson,7340
Norway,2022-04-22,Johnson&Johnson,7343
Norway,2022-04-29,Johnson&Johnson,7347
Norway,2022-05-06,Johnson&Johnson,7349
Norway,2022-05-13,Johnson&Johnson,7352
Norway,2022-05-27,Johnson&Johnson,7353
Norway,2022-06-03,Johnson&Johnson,7354
Norway,2022-06-17,Johnson&Johnson,7355
Norway,2022-06-24,Johnson&Johnson,7356
Norway,2022-07-01,Johnson&Johnson,7357
Norway,2022-07-15,Johnson&Johnson,7359
Norway,2022-07-22,Johnson&Johnson,7360
Norway,2022-08-05,Johnson&Johnson,7362
Norway,2022-08-19,Johnson&Johnson,7363
Norway,2022-09-16,Johnson&Johnson,7364
Norway,2022-09-23,Johnson&Johnson,7369
Norway,2022-09-30,Johnson&Johnson,7370
Norway,2022-10-07,Johnson&Johnson,7371
Norway,2022-10-21,Johnson&Johnson,7372
Norway,2022-11-04,Johnson&Johnson,7373
Norway,2022-11-25,Johnson&Johnson,7374
Norway,2021-01-08,Moderna,48
Norway,2021-01-15,Moderna,164
Norway,2021-01-22,Moderna,1947
Norway,2021-01-29,Moderna,2373
Norway,2021-02-05,Moderna,2557
Norway,2021-02-12,Moderna,12741
Norway,2021-02-19,Moderna,15094
Norway,2021-02-26,Moderna,15588
Norway,2021-03-05,Moderna,21770
Norway,2021-03-12,Moderna,35998
Norway,2021-03-19,Moderna,42046
Norway,2021-03-26,Moderna,60077
Norway,2021-04-02,Moderna,80424
Norway,2021-04-09,Moderna,99247
Norway,2021-04-16,Moderna,139877
Norway,2021-04-23,Moderna,156446
Norway,2021-04-30,Moderna,167045
Norway,2021-05-07,Moderna,182622
Norway,2021-05-14,Moderna,215128
Norway,2021-05-21,Moderna,236826
Norway,2021-05-28,Moderna,280248
Norway,2021-06-04,Moderna,328949
Norway,2021-06-11,Moderna,378301
Norway,2021-06-18,Moderna,413574
Norway,2021-06-25,Moderna,454840
Norway,2021-07-02,Moderna,494700
Norway,2021-07-09,Moderna,530978
Norway,2021-07-16,Moderna,551508
Norway,2021-07-23,Moderna,591091
Norway,2021-07-30,Moderna,630726
Norway,2021-08-06,Moderna,694797
Norway,2021-08-13,Moderna,784891
Norway,2021-08-20,Moderna,859062
Norway,2021-08-27,Moderna,1050282
Norway,2021-09-03,Moderna,1268267
Norway,2021-09-10,Moderna,1401591
Norway,2021-09-17,Moderna,1467423
Norway,2021-09-24,Moderna,1509946
Norway,2021-10-01,Moderna,1541062
Norway,2021-10-08,Moderna,1554301
Norway,2021-10-15,Moderna,1561081
Norway,2021-10-22,Moderna,1565973
Norway,2021-10-29,Moderna,1570634
Norway,2021-11-05,Moderna,1573831
Norway,2021-11-12,Moderna,1582536
Norway,2021-11-19,Moderna,1599320
Norway,2021-11-26,Moderna,1623734
Norway,2021-12-03,Moderna,1650835
Norway,2021-12-10,Moderna,1680862
Norway,2021-12-17,Moderna,1733454
Norway,2021-12-24,Moderna,1790014
Norway,2021-12-31,Moderna,1835288
Norway,2022-01-07,Moderna,1970053
Norway,2022-01-14,Moderna,2097622
Norway,2022-01-21,Moderna,2173374
Norway,2022-01-28,Moderna,2218587
Norway,2022-02-04,Moderna,2242879
Norway,2022-02-11,Moderna,2256077
Norway,2022-02-18,Moderna,2263317
Norway,2022-02-25,Moderna,2267255
Norway,2022-03-04,Moderna,2269618
Norway,2022-03-11,Moderna,2271684
Norway,2022-03-18,Moderna,2273223
Norway,2022-03-25,Moderna,2274684
Norway,2022-04-01,Moderna,2275974
Norway,2022-04-08,Moderna,2277027
Norway,2022-04-15,Moderna,2277287
Norway,2022-04-22,Moderna,2278175
Norway,2022-04-29,Moderna,2279273
Norway,2022-05-06,Moderna,2280303
Norway,2022-05-13,Moderna,2281608
Norway,2022-05-20,Moderna,2282731
Norway,2022-05-27,Moderna,2284062
Norway,2022-06-03,Moderna,2285288
Norway,2022-06-10,Moderna,2286098
Norway,2022-06-17,Moderna,2287211
Norway,2022-06-24,Moderna,2288602
Norway,2022-07-01,Moderna,2289736
Norway,2022-07-08,Moderna,2294828
Norway,2022-07-15,Moderna,2301169
Norway,2022-07-22,Moderna,2303525
Norway,2022-07-29,Moderna,2305739
Norway,2022-08-05,Moderna,2309280
Norway,2022-08-12,Moderna,2313412
Norway,2022-08-19,Moderna,2320311
Norway,2022-08-26,Moderna,2328283
Norway,2022-09-02,Moderna,2337737
Norway,2022-09-09,Moderna,2345363
Norway,2022-09-16,Moderna,2348784
Norway,2022-09-23,Moderna,2350386
Norway,2022-09-30,Moderna,2353119
Norway,2022-10-07,Moderna,2356361
Norway,2022-10-14,Moderna,2359598
Norway,2022-10-21,Moderna,2362216
Norway,2022-10-28,Moderna,2364233
Norway,2022-11-04,Moderna,2365936
Norway,2022-11-11,Moderna,2367636
Norway,2022-11-18,Moderna,2369057
Norway,2022-11-25,Moderna,2371062
Norway,2021-01-08,Oxford/AstraZeneca,4
Norway,2021-01-15,Oxford/AstraZeneca,18
Norway,2021-01-22,Oxford/AstraZeneca,50
Norway,2021-01-29,Oxford/AstraZeneca,93
Norway,2021-02-05,Oxford/AstraZeneca,203
Norway,2021-02-12,Oxford/AstraZeneca,328
Norway,2021-02-19,Oxford/AstraZeneca,20130
Norway,2021-02-26,Oxford/AstraZeneca,55973
Norway,2021-03-05,Oxford/AstraZeneca,105169
