location,date,vaccine,total_vaccinations
Peru,2022-03-26,Moderna,2
Peru,2022-03-27,Moderna,6
Peru,2022-03-28,Moderna,11
Peru,2022-03-29,Moderna,12
Peru,2022-03-30,Moderna,21
Peru,2022-03-31,Moderna,29
Peru,2022-04-01,Moderna,41
Peru,2022-04-02,Moderna,284
Peru,2022-04-03,Moderna,1207
Peru,2022-04-04,Moderna,2032
Peru,2022-04-05,Moderna,2210
Peru,2022-04-06,Moderna,4317
Peru,2022-04-07,Moderna,7892
Peru,2022-04-08,Moderna,11538
Peru,2022-04-09,Moderna,16292
Peru,2022-04-10,Moderna,18463
Peru,2022-04-11,Moderna,27592
Peru,2022-04-12,Moderna,36999
Peru,2022-04-13,Moderna,49665
Peru,2022-04-14,Moderna,51800
Peru,2022-04-15,Moderna,53281
Peru,2022-04-16,Moderna,58109
Peru,2022-04-17,Moderna,60418
Peru,2022-04-18,Moderna,72628
Peru,2022-04-19,Moderna,85236
Peru,2022-04-20,Moderna,98718
Peru,2022-04-21,Moderna,112122
Peru,2022-04-22,Moderna,125586
Peru,2022-04-23,Moderna,134096
Peru,2022-04-24,Moderna,138873
Peru,2022-04-25,Moderna,146803
Peru,2022-04-26,Moderna,156358
Peru,2022-04-27,Moderna,167251
Peru,2022-04-28,Moderna,178439
Peru,2022-04-29,Moderna,190991
Peru,2022-04-30,Moderna,204063
Peru,2022-05-01,Moderna,208169
Peru,2022-05-02,Moderna,218223
Peru,2022-05-03,Moderna,230138
Peru,2022-05-04,Moderna,242396
Peru,2022-05-05,Moderna,255257
Peru,2022-05-06,Moderna,273225
Peru,2022-05-07,Moderna,290585
Peru,2022-05-08,Moderna,293776
Peru,2022-05-09,Moderna,318003
Peru,2022-05-10,Moderna,347957
Peru,2022-05-11,Moderna,376148
Peru,2022-05-12,Moderna,401758
Peru,2022-05-13,Moderna,426632
Peru,2022-05-14,Moderna,453755
Peru,2022-05-15,Moderna,470098
Peru,2022-05-16,Moderna,493351
Peru,2022-05-17,Moderna,519126
Peru,2022-05-18,Moderna,546324
Peru,2022-05-19,Moderna,571906
Peru,2022-05-20,Moderna,598145
Peru,2022-05-21,Moderna,631207
Peru,2022-05-22,Moderna,653958
Peru,2022-05-23,Moderna,683964
Peru,2022-05-24,Moderna,715050
Peru,2022-05-25,Moderna,745572
Peru,2022-05-26,Moderna,773102
Peru,2022-05-27,Moderna,802787
Peru,2022-05-28,Moderna,839057
Peru,2022-05-29,Moderna,866811
Peru,2022-05-30,Moderna,895780
Peru,2022-05-31,Moderna,921946
Peru,2022-06-01,Moderna,945737
Peru,2022-06-02,Moderna,972798
Peru,2022-06-03,Moderna,1002131
Peru,2022-06-04,Moderna,1037330
Peru,2022-06-05,Moderna,1061447
Peru,2022-06-06,Moderna,1090422
Peru,2022-06-07,Moderna,1122066
Peru,2022-06-08,Moderna,1154451
Peru,2022-06-09,Moderna,1187404
Peru,2022-06-10,Moderna,1220545
Peru,2022-06-11,Moderna,1258054
Peru,2022-06-12,Moderna,1286399
Peru,2022-06-13,Moderna,1305291
Peru,2022-06-14,Moderna,1336809
Peru,2022-06-15,Moderna,1370815
Peru,2022-06-16,Moderna,1411732
Peru,2022-06-17,Moderna,1451814
Peru,2022-06-18,Moderna,1492156
Peru,2022-06-19,Moderna,1506903
Peru,2022-06-20,Moderna,1545740
Peru,2022-06-21,Moderna,1591125
Peru,2022-06-22,Moderna,1639715
Peru,2022-06-23,Moderna,1684983
Peru,2022-06-24,Moderna,1729132
