location,date,vaccine,total_vaccinations
Poland,2021-01-01,Johnson&Johnson,0
Poland,2021-02-05,Johnson&Johnson,1
Poland,2021-03-05,Johnson&Johnson,2
Poland,2021-03-12,Johnson&Johnson,6
Poland,2021-03-19,Johnson&Johnson,18
Poland,2021-03-26,Johnson&Johnson,19
Poland,2021-04-02,Johnson&Johnson,55
Poland,2021-04-09,Johnson&Johnson,83
Poland,2021-04-16,Johnson&Johnson,23375
Poland,2021-04-23,Johnson&Johnson,76727
Poland,2021-04-30,Johnson&Johnson,125620
Poland,2021-05-07,Johnson&Johnson,170415
Poland,2021-05-14,Johnson&Johnson,275573
Poland,2021-05-21,Johnson&Johnson,407945
Poland,2021-05-28,Johnson&Johnson,596172
Poland,2021-06-04,Johnson&Johnson,703827
Poland,2021-06-11,Johnson&Johnson,785111
Poland,2021-06-18,Johnson&Johnson,853545
Poland,2021-06-25,Johnson&Johnson,918735
Poland,2021-07-02,Johnson&Johnson,993549
Poland,2021-07-09,Johnson&Johnson,1077537
Poland,2021-07-16,Johnson&Johnson,1173081
Poland,2021-07-23,Johnson&Johnson,1273067
Poland,2021-07-30,Johnson&Johnson,1382842
Poland,2021-08-06,Johnson&Johnson,1482708
Poland,2021-08-13,Johnson&Johnson,1581612
Poland,2021-08-20,Johnson&Johnson,1665917
Poland,2021-08-27,Johnson&Johnson,1749055
Poland,2021-09-03,Johnson&Johnson,1813101
Poland,2021-09-10,Johnson&Johnson,1865581
Poland,2021-09-17,Johnson&Johnson,1912925
Poland,2021-09-24,Johnson&Johnson,1962328
Poland,2021-10-01,Johnson&Johnson,2001237
Poland,2021-10-08,Johnson&Johnson,2035361
Poland,2021-10-15,Johnson&Johnson,2068490
Poland,2021-10-22,Johnson&Johnson,2105731
Poland,2021-10-29,Johnson&Johnson,2149422
Poland,2021-11-05,Johnson&Johnson,2189414
Poland,2021-11-12,Johnson&Johnson,2229971
Poland,2021-11-19,Johnson&Johnson,2279931
Poland,2021-11-26,Johnson&Johnson,2345637
Poland,2021-12-03,Johnson&Johnson,2404173
Poland,2021-12-10,Johnson&Johnson,2452962
Poland,2021-12-17,Johnson&Johnson,2488630
Poland,2021-12-24,Johnson&Johnson,2508874
Poland,2021-12-31,Johnson&Johnson,2527950
Poland,2022-01-07,Johnson&Johnson,2554922
Poland,2022-01-14,Johnson&Johnson,2584417
Poland,2022-01-21,Johnson&Johnson,2609671
Poland,2022-01-28,Johnson&Johnson,2628907
Poland,2022-02-04,Johnson&Johnson,2642139
Poland,2022-02-11,Johnson&Johnson,2652270
Poland,2022-02-18,Johnson&Johnson,2659992
Poland,2022-02-25,Johnson&Johnson,2667692
Poland,2022-03-04,Johnson&Johnson,2672938
Poland,2022-03-11,Johnson&Johnson,2677698
Poland,2022-03-18,Johnson&Johnson,2681931
Poland,2022-03-25,Johnson&Johnson,2685588
Poland,2022-04-01,Johnson&Johnson,2688403
Poland,2022-04-08,Johnson&Johnson,2691045
Poland,2022-04-15,Johnson&Johnson,2693239
Poland,2022-04-22,Johnson&Johnson,2695516
Poland,2022-04-29,Johnson&Johnson,2697798
Poland,2022-05-06,Johnson&Johnson,2699466
Poland,2022-05-13,Johnson&Johnson,2701397
Poland,2022-05-20,Johnson&Johnson,2703271
Poland,2022-05-27,Johnson&Johnson,2704992
