location,date,vaccine,total_vaccinations
Slovakia,2021-04-16,Johnson&Johnson,0
Slovakia,2021-06-18,Johnson&Johnson,121
Slovakia,2021-06-25,Johnson&Johnson,233
Slovakia,2021-07-02,Johnson&Johnson,5326
Slovakia,2021-07-09,Johnson&Johnson,13851
Slovakia,2021-07-16,Johnson&Johnson,23011
Slovakia,2021-07-23,Johnson&Johnson,29148
Slovakia,2021-07-30,Johnson&Johnson,34573
Slovakia,2021-08-06,Johnson&Johnson,42389
Slovakia,2021-08-13,Johnson&Johnson,50269
Slovakia,2021-08-20,Johnson&Johnson,59214
Slovakia,2021-08-27,Johnson&Johnson,65187
Slovakia,2021-09-03,Johnson&Johnson,69776
Slovakia,2021-09-10,Johnson&Johnson,72752
Slovakia,2021-09-17,Johnson&Johnson,77147
Slovakia,2021-09-24,Johnson&Johnson,81879
Slovakia,2021-10-01,Johnson&Johnson,86880
Slovakia,2021-10-08,Johnson&Johnson,90703
Slovakia,2021-10-15,Johnson&Johnson,93523
Slovakia,2021-10-22,Johnson&Johnson,96751
Slovakia,2021-10-29,Johnson&Johnson,100449
Slovakia,2021-11-05,Johnson&Johnson,105450
Slovakia,2021-11-12,Johnson&Johnson,116821
Slovakia,2021-11-19,Johnson&Johnson,132274
Slovakia,2021-11-26,Johnson&Johnson,150481
Slovakia,2021-12-03,Johnson&Johnson,157770
Slovakia,2021-12-10,Johnson&Johnson,162015
Slovakia,2021-12-17,Johnson&Johnson,164806
Slovakia,2021-12-24,Johnson&Johnson,166043
Slovakia,2021-12-31,Johnson&Johnson,166970
Slovakia,2022-01-07,Johnson&Johnson,169654
Slovakia,2022-01-14,Johnson&Johnson,174171
Slovakia,2022-01-21,Johnson&Johnson,177646
Slovakia,2022-01-28,Johnson&Johnson,179905
Slovakia,2022-02-04,Johnson&Johnson,181793
Slovakia,2022-02-11,Johnson&Johnson,182819
Slovakia,2022-02-18,Johnson&Johnson,183316
Slovakia,2022-02-25,Johnson&Johnson,183644
Slovakia,2022-03-04,Johnson&Johnson,183835
Slovakia,2022-03-11,Johnson&Johnson,184065
Slovakia,2022-03-18,Johnson&Johnson,184220
Slovakia,2022-03-25,Johnson&Johnson,184333
Slovakia,2022-04-01,Johnson&Johnson,184448
Slovakia,2022-04-08,Johnson&Johnson,184522
Slovakia,2022-04-15,Johnson&Johnson,184598
Slovakia,2022-04-22,Johnson&Johnson,184668
Slovakia,2022-04-29,Johnson&Johnson,184713
Slovakia,2022-05-06,Johnson&Johnson,184789
Slovakia,2022-05-13,Johnson&Johnson,184832
Slovakia,2022-05-20,Johnson&Johnson,184861
Slovakia,2022-05-27,Johnson&Johnson,184934
Slovakia,2022-06-03,Johnson&Johnson,184953
Slovakia,2022-06-10,Johnson&Johnson,184987
Slovakia,2022-06-17,Johnson&Johnson,185014
Slovakia,2022-06-24,Johnson&Johnson,185047
Slovakia,2022-07-01,Johnson&Johnson,185062
Slovakia,2022-07-08,Johnson&Johnson,185081
Slovakia,2022-07-12,Johnson&Johnson,185083
Slovakia,2021-01-15,Moderna,0
Slovakia,2021-01-29,Moderna,72
Slovakia,2021-02-05,Moderna,1662
Slovakia,2021-02-12,Moderna,6487
Slovakia,2021-02-19,Moderna,18210
Slovakia,2021-02-26,Moderna,22480
Slovakia,2021-03-05,Moderna,24580
Slovakia,2021-03-12,Moderna,29511
Slovakia,2021-03-19,Moderna,41391
Slovakia,2021-03-26,Moderna,55932
Slovakia,2021-04-02,Moderna,67014
Slovakia,2021-04-09,Moderna,79268
Slovakia,2021-04-16,Moderna,98168
Slovakia,2021-04-23,Moderna,119924
Slovakia,2021-04-30,Moderna,141972
Slovakia,2021-05-07,Moderna,169692
Slovakia,2021-05-14,Moderna,199745
Slovakia,2021-05-21,Moderna,232437
Slovakia,2021-05-28,Moderna,260605
Slovakia,2021-06-04,Moderna,288464
Slovakia,2021-06-11,Moderna,314869
Slovakia,2021-06-18,Moderna,341403
Slovakia,2021-06-25,Moderna,364646
Slovakia,2021-07-02,Moderna,386105
Slovakia,2021-07-09,Moderna,403014
Slovakia,2021-07-16,Moderna,419449
Slovakia,2021-07-23,Moderna,431839
Slovakia,2021-07-30,Moderna,444093
Slovakia,2021-08-06,Moderna,453084
Slovakia,2021-08-13,Moderna,459589
Slovakia,2021-08-20,Moderna,465510
Slovakia,2021-08-27,Moderna,469859
Slovakia,2021-09-03,Moderna,473422
Slovakia,2021-09-10,Moderna,476223
Slovakia,2021-09-17,Moderna,478862
Slovakia,2021-09-24,Moderna,481286
Slovakia,2021-10-01,Moderna,482872
Slovakia,2021-10-08,Moderna,484240
Slovakia,2021-10-15,Moderna,485634
Slovakia,2021-10-22,Moderna,487506
Slovakia,2021-10-29,Moderna,491449
Slovakia,2021-11-05,Moderna,498980
Slovakia,2021-11-12,Moderna,508683
Slovakia,2021-11-19,Moderna,519346
Slovakia,2021-11-26,Moderna,530695
Slovakia,2021-12-03,Moderna,544592
Slovakia,2021-12-10,Moderna,562812
Slovakia,2021-12-17,Moderna,587869
Slovakia,2021-12-24,Moderna,599727
Slovakia,2021-12-31,Moderna,609629
Slovakia,2022-01-07,Moderna,628318
Slovakia,2022-01-14,Moderna,641736
Slovakia,2022-01-21,Moderna,653440
Slovakia,2022-01-28,Moderna,662993
Slovakia,2022-02-04,Moderna,667039
Slovakia,2022-02-11,Moderna,669169
Slovakia,2022-02-18,Moderna,670127
Slovakia,2022-02-25,Moderna,670987
Slovakia,2022-03-04,Moderna,671431
Slovakia,2022-03-11,Moderna,671855
Slovakia,2022-03-18,Moderna,672194
Slovakia,2022-03-25,Moderna,672481
Slovakia,2022-04-01,Moderna,672766
Slovakia,2022-04-08,Moderna,673047
Slovakia,2022-04-15,Moderna,673200
Slovakia,2022-04-22,Moderna,673325
Slovakia,2022-04-29,Moderna,673436
Slovakia,2022-05-06,Moderna,673535
Slovakia,2022-05-13,Moderna,673626
Slovakia,2022-05-20,Moderna,673688
Slovakia,2022-05-27,Moderna,673764
Slovakia,2022-06-03,Moderna,673806
Slovakia,2022-06-10,Moderna,673841
Slovakia,2022-06-17,Moderna,673873
Slovakia,2022-06-24,Moderna,673913
Slovakia,2022-06-28,Moderna,673918
Slovakia,2022-07-01,Moderna,673949
Slovakia,2022-07-08,Moderna,673999
Slovakia,2022-07-12,Moderna,674011
Slovakia,2022-03-04,Novavax,0
Slovakia,2022-03-11,Novavax,65
Slovakia,2022-03-18,Novavax,305
Slovakia,2022-03-25,Novavax,451
Slovakia,2022-04-01,Novavax,613
Slovakia,2022-04-08,Novavax,886
Slovakia,2022-04-15,Novavax,966
Slovakia,2022-04-22,Novavax,1147
Slovakia,2022-04-29,Novavax,1252
Slovakia,2022-05-06,Novavax,1325
Slovakia,2022-05-13,Novavax,1378
Slovakia,2022-05-20,Novavax,1406
Slovakia,2022-05-27,Novavax,1449
Slovakia,2022-06-03,Novavax,1479
Slovakia,2022-06-10,Novavax,1518
Slovakia,2022-06-17,Novavax,1543
Slovakia,2022-06-24,Novavax,1565
Slovakia,2022-07-01,Novavax,1586
Slovakia,2022-07-08,Novavax,1614
Slovakia,2022-07-12,Novavax,1618
Slovakia,2021-02-05,Oxford/AstraZeneca,0
Slovakia,2021-02-12,Oxford/AstraZeneca,12813
Slovakia,2021-02-19,Oxford/AstraZeneca,27160
Slovakia,2021-02-26,Oxford/AstraZeneca,48003
Slovakia,2021-03-05,Oxford/AstraZeneca,89784
Slovakia,2021-03-12,Oxford/AstraZeneca,132754
Slovakia,2021-03-19,Oxford/AstraZeneca,179504
Slovakia,2021-03-26,Oxford/AstraZeneca,217065
Slovakia,2021-04-02,Oxford/AstraZeneca,245535
Slovakia,2021-04-09,Oxford/AstraZeneca,296051
Slovakia,2021-04-16,Oxford/AstraZeneca,348167
Slovakia,2021-04-23,Oxford/AstraZeneca,392905
Slovakia,2021-04-30,Oxford/AstraZeneca,428044
Slovakia,2021-05-07,Oxford/AstraZeneca,462626
Slovakia,2021-05-14,Oxford/AstraZeneca,502370
Slovakia,2021-05-21,Oxford/AstraZeneca,548909
Slovakia,2021-05-28,Oxford/AstraZeneca,589429
Slovakia,2021-06-04,Oxford/AstraZeneca,630198
Slovakia,2021-06-11,Oxford/AstraZeneca,661519
Slovakia,2021-06-18,Oxford/AstraZeneca,707539
Slovakia,2021-06-25,Oxford/AstraZeneca,755669
Slovakia,2021-07-02,Oxford/AstraZeneca,789398
Slovakia,2021-07-09,Oxford/AstraZeneca,818509
Slovakia,2021-07-16,Oxford/AstraZeneca,834060
Slovakia,2021-07-23,Oxford/AstraZeneca,839779
Slovakia,2021-07-30,Oxford/AstraZeneca,841371
Slovakia,2021-08-06,Oxford/AstraZeneca,841904
Slovakia,2021-08-13,Oxford/AstraZeneca,842314
Slovakia,2021-08-20,Oxford/AstraZeneca,842383
Slovakia,2021-08-27,Oxford/AstraZeneca,842502
Slovakia,2021-09-03,Oxford/AstraZeneca,842575
Slovakia,2021-09-17,Oxford/AstraZeneca,842596
Slovakia,2021-09-24,Oxford/AstraZeneca,842630
Slovakia,2021-10-01,Oxford/AstraZeneca,842727
Slovakia,2021-10-08,Oxford/AstraZeneca,842745
Slovakia,2021-10-15,Oxford/AstraZeneca,842747
Slovakia,2021-10-22,Oxford/AstraZeneca,842751
Slovakia,2022-01-21,Oxford/AstraZeneca,842752
Slovakia,2022-03-04,Oxford/AstraZeneca,842753
Slovakia,2022-03-11,Oxford/AstraZeneca,842754
Slovakia,2022-04-08,Oxford/AstraZeneca,842755
Slovakia,2022-04-22,Oxford/AstraZeneca,842756
Slovakia,2021-01-01,Pfizer/BioNTech,0
Slovakia,2021-01-08,Pfizer/BioNTech,30160
Slovakia,2021-01-15,Pfizer/BioNTech,63483
Slovakia,2021-01-22,Pfizer/BioNTech,101445
Slovakia,2021-01-29,Pfizer/BioNTech,148518
Slovakia,2021-02-05,Pfizer/BioNTech,215558
Slovakia,2021-02-12,Pfizer/BioNTech,280013
Slovakia,2021-02-19,Pfizer/BioNTech,326330
Slovakia,2021-02-26,Pfizer/BioNTech,377969
Slovakia,2021-03-05,Pfizer/BioNTech,431829
Slovakia,2021-03-12,Pfizer/BioNTech,489873
Slovakia,2021-03-19,Pfizer/BioNTech,563522
Slovakia,2021-03-26,Pfizer/BioNTech,642679
Slovakia,2021-04-02,Pfizer/BioNTech,708719
Slovakia,2021-04-09,Pfizer/BioNTech,781434
Slovakia,2021-04-16,Pfizer/BioNTech,865395
Slovakia,2021-04-23,Pfizer/BioNTech,950608
Slovakia,2021-04-30,Pfizer/BioNTech,1062177
Slovakia,2021-05-07,Pfizer/BioNTech,1199272
Slovakia,2021-05-14,Pfizer/BioNTech,1364419
Slovakia,2021-05-21,Pfizer/BioNTech,1534441
Slovakia,2021-05-28,Pfizer/BioNTech,1715753
Slovakia,2021-06-04,Pfizer/BioNTech,1889260
Slovakia,2021-06-11,Pfizer/BioNTech,2068707
Slovakia,2021-06-18,Pfizer/BioNTech,2240159
Slovakia,2021-06-25,Pfizer/BioNTech,2402314
Slovakia,2021-07-02,Pfizer/BioNTech,2549036
Slovakia,2021-07-09,Pfizer/BioNTech,2659668
Slovakia,2021-07-16,Pfizer/BioNTech,2747669
Slovakia,2021-07-23,Pfizer/BioNTech,2807738
Slovakia,2021-07-30,Pfizer/BioNTech,2870954
Slovakia,2021-08-06,Pfizer/BioNTech,2936067
Slovakia,2021-08-13,Pfizer/BioNTech,2991102
Slovakia,2021-08-20,Pfizer/BioNTech,3032072
Slovakia,2021-08-27,Pfizer/BioNTech,3067445
Slovakia,2021-09-03,Pfizer/BioNTech,3095551
Slovakia,2021-09-10,Pfizer/BioNTech,3123398
Slovakia,2021-09-17,Pfizer/BioNTech,3147920
Slovakia,2021-09-24,Pfizer/BioNTech,3173793
Slovakia,2021-10-01,Pfizer/BioNTech,3193874
Slovakia,2021-10-08,Pfizer/BioNTech,3211731
Slovakia,2021-10-15,Pfizer/BioNTech,3228534
Slovakia,2021-10-22,Pfizer/BioNTech,3264010
Slovakia,2021-10-29,Pfizer/BioNTech,3316957
Slovakia,2021-11-05,Pfizer/BioNTech,3397495
Slovakia,2021-11-12,Pfizer/BioNTech,3509063
Slovakia,2021-11-19,Pfizer/BioNTech,3625412
Slovakia,2021-11-26,Pfizer/BioNTech,3761881
Slovakia,2021-12-03,Pfizer/BioNTech,3890736
Slovakia,2021-12-10,Pfizer/BioNTech,4050498
Slovakia,2021-12-17,Pfizer/BioNTech,4257587
Slovakia,2021-12-24,Pfizer/BioNTech,4377193
Slovakia,2021-12-31,Pfizer/BioNTech,4511725
Slovakia,2022-01-07,Pfizer/BioNTech,4667573
Slovakia,2022-01-14,Pfizer/BioNTech,4813701
Slovakia,2022-01-21,Pfizer/BioNTech,4922207
Slovakia,2022-01-28,Pfizer/BioNTech,4997893
Slovakia,2022-02-04,Pfizer/BioNTech,5035692
Slovakia,2022-02-11,Pfizer/BioNTech,5059439
Slovakia,2022-02-18,Pfizer/BioNTech,5074305
Slovakia,2022-02-25,Pfizer/BioNTech,5084063
Slovakia,2022-03-04,Pfizer/BioNTech,5089572
Slovakia,2022-03-11,Pfizer/BioNTech,5094194
Slovakia,2022-03-18,Pfizer/BioNTech,5098297
Slovakia,2022-03-25,Pfizer/BioNTech,5102075
Slovakia,2022-04-01,Pfizer/BioNTech,5105374
Slovakia,2022-04-08,Pfizer/BioNTech,5107952
Slovakia,2022-04-15,Pfizer/BioNTech,5109606
Slovakia,2022-04-22,Pfizer/BioNTech,5111134
Slovakia,2022-04-29,Pfizer/BioNTech,5112596
Slovakia,2022-05-06,Pfizer/BioNTech,5113904
Slovakia,2022-05-13,Pfizer/BioNTech,5115039
Slovakia,2022-05-20,Pfizer/BioNTech,5115991
Slovakia,2022-05-27,Pfizer/BioNTech,5116876
Slovakia,2022-06-03,Pfizer/BioNTech,5117557
Slovakia,2022-06-10,Pfizer/BioNTech,5118129
Slovakia,2022-06-17,Pfizer/BioNTech,5118659
Slovakia,2022-06-24,Pfizer/BioNTech,5119297
Slovakia,2022-06-28,Pfizer/BioNTech,5117316
Slovakia,2022-07-01,Pfizer/BioNTech,5119916
Slovakia,2022-07-08,Pfizer/BioNTech,5120329
Slovakia,2022-07-12,Pfizer/BioNTech,5120447
Slovakia,2021-03-05,Sputnik V,0
Slovakia,2021-06-11,Sputnik V,4130
Slovakia,2021-06-18,Sputnik V,7877
Slovakia,2021-06-25,Sputnik V,11528
Slovakia,2021-07-02,Sputnik V,17556
Slovakia,2021-07-09,Sputnik V,23814
Slovakia,2021-07-16,Sputnik V,27964
Slovakia,2021-07-23,Sputnik V,30667
Slovakia,2021-07-30,Sputnik V,34423
Slovakia,2021-08-06,Sputnik V,35389
Slovakia,2021-08-13,Sputnik V,36479
Slovakia,2021-08-20,Sputnik V,37579
Slovakia,2021-08-27,Sputnik V,37702
Slovakia,2021-09-03,Sputnik V,37708
Slovakia,2021-12-24,Sputnik V,37710
