location,date,vaccine,total_vaccinations
Slovenia,2021-04-30,Johnson&Johnson,72
Slovenia,2021-05-07,Johnson&Johnson,1650
Slovenia,2021-05-14,Johnson&Johnson,9888
Slovenia,2021-05-21,Johnson&Johnson,16002
Slovenia,2021-05-28,Johnson&Johnson,20925
Slovenia,2021-06-04,Johnson&Johnson,32865
Slovenia,2021-06-11,Johnson&Johnson,38084
Slovenia,2021-06-18,Johnson&Johnson,43722
Slovenia,2021-06-25,Johnson&Johnson,46937
Slovenia,2021-07-02,Johnson&Johnson,50161
Slovenia,2021-07-09,Johnson&Johnson,55136
Slovenia,2021-07-16,Johnson&Johnson,63819
Slovenia,2021-07-23,Johnson&Johnson,72266
Slovenia,2021-07-30,Johnson&Johnson,79465
Slovenia,2021-08-06,Johnson&Johnson,84369
Slovenia,2021-08-13,Johnson&Johnson,88465
Slovenia,2021-08-20,Johnson&Johnson,93028
Slovenia,2021-08-27,Johnson&Johnson,97175
Slovenia,2021-09-03,Johnson&Johnson,100747
Slovenia,2021-09-10,Johnson&Johnson,107254
Slovenia,2021-09-17,Johnson&Johnson,125419
Slovenia,2021-09-24,Johnson&Johnson,133219
Slovenia,2021-10-01,Johnson&Johnson,135945
Slovenia,2021-10-15,Johnson&Johnson,135956
Slovenia,2021-10-22,Johnson&Johnson,135967
Slovenia,2021-10-29,Johnson&Johnson,135977
Slovenia,2021-11-05,Johnson&Johnson,135987
Slovenia,2021-11-12,Johnson&Johnson,135990
Slovenia,2021-11-19,Johnson&Johnson,135994
Slovenia,2021-11-26,Johnson&Johnson,135996
Slovenia,2021-12-10,Johnson&Johnson,135998
Slovenia,2021-12-17,Johnson&Johnson,136003
Slovenia,2021-12-24,Johnson&Johnson,136010
Slovenia,2021-12-31,Johnson&Johnson,136012
Slovenia,2022-01-07,Johnson&Johnson,136015
Slovenia,2022-01-14,Johnson&Johnson,136023
Slovenia,2022-01-21,Johnson&Johnson,136024
Slovenia,2022-01-28,Johnson&Johnson,136026
Slovenia,2022-02-04,Johnson&Johnson,136033
Slovenia,2022-02-18,Johnson&Johnson,136034
Slovenia,2022-02-25,Johnson&Johnson,136035
Slovenia,2022-03-25,Johnson&Johnson,136036
Slovenia,2022-04-01,Johnson&Johnson,136038
Slovenia,2022-04-08,Johnson&Johnson,136039
Slovenia,2022-04-15,Johnson&Johnson,136042
Slovenia,2022-04-22,Johnson&Johnson,136043
Slovenia,2022-05-13,Johnson&Johnson,136044
Slovenia,2022-05-20,Johnson&Johnson,136046
Slovenia,2022-05-27,Johnson&Johnson,136048
Slovenia,2022-06-03,Johnson&Johnson,136049
Slovenia,2022-06-10,Johnson&Johnson,136050
Slovenia,2021-01-22,Moderna,478
Slovenia,2021-01-29,Moderna,480
Slovenia,2021-02-05,Moderna,885
Slovenia,2021-02-12,Moderna,3587
Slovenia,2021-02-19,Moderna,4272
Slovenia,2021-02-26,Moderna,4569
Slovenia,2021-03-05,Moderna,8603
Slovenia,2021-03-12,Moderna,11376
Slovenia,2021-03-19,Moderna,17102
Slovenia,2021-03-26,Moderna,20029
Slovenia,2021-04-02,Moderna,37668
Slovenia,2021-04-09,Moderna,40767
Slovenia,2021-04-16,Moderna,51821
Slovenia,2021-04-23,Moderna,58389
Slovenia,2021-04-30,Moderna,67750
Slovenia,2021-05-07,Moderna,76974
Slovenia,2021-05-14,Moderna,85079
Slovenia,2021-05-21,Moderna,104599
