location,date,vaccine,total_vaccinations
South Africa,2022-03-04,Johnson&Johnson,7833589
South Africa,2022-03-07,Johnson&Johnson,7863784
South Africa,2022-03-09,Johnson&Johnson,7885691
South Africa,2022-03-10,Johnson&Johnson,7908063
South Africa,2022-03-11,Johnson&Johnson,7951747
South Africa,2022-03-13,Johnson&Johnson,7955873
South Africa,2022-03-14,Johnson&Johnson,7957872
South Africa,2022-03-15,Johnson&Johnson,7975967
South Africa,2022-03-16,Johnson&Johnson,7996009
South Africa,2022-03-17,Johnson&Johnson,8017571
South Africa,2022-03-18,Johnson&Johnson,8037092
South Africa,2022-03-19,Johnson&Johnson,8055384
South Africa,2022-03-20,Johnson&Johnson,8059527
South Africa,2022-03-21,Johnson&Johnson,8061507
South Africa,2022-03-22,Johnson&Johnson,8063724
South Africa,2022-03-23,Johnson&Johnson,8082241
South Africa,2022-03-24,Johnson&Johnson,8103979
South Africa,2022-03-25,Johnson&Johnson,8126185
South Africa,2022-03-26,Johnson&Johnson,8144386
South Africa,2022-03-27,Johnson&Johnson,8150553
South Africa,2022-03-29,Johnson&Johnson,8169364
South Africa,2022-03-30,Johnson&Johnson,8190515
South Africa,2022-03-31,Johnson&Johnson,8211419
South Africa,2022-04-01,Johnson&Johnson,8231497
South Africa,2022-04-04,Johnson&Johnson,8250402
South Africa,2022-04-05,Johnson&Johnson,8263111
South Africa,2022-04-06,Johnson&Johnson,8277867
South Africa,2022-04-07,Johnson&Johnson,8293405
South Africa,2022-04-08,Johnson&Johnson,8309123
South Africa,2022-04-09,Johnson&Johnson,8324835
South Africa,2022-04-10,Johnson&Johnson,8330721
South Africa,2022-04-11,Johnson&Johnson,8333395
South Africa,2022-04-12,Johnson&Johnson,8345439
South Africa,2022-04-13,Johnson&Johnson,8359574
South Africa,2022-04-14,Johnson&Johnson,8373648
South Africa,2022-04-15,Johnson&Johnson,8383192
South Africa,2022-04-18,Johnson&Johnson,8386271
South Africa,2022-04-19,Johnson&Johnson,8387671
South Africa,2022-04-20,Johnson&Johnson,8399797
South Africa,2022-04-21,Johnson&Johnson,8413050
South Africa,2022-04-22,Johnson&Johnson,8426836
South Africa,2022-04-23,Johnson&Johnson,8442419
South Africa,2022-04-25,Johnson&Johnson,8443729
South Africa,2022-04-26,Johnson&Johnson,8457715
South Africa,2022-04-27,Johnson&Johnson,8473975
South Africa,2022-04-28,Johnson&Johnson,8477267
South Africa,2022-04-29,Johnson&Johnson,8493701
South Africa,2022-04-30,Johnson&Johnson,8507758
South Africa,2022-05-01,Johnson&Johnson,8510397
South Africa,2022-05-02,Johnson&Johnson,8511775
South Africa,2022-05-03,Johnson&Johnson,8513444
South Africa,2022-05-04,Johnson&Johnson,8527210
South Africa,2022-05-05,Johnson&Johnson,8542104
South Africa,2022-05-06,Johnson&Johnson,8557468
South Africa,2022-05-07,Johnson&Johnson,8570773
South Africa,2022-05-08,Johnson&Johnson,8573936
South Africa,2022-05-09,Johnson&Johnson,8575190
South Africa,2022-05-10,Johnson&Johnson,8589109
South Africa,2022-05-11,Johnson&Johnson,8604699
South Africa,2022-05-12,Johnson&Johnson,8620699
South Africa,2022-05-13,Johnson&Johnson,8637492
South Africa,2022-05-14,Johnson&Johnson,8651259
South Africa,2022-05-15,Johnson&Johnson,8653836
South Africa,2022-05-16,Johnson&Johnson,8655401
South Africa,2022-05-17,Johnson&Johnson,8669399
South Africa,2022-05-18,Johnson&Johnson,8685216
South Africa,2022-05-19,Johnson&Johnson,8700571
South Africa,2022-05-20,Johnson&Johnson,8715995
South Africa,2022-05-21,Johnson&Johnson,8728242
South Africa,2022-05-22,Johnson&Johnson,8730140
South Africa,2022-05-23,Johnson&Johnson,8731312
South Africa,2022-05-24,Johnson&Johnson,8743636
South Africa,2022-05-25,Johnson&Johnson,8757124
South Africa,2022-05-26,Johnson&Johnson,8771449
South Africa,2022-05-27,Johnson&Johnson,8785186
South Africa,2022-05-28,Johnson&Johnson,8797000
South Africa,2022-05-29,Johnson&Johnson,8799534
South Africa,2022-05-30,Johnson&Johnson,8801193
South Africa,2022-05-31,Johnson&Johnson,8812452
South Africa,2022-06-01,Johnson&Johnson,8823121
South Africa,2022-06-02,Johnson&Johnson,8834522
South Africa,2022-06-03,Johnson&Johnson,8845693
South Africa,2022-06-04,Johnson&Johnson,8855326
South Africa,2022-06-05,Johnson&Johnson,8857113
South Africa,2022-06-06,Johnson&Johnson,8858010
South Africa,2022-06-07,Johnson&Johnson,8867656
South Africa,2022-06-08,Johnson&Johnson,8878264
South Africa,2022-06-09,Johnson&Johnson,8890371
South Africa,2022-06-10,Johnson&Johnson,8901797
South Africa,2022-06-11,Johnson&Johnson,8910653
South Africa,2022-06-12,Johnson&Johnson,8912410
South Africa,2022-06-13,Johnson&Johnson,8913121
South Africa,2022-06-14,Johnson&Johnson,8923046
South Africa,2022-06-15,Johnson&Johnson,8933358
South Africa,2022-06-16,Johnson&Johnson,8942612
South Africa,2022-06-17,Johnson&Johnson,8944873
South Africa,2022-06-18,Johnson&Johnson,8952539
South Africa,2022-06-19,Johnson&Johnson,8954151
South Africa,2022-06-20,Johnson&Johnson,8954879
South Africa,2022-06-21,Johnson&Johnson,8964047
South Africa,2022-06-22,Johnson&Johnson,8973684
South Africa,2022-06-23,Johnson&Johnson,8983460
South Africa,2022-06-24,Johnson&Johnson,8991489
South Africa,2022-06-25,Johnson&Johnson,8998148
South Africa,2022-06-26,Johnson&Johnson,8999109
South Africa,2022-06-27,Johnson&Johnson,8999566
South Africa,2022-06-28,Johnson&Johnson,9005758
South Africa,2022-06-29,Johnson&Johnson,9012346
South Africa,2022-06-30,Johnson&Johnson,9018643
South Africa,2022-07-01,Johnson&Johnson,9024592
South Africa,2022-07-02,Johnson&Johnson,9028778
South Africa,2022-07-03,Johnson&Johnson,9029690
South Africa,2022-07-04,Johnson&Johnson,9030127
South Africa,2022-07-05,Johnson&Johnson,9035035
South Africa,2022-07-06,Johnson&Johnson,9040274
South Africa,2022-07-07,Johnson&Johnson,9044949
South Africa,2022-07-08,Johnson&Johnson,9050211
South Africa,2022-07-09,Johnson&Johnson,9055323
South Africa,2022-07-11,Johnson&Johnson,9055662
South Africa,2022-07-12,Johnson&Johnson,9060785
South Africa,2022-07-13,Johnson&Johnson,9066043
South Africa,2022-07-14,Johnson&Johnson,9071101
South Africa,2022-07-15,Johnson&Johnson,9075712
South Africa,2022-07-16,Johnson&Johnson,9079640
South Africa,2022-07-19,Johnson&Johnson,9085510
South Africa,2022-07-20,Johnson&Johnson,9090777
South Africa,2022-07-21,Johnson&Johnson,9095818
South Africa,2022-07-22,Johnson&Johnson,9100986
South Africa,2022-07-23,Johnson&Johnson,9104715
South Africa,2022-07-26,Johnson&Johnson,9109904
South Africa,2022-07-27,Johnson&Johnson,9114835
South Africa,2022-07-28,Johnson&Johnson,9119437
South Africa,2022-07-29,Johnson&Johnson,9123896
South Africa,2022-07-30,Johnson&Johnson,9127615
South Africa,2022-08-02,Johnson&Johnson,9131831
South Africa,2022-08-03,Johnson&Johnson,9135189
South Africa,2022-08-04,Johnson&Johnson,9138737
South Africa,2022-08-05,Johnson&Johnson,9142212
South Africa,2022-08-06,Johnson&Johnson,9144764
South Africa,2022-08-09,Johnson&Johnson,9147518
South Africa,2022-08-10,Johnson&Johnson,9147876
South Africa,2022-08-11,Johnson&Johnson,9151015
South Africa,2022-08-12,Johnson&Johnson,9154297
South Africa,2022-08-13,Johnson&Johnson,9156837
South Africa,2022-08-14,Johnson&Johnson,9157094
South Africa,2022-08-15,Johnson&Johnson,9157315
South Africa,2022-08-16,Johnson&Johnson,9159780
South Africa,2022-08-17,Johnson&Johnson,9162269
South Africa,2022-08-18,Johnson&Johnson,9165235
South Africa,2022-08-19,Johnson&Johnson,9168349
South Africa,2022-08-20,Johnson&Johnson,9170645
South Africa,2022-08-21,Johnson&Johnson,9170909
South Africa,2022-08-22,Johnson&Johnson,9171207
South Africa,2022-08-23,Johnson&Johnson,9173944
South Africa,2022-08-24,Johnson&Johnson,9176984
South Africa,2022-08-25,Johnson&Johnson,9179408
South Africa,2022-08-26,Johnson&Johnson,9182606
South Africa,2022-08-27,Johnson&Johnson,9184899
South Africa,2022-08-28,Johnson&Johnson,9185255
South Africa,2022-08-29,Johnson&Johnson,9185433
South Africa,2022-08-30,Johnson&Johnson,9187994
South Africa,2022-08-31,Johnson&Johnson,9190172
South Africa,2022-09-01,Johnson&Johnson,9192452
South Africa,2022-09-02,Johnson&Johnson,9194544
South Africa,2022-09-03,Johnson&Johnson,9196486
South Africa,2022-09-04,Johnson&Johnson,9196873
South Africa,2022-09-05,Johnson&Johnson,9197040
South Africa,2022-09-06,Johnson&Johnson,9198991
South Africa,2022-09-07,Johnson&Johnson,9201297
South Africa,2022-09-08,Johnson&Johnson,9203466
South Africa,2022-09-09,Johnson&Johnson,9205769
South Africa,2022-09-10,Johnson&Johnson,9207890
South Africa,2022-09-11,Johnson&Johnson,9208233
South Africa,2022-09-12,Johnson&Johnson,9208341
South Africa,2022-09-13,Johnson&Johnson,9210329
South Africa,2022-09-14,Johnson&Johnson,9212411
South Africa,2022-09-15,Johnson&Johnson,9214579
South Africa,2022-09-16,Johnson&Johnson,9216717
South Africa,2022-09-18,Johnson&Johnson,9218721
South Africa,2022-09-19,Johnson&Johnson,9218838
South Africa,2022-09-20,Johnson&Johnson,9220585
South Africa,2022-09-21,Johnson&Johnson,9222505
South Africa,2022-09-22,Johnson&Johnson,9224343
South Africa,2022-09-23,Johnson&Johnson,9226421
South Africa,2022-09-24,Johnson&Johnson,9228310
South Africa,2022-09-25,Johnson&Johnson,9228577
South Africa,2022-09-26,Johnson&Johnson,9228683
South Africa,2022-09-27,Johnson&Johnson,9230633
South Africa,2022-09-28,Johnson&Johnson,9232565
South Africa,2022-09-29,Johnson&Johnson,9234769
South Africa,2022-09-30,Johnson&Johnson,9236884
South Africa,2022-10-04,Johnson&Johnson,9240746
South Africa,2022-10-05,Johnson&Johnson,9242842
South Africa,2022-10-06,Johnson&Johnson,9245266
South Africa,2022-03-04,Pfizer/BioNTech,24156328
South Africa,2022-03-07,Pfizer/BioNTech,24262368
South Africa,2022-03-09,Pfizer/BioNTech,24339805
South Africa,2022-03-10,Pfizer/BioNTech,24414628
South Africa,2022-03-11,Pfizer/BioNTech,24566087
South Africa,2022-03-13,Pfizer/BioNTech,24585124
South Africa,2022-03-14,Pfizer/BioNTech,24590470
South Africa,2022-03-15,Pfizer/BioNTech,24654919
South Africa,2022-03-16,Pfizer/BioNTech,24726408
South Africa,2022-03-17,Pfizer/BioNTech,24799921
South Africa,2022-03-18,Pfizer/BioNTech,24866237
South Africa,2022-03-19,Pfizer/BioNTech,24932469
South Africa,2022-03-20,Pfizer/BioNTech,24948609
South Africa,2022-03-21,Pfizer/BioNTech,24952874
South Africa,2022-03-22,Pfizer/BioNTech,24959399
South Africa,2022-03-23,Pfizer/BioNTech,25022972
South Africa,2022-03-24,Pfizer/BioNTech,25097448
South Africa,2022-03-25,Pfizer/BioNTech,25170032
South Africa,2022-03-26,Pfizer/BioNTech,25234862
South Africa,2022-03-27,Pfizer/BioNTech,25255148
South Africa,2022-03-29,Pfizer/BioNTech,25316327
South Africa,2022-03-30,Pfizer/BioNTech,25379326
South Africa,2022-03-31,Pfizer/BioNTech,25445353
South Africa,2022-04-01,Pfizer/BioNTech,25506668
