location,date,vaccine,total_vaccinations
South Korea,2021-02-26,Johnson&Johnson,43
South Korea,2021-02-27,Johnson&Johnson,45
South Korea,2021-02-28,Johnson&Johnson,45
South Korea,2021-03-01,Johnson&Johnson,50
South Korea,2021-03-02,Johnson&Johnson,53
South Korea,2021-03-03,Johnson&Johnson,57
South Korea,2021-03-04,Johnson&Johnson,67
South Korea,2021-03-05,Johnson&Johnson,77
South Korea,2021-03-06,Johnson&Johnson,101
South Korea,2021-03-07,Johnson&Johnson,122
South Korea,2021-03-08,Johnson&Johnson,154
South Korea,2021-03-09,Johnson&Johnson,177
South Korea,2021-03-10,Johnson&Johnson,448
South Korea,2021-03-11,Johnson&Johnson,681
South Korea,2021-03-12,Johnson&Johnson,934
South Korea,2021-03-13,Johnson&Johnson,997
South Korea,2021-03-14,Johnson&Johnson,1053
South Korea,2021-03-15,Johnson&Johnson,1952
South Korea,2021-03-16,Johnson&Johnson,2642
South Korea,2021-03-17,Johnson&Johnson,3251
South Korea,2021-03-18,Johnson&Johnson,3632
South Korea,2021-03-19,Johnson&Johnson,4222
South Korea,2021-03-20,Johnson&Johnson,4249
South Korea,2021-03-21,Johnson&Johnson,4268
South Korea,2021-03-22,Johnson&Johnson,4426
South Korea,2021-03-23,Johnson&Johnson,4640
South Korea,2021-03-24,Johnson&Johnson,4667
South Korea,2021-03-25,Johnson&Johnson,4957
South Korea,2021-03-26,Johnson&Johnson,5208
South Korea,2021-03-27,Johnson&Johnson,5236
South Korea,2021-03-28,Johnson&Johnson,5245
South Korea,2021-03-29,Johnson&Johnson,5270
South Korea,2021-03-30,Johnson&Johnson,5312
South Korea,2021-03-31,Johnson&Johnson,5362
South Korea,2021-04-01,Johnson&Johnson,5483
South Korea,2021-04-02,Johnson&Johnson,6050
South Korea,2021-04-03,Johnson&Johnson,6140
South Korea,2021-04-04,Johnson&Johnson,6182
South Korea,2021-04-05,Johnson&Johnson,7237
South Korea,2021-04-06,Johnson&Johnson,8178
South Korea,2021-04-07,Johnson&Johnson,9537
South Korea,2021-04-08,Johnson&Johnson,10914
South Korea,2021-04-09,Johnson&Johnson,12529
South Korea,2021-04-10,Johnson&Johnson,13261
South Korea,2021-04-11,Johnson&Johnson,13350
South Korea,2021-04-12,Johnson&Johnson,15033
South Korea,2021-04-13,Johnson&Johnson,16056
South Korea,2021-04-14,Johnson&Johnson,16065
South Korea,2021-04-15,Johnson&Johnson,16069
South Korea,2021-04-16,Johnson&Johnson,16084
South Korea,2021-04-17,Johnson&Johnson,16088
South Korea,2021-04-18,Johnson&Johnson,16093
South Korea,2021-04-19,Johnson&Johnson,16097
South Korea,2021-04-20,Johnson&Johnson,16101
South Korea,2021-04-21,Johnson&Johnson,16127
South Korea,2021-04-22,Johnson&Johnson,16130
South Korea,2021-04-23,Johnson&Johnson,16140
South Korea,2021-04-24,Johnson&Johnson,16143
South Korea,2021-04-25,Johnson&Johnson,16149
South Korea,2021-04-26,Johnson&Johnson,16164
South Korea,2021-04-27,Johnson&Johnson,16201
South Korea,2021-04-28,Johnson&Johnson,16233
South Korea,2021-04-29,Johnson&Johnson,16284
South Korea,2021-04-30,Johnson&Johnson,17318
South Korea,2021-05-01,Johnson&Johnson,17436
South Korea,2021-05-02,Johnson&Johnson,17458
South Korea,2021-05-03,Johnson&Johnson,18225
South Korea,2021-05-04,Johnson&Johnson,18874
South Korea,2021-05-05,Johnson&Johnson,19033
South Korea,2021-05-06,Johnson&Johnson,19603
South Korea,2021-05-07,Johnson&Johnson,20143
South Korea,2021-05-08,Johnson&Johnson,20183
South Korea,2021-05-09,Johnson&Johnson,20210
South Korea,2021-05-10,Johnson&Johnson,20694
South Korea,2021-05-11,Johnson&Johnson,21090
South Korea,2021-05-12,Johnson&Johnson,21304
South Korea,2021-05-13,Johnson&Johnson,21711
South Korea,2021-05-14,Johnson&Johnson,22117
South Korea,2021-05-15,Johnson&Johnson,22179
South Korea,2021-05-16,Johnson&Johnson,22204
South Korea,2021-05-17,Johnson&Johnson,22421
South Korea,2021-05-18,Johnson&Johnson,22569
South Korea,2021-05-19,Johnson&Johnson,22621
South Korea,2021-05-20,Johnson&Johnson,22817
South Korea,2021-05-21,Johnson&Johnson,23176
South Korea,2021-05-22,Johnson&Johnson,23266
South Korea,2021-05-23,Johnson&Johnson,23283
South Korea,2021-05-24,Johnson&Johnson,23476
South Korea,2021-05-25,Johnson&Johnson,23694
South Korea,2021-05-26,Johnson&Johnson,23847
South Korea,2021-05-27,Johnson&Johnson,24238
South Korea,2021-05-28,Johnson&Johnson,24313
South Korea,2021-05-29,Johnson&Johnson,24361
South Korea,2021-05-30,Johnson&Johnson,24386
South Korea,2021-05-31,Johnson&Johnson,24440
South Korea,2021-06-01,Johnson&Johnson,24592
South Korea,2021-06-02,Johnson&Johnson,24722
South Korea,2021-06-03,Johnson&Johnson,24826
South Korea,2021-06-04,Johnson&Johnson,25062
South Korea,2021-06-05,Johnson&Johnson,25131
South Korea,2021-06-06,Johnson&Johnson,25158
South Korea,2021-06-07,Johnson&Johnson,25310
South Korea,2021-06-08,Johnson&Johnson,25423
South Korea,2021-06-09,Johnson&Johnson,25597
South Korea,2021-06-10,Johnson&Johnson,278724
South Korea,2021-06-11,Johnson&Johnson,481312
South Korea,2021-06-12,Johnson&Johnson,595607
South Korea,2021-06-13,Johnson&Johnson,607410
South Korea,2021-06-14,Johnson&Johnson,779908
South Korea,2021-06-15,Johnson&Johnson,892710
South Korea,2021-06-16,Johnson&Johnson,1071013
South Korea,2021-06-17,Johnson&Johnson,1097322
South Korea,2021-06-18,Johnson&Johnson,1128683
South Korea,2021-06-19,Johnson&Johnson,1147824
South Korea,2021-06-20,Johnson&Johnson,1148269
South Korea,2021-06-21,Johnson&Johnson,1152042
South Korea,2021-06-22,Johnson&Johnson,1155029
South Korea,2021-06-23,Johnson&Johnson,1156557
South Korea,2021-06-24,Johnson&Johnson,1157383
South Korea,2021-06-25,Johnson&Johnson,1158046
South Korea,2021-06-26,Johnson&Johnson,1158217
South Korea,2021-06-27,Johnson&Johnson,1158271
South Korea,2021-06-28,Johnson&Johnson,1159238
South Korea,2021-06-29,Johnson&Johnson,1160360
South Korea,2021-06-30,Johnson&Johnson,1161643
South Korea,2021-07-01,Johnson&Johnson,1162854
South Korea,2021-07-02,Johnson&Johnson,1164067
South Korea,2021-07-03,Johnson&Johnson,1164523
South Korea,2021-07-04,Johnson&Johnson,1164555
South Korea,2021-07-05,Johnson&Johnson,1164606
South Korea,2021-07-06,Johnson&Johnson,1164708
South Korea,2021-07-07,Johnson&Johnson,1164858
South Korea,2021-07-08,Johnson&Johnson,1164979
South Korea,2021-07-09,Johnson&Johnson,1165098
South Korea,2021-07-10,Johnson&Johnson,1165164
South Korea,2021-07-11,Johnson&Johnson,1165184
South Korea,2021-07-12,Johnson&Johnson,1165254
South Korea,2021-07-13,Johnson&Johnson,1165352
South Korea,2021-07-14,Johnson&Johnson,1165443
South Korea,2021-07-15,Johnson&Johnson,1165544
South Korea,2021-07-16,Johnson&Johnson,1165659
South Korea,2021-07-17,Johnson&Johnson,1165720
South Korea,2021-07-18,Johnson&Johnson,1165742
South Korea,2021-07-19,Johnson&Johnson,1165867
South Korea,2021-07-20,Johnson&Johnson,1165973
South Korea,2021-07-21,Johnson&Johnson,1166093
South Korea,2021-07-22,Johnson&Johnson,1166164
South Korea,2021-07-23,Johnson&Johnson,1166280
South Korea,2021-07-24,Johnson&Johnson,1166351
South Korea,2021-07-25,Johnson&Johnson,1166390
South Korea,2021-07-26,Johnson&Johnson,1166609
South Korea,2021-07-27,Johnson&Johnson,1166736
South Korea,2021-07-28,Johnson&Johnson,1166854
South Korea,2021-07-29,Johnson&Johnson,1166968
South Korea,2021-07-30,Johnson&Johnson,1167084
South Korea,2021-07-31,Johnson&Johnson,1167141
South Korea,2021-08-01,Johnson&Johnson,1167167
South Korea,2021-08-02,Johnson&Johnson,1167300
South Korea,2021-08-03,Johnson&Johnson,1167384
South Korea,2021-08-04,Johnson&Johnson,1167528
South Korea,2021-08-05,Johnson&Johnson,1167617
South Korea,2021-08-06,Johnson&Johnson,1167692
South Korea,2021-08-07,Johnson&Johnson,1167739
South Korea,2021-08-08,Johnson&Johnson,1167757
South Korea,2021-08-09,Johnson&Johnson,1167822
South Korea,2021-08-10,Johnson&Johnson,1167909
South Korea,2021-08-11,Johnson&Johnson,1167960
South Korea,2021-08-12,Johnson&Johnson,1168007
South Korea,2021-08-13,Johnson&Johnson,1168081
South Korea,2021-08-14,Johnson&Johnson,1168115
South Korea,2021-08-15,Johnson&Johnson,1168156
South Korea,2021-08-16,Johnson&Johnson,1168229
South Korea,2021-08-17,Johnson&Johnson,1168289
South Korea,2021-08-18,Johnson&Johnson,1168366
South Korea,2021-08-19,Johnson&Johnson,1168433
South Korea,2021-08-20,Johnson&Johnson,1168499
South Korea,2021-08-21,Johnson&Johnson,1168529
South Korea,2021-08-22,Johnson&Johnson,1168545
South Korea,2021-08-23,Johnson&Johnson,1173056
South Korea,2021-08-24,Johnson&Johnson,1182435
South Korea,2021-08-25,Johnson&Johnson,1193884
South Korea,2021-08-26,Johnson&Johnson,1203767
South Korea,2021-08-27,Johnson&Johnson,1210860
South Korea,2021-08-28,Johnson&Johnson,1216986
South Korea,2021-08-29,Johnson&Johnson,1219205
South Korea,2021-08-30,Johnson&Johnson,1228986
South Korea,2021-08-31,Johnson&Johnson,1244602
South Korea,2021-09-01,Johnson&Johnson,1261829
South Korea,2021-09-02,Johnson&Johnson,1280192
South Korea,2021-09-03,Johnson&Johnson,1297027
South Korea,2021-09-04,Johnson&Johnson,1306054
South Korea,2021-09-05,Johnson&Johnson,1308645
South Korea,2021-09-06,Johnson&Johnson,1317977
South Korea,2021-09-07,Johnson&Johnson,1329665
South Korea,2021-09-08,Johnson&Johnson,1341950
South Korea,2021-09-09,Johnson&Johnson,1353603
South Korea,2021-09-10,Johnson&Johnson,1364410
South Korea,2021-09-11,Johnson&Johnson,1374194
South Korea,2021-09-12,Johnson&Johnson,1377156
South Korea,2021-09-13,Johnson&Johnson,1384495
South Korea,2021-09-14,Johnson&Johnson,1394804
South Korea,2021-09-15,Johnson&Johnson,1404936
South Korea,2021-09-16,Johnson&Johnson,1414927
South Korea,2021-09-17,Johnson&Johnson,1426638
South Korea,2021-09-18,Johnson&Johnson,1431550
South Korea,2021-09-19,Johnson&Johnson,1431756
South Korea,2021-09-20,Johnson&Johnson,1431801
South Korea,2021-09-21,Johnson&Johnson,1431819
South Korea,2021-09-22,Johnson&Johnson,1431957
South Korea,2021-09-23,Johnson&Johnson,1436910
South Korea,2021-09-24,Johnson&Johnson,1441478
South Korea,2021-09-25,Johnson&Johnson,1442393
South Korea,2021-09-26,Johnson&Johnson,1443141
South Korea,2021-09-27,Johnson&Johnson,1447004
South Korea,2021-09-28,Johnson&Johnson,1450423
South Korea,2021-09-29,Johnson&Johnson,1454775
South Korea,2021-09-30,Johnson&Johnson,1458381
South Korea,2021-10-01,Johnson&Johnson,1461057
South Korea,2021-10-02,Johnson&Johnson,1463004
South Korea,2021-10-03,Johnson&Johnson,1463100
South Korea,2021-10-04,Johnson&Johnson,1463350
South Korea,2021-10-05,Johnson&Johnson,1466156
South Korea,2021-10-06,Johnson&Johnson,1468983
South Korea,2021-10-07,Johnson&Johnson,1471456
South Korea,2021-10-08,Johnson&Johnson,1473692
South Korea,2021-10-09,Johnson&Johnson,1474126
South Korea,2021-10-10,Johnson&Johnson,1474416
South Korea,2021-10-11,Johnson&Johnson,1474575
South Korea,2021-10-12,Johnson&Johnson,1476643
South Korea,2021-10-13,Johnson&Johnson,1478732
South Korea,2021-10-14,Johnson&Johnson,1480209
South Korea,2021-10-15,Johnson&Johnson,1482288
South Korea,2021-10-16,Johnson&Johnson,1483121
South Korea,2021-10-17,Johnson&Johnson,1483622
South Korea,2021-10-18,Johnson&Johnson,1484940
South Korea,2021-10-19,Johnson&Johnson,1486154
South Korea,2021-10-20,Johnson&Johnson,1487504
South Korea,2021-10-21,Johnson&Johnson,1488479
South Korea,2021-10-22,Johnson&Johnson,1490007
South Korea,2021-10-23,Johnson&Johnson,1490518
South Korea,2021-10-24,Johnson&Johnson,1491051
South Korea,2021-10-25,Johnson&Johnson,1492280
South Korea,2021-10-26,Johnson&Johnson,1493570
South Korea,2021-10-27,Johnson&Johnson,1494632
South Korea,2021-10-28,Johnson&Johnson,1495674
South Korea,2021-10-29,Johnson&Johnson,1497086
South Korea,2021-10-30,Johnson&Johnson,1497600
South Korea,2021-10-31,Johnson&Johnson,1497882
South Korea,2021-11-01,Johnson&Johnson,1498521
South Korea,2021-11-02,Johnson&Johnson,1499047
South Korea,2021-11-03,Johnson&Johnson,1499780
South Korea,2021-11-04,Johnson&Johnson,1500630
South Korea,2021-11-05,Johnson&Johnson,1501411
South Korea,2021-11-06,Johnson&Johnson,1501620
South Korea,2021-11-07,Johnson&Johnson,1501742
South Korea,2021-11-08,Johnson&Johnson,1502890
South Korea,2021-11-09,Johnson&Johnson,1503676
South Korea,2021-11-10,Johnson&Johnson,1505028
South Korea,2021-11-11,Johnson&Johnson,1506398
South Korea,2021-11-12,Johnson&Johnson,1507909
