location,date,vaccine,total_vaccinations
Spain,2021-01-08,Johnson&Johnson,0
Spain,2021-04-23,Johnson&Johnson,34012
Spain,2021-04-30,Johnson&Johnson,132303
Spain,2021-05-07,Johnson&Johnson,194379
Spain,2021-05-14,Johnson&Johnson,228910
Spain,2021-05-21,Johnson&Johnson,326910
Spain,2021-05-28,Johnson&Johnson,443709
Spain,2021-06-04,Johnson&Johnson,631108
Spain,2021-06-11,Johnson&Johnson,862836
Spain,2021-06-18,Johnson&Johnson,1060179
Spain,2021-06-25,Johnson&Johnson,1225251
Spain,2021-07-02,Johnson&Johnson,1365335
Spain,2021-07-09,Johnson&Johnson,1501004
Spain,2021-07-16,Johnson&Johnson,1644739
Spain,2021-07-23,Johnson&Johnson,1782083
Spain,2021-07-30,Johnson&Johnson,1839227
Spain,2021-08-06,Johnson&Johnson,1886400
Spain,2021-08-13,Johnson&Johnson,1917575
Spain,2021-08-20,Johnson&Johnson,1932278
Spain,2021-08-27,Johnson&Johnson,1945121
Spain,2021-09-03,Johnson&Johnson,1952973
Spain,2021-09-10,Johnson&Johnson,1958230
Spain,2021-09-17,Johnson&Johnson,1962744
Spain,2021-09-24,Johnson&Johnson,1967208
Spain,2021-10-01,Johnson&Johnson,1970624
Spain,2021-10-08,Johnson&Johnson,1973509
Spain,2021-10-15,Johnson&Johnson,1975707
Spain,2021-10-22,Johnson&Johnson,1978226
Spain,2021-10-29,Johnson&Johnson,1979807
Spain,2021-11-05,Johnson&Johnson,1980397
Spain,2021-11-12,Johnson&Johnson,1980743
Spain,2021-11-19,Johnson&Johnson,1980914
Spain,2021-11-26,Johnson&Johnson,1981108
Spain,2021-12-03,Johnson&Johnson,1981189
Spain,2021-12-10,Johnson&Johnson,1981249
Spain,2021-12-17,Johnson&Johnson,1981325
Spain,2021-12-24,Johnson&Johnson,1981377
Spain,2021-12-31,Johnson&Johnson,1981409
Spain,2022-01-07,Johnson&Johnson,1981416
Spain,2022-01-14,Johnson&Johnson,1981446
Spain,2022-01-21,Johnson&Johnson,1981463
Spain,2022-01-28,Johnson&Johnson,1981483
Spain,2022-02-04,Johnson&Johnson,1981491
Spain,2022-02-11,Johnson&Johnson,1981508
Spain,2022-02-18,Johnson&Johnson,1981512
Spain,2022-02-25,Johnson&Johnson,1981530
Spain,2022-03-04,Johnson&Johnson,1981561
Spain,2022-03-11,Johnson&Johnson,1981562
Spain,2022-03-18,Johnson&Johnson,1981564
Spain,2022-03-25,Johnson&Johnson,1981579
Spain,2022-04-01,Johnson&Johnson,1981583
Spain,2022-04-08,Johnson&Johnson,1981587
Spain,2022-06-10,Johnson&Johnson,1981589
Spain,2022-06-17,Johnson&Johnson,1981591
Spain,2022-07-01,Johnson&Johnson,1981593
Spain,2022-08-19,Johnson&Johnson,1981594
Spain,2022-09-30,Johnson&Johnson,1981595
