location,date,vaccine,total_vaccinations
Sweden,2021-01-01,Moderna,0
Sweden,2021-02-19,Moderna,14891
Sweden,2021-02-26,Moderna,23652
Sweden,2021-03-05,Moderna,36170
Sweden,2021-03-12,Moderna,58216
Sweden,2021-03-19,Moderna,84745
Sweden,2021-03-26,Moderna,119224
Sweden,2021-04-02,Moderna,138211
Sweden,2021-04-09,Moderna,175823
Sweden,2021-04-16,Moderna,203990
Sweden,2021-04-23,Moderna,242597
Sweden,2021-04-30,Moderna,272980
Sweden,2021-05-07,Moderna,321435
Sweden,2021-05-14,Moderna,358914
Sweden,2021-05-21,Moderna,422891
Sweden,2021-05-28,Moderna,480787
Sweden,2021-06-04,Moderna,548366
Sweden,2021-06-11,Moderna,614948
Sweden,2021-06-18,Moderna,679071
Sweden,2021-06-25,Moderna,734523
Sweden,2021-07-02,Moderna,806832
Sweden,2021-07-09,Moderna,883431
Sweden,2021-07-16,Moderna,980778
Sweden,2021-07-23,Moderna,1063579
Sweden,2021-07-30,Moderna,1135902
Sweden,2021-08-06,Moderna,1205254
Sweden,2021-08-13,Moderna,1280858
Sweden,2021-08-20,Moderna,1368183
Sweden,2021-08-27,Moderna,1448220
Sweden,2021-09-03,Moderna,1528862
Sweden,2021-09-10,Moderna,1596651
Sweden,2021-09-17,Moderna,1661957
Sweden,2021-09-24,Moderna,1711121
Sweden,2021-10-01,Moderna,1751330
Sweden,2021-10-08,Moderna,1778048
Sweden,2021-10-15,Moderna,1799223
Sweden,2021-10-22,Moderna,1822463
Sweden,2021-10-29,Moderna,1844496
Sweden,2021-11-05,Moderna,1864981
Sweden,2021-11-12,Moderna,1905114
Sweden,2021-11-19,Moderna,1954121
Sweden,2021-11-26,Moderna,2008635
Sweden,2021-12-03,Moderna,2074548
Sweden,2021-12-10,Moderna,2150022
Sweden,2021-12-17,Moderna,2257617
Sweden,2021-12-24,Moderna,2310563
Sweden,2021-12-31,Moderna,2351428
Sweden,2022-01-07,Moderna,2413134
Sweden,2022-01-14,Moderna,2571101
Sweden,2022-01-21,Moderna,2780680
Sweden,2022-01-28,Moderna,2999254
Sweden,2022-02-04,Moderna,3165050
Sweden,2022-02-11,Moderna,3274389
Sweden,2022-02-18,Moderna,3344092
Sweden,2022-02-25,Moderna,3397237
Sweden,2022-03-04,Moderna,3444495
