location,date,vaccine,total_vaccinations
Uruguay,2021-02-27,Oxford/AstraZeneca,5
Uruguay,2021-02-28,Oxford/AstraZeneca,8
Uruguay,2021-03-01,Oxford/AstraZeneca,20
Uruguay,2021-03-02,Oxford/AstraZeneca,30
Uruguay,2021-03-03,Oxford/AstraZeneca,38
Uruguay,2021-03-04,Oxford/AstraZeneca,39
Uruguay,2021-03-05,Oxford/AstraZeneca,45
Uruguay,2021-03-06,Oxford/AstraZeneca,51
Uruguay,2021-03-07,Oxford/AstraZeneca,57
Uruguay,2021-03-08,Oxford/AstraZeneca,58
Uruguay,2021-03-09,Oxford/AstraZeneca,60
Uruguay,2021-03-10,Oxford/AstraZeneca,62
Uruguay,2021-03-11,Oxford/AstraZeneca,65
Uruguay,2021-03-12,Oxford/AstraZeneca,65
Uruguay,2021-03-13,Oxford/AstraZeneca,66
Uruguay,2021-03-14,Oxford/AstraZeneca,66
Uruguay,2021-03-15,Oxford/AstraZeneca,70
Uruguay,2021-03-16,Oxford/AstraZeneca,73
Uruguay,2021-03-17,Oxford/AstraZeneca,74
Uruguay,2021-03-18,Oxford/AstraZeneca,75
Uruguay,2021-03-19,Oxford/AstraZeneca,105
Uruguay,2021-03-20,Oxford/AstraZeneca,112
Uruguay,2021-03-21,Oxford/AstraZeneca,112
Uruguay,2021-03-22,Oxford/AstraZeneca,113
Uruguay,2021-03-23,Oxford/AstraZeneca,116
Uruguay,2021-03-24,Oxford/AstraZeneca,120
Uruguay,2021-03-25,Oxford/AstraZeneca,123
Uruguay,2021-03-26,Oxford/AstraZeneca,125
Uruguay,2021-03-27,Oxford/AstraZeneca,131
Uruguay,2021-03-28,Oxford/AstraZeneca,132
Uruguay,2021-03-29,Oxford/AstraZeneca,138
Uruguay,2021-03-30,Oxford/AstraZeneca,138
Uruguay,2021-03-31,Oxford/AstraZeneca,143
Uruguay,2021-04-01,Oxford/AstraZeneca,148
Uruguay,2021-04-02,Oxford/AstraZeneca,157
Uruguay,2021-04-03,Oxford/AstraZeneca,162
Uruguay,2021-04-04,Oxford/AstraZeneca,167
Uruguay,2021-04-05,Oxford/AstraZeneca,173
Uruguay,2021-04-06,Oxford/AstraZeneca,182
Uruguay,2021-04-07,Oxford/AstraZeneca,206
Uruguay,2021-04-08,Oxford/AstraZeneca,211
Uruguay,2021-04-09,Oxford/AstraZeneca,219
Uruguay,2021-04-10,Oxford/AstraZeneca,224
Uruguay,2021-04-11,Oxford/AstraZeneca,230
Uruguay,2021-04-12,Oxford/AstraZeneca,240
Uruguay,2021-04-13,Oxford/AstraZeneca,244
Uruguay,2021-04-14,Oxford/AstraZeneca,254
Uruguay,2021-04-15,Oxford/AstraZeneca,276
Uruguay,2021-04-16,Oxford/AstraZeneca,302
Uruguay,2021-04-17,Oxford/AstraZeneca,19596
Uruguay,2021-04-18,Oxford/AstraZeneca,35234
Uruguay,2021-04-19,Oxford/AstraZeneca,36148
Uruguay,2021-04-20,Oxford/AstraZeneca,36766
Uruguay,2021-04-21,Oxford/AstraZeneca,37726
Uruguay,2021-04-22,Oxford/AstraZeneca,38589
Uruguay,2021-04-23,Oxford/AstraZeneca,39468
Uruguay,2021-04-24,Oxford/AstraZeneca,39995
Uruguay,2021-04-25,Oxford/AstraZeneca,40004
Uruguay,2021-04-26,Oxford/AstraZeneca,40838
Uruguay,2021-04-27,Oxford/AstraZeneca,41441
Uruguay,2021-04-28,Oxford/AstraZeneca,42015
Uruguay,2021-04-29,Oxford/AstraZeneca,42621
Uruguay,2021-04-30,Oxford/AstraZeneca,43206
Uruguay,2021-05-01,Oxford/AstraZeneca,43339
Uruguay,2021-05-02,Oxford/AstraZeneca,43385
Uruguay,2021-05-03,Oxford/AstraZeneca,43461
Uruguay,2021-05-04,Oxford/AstraZeneca,43543
Uruguay,2021-05-05,Oxford/AstraZeneca,43706
Uruguay,2021-05-06,Oxford/AstraZeneca,43786
Uruguay,2021-05-07,Oxford/AstraZeneca,44340
Uruguay,2021-05-08,Oxford/AstraZeneca,44490
Uruguay,2021-05-09,Oxford/AstraZeneca,44512
Uruguay,2021-05-10,Oxford/AstraZeneca,44686
Uruguay,2021-05-11,Oxford/AstraZeneca,44962
Uruguay,2021-05-12,Oxford/AstraZeneca,45184
Uruguay,2021-05-13,Oxford/AstraZeneca,45196
Uruguay,2021-05-14,Oxford/AstraZeneca,45290
Uruguay,2021-05-15,Oxford/AstraZeneca,45318
Uruguay,2021-05-16,Oxford/AstraZeneca,45326
Uruguay,2021-05-17,Oxford/AstraZeneca,45342
Uruguay,2021-05-18,Oxford/AstraZeneca,45369
Uruguay,2021-05-19,Oxford/AstraZeneca,45428
Uruguay,2021-05-20,Oxford/AstraZeneca,45466
Uruguay,2021-05-21,Oxford/AstraZeneca,45490
Uruguay,2021-05-22,Oxford/AstraZeneca,45499
Uruguay,2021-05-23,Oxford/AstraZeneca,45510
Uruguay,2021-05-24,Oxford/AstraZeneca,45523
Uruguay,2021-05-25,Oxford/AstraZeneca,45562
Uruguay,2021-05-26,Oxford/AstraZeneca,45636
Uruguay,2021-05-27,Oxford/AstraZeneca,45654
Uruguay,2021-05-28,Oxford/AstraZeneca,45709
Uruguay,2021-05-29,Oxford/AstraZeneca,45723
Uruguay,2021-05-30,Oxford/AstraZeneca,45740
Uruguay,2021-05-31,Oxford/AstraZeneca,45759
Uruguay,2021-06-01,Oxford/AstraZeneca,45777
Uruguay,2021-06-02,Oxford/AstraZeneca,45808
Uruguay,2021-06-03,Oxford/AstraZeneca,45835
Uruguay,2021-06-04,Oxford/AstraZeneca,45874
Uruguay,2021-06-05,Oxford/AstraZeneca,45908
Uruguay,2021-06-06,Oxford/AstraZeneca,45924
Uruguay,2021-06-07,Oxford/AstraZeneca,45963
Uruguay,2021-06-08,Oxford/AstraZeneca,46073
Uruguay,2021-06-09,Oxford/AstraZeneca,46108
Uruguay,2021-06-10,Oxford/AstraZeneca,46263
Uruguay,2021-06-11,Oxford/AstraZeneca,46292
Uruguay,2021-06-12,Oxford/AstraZeneca,46316
Uruguay,2021-06-13,Oxford/AstraZeneca,46321
Uruguay,2021-06-14,Oxford/AstraZeneca,46347
Uruguay,2021-06-15,Oxford/AstraZeneca,46381
Uruguay,2021-06-16,Oxford/AstraZeneca,46424
Uruguay,2021-06-17,Oxford/AstraZeneca,46475
Uruguay,2021-06-18,Oxford/AstraZeneca,46526
Uruguay,2021-06-19,Oxford/AstraZeneca,46610
Uruguay,2021-06-20,Oxford/AstraZeneca,46623
Uruguay,2021-06-21,Oxford/AstraZeneca,46702
Uruguay,2021-06-22,Oxford/AstraZeneca,46784
Uruguay,2021-06-23,Oxford/AstraZeneca,46853
Uruguay,2021-06-24,Oxford/AstraZeneca,46947
Uruguay,2021-06-25,Oxford/AstraZeneca,47094
Uruguay,2021-06-26,Oxford/AstraZeneca,47209
Uruguay,2021-06-27,Oxford/AstraZeneca,47238
Uruguay,2021-06-28,Oxford/AstraZeneca,47276
Uruguay,2021-06-29,Oxford/AstraZeneca,47298
Uruguay,2021-06-30,Oxford/AstraZeneca,47335
Uruguay,2021-07-01,Oxford/AstraZeneca,47397
Uruguay,2021-07-02,Oxford/AstraZeneca,47421
Uruguay,2021-07-03,Oxford/AstraZeneca,47536
Uruguay,2021-07-04,Oxford/AstraZeneca,47621
Uruguay,2021-07-05,Oxford/AstraZeneca,47651
Uruguay,2021-07-06,Oxford/AstraZeneca,47685
Uruguay,2021-07-07,Oxford/AstraZeneca,47724
Uruguay,2021-07-08,Oxford/AstraZeneca,47734
Uruguay,2021-07-09,Oxford/AstraZeneca,47750
Uruguay,2021-07-10,Oxford/AstraZeneca,47763
Uruguay,2021-07-11,Oxford/AstraZeneca,47772
Uruguay,2021-07-12,Oxford/AstraZeneca,47784
Uruguay,2021-07-13,Oxford/AstraZeneca,47802
Uruguay,2021-07-14,Oxford/AstraZeneca,47822
Uruguay,2021-07-15,Oxford/AstraZeneca,66639
Uruguay,2021-07-16,Oxford/AstraZeneca,81437
Uruguay,2021-07-17,Oxford/AstraZeneca,81458
Uruguay,2021-07-18,Oxford/AstraZeneca,81467
Uruguay,2021-07-19,Oxford/AstraZeneca,82398
Uruguay,2021-07-20,Oxford/AstraZeneca,83240
Uruguay,2021-07-21,Oxford/AstraZeneca,84026
Uruguay,2021-07-22,Oxford/AstraZeneca,84634
Uruguay,2021-07-23,Oxford/AstraZeneca,85317
Uruguay,2021-07-24,Oxford/AstraZeneca,85719
