location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Argentina,2020-12-29,Sputnik V,https://covidstats.com.ar/,20493,20490,2,1
Argentina,2020-12-30,Sputnik V,https://covidstats.com.ar/,40594,40586,7,1
Argentina,2020-12-31,Sputnik V,https://covidstats.com.ar/,43400,43392,7,1
Argentina,2021-01-01,Sputnik V,https://covidstats.com.ar/,43529,43521,7,1
Argentina,2021-01-02,Sputnik V,https://covidstats.com.ar/,46841,46830,10,1
Argentina,2021-01-03,Sputnik V,https://covidstats.com.ar/,47287,47271,11,5
Argentina,2021-01-04,Sputnik V,https://covidstats.com.ar/,57748,57726,15,7
Argentina,2021-01-05,Sputnik V,https://covidstats.com.ar/,68479,68454,18,7
Argentina,2021-01-06,Sputnik V,https://covidstats.com.ar/,78599,78570,18,11
Argentina,2021-01-07,Sputnik V,https://covidstats.com.ar/,96832,96795,21,16
Argentina,2021-01-08,Sputnik V,https://covidstats.com.ar/,124726,124681,28,17
Argentina,2021-01-09,Sputnik V,https://covidstats.com.ar/,134936,134888,30,18
Argentina,2021-01-10,Sputnik V,https://covidstats.com.ar/,136115,136062,30,23
Argentina,2021-01-11,Sputnik V,https://covidstats.com.ar/,155945,155885,35,25
Argentina,2021-01-12,Sputnik V,https://covidstats.com.ar/,175340,175261,45,34
Argentina,2021-01-13,Sputnik V,https://covidstats.com.ar/,192117,192034,47,36
Argentina,2021-01-14,Sputnik V,https://covidstats.com.ar/,208768,208680,48,40
Argentina,2021-01-15,Sputnik V,https://covidstats.com.ar/,226215,226121,54,40
Argentina,2021-01-16,Sputnik V,https://covidstats.com.ar/,232100,232005,55,40
Argentina,2021-01-17,Sputnik V,https://covidstats.com.ar/,233163,233063,58,42
Argentina,2021-01-18,Sputnik V,https://covidstats.com.ar/,242995,242883,62,50
Argentina,2021-01-19,Sputnik V,https://covidstats.com.ar/,256252,250699,5497,56
Argentina,2021-01-20,Sputnik V,https://covidstats.com.ar/,275685,256610,19019,56
Argentina,2021-01-21,Sputnik V,https://covidstats.com.ar/,289804,261410,28338,56
Argentina,2021-01-22,Sputnik V,https://covidstats.com.ar/,299026,266434,32535,57
Argentina,2021-01-23,Sputnik V,https://covidstats.com.ar/,302975,267547,35370,58
Argentina,2021-01-24,Sputnik V,https://covidstats.com.ar/,303279,267639,35582,58
Argentina,2021-01-25,Sputnik V,https://covidstats.com.ar/,317497,274764,42675,58
Argentina,2021-01-26,Sputnik V,https://covidstats.com.ar/,330311,280085,50168,58
Argentina,2021-01-27,Sputnik V,https://covidstats.com.ar/,340426,284178,56190,58
Argentina,2021-01-28,Sputnik V,https://covidstats.com.ar/,356476,285622,70795,59
Argentina,2021-01-29,Sputnik V,https://covidstats.com.ar/,379981,287084,92838,59
Argentina,2021-01-30,Sputnik V,https://covidstats.com.ar/,389296,287286,101950,60
Argentina,2021-01-31,Sputnik V,https://covidstats.com.ar/,389921,287294,102566,61
Argentina,2021-02-01,Sputnik V,https://covidstats.com.ar/,409457,289568,119827,62
Argentina,2021-02-02,Sputnik V,https://covidstats.com.ar/,433340,295214,138063,63
Argentina,2021-02-03,Sputnik V,https://covidstats.com.ar/,459964,305625,154276,63
Argentina,2021-02-04,Sputnik V,https://covidstats.com.ar/,488106,315954,172088,64
Argentina,2021-02-05,Sputnik V,https://covidstats.com.ar/,521153,329846,191245,64
Argentina,2021-02-06,Sputnik V,https://covidstats.com.ar/,532084,332926,199096,64
Argentina,2021-02-07,Sputnik V,https://covidstats.com.ar/,533469,333497,199910,64
Argentina,2021-02-08,Sputnik V,https://covidstats.com.ar/,556903,349972,206868,65
Argentina,2021-02-09,Sputnik V,https://covidstats.com.ar/,577106,364243,212800,65
