location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Grenada,2021-02-11,Oxford/AstraZeneca,https://www.nowgrenada.com/2021/02/prime-minister-receives-first-covid-19-vaccine-administered-in-grenada/,0,0,0,
Grenada,2021-02-16,Oxford/AstraZeneca,https://www.nowgrenada.com/2021/02/covid-19-update-grenada-dashboard-16-february/,146,146,0,
Grenada,2021-02-23,Oxford/AstraZeneca,https://gov.gd/grenadians-support-covid-19-vaccination-programme,1200,1200,0,
Grenada,2021-02-26,Oxford/AstraZeneca,http://www.gov.gd/more-3000-grenadians-receive-covid-19-vaccine,3000,3000,0,
Grenada,2021-03-14,Oxford/AstraZeneca,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/978161829382576/,8424,8424,0,
Grenada,2021-03-15,Oxford/AstraZeneca,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/978764922655600/,8606,8606,0,
Grenada,2021-03-24,Oxford/AstraZeneca,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/984081865457239/,9821,9821,0,
Grenada,2021-03-29,Oxford/AstraZeneca,https://gov.gd/sites/default/files/egov/COVID-dashboard.pdf,10084,10084,0,
Grenada,2021-04-03,Oxford/AstraZeneca,https://gov.gd/sites/default/files/egov/covid-dashboard.pdf,10373,10371,2,
Grenada,2021-04-08,Oxford/AstraZeneca,https://gov.gd/sites/default/files/egov/COVID%2019-dashboard-8-apr.pdf,10717,10712,5,
Grenada,2021-04-09,Oxford/AstraZeneca,https://gov.gd/sites/default/files/egov/COVID19-dashboard-9-apr.pdf,10878,10858,20,
Grenada,2021-04-11,Oxford/AstraZeneca,https://gov.gd/sites/default/files/egov/covid-dashboard-19-10apr.pdf,10911,10891,20,
Grenada,2021-04-16,Oxford/AstraZeneca,https://gov.gd/sites/default/files/egov/covid-19-dashboard-16apr.pdf,11497,11388,109,
Grenada,2021-04-19,Oxford/AstraZeneca,https://gov.gd/sites/default/files/egov/COVID19-dashboard-19apr.pdf,11731,11537,194,
Grenada,2021-04-22,Oxford/AstraZeneca,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1001278877070871/,12764,11779,985,
Grenada,2021-04-23,Oxford/AstraZeneca,https://gov.gd/prime-minister-recieves-second-dose-astrazeneca-vaccine,13458,12121,1337,
Grenada,2021-04-27,Oxford/AstraZeneca,https://gov.gd/sites/default/files/egov/COVID19-dashboard-27-apr.pdf,14550,12445,2105,
Grenada,2021-04-29,Oxford/AstraZeneca,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1005798353285590,15397,12666,2731,
Grenada,2021-05-06,Oxford/AstraZeneca,https://gov.gd/prime-minister-engages-religious-leaders-covid-19-vaccination,17000,13000,4000,
Grenada,2021-05-11,Oxford/AstraZeneca,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1012889499243142/,19519,13744,5775,
Grenada,2021-05-21,Oxford/AstraZeneca,https://covid19.who.int/,23553,16334,7219,
Grenada,2021-05-28,Oxford/AstraZeneca,https://covid19.who.int/,25544,17344,8200,
Grenada,2021-06-04,Oxford/AstraZeneca,https://covid19.who.int/,26975,17970,9005,
Grenada,2021-06-11,Oxford/AstraZeneca,https://covid19.who.int/,27929,18415,9514,
Grenada,2021-06-18,Oxford/AstraZeneca,https://covid19.who.int/,29157,19024,10133,
Grenada,2021-06-25,Oxford/AstraZeneca,https://covid19.who.int/,31494,19521,11973,
Grenada,2021-07-02,Oxford/AstraZeneca,https://covid19.who.int/,34331,20023,14308,
Grenada,2021-07-09,Oxford/AstraZeneca,https://covid19.who.int/,35072,20292,14780,
Grenada,2021-07-16,Oxford/AstraZeneca,https://covid19.who.int/,35756,20626,15130,
Grenada,2021-07-23,Oxford/AstraZeneca,https://covid19.who.int/,36524,21014,15510,
