location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Indonesia,2021-01-12,Sinovac,https://www.dw.com/en/indonesias-covid-vaccination-campaign-prioritizes-workers/a-56316852,0.0,0,0,
Indonesia,2021-01-22,Sinovac,https://sehatnegeriku.kemkes.go.id/baca/rilis-media/20210122/3036835/vaksinasi-covid-19-bagi-tenaga-kesehatan-capai-132-ribu/,132000.0,132000,0,
Indonesia,2021-01-24,Sinovac,https://www.kemkes.go.id/,149242.0,149242,0,
Indonesia,2021-01-25,Sinovac,https://www.kemkes.go.id/,161959.0,161959,0,
Indonesia,2021-01-26,Sinovac,https://www.kemkes.go.id/,245685.0,245685,0,
Indonesia,2021-01-27,Sinovac,https://www.kemkes.go.id/,308003.0,308003,0,
Indonesia,2021-01-28,Sinovac,https://www.kemkes.go.id/,373786.0,368318,5468,
Indonesia,2021-01-29,Sinovac,https://www.kemkes.go.id/,416299.0,405012,11287,
Indonesia,2021-01-30,Sinovac,https://www.kemkes.go.id/,502955.0,482145,20810,
Indonesia,2021-01-31,Sinovac,https://www.kemkes.go.id/,515681.0,493133,22548,
Indonesia,2021-02-01,Sinovac,https://covid19.go.id/berita/data-vaksinasi-covid-19-update-1-februari-2021,574938.0,539532,35406,
Indonesia,2021-02-02,Sinovac,https://www.kemkes.go.id/,648259.0,596260,51999,
Indonesia,2021-02-03,Sinovac,https://www.kemkes.go.id/,717647.0,646026,71621,
Indonesia,2021-02-04,Sinovac,https://www.kemkes.go.id/,796819.0,700266,96553,
Indonesia,2021-02-05,Sinovac,https://www.kemkes.go.id/,865609.0,744884,120725,
Indonesia,2021-02-06,Sinovac,https://www.kemkes.go.id/,914303.0,777096,137207,
Indonesia,2021-02-07,Sinovac,https://www.kemkes.go.id/,923449.0,784318,139131,
Indonesia,2021-02-08,Sinovac,https://www.kemkes.go.id/,985855.0,814585,171270,
Indonesia,2021-02-09,Sinovac,https://www.kemkes.go.id/,1066860.0,845407,221453,
Indonesia,2021-02-10,Sinovac,https://www.kemkes.go.id/,1248797.0,969546,279251,
Indonesia,2021-02-11,Sinovac,https://www.kemkes.go.id/,1362791.0,1017186,345605,
Indonesia,2021-02-13,Sinovac,https://www.kemkes.go.id/,1475812.0,1060326,415486,
Indonesia,2021-02-14,Sinovac,https://www.kemkes.go.id/,1494325.0,1068747,425578,
Indonesia,2021-02-15,Sinovac,https://www.kemkes.go.id/,1578720.0,1096095,482625,
Indonesia,2021-02-16,Sinovac,https://www.kemkes.go.id/,1658110.0,1120963,537147,
Indonesia,2021-02-17,Sinovac,https://www.kemkes.go.id/,1747267.0,1149939,597328,
Indonesia,2021-02-18,Sinovac,https://www.kemkes.go.id/,1787976.0,1164144,623832,
Indonesia,2021-02-20,Sinovac,https://www.kemkes.go.id/,1956725.0,1224091,732634,
Indonesia,2021-02-23,Sinovac,https://www.kemkes.go.id/,2059871.0,1269905,789966,
Indonesia,2021-02-24,Sinovac,https://www.kemkes.go.id/,2188788.0,1363138,825650,
Indonesia,2021-02-25,Sinovac,https://www.kemkes.go.id/,2315665.0,1461920,853745,
Indonesia,2021-02-26,Sinovac,https://www.kemkes.go.id/,2449451.0,1583581,865870,
Indonesia,2021-02-27,Sinovac,https://www.kemkes.go.id/,2598535.0,1616165,982370,
Indonesia,2021-02-28,Sinovac,https://www.kemkes.go.id/,2690163.0,1691724,998439,
Indonesia,2021-03-02,Sinovac,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html,3023348.0,1968057,1055291,
Indonesia,2021-03-03,Sinovac,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html,3386351.0,2286123,1100228,
Indonesia,2021-03-05,Sinovac,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html,3528152.0,2413615,1114537,
Indonesia,2021-03-07,Sinovac,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html,4022544.0,2888757,1133787,
Indonesia,2021-03-10,Sinovac,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html,4837576.0,3574698,1262878,
Indonesia,2021-03-11,Sinovac,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html,4991674.0,3696059,1295615,
Indonesia,2021-03-12,Sinovac,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html,5108536.0,3769174,1339362,
Indonesia,2021-03-13,Sinovac,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html,5440432.0,3985596,1454836,
Indonesia,2021-03-14,Sinovac,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html,5480346.0,4020124,1460222,
Indonesia,2021-03-15,Sinovac,https://data.covid19.go.id/public/index.html,5739648.0,4166862,1572786,
Indonesia,2021-03-16,Sinovac,https://data.covid19.go.id/public/index.html,6185700.0,4468951,1716749,
Indonesia,2021-03-17,Sinovac,https://data.covid19.go.id/public/index.html,6581388.0,4705248,1876140,
Indonesia,2021-03-18,Sinovac,https://data.covid19.go.id/public/index.html,6787283.0,4838752,1948531,
Indonesia,2021-03-19,Sinovac,https://data.covid19.go.id/public/index.html,7027463.0,4959063,2068400,
Indonesia,2021-03-20,Sinovac,https://data.covid19.go.id/public/index.html,7346148.0,5124948,2221200,
Indonesia,2021-03-21,Sinovac,https://data.covid19.go.id/public/index.html,7835357.0,5533379,2301978,
Indonesia,2021-03-22,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,7879881.0,5567280,2312601,
Indonesia,2021-03-23,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,8226632.0,5732210,2494422,
Indonesia,2021-03-24,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,8687796.0,5978251,2709545,
Indonesia,2021-03-25,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,9330853.0,6389837,2941016,
Indonesia,2021-03-26,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,10117812.0,6969201,3148611,
Indonesia,2021-03-27,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,10412824.0,7179014,3233810,
Indonesia,2021-03-28,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,10489657.0,7243202,3246455,
Indonesia,2021-03-29,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,10707915.0,7394421,3313494,
Indonesia,2021-03-30,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,11229846.0,7729582,3500264,
Indonesia,2021-03-31,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,11805314.0,8095717,3709597,
Indonesia,2021-04-01,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,12200266.0,8349475,3850791,
Indonesia,2021-04-02,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,12286155.0,8418589,3867566,
Indonesia,2021-04-03,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,12485291.0,8533422,3951869,
Indonesia,2021-04-04,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,12643583.0,8629182,4014401,
Indonesia,2021-04-05,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,13046407.0,8838081,4208326,
Indonesia,2021-04-06,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,13353717.0,8975366,4378351,
Indonesia,2021-04-07,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,13735337.0,9187757,4547580,
Indonesia,2021-04-08,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,13975000.0,9309809,4665191,
Indonesia,2021-04-09,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,14727509.0,9784278,4943231,
Indonesia,2021-04-10,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,15005957.0,9955433,5050524,
Indonesia,2021-04-11,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,15145565.0,10045575,5099990,
Indonesia,2021-04-12,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,15572530.0,10261791,5310739,
Indonesia,2021-04-13,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,15805960.0,10373963,5431997,
Indonesia,2021-04-14,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,16046363.0,10477506,5568857,
Indonesia,2021-04-15,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,16309777.0,10596373,5713404,
Indonesia,2021-04-16,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,16526130.0,10706184,5819946,
Indonesia,2021-04-17,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,16690960.0,10801244,5889716,
Indonesia,2021-04-18,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,16739340.0,10828419,5910921,
Indonesia,2021-04-19,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,17017666.0,10966934,6050732,
Indonesia,2021-04-20,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,17233178.0,11101291,6131887,
Indonesia,2021-04-21,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,17591216.0,11269213,6322003,
Indonesia,2021-04-22,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,17920908.0,11432711,6488197,
Indonesia,2021-04-23,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,18265027.0,11587879,6677148,
Indonesia,2021-04-24,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,18484179.0,11699585,6784594,
Indonesia,2021-04-25,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,18556227.0,11733923,6822304,
Indonesia,2021-04-26,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,18842883.0,11844579,6998304,
Indonesia,2021-04-27,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,19159802.0,11981034,7178768,
Indonesia,2021-04-28,"Oxford/AstraZeneca, Sinovac",https://data.covid19.go.id/public/index.html,19487346.0,12112888,7374458,
