location,success,skipped,error,error_short,timestamp
Afghanistan,True,False,,,2022-09-01T07:04:56
Albania,True,False,,,2022-09-01T07:04:56
Algeria,True,False,,,2022-09-01T07:04:56
Andorra,True,False,,,2022-09-01T07:04:56
Angola,True,False,,,2022-09-01T07:04:56
Anguilla,True,False,,,2022-09-01T07:04:56
Antigua and Barbuda,True,False,,,2022-09-01T07:04:56
Argentina,True,False,,,2022-09-01T07:04:57
Armenia,True,False,,,2022-09-01T07:04:57
Aruba,True,False,,,2022-09-01T07:04:57
Australia,True,False,,,2022-09-01T07:04:57
Austria,True,False,,,2022-09-01T07:04:57
Azerbaijan,True,False,,,2022-09-01T07:04:57
Bahamas,True,False,,,2022-09-01T07:04:57
Bahrain,True,False,,,2022-09-01T07:04:57
Bangladesh,True,False,,,2022-09-01T07:04:57
Barbados,True,False,,,2022-09-01T07:04:57
Belarus,True,False,,,2022-09-01T07:04:57
Belgium,True,False,,,2022-09-01T07:04:58
Belize,True,False,,,2022-09-01T07:04:58
Benin,True,False,,,2022-09-01T07:04:58
Bermuda,True,False,,,2022-09-01T07:04:58
Bhutan,True,False,,,2022-09-01T07:04:58
Bolivia,True,False,,,2022-09-01T07:04:58
Bonaire Sint Eustatius and Saba,True,False,,,2022-09-01T07:04:58
Bosnia and Herzegovina,True,False,,,2022-09-01T07:04:58
Botswana,True,False,,,2022-09-01T07:04:58
Brazil,True,False,,,2022-09-01T07:04:59
British Virgin Islands,True,False,,,2022-09-01T07:04:59
Brunei,True,False,,,2022-09-01T07:04:59
Bulgaria,True,False,,,2022-09-01T07:04:59
Burkina Faso,True,False,,,2022-09-01T07:04:59
Burundi,True,False,,,2022-09-01T07:04:59
Cambodia,True,False,,,2022-09-01T07:04:59
Cameroon,True,False,,,2022-09-01T07:04:59
Canada,True,False,,,2022-09-01T07:04:59
Cape Verde,True,False,,,2022-09-01T07:04:59
Cayman Islands,True,False,,,2022-09-01T07:04:59
Central African Republic,True,False,,,2022-09-01T07:04:59
Chad,True,False,,,2022-09-01T07:05:00
Chile,True,False,,,2022-09-01T07:05:00
China,True,False,,,2022-09-01T07:05:00
Colombia,True,False,,,2022-09-01T07:05:00
Comoros,True,False,,,2022-09-01T07:05:00
Congo,True,False,,,2022-09-01T07:05:00
Cook Islands,True,False,,,2022-09-01T07:05:00
Costa Rica,True,False,,,2022-09-01T07:05:00
Cote d'Ivoire,True,False,,,2022-09-01T07:05:00
Croatia,True,False,,,2022-09-01T07:05:00
Cuba,True,False,,,2022-09-01T07:05:01
Curacao,True,False,,,2022-09-01T07:05:01
Cyprus,True,False,,,2022-09-01T07:05:01
Czechia,True,False,,,2022-09-01T07:05:01
Democratic Republic of Congo,True,False,,,2022-09-01T07:05:01
Denmark,True,False,,,2022-09-01T07:05:01
Djibouti,True,False,,,2022-09-01T07:05:01
Dominica,True,False,,,2022-09-01T07:05:02
Dominican Republic,True,False,,,2022-09-01T07:05:02
Ecuador,True,False,,,2022-09-01T07:05:02
Egypt,True,False,,,2022-09-01T07:05:02
El Salvador,True,False,,,2022-09-01T07:05:02
England,True,False,,,2022-09-01T07:05:02
Equatorial Guinea,True,False,,,2022-09-01T07:05:02
Estonia,True,False,,,2022-09-01T07:05:03
Eswatini,True,False,,,2022-09-01T07:05:03
Ethiopia,True,False,,,2022-09-01T07:05:03
Faeroe Islands,True,False,,,2022-09-01T07:05:03
Falkland Islands,True,False,,,2022-09-01T07:05:03
Fiji,True,False,,,2022-09-01T07:05:03
Finland,True,False,,,2022-09-01T07:05:04
France,True,False,,,2022-09-01T07:05:04
French Polynesia,True,False,,,2022-09-01T07:05:04
Gabon,True,False,,,2022-09-01T07:05:04
Gambia,True,False,,,2022-09-01T07:05:04
Georgia,True,False,,,2022-09-01T07:05:04
Germany,True,False,,,2022-09-01T07:05:04
Ghana,True,False,,,2022-09-01T07:05:05
Gibraltar,True,False,,,2022-09-01T07:05:05
Greece,True,False,,,2022-09-01T07:05:05
Greenland,True,False,,,2022-09-01T07:05:05
Grenada,True,False,,,2022-09-01T07:05:05
Guatemala,True,False,,,2022-09-01T07:05:05
Guernsey,True,False,,,2022-09-01T07:05:05
Guinea,True,False,,,2022-09-01T07:05:05
Guinea-Bissau,True,False,,,2022-09-01T07:05:05
Guyana,True,False,,,2022-09-01T07:05:06
Haiti,True,False,,,2022-09-01T07:05:06
Honduras,True,False,,,2022-09-01T07:05:06
Hong Kong,True,False,,,2022-09-01T07:05:06
Hungary,True,False,,,2022-09-01T07:05:06
Iceland,True,False,,,2022-09-01T07:05:06
India,True,False,,,2022-09-01T07:05:06
Indonesia,True,False,,,2022-09-01T07:05:06
Iran,True,False,,,2022-09-01T07:05:07
Iraq,True,False,,,2022-09-01T07:05:07
Ireland,True,False,,,2022-09-01T07:05:07
Isle of Man,True,False,,,2022-09-01T07:05:07
Israel,True,False,,,2022-09-01T07:05:07
Italy,True,False,,,2022-09-01T07:05:07
Jamaica,True,False,,,2022-09-01T07:05:07
Japan,True,False,,,2022-09-01T07:05:07
Jersey,True,False,,,2022-09-01T07:05:07
Jordan,True,False,,,2022-09-01T07:05:08
Kazakhstan,True,False,,,2022-09-01T07:05:08
Kenya,True,False,,,2022-09-01T07:05:08
Kiribati,True,False,,,2022-09-01T07:05:08
Kosovo,True,False,,,2022-09-01T07:05:08
Kuwait,True,False,,,2022-09-01T07:05:08
Kyrgyzstan,True,False,,,2022-09-01T07:05:08
Laos,True,False,,,2022-09-01T07:05:08
Latvia,True,False,,,2022-09-01T07:05:09
Lebanon,True,False,,,2022-09-01T07:05:09
Lesotho,True,False,,,2022-09-01T07:05:09
Liberia,True,False,,,2022-09-01T07:05:09
Libya,True,False,,,2022-09-01T07:05:09
Liechtenstein,True,False,,,2022-09-01T07:05:09
Lithuania,True,False,,,2022-09-01T07:05:09
Luxembourg,True,False,,,2022-09-01T07:05:09
Macao,True,False,,,2022-09-01T07:05:09
Madagascar,True,False,,,2022-09-01T07:05:10
Malawi,True,False,,,2022-09-01T07:05:10
Malaysia,True,False,,,2022-09-01T07:05:10
Maldives,True,False,,,2022-09-01T07:05:10
Mali,True,False,,,2022-09-01T07:05:10
Malta,True,False,,,2022-09-01T07:05:10
Mauritania,True,False,,,2022-09-01T07:05:10
Mauritius,True,False,,,2022-09-01T07:05:10
Mexico,True,False,,,2022-09-01T07:05:10
Moldova,True,False,,,2022-09-01T07:05:11
Monaco,True,False,,,2022-09-01T07:05:11
Mongolia,True,False,,,2022-09-01T07:05:11
Montenegro,True,False,,,2022-09-01T07:05:11
Montserrat,True,False,,,2022-09-01T07:05:11
Morocco,True,False,,,2022-09-01T07:05:11
Mozambique,True,False,,,2022-09-01T07:05:11
Myanmar,True,False,,,2022-09-01T07:05:11
Namibia,True,False,,,2022-09-01T07:05:11
Nauru,True,False,,,2022-09-01T07:05:11
Nepal,True,False,,,2022-09-01T07:05:12
Netherlands,True,False,,,2022-09-01T07:05:12
New Caledonia,True,False,,,2022-09-01T07:05:12
New Zealand,True,False,,,2022-09-01T07:05:12
Nicaragua,True,False,,,2022-09-01T07:05:12
Niger,True,False,,,2022-09-01T07:05:12
Nigeria,True,False,,,2022-09-01T07:05:12
Niue,True,False,,,2022-09-01T07:05:12
North Macedonia,True,False,,,2022-09-01T07:05:12
Northern Cyprus,True,False,,,2022-09-01T07:05:12
Northern Ireland,True,False,,,2022-09-01T07:05:13
Norway,True,False,,,2022-09-01T07:05:13
Oman,True,False,,,2022-09-01T07:05:13
Pakistan,True,False,,,2022-09-01T07:05:13
Palestine,True,False,,,2022-09-01T07:05:13
Panama,True,False,,,2022-09-01T07:05:13
Papua New Guinea,True,False,,,2022-09-01T07:05:13
Paraguay,True,False,,,2022-09-01T07:05:13
Peru,True,False,,,2022-09-01T07:05:13
Philippines,True,False,,,2022-09-01T07:05:13
Pitcairn,True,False,,,2022-09-01T07:05:14
Poland,True,False,,,2022-09-01T07:05:14
Portugal,True,False,,,2022-09-01T07:05:14
Qatar,True,False,,,2022-09-01T07:05:14
Romania,True,False,,,2022-09-01T07:05:14
Russia,True,False,,,2022-09-01T07:05:14
Rwanda,True,False,,,2022-09-01T07:05:14
Saint Helena,True,False,,,2022-09-01T07:05:14
Saint Kitts and Nevis,True,False,,,2022-09-01T07:05:14
Saint Lucia,True,False,,,2022-09-01T07:05:14
Saint Vincent and the Grenadines,True,False,,,2022-09-01T07:05:15
Samoa,True,False,,,2022-09-01T07:05:15
San Marino,True,False,,,2022-09-01T07:05:15
Sao Tome and Principe,True,False,,,2022-09-01T07:05:15
Saudi Arabia,True,False,,,2022-09-01T07:05:15
Scotland,True,False,,,2022-09-01T07:05:15
Senegal,True,False,,,2022-09-01T07:05:15
Serbia,True,False,,,2022-09-01T07:05:15
Seychelles,True,False,,,2022-09-01T07:05:15
Sierra Leone,True,False,,,2022-09-01T07:05:15
Singapore,True,False,,,2022-09-01T07:05:15
Sint Maarten (Dutch part),True,False,,,2022-09-01T07:05:16
Slovakia,True,False,,,2022-09-01T07:05:16
Slovenia,True,False,,,2022-09-01T07:05:16
Solomon Islands,True,False,,,2022-09-01T07:05:16
Somalia,True,False,,,2022-09-01T07:05:16
South Africa,True,False,,,2022-09-01T07:05:16
South Korea,True,False,,,2022-09-01T07:05:16
South Sudan,True,False,,,2022-09-01T07:05:16
Spain,True,False,,,2022-09-01T07:05:16
Sri Lanka,True,False,,,2022-09-01T07:05:16
Sudan,True,False,,,2022-09-01T07:05:17
Suriname,True,False,,,2022-09-01T07:05:17
Sweden,True,False,,,2022-09-01T07:05:17
Switzerland,True,False,,,2022-09-01T07:05:17
Syria,True,False,,,2022-09-01T07:05:17
Taiwan,True,False,,,2022-09-01T07:05:17
Tajikistan,True,False,,,2022-09-01T07:05:17
Tanzania,True,False,,,2022-09-01T07:05:17
Thailand,True,False,,,2022-09-01T07:05:17
Timor,True,False,,,2022-09-01T07:05:17
Togo,True,False,,,2022-09-01T07:05:18
Tokelau,True,False,,,2022-09-01T07:05:18
Tonga,True,False,,,2022-09-01T07:05:18
Trinidad and Tobago,True,False,,,2022-09-01T07:05:18
Tunisia,False,False,"Traceback (most recent call last):
  File ""/mnt/owid_live_covid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 95, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/mnt/owid_live_covid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/mnt/owid_live_covid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 70, in country_df_sanity_checks
    checker.run()
  File ""/mnt/owid_live_covid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 250, in run
    self.check_metrics()
  File ""/mnt/owid_live_covid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 167, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/mnt/owid_live_covid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 183, in _check_metrics_monotonic
    raise ValueError(
ValueError: Tunisia -- Column total_boosters must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
325  Tunisia 2022-08-22  ...                 6381189        1234144

[1 rows x 8 columns]
","Tunisia -- Column total_boosters must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
325  Tunisia 2022-08-22  ...                 6381189        1234144

[1 rows x 8 columns]",2022-09-01T07:05:18
Turkey,True,False,,,2022-09-01T07:05:18
Turkmenistan,True,False,,,2022-09-01T07:05:18
Turks and Caicos Islands,True,False,,,2022-09-01T07:05:18
Tuvalu,True,False,,,2022-09-01T07:05:18
Uganda,True,False,,,2022-09-01T07:05:18
Ukraine,True,False,,,2022-09-01T07:05:18
United Arab Emirates,True,False,,,2022-09-01T07:05:18
United Kingdom,True,False,,,2022-09-01T07:05:19
United States,True,False,,,2022-09-01T07:05:19
Uruguay,True,False,,,2022-09-01T07:05:19
Uzbekistan,True,False,,,2022-09-01T07:05:19
Vanuatu,True,False,,,2022-09-01T07:05:19
Venezuela,True,False,,,2022-09-01T07:05:19
Vietnam,True,False,,,2022-09-01T07:05:19
Wales,True,False,,,2022-09-01T07:05:19
Wallis and Futuna,True,False,,,2022-09-01T07:05:19
Yemen,True,False,,,2022-09-01T07:05:19
Zambia,True,False,,,2022-09-01T07:05:19
Zimbabwe,True,False,,,2022-09-01T07:05:20
